Time,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.2308,0.4642,0.5653,0.628,0.6391,0.6335,0.5232,0.4208,0.472,0.4103,0.5364,0.4733
4.6,0.2593,0.4527,0.5466,0.6432,0.6237,0.6335,0.5599,0.4265,0.4932,0.4016,0.5153,0.4585
4.7,0.2838,0.4439,0.5303,0.6576,0.6148,0.6362,0.5892,0.4316,0.5104,0.3915,0.4928,0.4422
4.8,0.3022,0.437,0.5162,0.6701,0.6115,0.6408,0.6107,0.4366,0.5237,0.3806,0.4698,0.4252
4.9,0.3138,0.4306,0.5038,0.6803,0.6122,0.6462,0.6254,0.4415,0.5334,0.3689,0.447,0.4079
5,0.3189,0.4241,0.4922,0.6881,0.616,0.6521,0.6338,0.4454,0.5396,0.356,0.4243,0.3901
5.1,0.3175,0.417,0.4802,0.6935,0.6224,0.658,0.6358,0.4473,0.5416,0.3418,0.4015,0.3717
5.2,0.3082,0.409,0.4674,0.6958,0.6312,0.6635,0.631,0.4467,0.5389,0.3274,0.3786,0.353
5.3,0.2887,0.3998,0.4541,0.694,0.6416,0.6678,0.6193,0.444,0.5316,0.3138,0.3563,0.335
5.4,0.2572,0.3897,0.4406,0.688,0.653,0.6705,0.6014,0.4404,0.5209,0.3017,0.3354,0.3186
5.5,0.2141,0.3794,0.4274,0.6777,0.6652,0.6715,0.5788,0.4371,0.508,0.2912,0.3167,0.304
5.6,0.1611,0.3699,0.4153,0.6638,0.6779,0.6709,0.5537,0.435,0.4943,0.2822,0.3009,0.2915
5.7,0.1005,0.3617,0.4051,0.6471,0.6897,0.6684,0.5279,0.4345,0.4812,0.2752,0.2882,0.2817
5.8,0.0338,0.3548,0.3974,0.6283,0.6987,0.6635,0.5024,0.4355,0.469,0.27,0.2788,0.2744
5.9,-0.0372,0.3493,0.3925,0.6082,0.7037,0.6559,0.4775,0.4376,0.4575,0.2665,0.2723,0.2694
6,-0.1101,0.3452,0.3909,0.5881,0.7036,0.6458,0.454,0.4405,0.4472,0.2644,0.2686,0.2665
6.1,-0.182,0.3426,0.3926,0.5691,0.6977,0.6334,0.4332,0.4446,0.4389,0.264,0.2677,0.2658
6.2,-0.2495,0.3412,0.3976,0.5523,0.6854,0.6188,0.4168,0.4502,0.4335,0.2655,0.2703,0.2679
6.3,-0.3098,0.3407,0.406,0.5381,0.6666,0.6024,0.4055,0.4572,0.4314,0.2692,0.277,0.2731
6.4,-0.3613,0.3404,0.4183,0.5264,0.6418,0.5841,0.3995,0.4656,0.4326,0.2752,0.2884,0.2818
6.5,-0.4034,0.3398,0.4346,0.5167,0.6118,0.5642,0.3984,0.4747,0.4365,0.283,0.3043,0.2936
6.6,-0.4364,0.3387,0.4549,0.508,0.5769,0.5425,0.4016,0.4841,0.4428,0.2929,0.3243,0.3086
6.7,-0.4603,0.3365,0.4793,0.4995,0.5373,0.5184,0.4096,0.4938,0.4517,0.3054,0.3477,0.3265
6.8,-0.4747,0.3331,0.5076,0.4912,0.4938,0.4925,0.4223,0.5048,0.4635,0.3209,0.374,0.3475
6.9,-0.4791,0.3286,0.539,0.484,0.4484,0.4662,0.4392,0.5175,0.4784,0.3392,0.4031,0.3711
7,-0.4732,0.3233,0.5726,0.4786,0.4033,0.4409,0.4592,0.5321,0.4956,0.3594,0.4341,0.3967
7.1,-0.4576,0.3177,0.6073,0.4751,0.3604,0.4177,0.4811,0.5476,0.5144,0.3804,0.4665,0.4235
7.2,-0.4335,0.3119,0.6422,0.4729,0.3205,0.3967,0.5044,0.5634,0.5339,0.4019,0.4998,0.4508
7.3,-0.4014,0.3062,0.6763,0.4708,0.2849,0.3778,0.5285,0.5786,0.5536,0.4238,0.5333,0.4786
7.4,-0.3607,0.3005,0.7084,0.4675,0.255,0.3612,0.5526,0.5926,0.5726,0.4461,0.5664,0.5062
7.5,-0.3107,0.2953,0.7374,0.4622,0.232,0.3471,0.5752,0.6045,0.5899,0.4684,0.598,0.5332
7.6,-0.2521,0.2915,0.7628,0.455,0.2165,0.3357,0.5955,0.6145,0.605,0.4904,0.6277,0.5591
7.7,-0.1865,0.2902,0.7857,0.4475,0.2086,0.3281,0.6133,0.6232,0.6183,0.5123,0.6554,0.5838
7.8,-0.1158,0.2923,0.8074,0.4413,0.2084,0.3249,0.6291,0.6322,0.6306,0.5341,0.6812,0.6076
7.9,-0.041,0.298,0.8286,0.437,0.2153,0.3262,0.6431,0.6422,0.6427,0.5555,0.705,0.6303
8,0.0367,0.3064,0.8484,0.4337,0.228,0.3309,0.6553,0.6534,0.6543,0.5758,0.7264,0.6511
8.1,0.1155,0.3161,0.8656,0.4294,0.2443,0.3369,0.6652,0.6647,0.6649,0.594,0.7442,0.6691
8.2,0.1931,0.3262,0.8798,0.4227,0.2623,0.3425,0.6723,0.6749,0.6736,0.6097,0.7581,0.6839
8.3,0.2675,0.3366,0.8914,0.4134,0.2808,0.3471,0.6763,0.6832,0.6797,0.6224,0.7678,0.6951
8.4,0.3366,0.3474,0.9013,0.4025,0.3001,0.3513,0.6769,0.6894,0.6831,0.6316,0.7735,0.7025
8.5,0.3987,0.359,0.9098,0.3911,0.3204,0.3557,0.6737,0.6935,0.6836,0.637,0.7751,0.7061
8.6,0.4512,0.3713,0.9172,0.3795,0.3414,0.3604,0.667,0.6959,0.6814,0.6387,0.7732,0.7059
8.7,0.4916,0.3833,0.9236,0.3674,0.362,0.3647,0.6572,0.6965,0.6769,0.6364,0.7688,0.7026
8.8,0.5191,0.3946,0.9286,0.3544,0.3811,0.3678,0.6447,0.6949,0.6698,0.6297,0.7625,0.6961
8.9,0.5352,0.4051,0.9316,0.3409,0.3986,0.3698,0.6292,0.6902,0.6597,0.6178,0.7548,0.6863
9,0.5415,0.415,0.9317,0.3273,0.4145,0.3709,0.6107,0.6823,0.6465,0.6001,0.7454,0.6728
9.1,0.5384,0.4241,0.9287,0.3135,0.4279,0.3707,0.5894,0.6713,0.6304,0.577,0.7346,0.6558
9.2,0.5262,0.432,0.9223,0.299,0.438,0.3685,0.5659,0.6575,0.6117,0.5493,0.7228,0.636
9.3,0.5064,0.4385,0.9118,0.2833,0.4444,0.3639,0.5407,0.6406,0.5907,0.5179,0.7107,0.6143
9.4,0.4823,0.4435,0.8963,0.2667,0.4468,0.3568,0.5151,0.6204,0.5677,0.4843,0.6989,0.5916
9.5,0.4568,0.447,0.8747,0.2496,0.445,0.3473,0.49,0.5968,0.5434,0.4492,0.6875,0.5684
9.6,0.432,0.4488,0.8467,0.2322,0.4397,0.3359,0.4666,0.5705,0.5186,0.4132,0.6761,0.5447
9.7,0.408,0.4493,0.8122,0.2139,0.4314,0.3227,0.4461,0.5426,0.4943,0.3767,0.6642,0.5204
9.8,0.3844,0.4485,0.7719,0.1939,0.4208,0.3073,0.4293,0.5137,0.4715,0.3405,0.6509,0.4957
9.9,0.3619,0.4469,0.7264,0.1721,0.4084,0.2902,0.4164,0.4844,0.4504,0.3057,0.6357,0.4707
10,0.3416,0.4447,0.6769,0.1489,0.3953,0.2721,0.4075,0.4558,0.4316,0.2727,0.6184,0.4456
10.1,0.3238,0.4419,0.6257,0.1259,0.3829,0.2544,0.4028,0.4299,0.4164,0.2421,0.5989,0.4205
10.2,0.3081,0.4385,0.5757,0.1044,0.3724,0.2384,0.4023,0.4091,0.4057,0.2136,0.578,0.3958
10.3,0.2944,0.4342,0.5295,0.0843,0.3639,0.2241,0.4057,0.3949,0.4003,0.1874,0.5563,0.3718
10.4,0.2836,0.4288,0.4885,0.0637,0.357,0.2104,0.4123,0.3877,0.4,0.1634,0.5345,0.3489
10.5,0.2767,0.4219,0.4538,0.0402,0.351,0.1956,0.4205,0.387,0.4038,0.1418,0.5128,0.3273
10.6,0.2744,0.4134,0.4259,0.0124,0.3461,0.1793,0.4285,0.3927,0.4106,0.1228,0.4915,0.3072
10.7,0.2758,0.4037,0.4049,-0.0194,0.3429,0.1617,0.4351,0.4047,0.4199,0.1062,0.4708,0.2885
10.8,0.279,0.3934,0.3903,-0.0541,0.3418,0.1439,0.4392,0.4221,0.4307,0.0918,0.4508,0.2713
10.9,0.2828,0.3826,0.3815,-0.0905,0.3425,0.126,0.4406,0.4436,0.4421,0.0792,0.4322,0.2557
11,0.2858,0.3708,0.3778,-0.1281,0.3441,0.108,0.4388,0.4672,0.453,0.0683,0.4156,0.242
11.1,0.2867,0.3566,0.3788,-0.1668,0.3461,0.0897,0.4336,0.4916,0.4626,0.0593,0.4013,0.2303
11.2,0.2842,0.3386,0.3835,-0.2056,0.3488,0.0716,0.425,0.5158,0.4704,0.0519,0.3892,0.2205
11.3,0.2764,0.3165,0.3908,-0.2428,0.353,0.0551,0.4127,0.5387,0.4757,0.0458,0.3787,0.2122
11.4,0.261,0.2909,0.3992,-0.2757,0.3593,0.0418,0.3968,0.5588,0.4778,0.0407,0.3691,0.2049
11.5,0.2373,0.2629,0.4081,-0.3016,0.3681,0.0332,0.378,0.5754,0.4767,0.0365,0.3602,0.1983
