Time,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.4,0.212,0.5604,0.4486,0.6899,0.5097,0.5998,0.6181,0.538,0.578,0.632,0.644,0.638
19.5,0.2473,0.5707,0.4415,0.7357,0.499,0.6174,0.6349,0.5171,0.576,0.6441,0.6375,0.6408
19.6,0.2772,0.5824,0.4382,0.7644,0.4887,0.6266,0.6512,0.4978,0.5745,0.6513,0.6284,0.6399
19.7,0.3013,0.5953,0.4386,0.7787,0.4798,0.6293,0.6662,0.4803,0.5733,0.6529,0.6155,0.6342
19.8,0.32,0.6086,0.442,0.7809,0.4723,0.6266,0.6789,0.4645,0.5717,0.6482,0.5978,0.623
19.9,0.3348,0.6214,0.4476,0.7723,0.4661,0.6192,0.6886,0.4503,0.5694,0.637,0.575,0.606
20,0.3463,0.6335,0.4548,0.7548,0.461,0.6079,0.6952,0.4379,0.5665,0.6195,0.5479,0.5837
20.1,0.355,0.6454,0.4639,0.7313,0.4575,0.5944,0.6993,0.4282,0.5637,0.596,0.5181,0.5571
20.2,0.3616,0.6571,0.4756,0.7051,0.4562,0.5806,0.7013,0.4222,0.5617,0.5678,0.4876,0.5277
20.3,0.3677,0.6679,0.489,0.6789,0.457,0.568,0.7016,0.4203,0.561,0.5366,0.4579,0.4973
20.4,0.3754,0.6765,0.5028,0.6538,0.4596,0.5567,0.7003,0.4224,0.5614,0.504,0.4302,0.4671
20.5,0.3854,0.6812,0.5156,0.6296,0.4636,0.5466,0.6973,0.4285,0.5629,0.4719,0.4059,0.4389
20.6,0.3956,0.6812,0.5266,0.6055,0.4687,0.5371,0.6921,0.4389,0.5655,0.4421,0.3868,0.4145
20.7,0.4034,0.6764,0.536,0.5816,0.4751,0.5283,0.6852,0.4539,0.5695,0.4164,0.3749,0.3956
20.8,0.4069,0.6678,0.544,0.5582,0.4828,0.5205,0.6774,0.4733,0.5753,0.3962,0.3713,0.3838
20.9,0.4055,0.6558,0.5513,0.5358,0.4914,0.5136,0.6698,0.4962,0.583,0.3826,0.3767,0.3797
21,0.3984,0.6406,0.5578,0.5143,0.5003,0.5073,0.6627,0.5216,0.5921,0.3763,0.3912,0.3838
21.1,0.3851,0.622,0.5636,0.4934,0.5093,0.5014,0.6556,0.5482,0.6019,0.3772,0.4143,0.3958
21.2,0.3658,0.6,0.5683,0.4727,0.518,0.4953,0.6477,0.5748,0.6113,0.3846,0.4449,0.4148
21.3,0.3415,0.5754,0.5718,0.452,0.5266,0.4893,0.6384,0.6004,0.6194,0.3978,0.4812,0.4395
21.4,0.3132,0.5494,0.5747,0.4315,0.5351,0.4833,0.6278,0.6244,0.6261,0.4158,0.521,0.4684
21.5,0.2816,0.5232,0.5782,0.4118,0.5437,0.4777,0.6168,0.6469,0.6319,0.4378,0.5627,0.5002
21.6,0.2469,0.4981,0.5832,0.3938,0.5526,0.4732,0.6062,0.6684,0.6373,0.4624,0.6046,0.5335
21.7,0.2105,0.475,0.5903,0.3786,0.5621,0.4703,0.5968,0.6887,0.6427,0.4882,0.645,0.5666
21.8,0.1751,0.455,0.5989,0.3676,0.5721,0.4699,0.5889,0.7066,0.6477,0.5131,0.6822,0.5977
21.9,0.1441,0.4386,0.6084,0.3619,0.582,0.472,0.5826,0.7215,0.652,0.5361,0.7145,0.6253
22,0.119,0.4257,0.6187,0.3612,0.5909,0.4761,0.5774,0.7332,0.6553,0.5566,0.741,0.6488
22.1,0.0995,0.4155,0.6295,0.3639,0.5979,0.4809,0.5726,0.7419,0.6573,0.5744,0.7613,0.6679
22.2,0.084,0.4073,0.6406,0.3675,0.6022,0.4848,0.5669,0.7479,0.6574,0.5892,0.7751,0.6822
22.3,0.0714,0.4006,0.6514,0.3694,0.6033,0.4864,0.5591,0.7505,0.6548,0.6007,0.7817,0.6912
22.4,0.0615,0.3949,0.6615,0.3683,0.6008,0.4845,0.5488,0.7498,0.6493,0.6087,0.7811,0.6949
22.5,0.0542,0.3902,0.6707,0.3639,0.5942,0.479,0.5364,0.7458,0.6411,0.6131,0.7738,0.6935
22.6,0.05,0.387,0.6795,0.3566,0.5828,0.4697,0.5219,0.7392,0.6306,0.6145,0.7609,0.6877
22.7,0.0493,0.3857,0.6879,0.3469,0.5665,0.4567,0.5054,0.7304,0.6179,0.6128,0.7437,0.6783
22.8,0.0526,0.3866,0.6961,0.3349,0.5454,0.4402,0.4862,0.7192,0.6027,0.6077,0.7229,0.6653
22.9,0.0602,0.3895,0.7042,0.3209,0.5202,0.4206,0.4641,0.7054,0.5847,0.5985,0.6992,0.6488
23,0.0723,0.3941,0.7122,0.3053,0.4909,0.3981,0.4392,0.6888,0.564,0.5854,0.673,0.6292
23.1,0.0888,0.3994,0.7202,0.2885,0.4578,0.3732,0.4125,0.6694,0.5409,0.569,0.6453,0.6072
23.2,0.1086,0.4049,0.728,0.2713,0.4215,0.3464,0.3856,0.6476,0.5166,0.5501,0.6171,0.5836
23.3,0.13,0.4095,0.7347,0.2544,0.3829,0.3187,0.3606,0.6237,0.4922,0.5294,0.5894,0.5594
23.4,0.1515,0.412,0.7398,0.2382,0.3431,0.2907,0.3393,0.5981,0.4687,0.5076,0.5629,0.5353
23.5,0.1709,0.4105,0.743,0.2217,0.3035,0.2626,0.3224,0.5712,0.4468,0.4853,0.5385,0.5119
23.6,0.1856,0.4027,0.744,0.2033,0.265,0.2341,0.3099,0.5432,0.4265,0.4635,0.5167,0.4901
23.7,0.1934,0.3869,0.7428,0.1817,0.2286,0.2052,0.3016,0.5146,0.4081,0.4428,0.4973,0.4701
23.8,0.1926,0.363,0.739,0.1564,0.1952,0.1758,0.2968,0.4854,0.3911,0.4239,0.48,0.4519
23.9,0.1825,0.3323,0.7328,0.1276,0.166,0.1468,0.2946,0.4559,0.3752,0.4068,0.4641,0.4355
24,0.1623,0.2967,0.7243,0.0959,0.1418,0.1188,0.2942,0.4262,0.3602,0.3917,0.4492,0.4204
24.1,0.1324,0.2585,0.7138,0.0621,0.1231,0.0926,0.2955,0.397,0.3462,0.3788,0.4349,0.4068
24.2,0.0946,0.2201,0.7015,0.0278,0.1102,0.069,0.2984,0.3693,0.3339,0.3679,0.4212,0.3946
24.3,0.0512,0.1841,0.6875,-0.0053,0.1032,0.0489,0.3031,0.3445,0.3238,0.3588,0.4085,0.3836
24.4,0.0056,0.1527,0.672,-0.0356,0.1026,0.0335,0.3093,0.3241,0.3167,0.3513,0.3966,0.3739
24.5,-0.0394,0.1274,0.6554,-0.0617,0.1089,0.0236,0.3167,0.3094,0.313,0.3447,0.3854,0.3651
24.6,-0.0817,0.109,0.6378,-0.0821,0.1226,0.0203,0.3247,0.301,0.3129,0.3386,0.3747,0.3566
24.7,-0.1196,0.098,0.6203,-0.0955,0.1432,0.0239,0.3326,0.2995,0.3161,0.3326,0.3644,0.3485
24.8,-0.1514,0.0943,0.6037,-0.1002,0.1696,0.0347,0.34,0.3049,0.3224,0.3263,0.3548,0.3406
24.9,-0.175,0.0982,0.5884,-0.0951,0.2006,0.0528,0.3459,0.3169,0.3314,0.32,0.3464,0.3332
25,-0.1889,0.1094,0.574,-0.0797,0.2351,0.0777,0.3499,0.3346,0.3423,0.3135,0.3397,0.3266
25.1,-0.1923,0.1271,0.5598,-0.0546,0.2719,0.1086,0.3522,0.3565,0.3543,0.3074,0.3355,0.3214
25.2,-0.1848,0.1508,0.5459,-0.0206,0.3102,0.1448,0.3533,0.3809,0.3671,0.302,0.3344,0.3182
25.3,-0.1667,0.1806,0.5327,0.022,0.3488,0.1854,0.3534,0.4064,0.3799,0.2982,0.3372,0.3177
25.4,-0.1406,0.2163,0.5206,0.0715,0.3872,0.2294,0.3525,0.4319,0.3922,0.2967,0.3449,0.3208
25.5,-0.1102,0.2581,0.5099,0.1254,0.4252,0.2753,0.35,0.4563,0.4032,0.298,0.3583,0.3282
25.6,-0.0788,0.3056,0.5004,0.181,0.4634,0.3222,0.3458,0.479,0.4124,0.3022,0.3788,0.3405
25.7,-0.0487,0.3583,0.4923,0.236,0.5026,0.3693,0.3407,0.4992,0.4199,0.3096,0.4073,0.3584
25.8,-0.0207,0.4157,0.4862,0.2893,0.5431,0.4162,0.3357,0.517,0.4264,0.3203,0.4445,0.3824
25.9,0.0044,0.477,0.482,0.3401,0.5845,0.4623,0.332,0.5325,0.4322,0.3341,0.4906,0.4124
26,0.0244,0.5408,0.4798,0.3871,0.6256,0.5064,0.3297,0.5458,0.4378,0.3504,0.5455,0.448
26.1,0.0364,0.6042,0.479,0.4285,0.6649,0.5467,0.3287,0.557,0.4429,0.3683,0.608,0.4882
26.2,0.0393,0.6642,0.4789,0.4634,0.7015,0.5825,0.329,0.5658,0.4474,0.387,0.676,0.5315
26.3,0.0349,0.7183,0.4789,0.4923,0.7355,0.6139,0.3308,0.5719,0.4514,0.4059,0.7464,0.5762
26.4,0.0264,0.7646,0.4788,0.5165,0.7675,0.642,0.3347,0.5754,0.455,0.4255,0.8164,0.6209
26.5,0.0168,0.8016,0.4788,0.5363,0.798,0.6672,0.3406,0.577,0.4588,0.4457,0.8831,0.6644
26.6,0.0079,0.8287,0.4793,0.5519,0.8267,0.6893,0.3484,0.5775,0.463,0.4666,0.9433,0.7049
26.7,0.0008,0.8457,0.4811,0.563,0.8532,0.7081,0.3572,0.5776,0.4674,0.4877,0.9941,0.7409
26.8,-0.0033,0.8533,0.485,0.5698,0.8772,0.7235,0.3665,0.5775,0.472,0.5089,1.0335,0.7712
26.9,-0.0035,0.8524,0.4918,0.573,0.8987,0.7358,0.3761,0.5774,0.4767,0.5302,1.061,0.7956
27,0.0013,0.8444,0.5016,0.574,0.9178,0.7459,0.3867,0.5774,0.4821,0.5518,1.0775,0.8146
27.1,0.0123,0.8303,0.5144,0.5744,0.9342,0.7543,0.3994,0.5778,0.4886,0.5733,1.084,0.8286
27.2,0.031,0.8111,0.5297,0.575,0.9469,0.761,0.4147,0.5788,0.4967,0.5942,1.0811,0.8376
27.3,0.0578,0.7875,0.5467,0.5764,0.955,0.7657,0.4326,0.5803,0.5064,0.614,1.0694,0.8417
27.4,0.0909,0.7605,0.5643,0.5784,0.9576,0.768,0.4538,0.583,0.5184,0.6329,1.0502,0.8415
27.5,0.1272,0.7318,0.5822,0.5813,0.9554,0.7683,0.4795,0.5884,0.534,0.6511,1.0262,0.8387
27.6,0.1633,0.7037,0.6002,0.5854,0.9493,0.7673,0.5102,0.5983,0.5542,0.6684,1,0.8342
27.7,0.1959,0.6778,0.6183,0.5904,0.9404,0.7654,0.5446,0.6132,0.5789,0.6845,0.9731,0.8288
27.8,0.2234,0.655,0.6365,0.5959,0.9292,0.7626,0.5804,0.6328,0.6066,0.6999,0.9467,0.8233
27.9,0.246,0.6348,0.6546,0.6012,0.9155,0.7584,0.6147,0.6553,0.635,0.7149,0.9215,0.8182
28,0.2652,0.6166,0.6717,0.6061,0.8989,0.7525,0.6456,0.6781,0.6618,0.7301,0.8981,0.8141
28.1,0.2823,0.5998,0.6873,0.6104,0.8793,0.7449,0.6724,0.699,0.6857,0.7455,0.8768,0.8111
28.2,0.2979,0.5846,0.7005,0.6139,0.8577,0.7358,0.6948,0.7167,0.7058,0.76,0.8574,0.8087
28.3,0.312,0.572,0.7106,0.6163,0.8353,0.7258,0.7127,0.7305,0.7216,0.7726,0.8392,0.8059
28.4,0.3249,0.5627,0.7173,0.618,0.8136,0.7158,0.7254,0.7407,0.733,0.7823,0.8216,0.802
28.5,0.3375,0.557,0.7209,0.6193,0.7928,0.7061,0.7325,0.7477,0.7401,0.7887,0.8045,0.7966
28.6,0.352,0.5545,0.7219,0.6203,0.7723,0.6963,0.7342,0.7518,0.743,0.7916,0.7872,0.7894
28.7,0.3707,0.5541,0.7206,0.6205,0.7507,0.6856,0.7304,0.7535,0.742,0.7906,0.7692,0.7799
28.8,0.3931,0.5543,0.7164,0.6184,0.7273,0.6728,0.7208,0.7532,0.737,0.7855,0.7502,0.7678
28.9,0.4171,0.554,0.7094,0.6131,0.7019,0.6575,0.7053,0.7515,0.7284,0.776,0.73,0.753
29,0.441,0.5533,0.6995,0.6046,0.6752,0.6399,0.6843,0.7486,0.7165,0.7621,0.709,0.7356
29.1,0.4643,0.553,0.6873,0.5943,0.6475,0.6209,0.6587,0.7449,0.7018,0.7441,0.6877,0.7159
29.2,0.4868,0.5533,0.6742,0.5831,0.6186,0.6009,0.6298,0.741,0.6854,0.7223,0.6668,0.6945
29.3,0.5076,0.5544,0.6616,0.5717,0.588,0.5799,0.5989,0.7375,0.6682,0.6969,0.647,0.672
29.4,0.5249,0.5558,0.651,0.5602,0.556,0.5581,0.5672,0.735,0.6511,0.6683,0.6296,0.649
29.5,0.5379,0.5573,0.6427,0.5497,0.5237,0.5367,0.5355,0.7337,0.6346,0.6375,0.6154,0.6265
29.6,0.5472,0.5591,0.6368,0.5411,0.4925,0.5168,0.505,0.734,0.6195,0.6053,0.6048,0.6051
29.7,0.554,0.5616,0.6333,0.5353,0.4632,0.4993,0.4767,0.7361,0.6064,0.5726,0.5982,0.5854
29.8,0.5592,0.5649,0.6324,0.5323,0.4355,0.4839,0.4516,0.7403,0.5959,0.54,0.5955,0.5677
29.9,0.5627,0.5694,0.6337,0.5322,0.4085,0.4703,0.4305,0.7461,0.5883,0.508,0.5968,0.5524
