Time,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC,AGL - The Apples 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1668,0.6571,0.7276,0.7031,0.778,0.7405,0.7806,0.7843,0.7824,0.4538,0.4452,0.4495
0.1,0.1233,0.626,0.7131,0.67,0.7359,0.703,0.7478,0.76,0.7539,0.461,0.4513,0.4561
0.2,0.0784,0.5966,0.6966,0.6368,0.6957,0.6663,0.716,0.7357,0.7258,0.4697,0.4613,0.4655
0.3,0.0335,0.5694,0.6789,0.604,0.6585,0.6313,0.6856,0.7118,0.6987,0.4803,0.4746,0.4775
0.4,-0.0095,0.5448,0.6601,0.5724,0.6253,0.5989,0.657,0.689,0.673,0.4926,0.4905,0.4916
0.5,-0.0498,0.5236,0.641,0.5433,0.5969,0.5701,0.6309,0.6677,0.6493,0.5066,0.508,0.5073
0.6,-0.0874,0.5058,0.6225,0.5178,0.5734,0.5456,0.6079,0.6483,0.6281,0.5215,0.5263,0.5239
0.7,-0.1228,0.4917,0.6054,0.4964,0.5549,0.5257,0.5885,0.6309,0.6097,0.5365,0.5444,0.5405
0.8,-0.1554,0.4813,0.5897,0.4791,0.5416,0.5103,0.5727,0.6154,0.5941,0.551,0.5616,0.5563
0.9,-0.1845,0.4748,0.5746,0.4655,0.5329,0.4992,0.5604,0.6015,0.581,0.5647,0.5777,0.5712
1,-0.2088,0.472,0.5591,0.4553,0.5284,0.4919,0.5516,0.5888,0.5702,0.5773,0.5925,0.5849
1.1,-0.2281,0.4731,0.5429,0.4484,0.5274,0.4879,0.5457,0.5775,0.5616,0.5885,0.606,0.5972
1.2,-0.2437,0.4776,0.5263,0.4441,0.529,0.4865,0.5422,0.5679,0.5551,0.5975,0.6174,0.6075
1.3,-0.257,0.4847,0.5097,0.4416,0.5321,0.4869,0.5402,0.5603,0.5502,0.604,0.626,0.615
1.4,-0.2686,0.4941,0.4937,0.4404,0.5357,0.4881,0.5395,0.5542,0.5469,0.6077,0.6314,0.6195
1.5,-0.278,0.5056,0.478,0.4402,0.5393,0.4898,0.5403,0.5492,0.5448,0.6086,0.6331,0.6208
1.6,-0.2845,0.5192,0.4625,0.4415,0.5426,0.4921,0.5432,0.5452,0.5442,0.6066,0.6307,0.6187
1.7,-0.2878,0.5348,0.4475,0.4441,0.5458,0.495,0.5485,0.5424,0.5454,0.6017,0.6239,0.6128
1.8,-0.2882,0.5516,0.4338,0.4478,0.549,0.4984,0.5563,0.5411,0.5487,0.5938,0.6126,0.6032
1.9,-0.2863,0.5687,0.4217,0.4519,0.5523,0.5021,0.5664,0.5416,0.554,0.5836,0.5971,0.5903
2,-0.2823,0.5856,0.4118,0.4563,0.5559,0.5061,0.5784,0.5443,0.5613,0.5715,0.5782,0.5749
2.1,-0.2756,0.6026,0.4043,0.462,0.5601,0.511,0.5923,0.5494,0.5709,0.5589,0.5575,0.5582
2.2,-0.266,0.6201,0.3997,0.4702,0.5653,0.5177,0.6081,0.5579,0.583,0.5472,0.5368,0.542
2.3,-0.2534,0.6383,0.3983,0.4811,0.5716,0.5263,0.6255,0.5704,0.598,0.5382,0.518,0.5281
2.4,-0.2378,0.6569,0.4006,0.4947,0.5783,0.5365,0.6441,0.5873,0.6157,0.5333,0.5026,0.518
2.5,-0.2196,0.6755,0.4064,0.5105,0.5852,0.5479,0.6634,0.6083,0.6359,0.5329,0.4914,0.5121
2.6,-0.1982,0.6937,0.4156,0.5282,0.5921,0.5602,0.6831,0.6331,0.6581,0.5364,0.4844,0.5104
2.7,-0.1721,0.7111,0.4288,0.5477,0.5987,0.5732,0.7033,0.6613,0.6823,0.5431,0.4815,0.5123
2.8,-0.1391,0.7276,0.447,0.569,0.6045,0.5868,0.7238,0.6927,0.7083,0.552,0.4824,0.5172
2.9,-0.099,0.7431,0.4712,0.5923,0.6095,0.6009,0.7443,0.7265,0.7354,0.5625,0.4867,0.5246
3,-0.0536,0.7579,0.5009,0.6172,0.6134,0.6153,0.7636,0.7611,0.7623,0.5736,0.4936,0.5336
3.1,-0.0052,0.772,0.5358,0.6428,0.6161,0.6294,0.7807,0.7943,0.7875,0.5841,0.5025,0.5433
3.2,0.0431,0.7854,0.575,0.6687,0.6172,0.643,0.7948,0.8245,0.8096,0.5925,0.5124,0.5524
3.3,0.0888,0.7982,0.618,0.6951,0.6168,0.656,0.8055,0.8511,0.8283,0.5976,0.5225,0.5601
3.4,0.1297,0.8104,0.6633,0.7223,0.6149,0.6686,0.8128,0.8735,0.8431,0.5988,0.5324,0.5656
3.5,0.1646,0.8221,0.7083,0.7501,0.6117,0.6809,0.8162,0.8911,0.8537,0.5956,0.5415,0.5685
3.6,0.1933,0.8327,0.7498,0.7781,0.6073,0.6927,0.8157,0.9029,0.8593,0.5877,0.5491,0.5684
3.7,0.216,0.8411,0.7853,0.8054,0.6018,0.7036,0.8115,0.9085,0.86,0.5748,0.5542,0.5645
3.8,0.2331,0.8469,0.8135,0.8313,0.5954,0.7133,0.804,0.9082,0.8561,0.5565,0.5561,0.5563
3.9,0.2442,0.8503,0.8346,0.8553,0.5881,0.7217,0.794,0.903,0.8485,0.5327,0.5542,0.5434
4,0.2484,0.8521,0.8487,0.8766,0.5807,0.7286,0.7823,0.894,0.8382,0.5032,0.5484,0.5258
4.1,0.2451,0.8529,0.8564,0.8946,0.5742,0.7344,0.7695,0.8823,0.8259,0.4689,0.5387,0.5038
4.2,0.2349,0.8531,0.8579,0.9088,0.5695,0.7391,0.7564,0.8687,0.8125,0.4306,0.5254,0.478
4.3,0.2193,0.853,0.8541,0.9187,0.5668,0.7428,0.7439,0.8538,0.7989,0.3895,0.5088,0.4492
4.4,0.1998,0.8529,0.8464,0.9244,0.5663,0.7453,0.733,0.8386,0.7858,0.3472,0.4896,0.4184
4.5,0.1773,0.853,0.8358,0.9257,0.5677,0.7467,0.7242,0.8237,0.7739,0.305,0.4686,0.3868
4.6,0.1526,0.8532,0.8231,0.9229,0.5711,0.747,0.7181,0.8096,0.7639,0.2642,0.447,0.3556
4.7,0.1267,0.8531,0.808,0.9161,0.5762,0.7462,0.7154,0.7962,0.7558,0.2261,0.4262,0.3262
4.8,0.1015,0.8523,0.7902,0.9058,0.5827,0.7443,0.7164,0.7834,0.7499,0.1918,0.4077,0.2997
4.9,0.0797,0.8508,0.7699,0.8933,0.5901,0.7417,0.7215,0.7712,0.7463,0.1623,0.3925,0.2774
5,0.0635,0.849,0.748,0.8796,0.5976,0.7386,0.7307,0.76,0.7454,0.1384,0.3814,0.2599
5.1,0.0539,0.8475,0.7254,0.8656,0.6047,0.7351,0.7441,0.7506,0.7473,0.1212,0.3751,0.2482
