Time,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC,Air BNB - Voicemail Islands 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.4609,0.7446,0.9141,0.6327,0.7642,0.6984,0.9086,0.8867,0.8976,1.201,0.7805,0.9908
0.1,0.3668,0.7498,0.9142,0.629,0.7898,0.7094,0.8678,0.8706,0.8692,1.1428,0.7643,0.9535
0.2,0.2743,0.7517,0.9159,0.6228,0.8095,0.7162,0.8281,0.8585,0.8433,1.0861,0.7516,0.9188
0.3,0.19,0.7526,0.9193,0.6149,0.8226,0.7188,0.7906,0.8498,0.8202,1.0328,0.7422,0.8875
0.4,0.1183,0.7539,0.9242,0.6066,0.8293,0.7179,0.7562,0.8438,0.8,0.9845,0.736,0.8603
0.5,0.0599,0.7563,0.9301,0.5987,0.831,0.7148,0.7253,0.8394,0.7824,0.942,0.7328,0.8374
0.6,0.0129,0.7589,0.9363,0.5912,0.8288,0.71,0.6981,0.8356,0.7668,0.9062,0.7326,0.8194
0.7,-0.0261,0.7613,0.9421,0.5837,0.8242,0.704,0.6744,0.8314,0.7529,0.8771,0.7353,0.8062
0.8,-0.0588,0.7636,0.9475,0.5763,0.8184,0.6974,0.6545,0.8267,0.7406,0.8538,0.7407,0.7973
0.9,-0.0852,0.7662,0.9528,0.5697,0.8119,0.6908,0.6389,0.8223,0.7306,0.8349,0.7484,0.7916
1,-0.1049,0.7692,0.9583,0.5644,0.8052,0.6848,0.6286,0.8188,0.7237,0.819,0.7583,0.7887
1.1,-0.119,0.7724,0.9635,0.5603,0.7986,0.6794,0.6242,0.8168,0.7205,0.8051,0.7705,0.7878
1.2,-0.13,0.7751,0.9678,0.5569,0.7922,0.6745,0.6264,0.816,0.7212,0.7927,0.7848,0.7887
1.3,-0.1394,0.7768,0.9704,0.5541,0.7862,0.6702,0.6351,0.8161,0.7256,0.7811,0.8008,0.791
1.4,-0.1471,0.7773,0.971,0.5519,0.7807,0.6663,0.6497,0.8173,0.7335,0.7703,0.8184,0.7943
