Time,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
1.7,-0.0797,0.5781,0.5943,0.404,0.3818,0.3929,0.5219,0.5273,0.5246,0.5259,0.5833,0.5546
1.8,-0.0481,0.5642,0.6139,0.3952,0.3778,0.3865,0.5229,0.5302,0.5266,0.5151,0.5875,0.5513
1.9,-0.0194,0.5501,0.6344,0.386,0.3751,0.3806,0.5226,0.5338,0.5282,0.5022,0.5888,0.5455
2,0.0071,0.5355,0.6558,0.3768,0.3728,0.3748,0.5212,0.5377,0.5295,0.4881,0.5874,0.5377
2.1,0.0324,0.5201,0.6778,0.3677,0.3698,0.3688,0.5192,0.5412,0.5302,0.474,0.5841,0.5291
2.2,0.0565,0.5046,0.7003,0.3589,0.3662,0.3626,0.5168,0.5439,0.5304,0.4615,0.5802,0.5209
2.3,0.0781,0.4905,0.7226,0.3512,0.3622,0.3567,0.5142,0.5457,0.53,0.4521,0.5766,0.5143
2.4,0.0953,0.4789,0.7445,0.345,0.3588,0.3519,0.5115,0.547,0.5293,0.4469,0.5738,0.5103
2.5,0.1074,0.4704,0.7664,0.3409,0.3566,0.3487,0.509,0.5484,0.5287,0.4465,0.5719,0.5092
2.6,0.1147,0.4652,0.7886,0.3394,0.3558,0.3476,0.5074,0.5503,0.5289,0.4515,0.5711,0.5113
2.7,0.1177,0.4635,0.8105,0.341,0.3571,0.349,0.5078,0.5529,0.5304,0.4624,0.572,0.5172
2.8,0.116,0.4658,0.8305,0.3462,0.3608,0.3535,0.5109,0.5557,0.5333,0.4798,0.5753,0.5275
2.9,0.109,0.4721,0.8469,0.3545,0.3674,0.361,0.5165,0.5586,0.5375,0.5036,0.5816,0.5426
3,0.0971,0.4821,0.8586,0.3654,0.3767,0.3711,0.5237,0.5615,0.5426,0.5331,0.5912,0.5622
3.1,0.0815,0.4954,0.8657,0.3782,0.3888,0.3835,0.5321,0.5645,0.5483,0.5674,0.6039,0.5857
3.2,0.0636,0.5115,0.8685,0.3931,0.4041,0.3986,0.5414,0.5677,0.5545,0.6053,0.6194,0.6123
3.3,0.0449,0.5296,0.8672,0.41,0.4233,0.4166,0.5515,0.5712,0.5614,0.6455,0.6366,0.641
3.4,0.026,0.548,0.8617,0.4279,0.4461,0.437,0.5622,0.5747,0.5684,0.6866,0.6537,0.6701
3.5,0.0079,0.5649,0.8525,0.4456,0.4712,0.4584,0.5729,0.5777,0.5753,0.7267,0.6696,0.6981
3.6,-0.0085,0.579,0.84,0.462,0.4968,0.4794,0.5835,0.5803,0.5819,0.7648,0.6843,0.7245
3.7,-0.0231,0.5899,0.8252,0.4763,0.522,0.4992,0.5946,0.5831,0.5888,0.8007,0.6983,0.7495
3.8,-0.0366,0.5975,0.8087,0.4881,0.5465,0.5173,0.6067,0.5868,0.5968,0.8347,0.7121,0.7734
3.9,-0.0497,0.6015,0.7911,0.4969,0.5704,0.5336,0.6204,0.5917,0.6061,0.8668,0.7256,0.7962
4,-0.0626,0.6015,0.7725,0.5026,0.5929,0.5478,0.6352,0.597,0.6161,0.8962,0.738,0.8171
4.1,-0.0747,0.5972,0.7527,0.5052,0.6131,0.5591,0.6503,0.6017,0.626,0.9222,0.7491,0.8356
4.2,-0.0859,0.5889,0.7321,0.505,0.6296,0.5673,0.6647,0.6056,0.6351,0.9442,0.7591,0.8517
4.3,-0.0965,0.577,0.7117,0.5022,0.6417,0.572,0.6784,0.6094,0.6439,0.9631,0.769,0.866
4.4,-0.1068,0.5621,0.6925,0.4971,0.6495,0.5733,0.6922,0.6137,0.6529,0.9793,0.7788,0.8791
4.5,-0.1164,0.5449,0.6755,0.4904,0.6531,0.5718,0.7061,0.6194,0.6627,0.9931,0.7881,0.8906
4.6,-0.124,0.5258,0.6613,0.4828,0.6533,0.5681,0.7198,0.6261,0.673,1.0037,0.7959,0.8998
4.7,-0.1285,0.5058,0.6506,0.4753,0.6501,0.5627,0.7328,0.6337,0.6832,1.0104,0.8011,0.9058
4.8,-0.129,0.4858,0.6441,0.4682,0.6441,0.5561,0.7445,0.6419,0.6932,1.0131,0.8035,0.9083
