Time,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC,Vodafone - Home of Trade-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
18.5,-0.0797,0.3434,0.5696,0.3349,0.5443,0.4396,0.4861,0.4356,0.4608,0.5824,0.5647,0.5735
18.6,-0.0609,0.3426,0.5765,0.34,0.538,0.439,0.4864,0.453,0.4697,0.6005,0.573,0.5868
18.7,-0.0401,0.3425,0.5821,0.3449,0.53,0.4375,0.4882,0.4711,0.4796,0.6192,0.5814,0.6003
18.8,-0.0176,0.3429,0.5863,0.3494,0.5204,0.4349,0.4911,0.4891,0.4901,0.6376,0.5891,0.6134
18.9,0.006,0.3439,0.5896,0.3529,0.5099,0.4314,0.4952,0.5065,0.5009,0.6551,0.596,0.6255
19,0.0299,0.3457,0.5924,0.3551,0.4995,0.4273,0.5004,0.523,0.5117,0.6712,0.6024,0.6368
19.1,0.0533,0.3484,0.594,0.3558,0.4899,0.4228,0.5071,0.5382,0.5227,0.6852,0.6081,0.6467
19.2,0.0747,0.3521,0.5938,0.3548,0.4813,0.4181,0.5154,0.5517,0.5335,0.6963,0.6123,0.6543
19.3,0.0925,0.3569,0.5915,0.3526,0.4742,0.4134,0.5251,0.5634,0.5442,0.7034,0.6144,0.6589
19.4,0.1054,0.3633,0.5871,0.3499,0.4692,0.4096,0.536,0.5734,0.5547,0.7066,0.6142,0.6604
19.5,0.1128,0.372,0.5815,0.3483,0.4673,0.4078,0.5484,0.5823,0.5653,0.7063,0.6124,0.6594
19.6,0.1142,0.384,0.5759,0.3488,0.4692,0.409,0.5622,0.5907,0.5764,0.7031,0.6098,0.6564
19.7,0.1098,0.3999,0.5715,0.3527,0.4753,0.414,0.5774,0.5995,0.5885,0.6978,0.607,0.6524
19.8,0.0998,0.4197,0.5692,0.3608,0.4861,0.4235,0.5937,0.61,0.6019,0.6911,0.6046,0.6479
19.9,0.085,0.4433,0.5693,0.3741,0.502,0.438,0.611,0.6228,0.6169,0.6834,0.6029,0.6431
20,0.0669,0.4706,0.5721,0.3928,0.5228,0.4578,0.6286,0.6381,0.6333,0.6746,0.602,0.6383
20.1,0.0468,0.5008,0.5771,0.4168,0.5473,0.482,0.6459,0.6555,0.6507,0.6647,0.6021,0.6334
20.2,0.0259,0.5324,0.5843,0.4448,0.5735,0.5092,0.6622,0.6742,0.6682,0.6537,0.6034,0.6285
20.3,0.0046,0.5636,0.5937,0.4758,0.5996,0.5377,0.6766,0.6933,0.6849,0.6418,0.6058,0.6238
20.4,-0.0169,0.5926,0.6053,0.5082,0.624,0.5661,0.6878,0.7118,0.6998,0.6287,0.6094,0.619
20.5,-0.0383,0.6182,0.6196,0.5406,0.646,0.5933,0.6952,0.7294,0.7123,0.6147,0.6138,0.6143
20.6,-0.0582,0.6397,0.6367,0.5716,0.6656,0.6186,0.6986,0.7466,0.7226,0.6,0.6194,0.6097
20.7,-0.0751,0.6563,0.6565,0.5993,0.6824,0.6408,0.6989,0.7636,0.7312,0.5853,0.6264,0.6059
20.8,-0.0881,0.6675,0.6784,0.6221,0.6964,0.6593,0.697,0.7804,0.7387,0.5713,0.6349,0.6031
20.9,-0.0973,0.6732,0.7017,0.6387,0.7077,0.6732,0.6938,0.7969,0.7454,0.5579,0.6443,0.6011
21,-0.1041,0.6736,0.7252,0.6483,0.7159,0.6821,0.6896,0.8122,0.7509,0.5451,0.6539,0.5995
21.1,-0.1099,0.6688,0.7476,0.6502,0.7203,0.6853,0.6842,0.8252,0.7547,0.5328,0.6624,0.5976
21.2,-0.115,0.6589,0.7673,0.6445,0.7204,0.6824,0.678,0.8346,0.7563,0.5215,0.6693,0.5954
21.3,-0.1193,0.6442,0.7831,0.6318,0.7159,0.6739,0.6713,0.8396,0.7554,0.5112,0.6745,0.5929
21.4,-0.1228,0.625,0.7942,0.6134,0.7073,0.6603,0.6642,0.8395,0.7518,0.5016,0.6782,0.5899
21.5,-0.1258,0.6018,0.8004,0.5905,0.6955,0.643,0.6568,0.8341,0.7455,0.4923,0.6801,0.5862
21.6,-0.1281,0.5749,0.8015,0.5643,0.6812,0.6227,0.6493,0.8237,0.7365,0.4829,0.6803,0.5816
21.7,-0.1289,0.5447,0.7977,0.5352,0.6649,0.6001,0.6421,0.809,0.7255,0.4733,0.6787,0.576
21.8,-0.127,0.5116,0.7893,0.5044,0.6472,0.5758,0.6357,0.7908,0.7133,0.4634,0.6751,0.5692
21.9,-0.1221,0.4768,0.7771,0.4734,0.6287,0.551,0.6306,0.7703,0.7005,0.4534,0.6695,0.5615
22,-0.1153,0.4417,0.762,0.4438,0.6102,0.527,0.6264,0.7484,0.6874,0.4434,0.662,0.5527
22.1,-0.1079,0.4073,0.7445,0.4167,0.5922,0.5044,0.6228,0.7255,0.6741,0.4332,0.6529,0.5431
22.2,-0.101,0.3744,0.7253,0.3919,0.5745,0.4832,0.6191,0.7025,0.6608,0.4224,0.6427,0.5325
22.3,-0.0948,0.3431,0.7048,0.369,0.5569,0.4629,0.6156,0.6803,0.6479,0.4112,0.6318,0.5215
22.4,-0.0891,0.3138,0.6835,0.3475,0.5388,0.4432,0.6124,0.6597,0.636,0.4004,0.6205,0.5105
22.5,-0.0832,0.2872,0.662,0.3278,0.5203,0.424,0.6097,0.6415,0.6256,0.391,0.6088,0.4999
22.6,-0.0771,0.2644,0.6411,0.3102,0.5015,0.4058,0.6075,0.6263,0.6169,0.384,0.5969,0.4905
22.7,-0.0704,0.2464,0.6219,0.2956,0.4827,0.3892,0.6053,0.6146,0.61,0.3805,0.5854,0.4829
22.8,-0.0624,0.2339,0.6055,0.2846,0.4643,0.3745,0.6028,0.6068,0.6048,0.3809,0.5755,0.4782
22.9,-0.0513,0.2269,0.593,0.2773,0.4467,0.362,0.5997,0.6028,0.6013,0.3851,0.5681,0.4766
23,-0.0353,0.2249,0.5849,0.2731,0.4299,0.3515,0.5958,0.6022,0.599,0.3925,0.5628,0.4777
23.1,-0.013,0.2269,0.5808,0.2715,0.4139,0.3427,0.5907,0.6045,0.5976,0.4022,0.5588,0.4805
23.2,0.0156,0.2319,0.5797,0.272,0.3993,0.3356,0.5848,0.6089,0.5968,0.4137,0.5553,0.4845
23.3,0.0497,0.2393,0.5801,0.2742,0.3863,0.3303,0.5783,0.6144,0.5963,0.4268,0.5516,0.4892
23.4,0.0878,0.2482,0.5807,0.2777,0.3751,0.3264,0.5714,0.6202,0.5958,0.4408,0.5478,0.4943
23.5,0.1282,0.2576,0.5805,0.2821,0.3654,0.3237,0.5641,0.6259,0.595,0.4547,0.5437,0.4992
23.6,0.1694,0.2668,0.5787,0.2874,0.3581,0.3228,0.5564,0.6308,0.5936,0.4676,0.5393,0.5034
23.7,0.21,0.275,0.5745,0.2945,0.3536,0.3241,0.5484,0.6342,0.5913,0.4791,0.5344,0.5067
23.8,0.2495,0.282,0.5671,0.3037,0.3522,0.328,0.5403,0.6351,0.5877,0.4893,0.5286,0.509
23.9,0.2874,0.2871,0.5566,0.3146,0.3536,0.3341,0.5324,0.6331,0.5828,0.4986,0.5216,0.5101
24,0.3219,0.2897,0.5431,0.3263,0.3565,0.3414,0.5249,0.6278,0.5764,0.5065,0.5132,0.5098
24.1,0.3514,0.2888,0.5269,0.3374,0.3594,0.3484,0.5179,0.6182,0.568,0.5127,0.5033,0.508
24.2,0.3754,0.2843,0.5078,0.3471,0.3609,0.354,0.5108,0.6037,0.5573,0.5169,0.4916,0.5042
24.3,0.3942,0.2768,0.4861,0.3554,0.3597,0.3576,0.5033,0.5848,0.544,0.5189,0.478,0.4984
24.4,0.4095,0.2671,0.4623,0.3626,0.3561,0.3593,0.4946,0.5626,0.5286,0.5191,0.4626,0.4908
24.5,0.4227,0.2563,0.437,0.3686,0.3507,0.3596,0.4849,0.5385,0.5117,0.5178,0.4456,0.4817
24.6,0.4345,0.2458,0.4113,0.374,0.3444,0.3592,0.4747,0.5141,0.4944,0.5154,0.4277,0.4716
24.7,0.4453,0.2365,0.3858,0.3793,0.3382,0.3588,0.4645,0.4909,0.4777,0.5119,0.4096,0.4608
24.8,0.4547,0.2296,0.3607,0.3851,0.3322,0.3586,0.4548,0.4698,0.4623,0.507,0.3914,0.4492
24.9,0.4617,0.2257,0.3363,0.3912,0.3264,0.3588,0.4456,0.4516,0.4486,0.5003,0.3726,0.4365
25,0.4648,0.2252,0.313,0.3973,0.3205,0.3589,0.437,0.4368,0.4369,0.4918,0.353,0.4224
25.1,0.4619,0.2291,0.2916,0.403,0.3145,0.3587,0.4297,0.4257,0.4277,0.4818,0.3325,0.4072
25.2,0.4509,0.2384,0.2728,0.4083,0.3085,0.3584,0.4238,0.4184,0.4211,0.4714,0.3119,0.3917
25.3,0.4297,0.2543,0.2568,0.4135,0.3028,0.3581,0.4189,0.4144,0.4167,0.4612,0.2917,0.3765
25.4,0.3967,0.2766,0.2438,0.4181,0.2976,0.3579,0.4142,0.4133,0.4137,0.4513,0.2727,0.362
25.5,0.3515,0.3044,0.2338,0.421,0.2936,0.3573,0.4093,0.4147,0.412,0.4419,0.2555,0.3487
25.6,0.2958,0.3355,0.2271,0.4208,0.2911,0.3559,0.4046,0.4189,0.4118,0.4334,0.2409,0.3372
25.7,0.233,0.368,0.2239,0.4166,0.2905,0.3536,0.4015,0.4263,0.4139,0.4272,0.2296,0.3284
25.8,0.1677,0.4005,0.2245,0.4092,0.2921,0.3507,0.4012,0.4367,0.419,0.4239,0.2222,0.323
25.9,0.1032,0.4322,0.2286,0.4001,0.2962,0.3482,0.4043,0.4493,0.4268,0.4233,0.2187,0.321
26,0.0413,0.4622,0.2359,0.3911,0.3028,0.347,0.4103,0.4633,0.4368,0.4248,0.2189,0.3219
26.1,-0.0163,0.4896,0.2457,0.3828,0.3117,0.3472,0.4183,0.4782,0.4482,0.4279,0.2228,0.3253
26.2,-0.0679,0.513,0.2575,0.3748,0.3223,0.3485,0.4281,0.4936,0.4608,0.4327,0.2301,0.3314
26.3,-0.1116,0.5312,0.2707,0.366,0.3338,0.3499,0.4398,0.5094,0.4746,0.4392,0.2403,0.3398
26.4,-0.1471,0.5437,0.2848,0.3559,0.3454,0.3506,0.4539,0.5257,0.4898,0.4477,0.2523,0.35
26.5,-0.1752,0.5507,0.2994,0.3445,0.3565,0.3505,0.4707,0.5426,0.5066,0.4583,0.2654,0.3619
26.6,-0.1975,0.5535,0.314,0.3325,0.367,0.3498,0.4904,0.56,0.5252,0.4712,0.2795,0.3754
26.7,-0.2155,0.5531,0.3283,0.3207,0.377,0.3488,0.5127,0.5778,0.5453,0.4862,0.2952,0.3907
26.8,-0.2306,0.5505,0.3427,0.3096,0.386,0.3478,0.5372,0.5959,0.5665,0.5029,0.3127,0.4078
26.9,-0.244,0.546,0.3575,0.2993,0.3939,0.3466,0.5633,0.614,0.5887,0.521,0.3317,0.4264
27,-0.2571,0.5394,0.373,0.2898,0.4003,0.345,0.5906,0.6317,0.6111,0.5398,0.3517,0.4458
27.1,-0.2711,0.5299,0.3895,0.2804,0.4043,0.3424,0.6185,0.6487,0.6336,0.5591,0.3721,0.4656
27.2,-0.2866,0.5174,0.4071,0.2706,0.4055,0.3381,0.6465,0.6652,0.6559,0.5787,0.3926,0.4857
27.3,-0.3032,0.5022,0.4263,0.2603,0.4039,0.3321,0.674,0.6817,0.6778,0.5986,0.4136,0.5061
27.4,-0.3201,0.4849,0.4479,0.25,0.4002,0.3251,0.7008,0.698,0.6994,0.6181,0.4356,0.5268
27.5,-0.3362,0.4666,0.4715,0.2409,0.395,0.318,0.7264,0.7142,0.7203,0.6368,0.4586,0.5477
27.6,-0.3508,0.4478,0.4965,0.234,0.3883,0.3111,0.7506,0.7296,0.7401,0.654,0.4818,0.5679
27.7,-0.3641,0.4293,0.5214,0.2299,0.3802,0.3051,0.773,0.7439,0.7584,0.6691,0.5044,0.5868
27.8,-0.3769,0.412,0.5455,0.2293,0.3716,0.3004,0.7934,0.7571,0.7752,0.6821,0.5263,0.6042
27.9,-0.3903,0.3968,0.5686,0.2328,0.3634,0.2981,0.8119,0.7691,0.7905,0.6924,0.5472,0.6198
28,-0.4055,0.3839,0.5904,0.241,0.3564,0.2987,0.8275,0.7794,0.8035,0.6995,0.5662,0.6328
28.1,-0.4227,0.3731,0.61,0.2535,0.3504,0.302,0.8392,0.7868,0.813,0.7019,0.5818,0.6418
28.2,-0.4409,0.3635,0.626,0.2693,0.3456,0.3074,0.8461,0.7892,0.8177,0.6986,0.5924,0.6455
28.3,-0.4584,0.3543,0.6374,0.2867,0.342,0.3143,0.8479,0.7853,0.8166,0.6898,0.598,0.6439
28.4,-0.4735,0.3446,0.6445,0.3046,0.3396,0.3221,0.8452,0.7746,0.8099,0.6766,0.5991,0.6379
28.5,-0.4846,0.3346,0.6486,0.3219,0.3385,0.3302,0.8383,0.7579,0.7981,0.6602,0.5967,0.6285
28.6,-0.4917,0.3247,0.6506,0.3377,0.3389,0.3383,0.8273,0.7361,0.7817,0.6407,0.5909,0.6158
28.7,-0.4954,0.3153,0.6508,0.3512,0.3408,0.346,0.8123,0.7107,0.7615,0.6179,0.5814,0.5996
28.8,-0.4965,0.3065,0.6492,0.3617,0.3441,0.3529,0.7934,0.6831,0.7382,0.592,0.5683,0.5802
28.9,-0.4948,0.2976,0.6459,0.369,0.3485,0.3588,0.7712,0.6548,0.713,0.5643,0.5526,0.5584
29,-0.4886,0.2884,0.6407,0.3731,0.3538,0.3634,0.7466,0.6264,0.6865,0.5362,0.5348,0.5355
29.1,-0.4763,0.2789,0.6333,0.3738,0.3592,0.3665,0.7203,0.5977,0.659,0.5093,0.5151,0.5122
29.2,-0.4577,0.2697,0.6241,0.372,0.365,0.3685,0.692,0.5684,0.6302,0.4844,0.4938,0.4891
29.3,-0.4329,0.262,0.6135,0.3683,0.3715,0.3699,0.6616,0.5388,0.6002,0.4628,0.4715,0.4671
29.4,-0.403,0.2558,0.6021,0.3626,0.3789,0.3707,0.6294,0.5101,0.5698,0.446,0.4495,0.4477
29.5,-0.3684,0.2501,0.5905,0.3537,0.3867,0.3702,0.5966,0.4831,0.5398,0.435,0.4291,0.432
29.6,-0.33,0.2434,0.5791,0.3403,0.3937,0.367,0.5645,0.4584,0.5114,0.4298,0.4106,0.4202
29.7,-0.29,0.2345,0.5683,0.3221,0.3985,0.3603,0.5345,0.4361,0.4853,0.4294,0.3941,0.4118
29.8,-0.2514,0.2228,0.5584,0.2998,0.4003,0.3501,0.508,0.4165,0.4623,0.433,0.3797,0.4064
29.9,-0.2164,0.209,0.5495,0.2752,0.3991,0.3372,0.4861,0.4004,0.4433,0.4404,0.3682,0.4043
