Time,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC,Gippsland Dairy - Plane 15 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0333,0.314,0.8269,0.4532,0.3878,0.4205,0.6075,0.5858,0.5967,0.7262,0.6978,0.712
0.1,-0.0068,0.2989,0.8039,0.4592,0.3719,0.4156,0.5986,0.5878,0.5932,0.7003,0.6673,0.6838
0.2,0.0159,0.2867,0.7824,0.4625,0.3556,0.409,0.5879,0.5917,0.5898,0.6735,0.638,0.6557
0.3,0.0349,0.2773,0.7632,0.4625,0.339,0.4007,0.5759,0.5976,0.5868,0.6468,0.6112,0.629
0.4,0.0512,0.2698,0.7463,0.4587,0.322,0.3903,0.5627,0.6045,0.5836,0.6212,0.5883,0.6048
0.5,0.0662,0.2635,0.7315,0.4511,0.3049,0.378,0.5483,0.6108,0.5796,0.5972,0.5699,0.5835
0.6,0.08,0.2582,0.7184,0.4402,0.2883,0.3643,0.533,0.6153,0.5742,0.5749,0.5557,0.5653
0.7,0.0917,0.254,0.7074,0.4266,0.273,0.3498,0.5175,0.6174,0.5675,0.5545,0.5458,0.5502
0.8,0.1007,0.251,0.699,0.411,0.2598,0.3354,0.5023,0.6177,0.56,0.5362,0.54,0.5381
0.9,0.1077,0.2495,0.6936,0.3944,0.2497,0.322,0.4882,0.6167,0.5524,0.5202,0.5378,0.529
1,0.1146,0.2499,0.691,0.3781,0.2429,0.3105,0.4757,0.615,0.5454,0.5066,0.5385,0.5226
1.1,0.1235,0.2521,0.69,0.3633,0.2391,0.3012,0.4653,0.6129,0.5391,0.4949,0.5411,0.518
1.2,0.1355,0.256,0.6897,0.3506,0.2375,0.2941,0.457,0.6099,0.5335,0.4845,0.5444,0.5145
1.3,0.151,0.2616,0.6899,0.3407,0.2378,0.2892,0.4511,0.6058,0.5284,0.4753,0.5475,0.5114
1.4,0.1686,0.2691,0.6904,0.3339,0.2404,0.2871,0.4476,0.6002,0.5239,0.4674,0.55,0.5087
1.5,0.186,0.2788,0.6907,0.3302,0.2463,0.2883,0.4471,0.5935,0.5203,0.4606,0.5515,0.5061
1.6,0.201,0.2907,0.6903,0.3296,0.2561,0.2928,0.4495,0.5859,0.5177,0.455,0.5519,0.5034
1.7,0.2125,0.3044,0.6886,0.3312,0.2695,0.3003,0.4545,0.5778,0.5162,0.4506,0.551,0.5008
1.8,0.2212,0.3193,0.6854,0.3343,0.2857,0.31,0.4611,0.5692,0.5151,0.4473,0.5491,0.4982
1.9,0.2284,0.3348,0.6812,0.3384,0.3042,0.3213,0.4686,0.5598,0.5142,0.445,0.5462,0.4956
2,0.2355,0.3506,0.6766,0.3434,0.3247,0.334,0.4764,0.5497,0.513,0.4435,0.5424,0.4929
2.1,0.2431,0.3664,0.6721,0.3496,0.347,0.3483,0.4843,0.5391,0.5117,0.4419,0.5376,0.4897
2.2,0.2507,0.382,0.6678,0.357,0.3708,0.3639,0.4921,0.529,0.5106,0.4394,0.5319,0.4857
2.3,0.2577,0.3976,0.6638,0.3655,0.3954,0.3805,0.4997,0.5201,0.5099,0.4357,0.5259,0.4808
2.4,0.2633,0.4129,0.6605,0.3746,0.4203,0.3975,0.5066,0.5129,0.5098,0.4312,0.5205,0.4758
2.5,0.2665,0.4275,0.6586,0.3834,0.4447,0.4141,0.5125,0.5074,0.51,0.4264,0.516,0.4712
