Time,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC,Woolworths Paris 2024 Olympics 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,0.2537,0.434,0.3757,0.3947,0.3636,0.3791,0.6051,0.4819,0.5435,0.4623,0.4337,0.448
4.5,0.1995,0.4084,0.3716,0.3706,0.3643,0.3675,0.6004,0.4758,0.5381,0.4743,0.4398,0.457
4.6,0.1413,0.3902,0.3714,0.3513,0.3698,0.3606,0.596,0.4725,0.5343,0.4861,0.4469,0.4665
4.7,0.0801,0.3805,0.3766,0.3377,0.3805,0.3591,0.5924,0.473,0.5327,0.4989,0.4553,0.4771
4.8,0.018,0.3793,0.3878,0.3304,0.396,0.3632,0.5894,0.4775,0.5335,0.5129,0.4642,0.4886
4.9,-0.0431,0.3863,0.4046,0.3298,0.4159,0.3729,0.587,0.4855,0.5363,0.5279,0.4726,0.5003
5,-0.1006,0.4015,0.4261,0.3365,0.4398,0.3882,0.5848,0.4965,0.5406,0.5436,0.4796,0.5116
5.1,-0.1515,0.4242,0.4509,0.3506,0.4663,0.4085,0.583,0.5097,0.5464,0.5602,0.4852,0.5227
5.2,-0.1936,0.4533,0.4776,0.3714,0.4937,0.4325,0.5816,0.5245,0.5531,0.578,0.4897,0.5338
5.3,-0.2256,0.4878,0.5053,0.3972,0.5203,0.4588,0.5808,0.5399,0.5604,0.5972,0.4936,0.5454
5.4,-0.2471,0.5269,0.5332,0.4268,0.5448,0.4858,0.5814,0.5554,0.5684,0.6177,0.4973,0.5575
5.5,-0.2583,0.5705,0.561,0.4587,0.5665,0.5126,0.5843,0.5709,0.5776,0.6393,0.5012,0.5702
5.6,-0.2602,0.6182,0.5889,0.4922,0.5852,0.5387,0.5901,0.5867,0.5884,0.6619,0.5055,0.5837
5.7,-0.2538,0.6685,0.6163,0.526,0.6012,0.5636,0.5989,0.603,0.6009,0.6853,0.5107,0.598
5.8,-0.2406,0.7199,0.6426,0.5585,0.6147,0.5866,0.6108,0.6197,0.6152,0.7092,0.5171,0.6132
5.9,-0.2226,0.7708,0.6676,0.5891,0.6264,0.6077,0.6256,0.637,0.6313,0.7328,0.5249,0.6288
6,-0.2021,0.8201,0.6909,0.6178,0.6373,0.6275,0.6438,0.6549,0.6494,0.7549,0.5344,0.6447
6.1,-0.1804,0.8668,0.7123,0.6447,0.6476,0.6462,0.6654,0.6735,0.6695,0.7746,0.5459,0.6602
6.2,-0.1577,0.9091,0.7306,0.6697,0.6572,0.6634,0.6895,0.6922,0.6909,0.7907,0.5592,0.675
6.3,-0.1344,0.9456,0.745,0.6921,0.6655,0.6788,0.7144,0.7104,0.7124,0.8024,0.5743,0.6883
6.4,-0.1109,0.9753,0.7558,0.7118,0.6727,0.6923,0.7391,0.7275,0.7333,0.809,0.5909,0.7
6.5,-0.0889,0.9984,0.7645,0.7291,0.6792,0.7042,0.7636,0.7435,0.7536,0.8107,0.6093,0.71
6.6,-0.0702,1.0149,0.7729,0.7435,0.6852,0.7143,0.7877,0.7583,0.773,0.8074,0.6295,0.7184
6.7,-0.0556,1.0243,0.7812,0.7535,0.6899,0.7217,0.8104,0.7714,0.7909,0.7991,0.6518,0.7255
6.8,-0.0447,1.0258,0.7884,0.7579,0.6922,0.7251,0.8292,0.7817,0.8055,0.7862,0.6762,0.7312
6.9,-0.0362,1.0188,0.7927,0.7563,0.6913,0.7238,0.8417,0.7888,0.8152,0.769,0.7023,0.7357
7,-0.0291,1.0037,0.7932,0.7499,0.6873,0.7186,0.8463,0.7928,0.8195,0.7479,0.7292,0.7386
7.1,-0.0228,0.9818,0.7896,0.7405,0.6815,0.711,0.842,0.794,0.818,0.7229,0.7556,0.7392
7.2,-0.0165,0.955,0.7828,0.7297,0.6754,0.7025,0.8286,0.7925,0.8106,0.6934,0.7796,0.7365
7.3,-0.009,0.9251,0.7733,0.7183,0.6697,0.694,0.8057,0.7879,0.7968,0.6592,0.7998,0.7295
7.4,0.0005,0.8928,0.7617,0.7064,0.6642,0.6853,0.7735,0.7797,0.7766,0.6213,0.8153,0.7183
7.5,0.0119,0.8588,0.748,0.6937,0.6585,0.6761,0.7332,0.7681,0.7507,0.582,0.826,0.704
7.6,0.0235,0.8235,0.7326,0.6802,0.6521,0.6661,0.6867,0.7535,0.7201,0.5448,0.8328,0.6888
7.7,0.0345,0.7877,0.7158,0.666,0.645,0.6555,0.6368,0.7362,0.6865,0.5128,0.8367,0.6748
7.8,0.0451,0.7517,0.6981,0.6514,0.6371,0.6442,0.5865,0.7167,0.6516,0.4882,0.839,0.6636
7.9,0.0565,0.716,0.6798,0.6366,0.6283,0.6324,0.538,0.6951,0.6165,0.4718,0.8398,0.6558
8,0.07,0.6807,0.6606,0.6213,0.6187,0.62,0.4929,0.6711,0.582,0.4629,0.8386,0.6507
8.1,0.0853,0.6461,0.64,0.6054,0.6088,0.6071,0.4524,0.645,0.5487,0.4604,0.8347,0.6476
8.2,0.1015,0.6129,0.6182,0.5895,0.6001,0.5948,0.4177,0.6176,0.5176,0.464,0.828,0.646
8.3,0.1176,0.5822,0.5956,0.5741,0.5945,0.5843,0.3896,0.5901,0.4899,0.4731,0.8185,0.6458
8.4,0.1334,0.5548,0.5733,0.56,0.5929,0.5765,0.3684,0.5639,0.4662,0.487,0.8072,0.6471
8.5,0.1488,0.5307,0.5519,0.5466,0.5948,0.5707,0.3535,0.5402,0.4468,0.5051,0.7951,0.6501
8.6,0.1633,0.51,0.5322,0.5335,0.5989,0.5662,0.3444,0.5197,0.4321,0.5261,0.7831,0.6546
8.7,0.1759,0.4925,0.5147,0.5205,0.6045,0.5625,0.3407,0.5029,0.4218,0.5481,0.7717,0.6599
8.8,0.1859,0.4782,0.4998,0.5081,0.6118,0.56,0.3418,0.49,0.4159,0.5692,0.7607,0.6649
8.9,0.1934,0.4672,0.488,0.4973,0.6225,0.5599,0.3473,0.4812,0.4142,0.5881,0.7497,0.6689
9,0.1992,0.4601,0.4796,0.4897,0.6379,0.5638,0.3567,0.477,0.4168,0.6044,0.7384,0.6714
9.1,0.2043,0.4573,0.4744,0.4862,0.6587,0.5724,0.3695,0.4775,0.4235,0.618,0.7265,0.6722
9.2,0.2095,0.4588,0.4724,0.487,0.6844,0.5857,0.3855,0.4826,0.4341,0.6293,0.714,0.6716
9.3,0.2147,0.4646,0.4726,0.4918,0.7137,0.6027,0.4042,0.4916,0.4479,0.6382,0.701,0.6696
9.4,0.2199,0.4744,0.4742,0.5,0.7449,0.6225,0.4244,0.5031,0.4638,0.6444,0.6873,0.6658
9.5,0.225,0.4883,0.4767,0.5111,0.7765,0.6438,0.4449,0.5162,0.4805,0.6475,0.6724,0.66
9.6,0.2301,0.5063,0.4802,0.5243,0.8071,0.6657,0.4645,0.5299,0.4972,0.6475,0.6561,0.6518
9.7,0.2352,0.5284,0.485,0.5388,0.8355,0.6872,0.4833,0.5435,0.5134,0.6446,0.6388,0.6417
9.8,0.2406,0.5534,0.4905,0.554,0.8601,0.707,0.5012,0.556,0.5286,0.6393,0.6209,0.6301
9.9,0.2469,0.5801,0.4953,0.5692,0.8789,0.724,0.5173,0.5663,0.5418,0.6316,0.6021,0.6169
10,0.2555,0.6063,0.4978,0.5833,0.8899,0.7366,0.5298,0.573,0.5514,0.6211,0.5818,0.6014
10.1,0.2674,0.6304,0.4969,0.5959,0.8919,0.7439,0.5372,0.5754,0.5563,0.6077,0.5593,0.5835
10.2,0.2828,0.6515,0.4928,0.6063,0.8849,0.7456,0.5393,0.5731,0.5562,0.5918,0.5347,0.5632
