Time,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.5,0.1191,0.53,0.4854,0.5503,0.4669,0.5086,0.4754,0.4624,0.4689,0.4606,0.5121,0.4863
4.6,0.1234,0.5374,0.4994,0.5587,0.4567,0.5077,0.4719,0.4545,0.4632,0.4457,0.5055,0.4756
4.7,0.1263,0.5464,0.5155,0.568,0.4479,0.508,0.4698,0.4494,0.4596,0.434,0.5016,0.4678
4.8,0.1269,0.5566,0.5331,0.5775,0.4412,0.5093,0.469,0.4471,0.4581,0.4257,0.5004,0.4631
4.9,0.1247,0.5675,0.5507,0.5864,0.4365,0.5115,0.4699,0.4472,0.4586,0.4212,0.5019,0.4616
5,0.1195,0.5788,0.5671,0.5945,0.434,0.5142,0.473,0.4499,0.4614,0.4203,0.5057,0.463
5.1,0.111,0.5901,0.5815,0.6018,0.4337,0.5177,0.4787,0.4549,0.4668,0.4227,0.5114,0.467
5.2,0.0998,0.6008,0.5932,0.6079,0.4355,0.5217,0.4867,0.4622,0.4744,0.4282,0.5181,0.4731
5.3,0.0863,0.6098,0.6017,0.6119,0.439,0.5254,0.4955,0.4707,0.4831,0.4366,0.5252,0.4809
5.4,0.0713,0.6161,0.6061,0.613,0.4437,0.5284,0.5039,0.4791,0.4915,0.4472,0.532,0.4896
5.5,0.0553,0.6193,0.6051,0.6112,0.4497,0.5304,0.5109,0.4862,0.4985,0.4591,0.5376,0.4983
5.6,0.0383,0.6192,0.5981,0.6067,0.457,0.5319,0.5164,0.4911,0.5038,0.4712,0.5413,0.5063
5.7,0.0201,0.6159,0.585,0.5998,0.4655,0.5327,0.5201,0.4934,0.5068,0.4824,0.5426,0.5125
5.8,0.001,0.6086,0.5655,0.5897,0.4748,0.5322,0.5212,0.4925,0.5068,0.4921,0.5409,0.5165
5.9,-0.018,0.5974,0.54,0.5755,0.4836,0.5296,0.5191,0.4881,0.5036,0.5002,0.5361,0.5182
6,-0.0355,0.5828,0.51,0.5575,0.4918,0.5247,0.5144,0.4807,0.4975,0.5072,0.5292,0.5182
6.1,-0.0507,0.5665,0.4772,0.5366,0.4995,0.5181,0.5081,0.4715,0.4898,0.5134,0.5213,0.5173
6.2,-0.0635,0.5494,0.4432,0.5144,0.5067,0.5105,0.501,0.4617,0.4813,0.5191,0.513,0.5161
6.3,-0.0744,0.5319,0.4095,0.4919,0.5134,0.5026,0.4936,0.4521,0.4729,0.5243,0.505,0.5147
6.4,-0.0837,0.5139,0.377,0.4699,0.5194,0.4947,0.4865,0.4436,0.465,0.5288,0.4974,0.5131
6.5,-0.0912,0.4957,0.347,0.4485,0.5249,0.4867,0.4804,0.4368,0.4586,0.5323,0.4905,0.5114
6.6,-0.0966,0.478,0.321,0.4281,0.53,0.4791,0.4763,0.4323,0.4543,0.5354,0.4849,0.5101
6.7,-0.0989,0.4618,0.3003,0.4091,0.5352,0.4722,0.475,0.4307,0.4528,0.5387,0.4815,0.5101
6.8,-0.0966,0.4476,0.2856,0.392,0.5401,0.466,0.4762,0.4318,0.454,0.5427,0.4808,0.5118
6.9,-0.0886,0.4356,0.2766,0.377,0.5441,0.4605,0.4793,0.4348,0.457,0.5474,0.4828,0.5151
7,-0.0746,0.4257,0.2729,0.3644,0.5466,0.4555,0.4834,0.4389,0.4612,0.5524,0.4871,0.5197
7.1,-0.0556,0.418,0.2739,0.3539,0.5479,0.4509,0.4881,0.4438,0.466,0.557,0.4936,0.5253
7.2,-0.0338,0.4125,0.279,0.3453,0.5485,0.4469,0.4928,0.4496,0.4712,0.5609,0.5018,0.5314
7.3,-0.0113,0.409,0.2877,0.3384,0.5491,0.4438,0.4968,0.4562,0.4765,0.5643,0.5116,0.538
7.4,0.0111,0.4074,0.3,0.3333,0.5503,0.4418,0.4997,0.4634,0.4816,0.5672,0.523,0.5451
7.5,0.0331,0.4081,0.3155,0.3303,0.5523,0.4413,0.5014,0.4714,0.4864,0.5696,0.5362,0.5529
7.6,0.0546,0.4115,0.3341,0.3295,0.5557,0.4426,0.5022,0.48,0.4911,0.5714,0.5516,0.5615
7.7,0.0755,0.418,0.3549,0.3312,0.5607,0.4459,0.5022,0.4894,0.4958,0.5727,0.5692,0.571
7.8,0.0951,0.4276,0.3774,0.3353,0.5672,0.4513,0.501,0.4994,0.5002,0.5734,0.5887,0.581
7.9,0.1127,0.4399,0.4008,0.3418,0.5754,0.4586,0.4984,0.51,0.5042,0.5731,0.6091,0.5911
8,0.1277,0.4546,0.4246,0.3508,0.5848,0.4678,0.4947,0.5213,0.508,0.5715,0.629,0.6003
8.1,0.14,0.4715,0.4485,0.3622,0.5951,0.4786,0.4902,0.5334,0.5118,0.568,0.6473,0.6077
8.2,0.1493,0.4906,0.4717,0.3761,0.6055,0.4908,0.4853,0.5461,0.5157,0.5621,0.6631,0.6126
8.3,0.1553,0.5113,0.4936,0.393,0.6156,0.5043,0.4802,0.5593,0.5197,0.5536,0.6756,0.6146
8.4,0.1579,0.5327,0.514,0.4134,0.6256,0.5195,0.4748,0.5728,0.5238,0.5427,0.6842,0.6135
8.5,0.1577,0.554,0.5326,0.4379,0.6356,0.5367,0.4687,0.5867,0.5277,0.5297,0.6884,0.6091
8.6,0.1553,0.5743,0.5491,0.4659,0.6454,0.5557,0.4614,0.6006,0.531,0.5149,0.6879,0.6014
8.7,0.1508,0.5929,0.563,0.497,0.6541,0.5755,0.4528,0.6138,0.5333,0.4983,0.6827,0.5905
8.8,0.144,0.6092,0.5736,0.5307,0.6609,0.5958,0.4434,0.6256,0.5345,0.4798,0.673,0.5764
8.9,0.1347,0.6229,0.5805,0.567,0.6656,0.6163,0.4338,0.6357,0.5348,0.4599,0.6591,0.5595
9,0.1236,0.6338,0.5839,0.6052,0.6686,0.6369,0.4248,0.6443,0.5345,0.4393,0.6412,0.5403
9.1,0.1113,0.6422,0.5843,0.6436,0.6709,0.6573,0.4168,0.6517,0.5343,0.419,0.6199,0.5194
9.2,0.0982,0.6487,0.5827,0.6803,0.6735,0.6769,0.4104,0.6582,0.5343,0.3996,0.5957,0.4977
9.3,0.0841,0.6538,0.5798,0.7133,0.6768,0.6951,0.4056,0.6642,0.5349,0.3814,0.5699,0.4757
9.4,0.0686,0.6578,0.5765,0.7407,0.6809,0.7108,0.4023,0.6694,0.5359,0.3646,0.5435,0.4541
9.5,0.0511,0.6602,0.5728,0.7604,0.6854,0.7229,0.4,0.6734,0.5367,0.3492,0.5174,0.4333
9.6,0.032,0.6599,0.568,0.7704,0.6891,0.7297,0.3977,0.6752,0.5364,0.3352,0.492,0.4136
9.7,0.0116,0.6561,0.5617,0.7697,0.6914,0.7305,0.3945,0.674,0.5342,0.3227,0.4676,0.3951
9.8,-0.0094,0.6489,0.554,0.7592,0.6918,0.7255,0.3899,0.669,0.5294,0.3115,0.445,0.3782
9.9,-0.031,0.639,0.5454,0.7409,0.6904,0.7156,0.3834,0.6599,0.5216,0.3017,0.4252,0.3635
10,-0.0536,0.6276,0.5363,0.7171,0.6875,0.7023,0.3748,0.6465,0.5106,0.2935,0.4093,0.3514
10.1,-0.0776,0.6153,0.527,0.6903,0.6831,0.6867,0.3644,0.6291,0.4968,0.2868,0.3974,0.3421
10.2,-0.1033,0.6023,0.5171,0.6622,0.6775,0.6698,0.3528,0.6085,0.4806,0.2814,0.3892,0.3353
10.3,-0.1316,0.5888,0.5066,0.634,0.6706,0.6523,0.3407,0.5855,0.4631,0.2775,0.3843,0.3309
10.4,-0.1631,0.5751,0.4957,0.6065,0.6624,0.6344,0.3289,0.5616,0.4452,0.275,0.3824,0.3287
10.5,-0.1972,0.5619,0.4848,0.5804,0.6529,0.6167,0.3179,0.5378,0.4279,0.2743,0.3837,0.329
10.6,-0.2325,0.5497,0.4744,0.5564,0.6418,0.5991,0.3081,0.515,0.4115,0.2756,0.3882,0.3319
10.7,-0.2664,0.5387,0.4647,0.5346,0.6287,0.5816,0.2996,0.4934,0.3965,0.279,0.3957,0.3373
10.8,-0.2965,0.5291,0.456,0.5148,0.6137,0.5643,0.2928,0.4737,0.3833,0.2846,0.4061,0.3454
10.9,-0.3216,0.5207,0.4484,0.4969,0.5966,0.5468,0.2879,0.4563,0.3721,0.2924,0.4192,0.3558
11,-0.3418,0.5135,0.4417,0.4804,0.5777,0.5291,0.285,0.4409,0.363,0.3023,0.4345,0.3684
11.1,-0.3579,0.5077,0.4359,0.4653,0.5575,0.5114,0.2843,0.4274,0.3558,0.3147,0.4516,0.3831
11.2,-0.3699,0.5031,0.4315,0.452,0.5366,0.4943,0.2856,0.4156,0.3506,0.3297,0.4699,0.3998
11.3,-0.3773,0.4997,0.4289,0.4408,0.5159,0.4783,0.2892,0.4057,0.3475,0.3474,0.4888,0.4181
11.4,-0.3797,0.4973,0.4284,0.4318,0.4961,0.4639,0.2951,0.3983,0.3467,0.3677,0.5077,0.4377
11.5,-0.3773,0.496,0.4299,0.4252,0.4777,0.4515,0.3031,0.3939,0.3485,0.3899,0.5261,0.458
11.6,-0.37,0.4955,0.4331,0.4214,0.4617,0.4416,0.3132,0.3927,0.3529,0.4137,0.5436,0.4786
11.7,-0.3578,0.4957,0.438,0.4205,0.4485,0.4345,0.3247,0.395,0.3599,0.4385,0.5599,0.4992
11.8,-0.3407,0.4964,0.4446,0.4223,0.4385,0.4304,0.3371,0.4008,0.369,0.4637,0.5751,0.5194
11.9,-0.3185,0.4975,0.4521,0.4263,0.4314,0.4289,0.3497,0.4097,0.3797,0.4883,0.589,0.5386
12,-0.2912,0.4991,0.4597,0.4325,0.427,0.4298,0.362,0.421,0.3915,0.5114,0.6014,0.5564
12.1,-0.2597,0.5013,0.4665,0.4413,0.4255,0.4334,0.374,0.4341,0.4041,0.5325,0.6122,0.5723
12.2,-0.2254,0.5042,0.4725,0.4529,0.4284,0.4406,0.3857,0.4491,0.4174,0.5511,0.6214,0.5863
12.3,-0.1897,0.5074,0.4784,0.467,0.4371,0.4521,0.3976,0.4665,0.432,0.5673,0.6295,0.5984
12.4,-0.1544,0.5105,0.4846,0.4828,0.4517,0.4672,0.4093,0.4863,0.4478,0.581,0.6368,0.6089
12.5,-0.1209,0.5128,0.4913,0.4989,0.4705,0.4847,0.4201,0.5078,0.4639,0.5924,0.6438,0.6181
12.6,-0.0905,0.5134,0.4978,0.514,0.4908,0.5024,0.429,0.5295,0.4793,0.6017,0.6504,0.626
12.7,-0.065,0.5117,0.5035,0.5267,0.5099,0.5183,0.4352,0.5498,0.4925,0.6087,0.6567,0.6327
12.8,-0.0452,0.5077,0.508,0.5366,0.5264,0.5315,0.4389,0.5672,0.5031,0.6138,0.6626,0.6382
12.9,-0.0313,0.5017,0.5111,0.5439,0.5399,0.5419,0.4406,0.5813,0.511,0.6172,0.6681,0.6426
13,-0.0235,0.4944,0.5129,0.5492,0.5506,0.5499,0.4413,0.5918,0.5166,0.6194,0.6734,0.6464
13.1,-0.0214,0.4869,0.514,0.5532,0.5589,0.5561,0.4419,0.5988,0.5204,0.621,0.6786,0.6498
13.2,-0.0241,0.4806,0.515,0.5569,0.565,0.561,0.4431,0.6029,0.523,0.6226,0.6837,0.6532
13.3,-0.0294,0.4764,0.5159,0.5606,0.5689,0.5648,0.4456,0.6048,0.5252,0.625,0.6888,0.6569
13.4,-0.0358,0.4748,0.5166,0.5633,0.5704,0.5669,0.4497,0.605,0.5274,0.6286,0.6932,0.6609
13.5,-0.0421,0.4753,0.5166,0.5635,0.5687,0.5661,0.4552,0.6039,0.5295,0.6337,0.6965,0.6651
13.6,-0.0479,0.4775,0.5162,0.5603,0.5633,0.5618,0.4617,0.6013,0.5315,0.6404,0.6985,0.6695
13.7,-0.0533,0.4813,0.5156,0.5538,0.5543,0.5541,0.4689,0.5976,0.5332,0.6487,0.6996,0.6742
13.8,-0.0573,0.4867,0.5157,0.5447,0.5422,0.5435,0.4765,0.5924,0.5345,0.6583,0.7003,0.6793
13.9,-0.0584,0.4942,0.5169,0.5344,0.5277,0.531,0.4844,0.5861,0.5352,0.6695,0.7009,0.6852
14,-0.0543,0.5047,0.5195,0.5242,0.5114,0.5178,0.4926,0.5789,0.5358,0.6825,0.7015,0.692
14.1,-0.044,0.5181,0.5236,0.5147,0.4942,0.5045,0.5009,0.5713,0.5361,0.6968,0.7018,0.6993
14.2,-0.0273,0.5338,0.5291,0.5063,0.477,0.4916,0.5083,0.5634,0.5358,0.7116,0.7015,0.7065
14.3,-0.0046,0.5506,0.5359,0.499,0.4604,0.4797,0.5141,0.5552,0.5346,0.7257,0.6997,0.7127
14.4,0.0234,0.5679,0.5436,0.4928,0.445,0.4689,0.5174,0.5469,0.5322,0.7384,0.6961,0.7172
14.5,0.0556,0.5853,0.5518,0.4884,0.4311,0.4597,0.518,0.5391,0.5285,0.7492,0.6899,0.7196
14.6,0.0908,0.6021,0.5603,0.4865,0.419,0.4528,0.5161,0.5323,0.5242,0.7579,0.6811,0.7195
14.7,0.1285,0.6185,0.5693,0.4879,0.4091,0.4485,0.5122,0.5272,0.5197,0.764,0.6698,0.7169
14.8,0.1681,0.6348,0.5783,0.4925,0.402,0.4472,0.5063,0.5236,0.515,0.7673,0.6562,0.7117
14.9,0.2092,0.6507,0.5867,0.5004,0.3979,0.4491,0.4984,0.5211,0.5098,0.7673,0.6406,0.704
15,0.2512,0.6658,0.5939,0.5116,0.3968,0.4542,0.4886,0.5199,0.5042,0.7643,0.6239,0.6941
15.1,0.2926,0.6798,0.5994,0.5259,0.3986,0.4622,0.4773,0.5203,0.4988,0.7585,0.6066,0.6825
15.2,0.3318,0.6926,0.6027,0.5426,0.403,0.4728,0.4655,0.5226,0.494,0.75,0.5892,0.6696
15.3,0.3674,0.7039,0.603,0.5609,0.4096,0.4852,0.4543,0.5264,0.4903,0.7394,0.5717,0.6555
15.4,0.3986,0.7134,0.5992,0.5802,0.4175,0.4989,0.4442,0.5314,0.4878,0.7268,0.5538,0.6403
15.5,0.4244,0.7202,0.5907,0.5997,0.426,0.5128,0.4358,0.5371,0.4865,0.7127,0.5356,0.6241
15.6,0.4425,0.7236,0.5778,0.6181,0.4342,0.5262,0.4295,0.5438,0.4866,0.6979,0.5177,0.6078
15.7,0.4507,0.7225,0.5618,0.6338,0.4413,0.5375,0.4259,0.5512,0.4886,0.683,0.501,0.592
15.8,0.4484,0.7169,0.5434,0.6452,0.4464,0.5458,0.425,0.559,0.492,0.6682,0.486,0.5771
