Time,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
20.1,0.0374,0.4974,0.4622,0.5869,0.4242,0.5055,0.3657,0.3834,0.3745,0.4971,0.4857,0.4914
20.2,0.0488,0.503,0.4592,0.5957,0.4212,0.5084,0.3885,0.3795,0.384,0.4958,0.4725,0.4842
20.3,0.0616,0.5095,0.4583,0.6038,0.4202,0.512,0.4154,0.376,0.3957,0.4974,0.4604,0.4789
20.4,0.0749,0.5172,0.4602,0.6107,0.4212,0.516,0.4453,0.3734,0.4094,0.5017,0.4499,0.4758
20.5,0.0871,0.5257,0.4653,0.616,0.4243,0.5201,0.4772,0.372,0.4246,0.5086,0.4419,0.4752
20.6,0.0971,0.5346,0.474,0.6195,0.4294,0.5245,0.5097,0.3714,0.4405,0.5178,0.4364,0.4771
20.7,0.1046,0.5429,0.4857,0.6208,0.4358,0.5283,0.5412,0.3706,0.4559,0.5289,0.4328,0.4808
20.8,0.1107,0.5499,0.4994,0.6192,0.4422,0.5307,0.5698,0.369,0.4694,0.5413,0.4307,0.486
20.9,0.1167,0.5552,0.5146,0.6138,0.4476,0.5307,0.5941,0.3661,0.4801,0.5547,0.4296,0.4921
21,0.1238,0.5585,0.5317,0.6044,0.4522,0.5283,0.6137,0.3623,0.488,0.569,0.4295,0.4992
21.1,0.1328,0.56,0.5513,0.5907,0.4566,0.5236,0.629,0.3585,0.4938,0.584,0.4308,0.5074
21.2,0.1436,0.5596,0.5732,0.5728,0.4611,0.517,0.641,0.3554,0.4982,0.5996,0.4338,0.5167
21.3,0.1554,0.5573,0.5965,0.5508,0.4662,0.5085,0.6498,0.3529,0.5013,0.6147,0.4384,0.5265
21.4,0.1672,0.5532,0.6195,0.5251,0.472,0.4986,0.6553,0.3509,0.5031,0.6284,0.4446,0.5365
21.5,0.1786,0.5478,0.6415,0.4969,0.4787,0.4878,0.6578,0.3496,0.5037,0.6401,0.4526,0.5464
21.6,0.1894,0.5414,0.6625,0.4673,0.4859,0.4766,0.6583,0.3496,0.5039,0.6497,0.4626,0.5562
21.7,0.1993,0.534,0.683,0.4375,0.4925,0.465,0.6572,0.3508,0.504,0.6576,0.4746,0.5661
21.8,0.2077,0.5254,0.7032,0.4084,0.4974,0.4529,0.6545,0.353,0.5037,0.6635,0.4883,0.5759
21.9,0.2131,0.5152,0.7232,0.3802,0.5,0.4401,0.6498,0.3555,0.5027,0.6671,0.5032,0.5851
22,0.2133,0.5033,0.7421,0.3529,0.501,0.4269,0.6427,0.358,0.5003,0.668,0.5189,0.5934
22.1,0.2065,0.4898,0.759,0.3266,0.5011,0.4138,0.6328,0.3603,0.4966,0.6663,0.5351,0.6007
22.2,0.1929,0.4751,0.773,0.3019,0.5011,0.4015,0.6206,0.3629,0.4918,0.6623,0.552,0.6072
22.3,0.1743,0.4603,0.7837,0.2795,0.5012,0.3903,0.607,0.366,0.4865,0.6568,0.5696,0.6132
22.4,0.153,0.4466,0.7913,0.2602,0.5022,0.3812,0.5931,0.3702,0.4817,0.6503,0.5878,0.619
22.5,0.1307,0.4352,0.7957,0.2447,0.5053,0.375,0.5795,0.376,0.4778,0.6431,0.6056,0.6244
22.6,0.1083,0.4268,0.7965,0.2332,0.5111,0.3722,0.5663,0.3834,0.4749,0.6354,0.6219,0.6287
22.7,0.0867,0.4213,0.7934,0.2261,0.519,0.3725,0.5534,0.3926,0.473,0.6273,0.6361,0.6317
22.8,0.0675,0.4187,0.7866,0.2238,0.5268,0.3753,0.541,0.4035,0.4722,0.6192,0.6482,0.6337
22.9,0.0527,0.4189,0.7769,0.2271,0.533,0.38,0.5297,0.4163,0.473,0.6118,0.6587,0.6353
23,0.0439,0.4224,0.7649,0.2368,0.5373,0.387,0.5201,0.4312,0.4757,0.6059,0.6681,0.637
23.1,0.0419,0.4297,0.7507,0.2536,0.5401,0.3968,0.5128,0.4481,0.4804,0.6021,0.6764,0.6392
23.2,0.0464,0.4407,0.7345,0.2772,0.5416,0.4094,0.5077,0.4665,0.4871,0.6007,0.6833,0.642
23.3,0.0565,0.4549,0.7166,0.3065,0.5416,0.424,0.505,0.4861,0.4955,0.6021,0.6891,0.6456
23.4,0.0714,0.4718,0.6985,0.3399,0.5396,0.4398,0.5045,0.5065,0.5055,0.6059,0.6942,0.6501
23.5,0.0906,0.4911,0.6815,0.3761,0.5366,0.4564,0.506,0.5279,0.5169,0.6117,0.6992,0.6555
23.6,0.1138,0.5129,0.6663,0.4138,0.5335,0.4737,0.509,0.5501,0.5296,0.6191,0.7043,0.6617
23.7,0.1408,0.5371,0.6529,0.4521,0.5312,0.4917,0.513,0.5726,0.5428,0.6278,0.7091,0.6684
23.8,0.1713,0.5628,0.6411,0.4904,0.5303,0.5103,0.5173,0.5946,0.556,0.6378,0.7132,0.6755
23.9,0.2039,0.5894,0.6316,0.5281,0.5308,0.5294,0.5219,0.6157,0.5688,0.6495,0.7168,0.6831
24,0.237,0.6157,0.6248,0.5643,0.5327,0.5485,0.527,0.6355,0.5813,0.663,0.7203,0.6917
24.1,0.2695,0.6408,0.6207,0.598,0.5358,0.5669,0.533,0.6544,0.5937,0.6787,0.7238,0.7013
24.2,0.3012,0.6638,0.6185,0.6281,0.5398,0.5839,0.5399,0.6728,0.6063,0.6968,0.7275,0.7121
24.3,0.3315,0.6847,0.6176,0.6546,0.5447,0.5997,0.5477,0.6907,0.6192,0.717,0.7312,0.7241
24.4,0.3597,0.7035,0.6173,0.6779,0.5507,0.6143,0.5563,0.7079,0.6321,0.7388,0.7349,0.7369
24.5,0.3846,0.7205,0.6172,0.6983,0.5575,0.6279,0.5657,0.7234,0.6445,0.7614,0.7388,0.7501
24.6,0.4052,0.7357,0.6169,0.7155,0.565,0.6403,0.5758,0.7366,0.6562,0.784,0.743,0.7635
24.7,0.4207,0.7488,0.6167,0.7293,0.5728,0.651,0.5861,0.7472,0.6666,0.8062,0.7476,0.7769
24.8,0.4312,0.7593,0.6166,0.7393,0.5803,0.6598,0.5964,0.7554,0.6759,0.8272,0.7524,0.7898
24.9,0.4365,0.7671,0.6169,0.7456,0.587,0.6663,0.6064,0.7617,0.6841,0.8466,0.7573,0.8019
25,0.4365,0.7728,0.6174,0.7484,0.5929,0.6707,0.6162,0.7664,0.6913,0.864,0.7621,0.813
25.1,0.4304,0.777,0.6177,0.748,0.5988,0.6734,0.6254,0.7696,0.6975,0.8788,0.7664,0.8226
25.2,0.4178,0.7799,0.6168,0.7444,0.6058,0.6751,0.6336,0.771,0.7023,0.8904,0.7694,0.8299
25.3,0.3982,0.7813,0.6136,0.7376,0.6145,0.6761,0.6406,0.77,0.7053,0.8985,0.7707,0.8346
25.4,0.372,0.7804,0.6075,0.728,0.6246,0.6763,0.6465,0.7663,0.7064,0.9032,0.77,0.8366
25.5,0.3401,0.7771,0.5985,0.7161,0.6355,0.6758,0.6518,0.7598,0.7058,0.905,0.7677,0.8364
25.6,0.304,0.7716,0.5869,0.7025,0.6467,0.6746,0.6572,0.7507,0.7039,0.9049,0.7644,0.8346
25.7,0.2648,0.7644,0.5736,0.6876,0.6582,0.6729,0.6629,0.7397,0.7013,0.903,0.7604,0.8317
25.8,0.223,0.7558,0.5589,0.6717,0.6699,0.6708,0.6691,0.7279,0.6985,0.8993,0.7559,0.8276
25.9,0.1785,0.7457,0.5433,0.655,0.6814,0.6682,0.675,0.7159,0.6954,0.8936,0.7508,0.8222
26,0.1316,0.7337,0.5271,0.6368,0.6918,0.6643,0.68,0.7042,0.6921,0.8863,0.7456,0.816
26.1,0.0836,0.7196,0.5109,0.6168,0.7001,0.6584,0.684,0.6926,0.6883,0.8782,0.7411,0.8096
26.2,0.0357,0.7034,0.495,0.5948,0.7065,0.6506,0.6868,0.681,0.6839,0.8699,0.7375,0.8037
26.3,-0.0105,0.6859,0.4796,0.5714,0.7117,0.6415,0.6882,0.6696,0.6789,0.8618,0.7348,0.7983
26.4,-0.0541,0.6678,0.4647,0.5473,0.7163,0.6318,0.6881,0.6585,0.6733,0.8536,0.7324,0.793
26.5,-0.0946,0.6493,0.4509,0.5228,0.7199,0.6214,0.6863,0.6476,0.6669,0.8451,0.7303,0.7877
26.6,-0.1313,0.6301,0.4389,0.4975,0.7214,0.6094,0.6823,0.6364,0.6594,0.8363,0.7286,0.7825
26.7,-0.1636,0.6099,0.4291,0.4708,0.72,0.5954,0.6758,0.6245,0.6502,0.8273,0.7274,0.7774
26.8,-0.1908,0.5887,0.4213,0.4434,0.7158,0.5796,0.6669,0.6116,0.6393,0.8184,0.7264,0.7724
26.9,-0.2131,0.5673,0.4154,0.4162,0.7091,0.5627,0.6561,0.5979,0.627,0.8099,0.7253,0.7676
27,-0.2317,0.5465,0.4113,0.3906,0.7003,0.5455,0.6441,0.5836,0.6139,0.8022,0.7239,0.763
27.1,-0.2478,0.5264,0.409,0.3674,0.689,0.5282,0.6313,0.5688,0.6,0.7953,0.7224,0.7588
27.2,-0.2619,0.5068,0.4087,0.3465,0.6748,0.5107,0.6178,0.5535,0.5857,0.7888,0.7207,0.7548
27.3,-0.274,0.4871,0.4103,0.328,0.6572,0.4926,0.6039,0.5375,0.5707,0.7817,0.7191,0.7504
27.4,-0.2833,0.4673,0.4131,0.3121,0.6361,0.4741,0.5898,0.5207,0.5553,0.7734,0.7174,0.7454
27.5,-0.2887,0.4476,0.4167,0.2995,0.6116,0.4555,0.5759,0.5035,0.5397,0.7633,0.7154,0.7393
27.6,-0.2892,0.4289,0.4209,0.2907,0.5843,0.4375,0.5626,0.4863,0.5244,0.7514,0.7132,0.7323
27.7,-0.2856,0.4121,0.4257,0.2854,0.5552,0.4203,0.55,0.4699,0.51,0.7374,0.7104,0.7239
27.8,-0.2794,0.3977,0.4311,0.2828,0.5257,0.4042,0.5381,0.4548,0.4964,0.7208,0.7069,0.7139
27.9,-0.2725,0.3857,0.437,0.282,0.4966,0.3893,0.5268,0.4412,0.484,0.7014,0.7029,0.7022
28,-0.2665,0.3755,0.443,0.2825,0.4685,0.3755,0.5164,0.4297,0.473,0.6795,0.6986,0.6891
28.1,-0.2623,0.3668,0.4483,0.2841,0.4413,0.3627,0.5066,0.4201,0.4634,0.6555,0.6939,0.6747
28.2,-0.2598,0.359,0.4521,0.2867,0.4148,0.3508,0.4975,0.4124,0.4549,0.6299,0.6884,0.6591
28.3,-0.2585,0.3523,0.4536,0.2907,0.3892,0.3399,0.489,0.4062,0.4476,0.6033,0.6819,0.6426
28.4,-0.2583,0.3467,0.4526,0.2961,0.3651,0.3306,0.4811,0.4014,0.4413,0.5766,0.6742,0.6254
28.5,-0.2594,0.342,0.449,0.3028,0.3432,0.323,0.4744,0.3977,0.4361,0.5507,0.6656,0.6081
28.6,-0.2622,0.3382,0.4431,0.3107,0.3237,0.3172,0.4691,0.3951,0.4321,0.5265,0.6563,0.5914
28.7,-0.2665,0.3355,0.4351,0.3194,0.3065,0.313,0.4655,0.3937,0.4296,0.5052,0.647,0.5761
28.8,-0.2718,0.3339,0.4257,0.3284,0.2915,0.31,0.4635,0.3936,0.4286,0.4873,0.6378,0.5625
28.9,-0.2777,0.3335,0.4158,0.3372,0.2792,0.3082,0.463,0.3954,0.4292,0.4727,0.6287,0.5507
29,-0.2837,0.3343,0.4062,0.3454,0.2708,0.3081,0.4634,0.3992,0.4313,0.461,0.6195,0.5402
29.1,-0.2889,0.3361,0.3977,0.3529,0.2671,0.31,0.4648,0.4048,0.4348,0.4515,0.61,0.5308
29.2,-0.2925,0.3382,0.3906,0.3601,0.2684,0.3142,0.4674,0.4115,0.4395,0.4443,0.6005,0.5224
29.3,-0.2936,0.3401,0.3848,0.367,0.274,0.3205,0.4711,0.4187,0.4449,0.4394,0.5907,0.5151
29.4,-0.2909,0.3407,0.3801,0.3735,0.2831,0.3283,0.476,0.4255,0.4507,0.4367,0.5807,0.5087
29.5,-0.2834,0.3395,0.3764,0.38,0.2946,0.3373,0.4821,0.4319,0.457,0.4359,0.57,0.503
29.6,-0.2704,0.3366,0.3744,0.3866,0.3077,0.3471,0.4895,0.4382,0.4639,0.4368,0.5587,0.4978
29.7,-0.251,0.3324,0.3749,0.3937,0.3215,0.3576,0.4981,0.4449,0.4715,0.4394,0.5473,0.4934
29.8,-0.2246,0.3275,0.3786,0.4021,0.3349,0.3685,0.508,0.4521,0.4801,0.4442,0.537,0.4906
29.9,-0.1915,0.3223,0.3862,0.4115,0.347,0.3792,0.5195,0.4598,0.4897,0.4519,0.529,0.4905
