Time,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC,Cash Rewards - Fish 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
21.8,0.1099,0.8627,0.933,0.7191,0.5979,0.6585,0.7495,0.7049,0.7272,1.0613,1.1956,1.1284
21.9,0.1003,0.8697,0.949,0.7056,0.6097,0.6576,0.7435,0.6987,0.7211,1.0576,1.1931,1.1253
22,0.088,0.8736,0.9662,0.6934,0.6219,0.6576,0.7386,0.6942,0.7164,1.0531,1.1889,1.121
22.1,0.0728,0.8744,0.9835,0.6822,0.634,0.6581,0.7344,0.6914,0.7129,1.0475,1.1825,1.115
22.2,0.0555,0.8724,1,0.6713,0.646,0.6587,0.7309,0.6906,0.7107,1.0401,1.174,1.1071
22.3,0.037,0.8681,1.0157,0.6608,0.6575,0.6591,0.7278,0.6922,0.71,1.0307,1.1637,1.0972
22.4,0.0185,0.8618,1.0306,0.6508,0.6682,0.6595,0.725,0.6964,0.7107,1.019,1.1518,1.0854
22.5,0.0011,0.8539,1.0444,0.6419,0.6777,0.6598,0.7223,0.7034,0.7128,1.0051,1.1386,1.0718
22.6,-0.0143,0.8445,1.0568,0.6342,0.6856,0.6599,0.7194,0.7126,0.716,0.9889,1.1239,1.0564
22.7,-0.0274,0.8343,1.0672,0.6279,0.692,0.6599,0.7164,0.7238,0.7201,0.9703,1.1073,1.0388
22.8,-0.0379,0.8244,1.0752,0.6229,0.697,0.6599,0.713,0.7364,0.7247,0.9491,1.0885,1.0188
22.9,-0.046,0.8156,1.0807,0.6193,0.7008,0.66,0.7092,0.7501,0.7297,0.9249,1.0674,0.9961
23,-0.0518,0.8083,1.0835,0.617,0.7036,0.6603,0.7048,0.7645,0.7347,0.8974,1.0436,0.9705
23.1,-0.0562,0.8029,1.0838,0.6161,0.7057,0.6609,0.6997,0.779,0.7394,0.8668,1.0175,0.9422
23.2,-0.0606,0.7997,1.0817,0.6169,0.7073,0.6621,0.6938,0.7937,0.7438,0.8338,0.9894,0.9116
23.3,-0.0654,0.7991,1.0777,0.6199,0.709,0.6644,0.6875,0.8087,0.7481,0.7993,0.9601,0.8797
23.4,-0.0709,0.8011,1.0721,0.6252,0.7115,0.6683,0.681,0.8239,0.7524,0.7647,0.9306,0.8476
23.5,-0.0772,0.8052,1.0651,0.6324,0.7148,0.6736,0.6746,0.8387,0.7566,0.7311,0.9018,0.8165
23.6,-0.0838,0.8106,1.0562,0.6406,0.7189,0.6797,0.668,0.8521,0.7601,0.6995,0.8743,0.7869
23.7,-0.0907,0.817,1.0452,0.6493,0.7231,0.6862,0.6613,0.8632,0.7622,0.6706,0.8482,0.7594
23.8,-0.0978,0.8243,1.0327,0.6587,0.7276,0.6932,0.6545,0.8716,0.763,0.645,0.8239,0.7344
23.9,-0.1052,0.8326,1.0199,0.6691,0.7326,0.7009,0.6482,0.8775,0.7629,0.6234,0.8022,0.7128
24,-0.1126,0.8418,1.0079,0.6805,0.7377,0.7091,0.6429,0.8811,0.762,0.6067,0.7842,0.6955
24.1,-0.1195,0.8503,0.9974,0.6917,0.742,0.7169,0.6388,0.8814,0.7601,0.5956,0.7708,0.6832
24.2,-0.1252,0.8567,0.988,0.7012,0.7444,0.7228,0.6361,0.8776,0.7569,0.5902,0.762,0.6761
24.3,-0.1288,0.8594,0.9795,0.7077,0.7441,0.7259,0.6351,0.869,0.7521,0.5907,0.7581,0.6744
24.4,-0.1301,0.8582,0.9718,0.7105,0.7413,0.7259,0.6364,0.8559,0.7461,0.5972,0.7589,0.678
24.5,-0.1287,0.8534,0.965,0.7096,0.7365,0.7231,0.6404,0.8389,0.7397,0.6096,0.7645,0.6871
24.6,-0.1247,0.8454,0.9591,0.7052,0.7302,0.7177,0.6474,0.819,0.7332,0.6276,0.7747,0.7011
24.7,-0.1184,0.8343,0.9536,0.6975,0.7225,0.71,0.657,0.7968,0.7269,0.6504,0.7884,0.7194
24.8,-0.1102,0.8203,0.9483,0.6868,0.7136,0.7002,0.6685,0.7731,0.7208,0.6765,0.8048,0.7407
24.9,-0.1002,0.8034,0.943,0.6734,0.7041,0.6887,0.6814,0.7491,0.7152,0.7052,0.8229,0.764
25,-0.0879,0.7841,0.938,0.6579,0.6948,0.6763,0.6954,0.7262,0.7108,0.7357,0.8419,0.7888
25.1,-0.0733,0.7627,0.9333,0.6415,0.6861,0.6638,0.7102,0.7053,0.7078,0.7675,0.8611,0.8143
25.2,-0.0566,0.7397,0.9288,0.6255,0.6782,0.6518,0.7248,0.687,0.7059,0.7995,0.8795,0.8395
25.3,-0.0379,0.7158,0.9241,0.6109,0.671,0.641,0.738,0.6714,0.7047,0.8302,0.8964,0.8633
25.4,-0.0175,0.6922,0.919,0.5985,0.6647,0.6316,0.7492,0.6586,0.7039,0.858,0.9111,0.8846
25.5,0.0042,0.67,0.9135,0.5888,0.6593,0.624,0.7581,0.6486,0.7033,0.8816,0.9238,0.9027
25.6,0.0268,0.6503,0.9078,0.5821,0.6544,0.6183,0.7642,0.6413,0.7027,0.9003,0.9346,0.9174
25.7,0.0504,0.6337,0.902,0.5789,0.6494,0.6141,0.7669,0.6361,0.7015,0.9138,0.9435,0.9286
25.8,0.0751,0.6207,0.896,0.5793,0.644,0.6117,0.7656,0.6325,0.699,0.9219,0.95,0.936
25.9,0.1015,0.6123,0.8892,0.5831,0.6386,0.6108,0.7598,0.6297,0.6948,0.9244,0.9534,0.9389
26,0.1302,0.609,0.8814,0.5899,0.6336,0.6118,0.7494,0.6277,0.6886,0.9212,0.953,0.9371
26.1,0.1611,0.6112,0.8726,0.5996,0.6294,0.6145,0.735,0.6266,0.6808,0.9124,0.949,0.9307
26.2,0.1936,0.6184,0.8636,0.612,0.6252,0.6186,0.7172,0.6268,0.672,0.8987,0.9422,0.9204
26.3,0.2261,0.6298,0.8557,0.6269,0.6206,0.6237,0.697,0.6285,0.6627,0.8811,0.9338,0.9074
26.4,0.2564,0.6447,0.8497,0.6434,0.6157,0.6296,0.6751,0.6325,0.6538,0.861,0.9251,0.8931
26.5,0.2825,0.6623,0.8464,0.661,0.6116,0.6363,0.6527,0.6392,0.646,0.8405,0.9169,0.8787
26.6,0.3026,0.6816,0.8456,0.6789,0.6095,0.6442,0.6309,0.6491,0.64,0.821,0.9095,0.8653
26.7,0.3156,0.7015,0.8471,0.6966,0.6098,0.6532,0.6107,0.6618,0.6362,0.8033,0.9027,0.853
26.8,0.3204,0.7205,0.8504,0.7129,0.6116,0.6623,0.5924,0.6765,0.6344,0.7872,0.8959,0.8416
26.9,0.3164,0.7379,0.8549,0.727,0.6138,0.6704,0.5759,0.6924,0.6342,0.7723,0.8884,0.8304
27,0.3038,0.7534,0.86,0.7378,0.6158,0.6768,0.5619,0.7089,0.6354,0.7586,0.8796,0.8191
27.1,0.2835,0.7672,0.8657,0.7452,0.6181,0.6816,0.5514,0.7263,0.6388,0.7469,0.8696,0.8082
27.2,0.2567,0.779,0.8724,0.7488,0.6205,0.6847,0.5458,0.7447,0.6452,0.7383,0.8589,0.7986
27.3,0.2252,0.7878,0.8802,0.7478,0.6221,0.6849,0.5457,0.7636,0.6546,0.7336,0.8475,0.7906
27.4,0.1906,0.7925,0.8889,0.7405,0.6205,0.6805,0.5507,0.7818,0.6662,0.7325,0.8352,0.7838
27.5,0.1548,0.792,0.8975,0.7254,0.6139,0.6696,0.5597,0.7981,0.6789,0.734,0.8212,0.7776
27.6,0.1198,0.7857,0.9047,0.7025,0.601,0.6518,0.5717,0.8116,0.6916,0.7371,0.8055,0.7713
27.7,0.088,0.7735,0.9097,0.6729,0.5822,0.6276,0.5856,0.8217,0.7037,0.7414,0.7888,0.7651
27.8,0.0608,0.7557,0.9118,0.6383,0.5586,0.5985,0.6005,0.8286,0.7145,0.7464,0.7719,0.7592
27.9,0.0392,0.7326,0.9109,0.6007,0.5315,0.5661,0.6153,0.8321,0.7237,0.7515,0.7557,0.7536
28,0.0239,0.705,0.9068,0.5619,0.502,0.5319,0.6293,0.8325,0.7309,0.7564,0.7408,0.7486
28.1,0.0148,0.6742,0.8996,0.5237,0.4714,0.4976,0.642,0.8297,0.7359,0.7607,0.7275,0.7441
28.2,0.0115,0.6417,0.8895,0.4883,0.441,0.4646,0.6536,0.824,0.7388,0.7647,0.7161,0.7404
28.3,0.013,0.6089,0.8771,0.4572,0.4123,0.4347,0.6642,0.8158,0.74,0.7687,0.7074,0.738
28.4,0.0181,0.5768,0.8627,0.4313,0.3864,0.4089,0.6738,0.8052,0.7395,0.773,0.7014,0.7372
28.5,0.0254,0.5462,0.8465,0.4109,0.3642,0.3875,0.6826,0.7928,0.7377,0.7775,0.6983,0.7379
28.6,0.0339,0.5176,0.8288,0.3958,0.3464,0.3711,0.6904,0.7791,0.7348,0.782,0.6975,0.7397
28.7,0.0425,0.4915,0.8097,0.386,0.3337,0.3599,0.698,0.765,0.7315,0.786,0.6984,0.7422
28.8,0.0501,0.4686,0.7898,0.3809,0.3266,0.3538,0.706,0.7509,0.7284,0.7898,0.7006,0.7452
28.9,0.0555,0.4494,0.7694,0.38,0.3252,0.3526,0.7148,0.7369,0.7259,0.7933,0.7037,0.7485
29,0.0577,0.4346,0.749,0.3829,0.3294,0.3562,0.7244,0.723,0.7237,0.7968,0.7071,0.7519
29.1,0.0573,0.4244,0.7283,0.3894,0.3394,0.3644,0.7346,0.7088,0.7217,0.8002,0.7104,0.7553
29.2,0.0549,0.4193,0.707,0.3997,0.355,0.3774,0.7452,0.6945,0.7199,0.8033,0.713,0.7582
29.3,0.0507,0.419,0.6848,0.4133,0.3758,0.3946,0.7563,0.6802,0.7183,0.8061,0.7149,0.7605
29.4,0.0447,0.4227,0.6616,0.4298,0.4005,0.4151,0.7681,0.6662,0.7171,0.8087,0.7161,0.7624
29.5,0.0367,0.4301,0.638,0.4484,0.4277,0.4381,0.7804,0.6525,0.7165,0.8118,0.7172,0.7645
29.6,0.0273,0.441,0.6146,0.4685,0.4567,0.4626,0.7933,0.6395,0.7164,0.8159,0.719,0.7674
29.7,0.0172,0.456,0.5917,0.4897,0.4871,0.4884,0.8064,0.6271,0.7168,0.8214,0.7217,0.7716
29.8,0.0075,0.4753,0.5697,0.5114,0.5192,0.5153,0.8193,0.6153,0.7173,0.8285,0.7254,0.777
29.9,-0.0008,0.4988,0.5483,0.5331,0.5522,0.5427,0.8313,0.6037,0.7175,0.8369,0.7293,0.7831
