Time,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian,Panadol - Karina & Brian
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2232,0.6419,0.7534,0.5905,0.6527,0.6216,0.7557,0.6069,0.6813,0.7068,0.7261,0.7165
0.1,-0.1561,0.6523,0.7355,0.6112,0.6591,0.6351,0.7472,0.6174,0.6823,0.7098,0.7332,0.7215
0.2,-0.0842,0.6607,0.7185,0.6299,0.6621,0.646,0.7401,0.6286,0.6843,0.712,0.7367,0.7244
0.3,-0.0092,0.6669,0.702,0.6467,0.6618,0.6542,0.7353,0.6401,0.6877,0.7128,0.7362,0.7245
0.4,0.0666,0.6711,0.6861,0.6619,0.6584,0.6601,0.7334,0.6516,0.6925,0.7115,0.7315,0.7215
0.5,0.1401,0.6739,0.6717,0.676,0.6524,0.6642,0.7346,0.663,0.6988,0.708,0.7226,0.7153
0.6,0.2084,0.6756,0.6592,0.689,0.6445,0.6667,0.7386,0.6744,0.7065,0.7027,0.7096,0.7061
0.7,0.2695,0.6769,0.6487,0.7,0.6353,0.6676,0.7444,0.6853,0.7149,0.6957,0.6929,0.6943
0.8,0.3215,0.6782,0.6401,0.7085,0.6256,0.667,0.7512,0.6955,0.7233,0.6873,0.6731,0.6802
0.9,0.3628,0.6799,0.6335,0.7145,0.6167,0.6656,0.7578,0.7046,0.7312,0.6775,0.6513,0.6644
1,0.3929,0.6824,0.6291,0.7189,0.6097,0.6643,0.7637,0.7127,0.7382,0.6668,0.629,0.6479
1.1,0.4122,0.6859,0.6271,0.7222,0.6052,0.6637,0.7686,0.7202,0.7444,0.6557,0.6076,0.6316
1.2,0.4216,0.6905,0.6271,0.7252,0.6035,0.6643,0.7724,0.7266,0.7495,0.6447,0.5877,0.6162
1.3,0.4224,0.6967,0.6281,0.7284,0.6048,0.6666,0.7752,0.7313,0.7533,0.6346,0.5695,0.6021
1.4,0.4153,0.7042,0.6294,0.7321,0.6095,0.6708,0.7773,0.7344,0.7558,0.626,0.5537,0.5899
1.5,0.4012,0.7127,0.6307,0.7362,0.6176,0.6769,0.7786,0.7362,0.7574,0.6198,0.541,0.5804
1.6,0.3816,0.7211,0.6321,0.7408,0.629,0.6849,0.7793,0.7371,0.7582,0.6167,0.5319,0.5743
1.7,0.3577,0.7285,0.6336,0.7456,0.6429,0.6942,0.7793,0.7374,0.7583,0.6168,0.5268,0.5718
1.8,0.3317,0.7342,0.6349,0.7508,0.6586,0.7047,0.7787,0.7374,0.7581,0.62,0.5256,0.5728
1.9,0.3055,0.7384,0.6359,0.7565,0.6758,0.7161,0.7783,0.7374,0.7579,0.6258,0.5284,0.5771
2,0.2809,0.7414,0.6366,0.763,0.6939,0.7284,0.7789,0.7381,0.7585,0.6341,0.5353,0.5847
2.1,0.2588,0.743,0.6375,0.7704,0.7124,0.7414,0.781,0.74,0.7605,0.6445,0.5465,0.5955
2.2,0.2395,0.7427,0.6389,0.7788,0.7302,0.7545,0.7847,0.7436,0.7642,0.6569,0.562,0.6094
2.3,0.2231,0.7399,0.6405,0.7877,0.7464,0.767,0.79,0.7488,0.7694,0.671,0.5813,0.6262
2.4,0.2093,0.7344,0.6424,0.7968,0.7598,0.7783,0.7967,0.7554,0.7761,0.6863,0.604,0.6452
2.5,0.1975,0.7262,0.6447,0.806,0.7702,0.7881,0.8045,0.7629,0.7837,0.7025,0.6293,0.6659
2.6,0.1878,0.7154,0.6483,0.8151,0.7773,0.7962,0.8127,0.7708,0.7918,0.719,0.6562,0.6876
2.7,0.1798,0.7026,0.6538,0.8235,0.7812,0.8024,0.8206,0.7789,0.7998,0.7353,0.6836,0.7094
2.8,0.1728,0.6882,0.6612,0.8299,0.7817,0.8058,0.8272,0.7867,0.8069,0.7503,0.7098,0.73
2.9,0.1661,0.6731,0.6695,0.8335,0.7786,0.806,0.8318,0.7935,0.8126,0.7634,0.7338,0.7486
3,0.1587,0.6581,0.6776,0.8336,0.7718,0.8027,0.8347,0.7991,0.8169,0.7743,0.7546,0.7645
3.1,0.15,0.6437,0.6851,0.8303,0.7618,0.7961,0.8367,0.8035,0.8201,0.7831,0.7723,0.7777
3.2,0.1401,0.6299,0.6919,0.8233,0.7488,0.7861,0.8386,0.8066,0.8226,0.79,0.7865,0.7882
3.3,0.1285,0.6164,0.6978,0.8121,0.7332,0.7726,0.8402,0.8084,0.8243,0.7948,0.7966,0.7957
3.4,0.1144,0.6033,0.7023,0.7962,0.7155,0.7558,0.8409,0.8084,0.8247,0.7972,0.8018,0.7995
3.5,0.0963,0.5912,0.7053,0.7757,0.6969,0.7363,0.8399,0.8068,0.8233,0.7972,0.8019,0.7996
3.6,0.0723,0.5813,0.7073,0.7518,0.6791,0.7154,0.8368,0.8038,0.8203,0.7953,0.7976,0.7965
3.7,0.0422,0.5746,0.7088,0.726,0.6636,0.6948,0.8317,0.8,0.8159,0.792,0.79,0.791
3.8,0.0064,0.5717,0.7103,0.6996,0.6514,0.6755,0.8243,0.7959,0.8101,0.7879,0.78,0.7839
3.9,-0.034,0.5728,0.712,0.6736,0.643,0.6583,0.8148,0.7914,0.8031,0.7831,0.7681,0.7756
4,-0.0776,0.5778,0.7135,0.6482,0.6386,0.6434,0.8033,0.7867,0.795,0.7774,0.7547,0.7661
4.1,-0.1219,0.5863,0.7143,0.624,0.6375,0.6307,0.7902,0.7815,0.7859,0.771,0.7402,0.7556
4.2,-0.1643,0.5982,0.7142,0.602,0.6391,0.6206,0.7759,0.7756,0.7758,0.7642,0.725,0.7446
4.3,-0.2013,0.6129,0.7133,0.5834,0.6429,0.6131,0.7613,0.769,0.7651,0.7576,0.7098,0.7337
4.4,-0.2306,0.6299,0.712,0.5689,0.6481,0.6085,0.747,0.7621,0.7545,0.7518,0.6951,0.7234
4.5,-0.2506,0.649,0.7111,0.5589,0.6544,0.6066,0.7338,0.755,0.7444,0.747,0.681,0.714
4.6,-0.2616,0.6703,0.711,0.5533,0.6617,0.6075,0.722,0.748,0.735,0.7429,0.6674,0.7051
4.7,-0.2644,0.6942,0.7121,0.5524,0.6703,0.6114,0.7118,0.7409,0.7263,0.7391,0.6544,0.6968
4.8,-0.2603,0.7205,0.7149,0.5561,0.6804,0.6183,0.703,0.7341,0.7185,0.7357,0.6424,0.6891
4.9,-0.2494,0.7483,0.7197,0.5647,0.6913,0.628,0.6958,0.7277,0.7117,0.733,0.6319,0.6825
5,-0.2309,0.7762,0.7268,0.5781,0.7019,0.64,0.69,0.7217,0.7058,0.731,0.6235,0.6772
5.1,-0.2038,0.8029,0.7359,0.5957,0.7105,0.6531,0.6854,0.7156,0.7005,0.7295,0.6171,0.6733
5.2,-0.167,0.8268,0.7462,0.6168,0.7157,0.6662,0.6821,0.7091,0.6956,0.7281,0.6125,0.6703
5.3,-0.1201,0.846,0.757,0.6403,0.7165,0.6784,0.6798,0.7021,0.691,0.7264,0.6094,0.6679
5.4,-0.064,0.859,0.768,0.6653,0.7124,0.6888,0.6787,0.6948,0.6867,0.7241,0.6076,0.6659
5.5,-0.0012,0.8649,0.7794,0.6908,0.7038,0.6973,0.6788,0.6877,0.6832,0.7216,0.6074,0.6645
5.6,0.0655,0.864,0.7913,0.7157,0.6918,0.7038,0.6805,0.6815,0.681,0.7194,0.6089,0.6641
5.7,0.1334,0.8573,0.8032,0.7386,0.6774,0.708,0.6841,0.6764,0.6802,0.7178,0.6119,0.6649
5.8,0.1998,0.8458,0.8142,0.7584,0.6614,0.7099,0.6895,0.6717,0.6806,0.7164,0.6159,0.6662
5.9,0.2625,0.8307,0.8235,0.7739,0.6449,0.7094,0.696,0.6671,0.6816,0.7149,0.6202,0.6675
6,0.3192,0.8134,0.8309,0.7845,0.6292,0.7068,0.7033,0.6626,0.683,0.7132,0.6242,0.6687
6.1,0.3673,0.7955,0.8369,0.7895,0.6152,0.7024,0.7111,0.6589,0.685,0.7116,0.6279,0.6697
6.2,0.4037,0.778,0.8416,0.789,0.6031,0.6961,0.7192,0.6569,0.6881,0.7106,0.6315,0.671
6.3,0.4272,0.7617,0.8451,0.7831,0.5928,0.6879,0.7273,0.657,0.6921,0.7107,0.6353,0.673
6.4,0.438,0.7468,0.8468,0.7722,0.5844,0.6783,0.735,0.6591,0.6971,0.7119,0.6394,0.6757
6.5,0.4374,0.7333,0.8457,0.7569,0.5782,0.6676,0.7417,0.6629,0.7023,0.7136,0.6432,0.6784
6.6,0.4264,0.7216,0.8411,0.7382,0.5743,0.6563,0.7464,0.667,0.7067,0.7153,0.6457,0.6805
6.7,0.4051,0.712,0.8326,0.7172,0.5728,0.645,0.7479,0.6708,0.7094,0.7167,0.646,0.6814
6.8,0.3734,0.7057,0.8206,0.6953,0.574,0.6346,0.7457,0.6742,0.71,0.7183,0.6445,0.6814
6.9,0.3319,0.7032,0.8059,0.6741,0.5785,0.6263,0.74,0.6778,0.7089,0.7207,0.6422,0.6814
7,0.2833,0.7042,0.7896,0.6546,0.5863,0.6205,0.7319,0.6825,0.7072,0.7247,0.6404,0.6825
7.1,0.232,0.7077,0.7733,0.6371,0.5969,0.617,0.7231,0.6888,0.7059,0.7307,0.6399,0.6853
7.2,0.1814,0.7121,0.7585,0.6211,0.6089,0.615,0.7147,0.6967,0.7057,0.7388,0.6408,0.6898
7.3,0.1336,0.7163,0.7468,0.6058,0.6208,0.6133,0.7075,0.7062,0.7069,0.7491,0.6431,0.6961
