Time,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15,Fanta TVC 15
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0106,0.7377,0.509,0.6577,0.6161,0.6369,0.656,0.5489,0.6024,0.5657,0.4552,0.5105
0.1,-0.0116,0.7346,0.5202,0.667,0.6038,0.6354,0.651,0.5487,0.5998,0.5736,0.4657,0.5196
0.2,-0.0126,0.7319,0.5339,0.6792,0.5934,0.6363,0.6472,0.5502,0.5987,0.5818,0.4775,0.5297
0.3,-0.0138,0.7289,0.5494,0.6933,0.585,0.6392,0.6447,0.5537,0.5992,0.5902,0.4905,0.5403
0.4,-0.016,0.7251,0.5658,0.7079,0.5785,0.6432,0.643,0.5589,0.6009,0.5983,0.5041,0.5512
0.5,-0.0196,0.7195,0.582,0.7213,0.5733,0.6473,0.6416,0.5649,0.6033,0.6058,0.5175,0.5617
0.6,-0.0247,0.712,0.5977,0.7321,0.5689,0.6505,0.6399,0.5711,0.6055,0.6123,0.5303,0.5713
0.7,-0.0307,0.7025,0.6132,0.739,0.5641,0.6516,0.6373,0.577,0.6072,0.6174,0.5417,0.5795
0.8,-0.0368,0.6908,0.6289,0.7409,0.5583,0.6496,0.6333,0.5824,0.6078,0.6209,0.5512,0.5861
0.9,-0.0419,0.677,0.6447,0.7368,0.5509,0.6439,0.6279,0.5871,0.6075,0.6228,0.5589,0.5908
1,-0.0445,0.6609,0.6604,0.7263,0.5416,0.6339,0.6216,0.5911,0.6063,0.6235,0.5647,0.5941
1.1,-0.044,0.6427,0.6749,0.7093,0.5303,0.6198,0.6144,0.5943,0.6044,0.6235,0.5687,0.5961
1.2,-0.0401,0.6225,0.6878,0.6864,0.5166,0.6015,0.6065,0.5963,0.6014,0.6229,0.5712,0.597
1.3,-0.0323,0.6003,0.6989,0.6588,0.5004,0.5796,0.5979,0.5969,0.5974,0.6219,0.5726,0.5973
1.4,-0.0199,0.5765,0.708,0.6275,0.4819,0.5547,0.5885,0.5959,0.5922,0.6206,0.573,0.5968
1.5,-0.0035,0.5519,0.7146,0.5938,0.4617,0.5278,0.5786,0.5931,0.5859,0.619,0.5728,0.5959
1.6,0.0152,0.5274,0.7181,0.5593,0.4408,0.5001,0.5685,0.5886,0.5785,0.6175,0.5728,0.5951
1.7,0.0341,0.5034,0.7181,0.5255,0.4199,0.4727,0.5581,0.5822,0.5702,0.6161,0.5731,0.5946
1.8,0.0522,0.4799,0.7143,0.4933,0.3993,0.4463,0.5466,0.574,0.5603,0.615,0.5735,0.5943
1.9,0.0694,0.4565,0.7066,0.4627,0.3788,0.4208,0.5335,0.5633,0.5484,0.6138,0.5736,0.5937
2,0.0853,0.4332,0.6949,0.4335,0.3585,0.396,0.5185,0.55,0.5343,0.6122,0.5729,0.5926
2.1,0.0989,0.4105,0.6798,0.4054,0.3384,0.3719,0.5021,0.5339,0.518,0.61,0.5712,0.5906
2.2,0.1097,0.3884,0.6617,0.3782,0.3187,0.3484,0.4845,0.5149,0.4997,0.6069,0.5683,0.5876
2.3,0.1169,0.3671,0.6409,0.3525,0.2995,0.326,0.4664,0.4936,0.48,0.603,0.5641,0.5836
2.4,0.1202,0.3468,0.6181,0.3285,0.2812,0.3049,0.4478,0.4709,0.4593,0.5984,0.5586,0.5785
2.5,0.1195,0.3281,0.5947,0.3067,0.2642,0.2854,0.4288,0.448,0.4384,0.5932,0.5522,0.5727
2.6,0.1151,0.3119,0.5721,0.2869,0.2489,0.2679,0.4098,0.4264,0.4181,0.5877,0.5457,0.5667
2.7,0.108,0.2988,0.5517,0.2693,0.236,0.2526,0.3914,0.4072,0.3993,0.582,0.5396,0.5608
2.8,0.0995,0.289,0.5342,0.2542,0.2258,0.24,0.3741,0.3911,0.3826,0.5763,0.5344,0.5553
2.9,0.0908,0.2822,0.5197,0.2422,0.2185,0.2304,0.3584,0.3782,0.3683,0.5709,0.53,0.5504
3,0.0828,0.2777,0.508,0.2333,0.2138,0.2236,0.3445,0.3684,0.3565,0.566,0.5265,0.5463
3.1,0.0762,0.2751,0.4986,0.2274,0.2115,0.2194,0.3326,0.3618,0.3472,0.5622,0.5244,0.5433
3.2,0.0718,0.2744,0.4913,0.2244,0.2114,0.2179,0.3233,0.3583,0.3408,0.5601,0.5237,0.5419
3.3,0.0702,0.2758,0.4858,0.2247,0.2138,0.2192,0.3169,0.358,0.3375,0.56,0.5249,0.5424
3.4,0.0718,0.2795,0.4822,0.2286,0.2189,0.2237,0.3137,0.3604,0.3371,0.5623,0.5278,0.5451
3.5,0.0769,0.2856,0.4804,0.2364,0.227,0.2317,0.3137,0.3654,0.3396,0.5672,0.5326,0.5499
3.6,0.0852,0.2944,0.4806,0.2483,0.2383,0.2433,0.3171,0.373,0.345,0.575,0.5393,0.5572
3.7,0.0963,0.3064,0.4827,0.2648,0.2528,0.2588,0.3237,0.3831,0.3534,0.5861,0.548,0.5671
3.8,0.1103,0.3217,0.4864,0.2861,0.2698,0.278,0.3331,0.395,0.3641,0.6001,0.5586,0.5794
3.9,0.1277,0.3403,0.4907,0.3124,0.2888,0.3006,0.3445,0.4076,0.376,0.6164,0.5706,0.5935
4,0.1493,0.3623,0.495,0.3438,0.3094,0.3266,0.3569,0.4199,0.3884,0.6336,0.5837,0.6086
4.1,0.1759,0.3872,0.4989,0.3798,0.3312,0.3555,0.37,0.4316,0.4008,0.6503,0.5971,0.6237
4.2,0.207,0.4145,0.5024,0.4195,0.3538,0.3866,0.3837,0.4425,0.4131,0.6659,0.6101,0.638
4.3,0.2413,0.4432,0.5051,0.4616,0.3771,0.4193,0.3975,0.452,0.4247,0.6797,0.6218,0.6508
4.4,0.2771,0.4719,0.5062,0.5049,0.4005,0.4527,0.4105,0.4593,0.4349,0.6913,0.6316,0.6614
4.5,0.3117,0.4992,0.5052,0.5478,0.423,0.4854,0.4223,0.4639,0.4431,0.6999,0.6387,0.6693
4.6,0.3425,0.5246,0.5023,0.5887,0.4437,0.5162,0.4326,0.4656,0.4491,0.705,0.6431,0.6741
4.7,0.367,0.548,0.498,0.6261,0.4621,0.5441,0.4419,0.4651,0.4535,0.7066,0.6448,0.6757
4.8,0.3832,0.5697,0.4928,0.6586,0.4781,0.5684,0.4507,0.463,0.4568,0.705,0.6439,0.6744
4.9,0.3901,0.5897,0.4871,0.6854,0.4919,0.5887,0.4594,0.46,0.4597,0.7009,0.6409,0.6709
5,0.3868,0.6077,0.4815,0.7065,0.5038,0.6051,0.4679,0.4568,0.4623,0.6952,0.6365,0.6658
5.1,0.3737,0.6235,0.4769,0.7219,0.514,0.618,0.4762,0.4541,0.4651,0.6884,0.6314,0.6599
5.2,0.3513,0.6374,0.4739,0.7321,0.523,0.6275,0.4846,0.4527,0.4687,0.681,0.6261,0.6536
5.3,0.3206,0.6499,0.4735,0.7374,0.5311,0.6343,0.4939,0.4534,0.4737,0.6733,0.6209,0.6471
5.4,0.2825,0.6619,0.4759,0.7389,0.5392,0.639,0.5044,0.4568,0.4806,0.6656,0.6163,0.6409
5.5,0.239,0.6735,0.4811,0.7378,0.5478,0.6428,0.5163,0.4629,0.4896,0.6583,0.6128,0.6355
