Time,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC,BaskinRobins - Introducing Flavour Slam - PB J 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1997,0.4785,0.9032,0.4927,0.3885,0.4406,0.7192,0.5615,0.6404,0.9477,0.918,0.9328
0.1,0.2089,0.5211,0.9177,0.528,0.4355,0.4817,0.7634,0.5814,0.6724,0.9477,0.9206,0.9341
0.2,0.2194,0.5628,0.9312,0.5635,0.4848,0.5241,0.8039,0.6024,0.7032,0.9487,0.9238,0.9362
0.3,0.2302,0.6026,0.9429,0.5992,0.5346,0.5669,0.84,0.6235,0.7317,0.951,0.928,0.9395
0.4,0.2402,0.6401,0.9526,0.6349,0.5837,0.6093,0.8707,0.6444,0.7575,0.9546,0.9332,0.9439
0.5,0.2493,0.6751,0.9602,0.6699,0.6303,0.6501,0.8954,0.665,0.7802,0.959,0.9389,0.9489
0.6,0.2571,0.7074,0.9655,0.703,0.6733,0.6882,0.9134,0.6846,0.799,0.964,0.9449,0.9545
0.7,0.2622,0.7361,0.9683,0.7328,0.7116,0.7222,0.9251,0.7026,0.8139,0.9695,0.951,0.9603
0.8,0.2632,0.7602,0.9682,0.7583,0.7439,0.7511,0.9308,0.7178,0.8243,0.975,0.9566,0.9658
0.9,0.2601,0.779,0.965,0.7788,0.7691,0.7739,0.9304,0.7296,0.83,0.9795,0.9613,0.9704
1,0.254,0.792,0.958,0.7937,0.7864,0.7901,0.9237,0.7376,0.8307,0.9818,0.9643,0.9731
1.1,0.2461,0.7994,0.9471,0.8028,0.7964,0.7996,0.911,0.7418,0.8264,0.981,0.9654,0.9732
1.2,0.2366,0.8014,0.9325,0.8067,0.7999,0.8033,0.8933,0.7423,0.8178,0.9771,0.9644,0.9707
1.3,0.2251,0.7983,0.9145,0.8066,0.7986,0.8026,0.8719,0.74,0.8059,0.9705,0.9614,0.9659
1.4,0.2113,0.7908,0.8939,0.8035,0.7935,0.7985,0.8478,0.7355,0.7916,0.962,0.9564,0.9592
1.5,0.196,0.7796,0.8712,0.7981,0.7855,0.7918,0.8214,0.729,0.7752,0.9517,0.9495,0.9506
1.6,0.1803,0.7656,0.8473,0.7909,0.7751,0.783,0.793,0.7206,0.7568,0.9401,0.9411,0.9406
1.7,0.1651,0.7493,0.8237,0.7824,0.7626,0.7725,0.763,0.7107,0.7369,0.9275,0.9313,0.9294
1.8,0.1504,0.731,0.8015,0.7726,0.7483,0.7604,0.732,0.6997,0.7159,0.9145,0.9206,0.9175
1.9,0.1361,0.7107,0.7816,0.7615,0.7325,0.747,0.7006,0.6881,0.6944,0.9017,0.9091,0.9054
2,0.1218,0.689,0.7645,0.7493,0.7155,0.7324,0.6692,0.6762,0.6727,0.8893,0.8972,0.8933
2.1,0.107,0.6665,0.7504,0.736,0.6973,0.7167,0.6382,0.6642,0.6512,0.8777,0.8854,0.8815
2.2,0.0919,0.644,0.7389,0.7221,0.6784,0.7003,0.6083,0.6525,0.6304,0.867,0.8742,0.8706
2.3,0.0772,0.6224,0.7297,0.7081,0.6595,0.6838,0.5803,0.6415,0.6109,0.8577,0.8644,0.861
2.4,0.0634,0.6028,0.7224,0.6943,0.6416,0.668,0.555,0.6316,0.5933,0.8501,0.8562,0.8532
2.5,0.0507,0.5855,0.7168,0.6809,0.6255,0.6532,0.5324,0.623,0.5777,0.8441,0.85,0.8471
2.6,0.0387,0.5707,0.7127,0.6676,0.6115,0.6396,0.5123,0.6157,0.564,0.8396,0.8459,0.8428
2.7,0.0273,0.5579,0.7103,0.6542,0.599,0.6266,0.4946,0.6094,0.552,0.8368,0.8446,0.8407
2.8,0.017,0.5468,0.7094,0.6406,0.5879,0.6142,0.4793,0.6039,0.5416,0.8358,0.8464,0.8411
2.9,0.0096,0.537,0.7097,0.626,0.5785,0.6022,0.4662,0.5988,0.5325,0.8365,0.8517,0.8441
3,0.0061,0.5283,0.7113,0.61,0.571,0.5905,0.4552,0.594,0.5246,0.8387,0.8601,0.8494
3.1,0.0064,0.52,0.7144,0.5922,0.5654,0.5788,0.4459,0.5894,0.5177,0.8422,0.8714,0.8568
3.2,0.01,0.5116,0.7189,0.5724,0.5611,0.5668,0.438,0.5853,0.5117,0.8473,0.8853,0.8663
3.3,0.0171,0.5027,0.7249,0.5511,0.5577,0.5544,0.4316,0.5816,0.5066,0.8544,0.9015,0.8779
3.4,0.0288,0.4934,0.732,0.5288,0.555,0.5419,0.4272,0.5781,0.5027,0.8636,0.9195,0.8916
3.5,0.0451,0.4837,0.7396,0.5058,0.5531,0.5295,0.4252,0.575,0.5001,0.8748,0.9383,0.9065
3.6,0.0649,0.4739,0.747,0.4821,0.552,0.5171,0.426,0.572,0.499,0.8873,0.9564,0.9219
3.7,0.0868,0.4641,0.7535,0.4575,0.5518,0.5047,0.4297,0.5692,0.4995,0.9003,0.9726,0.9365
3.8,0.1101,0.4547,0.7588,0.4322,0.5525,0.4924,0.4367,0.5668,0.5017,0.9129,0.9859,0.9494
3.9,0.135,0.4459,0.7629,0.4068,0.5536,0.4802,0.4467,0.565,0.5058,0.9243,0.9956,0.9599
4,0.1607,0.4375,0.7656,0.3817,0.5538,0.4678,0.4596,0.5641,0.5118,0.934,1.0016,0.9678
4.1,0.1858,0.4293,0.7666,0.3575,0.5525,0.455,0.475,0.5644,0.5197,0.9417,1.0034,0.9726
4.2,0.2096,0.4218,0.7653,0.335,0.5495,0.4422,0.4925,0.5661,0.5293,0.9476,1.001,0.9743
4.3,0.2321,0.4161,0.7614,0.3158,0.5453,0.4305,0.5118,0.5692,0.5405,0.9517,0.9945,0.9731
4.4,0.2541,0.4135,0.755,0.3023,0.5406,0.4214,0.533,0.5735,0.5533,0.9546,0.9845,0.9695
4.5,0.2749,0.4145,0.7466,0.2964,0.5358,0.4161,0.5563,0.5789,0.5676,0.9568,0.9713,0.9641
4.6,0.2925,0.4188,0.737,0.2983,0.5308,0.4146,0.5812,0.585,0.5831,0.9589,0.9556,0.9572
4.7,0.3056,0.426,0.7265,0.3076,0.525,0.4163,0.6068,0.5914,0.5991,0.9607,0.9376,0.9492
4.8,0.3145,0.4357,0.7152,0.323,0.5181,0.4206,0.6313,0.5974,0.6143,0.9624,0.9182,0.9403
4.9,0.3208,0.4477,0.7029,0.3444,0.5103,0.4274,0.6535,0.6026,0.628,0.9638,0.8979,0.9308
5,0.3261,0.4621,0.6899,0.3721,0.5018,0.4369,0.6733,0.6069,0.6401,0.9651,0.8774,0.9212
5.1,0.3308,0.4789,0.6766,0.4055,0.4931,0.4493,0.6904,0.6105,0.6505,0.9664,0.8571,0.9118
5.2,0.3352,0.4979,0.6625,0.4432,0.4847,0.464,0.7048,0.6135,0.6591,0.9676,0.8371,0.9023
5.3,0.339,0.5189,0.6473,0.4835,0.4776,0.4806,0.7161,0.6153,0.6657,0.9684,0.8175,0.893
5.4,0.3416,0.5415,0.6311,0.5251,0.4725,0.4988,0.724,0.6158,0.6699,0.9688,0.7987,0.8837
5.5,0.3425,0.5651,0.6142,0.5669,0.4699,0.5184,0.7289,0.6148,0.6719,0.9687,0.7809,0.8748
5.6,0.3422,0.5887,0.5974,0.6079,0.4698,0.5388,0.731,0.6127,0.6718,0.9683,0.7644,0.8664
5.7,0.3411,0.6114,0.5812,0.6468,0.4718,0.5593,0.7304,0.6091,0.6698,0.9679,0.7495,0.8587
5.8,0.3385,0.6324,0.5663,0.6825,0.4752,0.5789,0.7269,0.6039,0.6654,0.9682,0.7365,0.8524
5.9,0.3338,0.6513,0.5536,0.714,0.4801,0.597,0.7201,0.5972,0.6586,0.9701,0.7265,0.8483
6,0.3269,0.6682,0.5446,0.7413,0.4868,0.614,0.7097,0.5892,0.6495,0.9743,0.7201,0.8472
6.1,0.3186,0.6839,0.5407,0.7647,0.4963,0.6305,0.6965,0.5807,0.6386,0.9811,0.7176,0.8494
6.2,0.3098,0.6988,0.5427,0.7847,0.5095,0.6471,0.6815,0.5725,0.627,0.9903,0.7188,0.8545
6.3,0.3008,0.7123,0.5509,0.8013,0.5266,0.664,0.6655,0.5656,0.6156,1.0014,0.7234,0.8624
6.4,0.2916,0.7238,0.5651,0.8146,0.5474,0.681,0.6497,0.5607,0.6052,1.0142,0.7312,0.8727
6.5,0.2813,0.7327,0.5851,0.8239,0.5716,0.6978,0.6345,0.5583,0.5964,1.028,0.7422,0.8851
6.6,0.2695,0.7393,0.6096,0.8292,0.5988,0.714,0.6208,0.5583,0.5896,1.0421,0.756,0.899
6.7,0.2561,0.7444,0.6374,0.8302,0.6285,0.7294,0.6094,0.5603,0.5848,1.0557,0.7718,0.9137
6.8,0.2416,0.7484,0.6668,0.827,0.6595,0.7432,0.6009,0.5638,0.5823,1.0681,0.789,0.9286
6.9,0.2261,0.7511,0.6964,0.8195,0.6902,0.7548,0.596,0.5684,0.5822,1.0784,0.8076,0.943
7,0.2105,0.7523,0.725,0.808,0.7192,0.7636,0.5948,0.5744,0.5846,1.0859,0.8277,0.9568
7.1,0.1961,0.7523,0.7519,0.7935,0.7455,0.7695,0.5974,0.5819,0.5896,1.0902,0.8494,0.9698
7.2,0.184,0.7513,0.7761,0.7772,0.7681,0.7727,0.6032,0.5907,0.597,1.0907,0.8726,0.9817
7.3,0.1737,0.7493,0.7969,0.7601,0.7861,0.7731,0.6115,0.6006,0.606,1.0874,0.8974,0.9924
