Time,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
18.5,-0.4443,0.5282,0.5042,0.5004,0.4179,0.4592,0.6568,0.6123,0.6345,0.4085,0.4199,0.4142
18.6,-0.4525,0.5383,0.5193,0.5152,0.4402,0.4777,0.6624,0.6325,0.6475,0.4156,0.4227,0.4192
18.7,-0.4536,0.5533,0.5363,0.5372,0.4724,0.5048,0.6716,0.6572,0.6644,0.4242,0.4295,0.4268
18.8,-0.4475,0.572,0.5552,0.5661,0.5128,0.5394,0.6845,0.6862,0.6853,0.4346,0.4395,0.4371
18.9,-0.4339,0.5924,0.576,0.6012,0.5584,0.5798,0.7009,0.7191,0.71,0.4482,0.4531,0.4506
19,-0.4128,0.6129,0.5985,0.6412,0.6063,0.6237,0.7207,0.7553,0.738,0.4656,0.4712,0.4684
19.1,-0.3851,0.6325,0.6224,0.6842,0.6538,0.669,0.7438,0.793,0.7684,0.4868,0.4936,0.4902
19.2,-0.3526,0.6509,0.6466,0.7275,0.6991,0.7133,0.7698,0.8294,0.7996,0.5107,0.5189,0.5148
19.3,-0.3178,0.6677,0.6697,0.7689,0.7404,0.7546,0.7981,0.8616,0.8299,0.5358,0.5448,0.5403
19.4,-0.2818,0.6822,0.6904,0.8067,0.776,0.7914,0.8275,0.8869,0.8572,0.5611,0.5695,0.5653
19.5,-0.2444,0.694,0.7079,0.8401,0.8043,0.8222,0.8566,0.9036,0.8801,0.5854,0.5917,0.5885
19.6,-0.2056,0.7035,0.7216,0.8685,0.8236,0.8461,0.8843,0.9113,0.8978,0.6075,0.6104,0.609
19.7,-0.1658,0.7118,0.7314,0.8916,0.8334,0.8625,0.9096,0.9111,0.9103,0.6268,0.6252,0.626
19.8,-0.1269,0.7197,0.7376,0.9088,0.8343,0.8715,0.9317,0.9052,0.9184,0.6427,0.6358,0.6393
19.9,-0.0905,0.7276,0.7407,0.9197,0.8278,0.8737,0.9502,0.8959,0.9231,0.6552,0.6425,0.6489
20,-0.0572,0.7354,0.7409,0.9246,0.8151,0.8699,0.9651,0.8846,0.9249,0.6642,0.646,0.6551
20.1,-0.0271,0.7432,0.7379,0.9241,0.797,0.8605,0.9764,0.8718,0.9241,0.6697,0.6466,0.6581
20.2,-0.0005,0.7509,0.7316,0.9187,0.7742,0.8464,0.9843,0.8578,0.921,0.6715,0.6446,0.658
20.3,0.0215,0.758,0.7227,0.9089,0.7466,0.8278,0.989,0.8427,0.9159,0.6696,0.6404,0.655
20.4,0.0385,0.7634,0.712,0.8951,0.7133,0.8042,0.99,0.8272,0.9086,0.6643,0.6349,0.6496
20.5,0.051,0.7661,0.7005,0.8774,0.6734,0.7754,0.987,0.8117,0.8994,0.6557,0.629,0.6424
20.6,0.0604,0.7658,0.6887,0.8564,0.6264,0.7414,0.9805,0.7971,0.8888,0.6441,0.6234,0.6337
20.7,0.0679,0.7624,0.6763,0.8325,0.5729,0.7027,0.9713,0.7837,0.8775,0.6301,0.6182,0.6242
20.8,0.0744,0.7557,0.6633,0.8065,0.5142,0.6604,0.9603,0.7717,0.866,0.6148,0.6134,0.6141
20.9,0.0807,0.746,0.6499,0.7798,0.4521,0.6159,0.9484,0.7613,0.8548,0.599,0.6088,0.6039
21,0.0872,0.7336,0.6366,0.7535,0.3886,0.571,0.9367,0.7518,0.8443,0.5833,0.6044,0.5939
21.1,0.0946,0.7184,0.6237,0.7286,0.3261,0.5273,0.9254,0.743,0.8342,0.5685,0.6004,0.5845
21.2,0.1029,0.7003,0.6103,0.7055,0.2674,0.4864,0.9147,0.7346,0.8246,0.5551,0.5967,0.5759
21.3,0.112,0.6794,0.596,0.6843,0.2158,0.4501,0.9045,0.7267,0.8156,0.5434,0.5929,0.5682
21.4,0.1216,0.6565,0.5808,0.6657,0.1737,0.4197,0.8951,0.7193,0.8072,0.5334,0.5888,0.5611
21.5,0.1312,0.6327,0.5652,0.6505,0.143,0.3967,0.8872,0.7129,0.8001,0.5254,0.584,0.5547
21.6,0.1409,0.6097,0.5494,0.6396,0.1251,0.3824,0.8813,0.7078,0.7946,0.5193,0.5782,0.5488
21.7,0.1505,0.5887,0.5338,0.6343,0.1206,0.3775,0.8776,0.7039,0.7908,0.5156,0.5711,0.5433
21.8,0.1611,0.5705,0.5193,0.6354,0.1294,0.3824,0.8757,0.701,0.7884,0.5143,0.5624,0.5383
21.9,0.174,0.555,0.507,0.6434,0.1498,0.3966,0.8757,0.6992,0.7874,0.5159,0.5521,0.534
22,0.1894,0.5423,0.4978,0.6578,0.1789,0.4183,0.8777,0.6988,0.7883,0.521,0.5413,0.5311
22.1,0.2071,0.5322,0.4917,0.6772,0.2132,0.4452,0.882,0.6999,0.791,0.5296,0.5311,0.5304
22.2,0.2264,0.5241,0.4882,0.6998,0.2498,0.4748,0.8879,0.7021,0.795,0.5409,0.5225,0.5317
22.3,0.2469,0.518,0.4869,0.7241,0.2868,0.5054,0.894,0.705,0.7995,0.553,0.5156,0.5343
22.4,0.2682,0.5143,0.4878,0.7486,0.3237,0.5361,0.8991,0.7082,0.8037,0.564,0.5102,0.5371
22.5,0.2887,0.5136,0.4907,0.7718,0.3605,0.5662,0.9027,0.7116,0.8071,0.5725,0.5057,0.5391
22.6,0.3072,0.5161,0.4949,0.793,0.3965,0.5947,0.9049,0.7149,0.8099,0.5784,0.5016,0.54
22.7,0.3224,0.5218,0.5001,0.8124,0.4309,0.6217,0.9062,0.7179,0.812,0.5816,0.4979,0.5398
22.8,0.332,0.5314,0.5064,0.8304,0.4636,0.647,0.9063,0.7207,0.8135,0.5826,0.4954,0.539
22.9,0.3346,0.5454,0.5145,0.847,0.4945,0.6708,0.9048,0.7237,0.8142,0.581,0.4943,0.5376
23,0.3297,0.5634,0.5248,0.8621,0.5232,0.6926,0.9009,0.7272,0.814,0.5768,0.4946,0.5357
23.1,0.3194,0.5843,0.5375,0.8751,0.5489,0.712,0.8942,0.7317,0.8129,0.57,0.496,0.533
23.2,0.3057,0.607,0.5523,0.8853,0.5714,0.7284,0.8848,0.7375,0.8112,0.5606,0.4985,0.5295
23.3,0.2891,0.6304,0.5693,0.8925,0.5907,0.7416,0.8735,0.7442,0.8088,0.5481,0.5021,0.5251
23.4,0.2687,0.6546,0.5885,0.8964,0.6073,0.7519,0.8603,0.7507,0.8055,0.5327,0.5067,0.5197
23.5,0.2433,0.6793,0.6099,0.8972,0.6216,0.7594,0.8457,0.7563,0.801,0.5145,0.5118,0.5132
23.6,0.2129,0.7039,0.6333,0.8951,0.6335,0.7643,0.8302,0.7606,0.7954,0.4943,0.5168,0.5056
23.7,0.1786,0.7272,0.658,0.8904,0.6428,0.7666,0.8146,0.7632,0.7889,0.4731,0.5213,0.4972
23.8,0.1415,0.7478,0.6829,0.8829,0.6492,0.766,0.7998,0.7642,0.782,0.4516,0.5252,0.4884
23.9,0.102,0.7648,0.7069,0.8721,0.6526,0.7623,0.7863,0.7629,0.7746,0.4304,0.5281,0.4792
24,0.0594,0.7774,0.7285,0.8571,0.653,0.7551,0.774,0.7584,0.7662,0.4102,0.5295,0.4698
24.1,0.0129,0.7852,0.7469,0.8376,0.6506,0.7441,0.7625,0.7497,0.7561,0.3915,0.5296,0.4606
24.2,-0.0386,0.7885,0.762,0.8136,0.6462,0.7299,0.7515,0.7365,0.744,0.3746,0.5283,0.4515
24.3,-0.0949,0.7883,0.7741,0.7865,0.6414,0.7139,0.7413,0.7198,0.7306,0.3591,0.5261,0.4426
24.4,-0.1552,0.7859,0.7834,0.7576,0.6379,0.6978,0.7321,0.7013,0.7167,0.3443,0.5229,0.4336
24.5,-0.2184,0.7821,0.7907,0.728,0.6373,0.6826,0.7238,0.6827,0.7032,0.3303,0.5184,0.4243
24.6,-0.284,0.7778,0.7967,0.6979,0.6401,0.669,0.7169,0.6655,0.6912,0.3174,0.5125,0.4149
24.7,-0.3512,0.7741,0.802,0.668,0.6466,0.6573,0.7122,0.6508,0.6815,0.3064,0.5055,0.4059
24.8,-0.4197,0.772,0.8069,0.6396,0.6573,0.6484,0.7106,0.6396,0.6751,0.2975,0.498,0.3978
24.9,-0.489,0.7723,0.8118,0.6142,0.6729,0.6436,0.7125,0.6324,0.6724,0.2908,0.4908,0.3908
25,-0.558,0.775,0.8171,0.5932,0.6937,0.6435,0.7174,0.6294,0.6734,0.2859,0.4842,0.385
25.1,-0.6258,0.7803,0.8228,0.5779,0.7191,0.6485,0.7241,0.6302,0.6772,0.2829,0.4788,0.3808
25.2,-0.6911,0.7884,0.8282,0.5693,0.7484,0.6588,0.732,0.635,0.6835,0.2822,0.4748,0.3785
25.3,-0.7527,0.8001,0.8322,0.5683,0.781,0.6747,0.7401,0.6441,0.6921,0.2839,0.4721,0.378
25.4,-0.8099,0.8156,0.8341,0.5749,0.8163,0.6956,0.7476,0.6572,0.7024,0.2873,0.4705,0.3789
25.5,-0.8615,0.8338,0.8337,0.5878,0.8528,0.7203,0.753,0.6728,0.7129,0.2922,0.4693,0.3807
25.6,-0.9051,0.8525,0.8316,0.6054,0.8884,0.7469,0.7556,0.6889,0.7222,0.2986,0.4679,0.3832
25.7,-0.9375,0.8698,0.8288,0.6258,0.921,0.7734,0.7556,0.7041,0.7298,0.3071,0.4664,0.3868
25.8,-0.9555,0.8842,0.826,0.6473,0.949,0.7982,0.7538,0.7177,0.7357,0.3184,0.4651,0.3918
25.9,-0.9558,0.8947,0.8237,0.6687,0.9712,0.82,0.7509,0.729,0.7399,0.3324,0.4639,0.3981
26,-0.9365,0.8997,0.8225,0.6887,0.986,0.8374,0.7469,0.7373,0.7421,0.3484,0.4619,0.4051
26.1,-0.8983,0.8977,0.8231,0.7056,0.9917,0.8486,0.7416,0.7413,0.7415,0.3652,0.4589,0.4121
26.2,-0.8441,0.8873,0.8259,0.7172,0.9873,0.8523,0.7352,0.7402,0.7377,0.3821,0.4547,0.4184
26.3,-0.7769,0.8677,0.8305,0.7217,0.9723,0.847,0.7278,0.7339,0.7308,0.3986,0.4492,0.4239
26.4,-0.6987,0.8388,0.836,0.7179,0.9462,0.8321,0.7198,0.7227,0.7213,0.4144,0.4424,0.4284
26.5,-0.6111,0.8014,0.8412,0.7053,0.9097,0.8075,0.7117,0.7074,0.7095,0.4293,0.4341,0.4317
26.6,-0.5177,0.757,0.8457,0.6847,0.864,0.7743,0.7042,0.6885,0.6963,0.4436,0.4241,0.4339
26.7,-0.4235,0.7081,0.8489,0.6572,0.8119,0.7346,0.6978,0.6666,0.6822,0.458,0.4128,0.4354
26.8,-0.3324,0.6577,0.8503,0.6255,0.7569,0.6912,0.6929,0.6421,0.6675,0.4733,0.4002,0.4368
26.9,-0.2469,0.6087,0.8492,0.5922,0.7021,0.6471,0.6897,0.6159,0.6528,0.4895,0.3864,0.4379
27,-0.1685,0.5629,0.8447,0.5601,0.6496,0.6048,0.6877,0.5889,0.6383,0.5058,0.3712,0.4385
27.1,-0.0978,0.5214,0.8366,0.5307,0.6002,0.5655,0.6863,0.5623,0.6243,0.521,0.3541,0.4376
27.2,-0.0346,0.4844,0.8246,0.5048,0.5543,0.5296,0.685,0.5373,0.6111,0.5342,0.3343,0.4342
27.3,0.0217,0.4523,0.8089,0.4833,0.5122,0.4978,0.6832,0.5147,0.5989,0.5444,0.3111,0.4278
27.4,0.0725,0.4255,0.7891,0.4675,0.4749,0.4712,0.6805,0.4954,0.588,0.5514,0.2846,0.418
27.5,0.1198,0.4048,0.7641,0.4589,0.4432,0.4511,0.6768,0.48,0.5784,0.5547,0.255,0.4048
27.6,0.1652,0.3905,0.7321,0.4585,0.4178,0.4382,0.6722,0.4688,0.5705,0.5542,0.2224,0.3883
27.7,0.2102,0.3826,0.6916,0.4665,0.3986,0.4326,0.667,0.4619,0.5645,0.5505,0.1878,0.3692
27.8,0.256,0.3808,0.6423,0.4826,0.3847,0.4336,0.6612,0.4596,0.5604,0.5442,0.1519,0.3481
27.9,0.3023,0.3843,0.5855,0.5053,0.3751,0.4402,0.6553,0.4614,0.5584,0.5358,0.1157,0.3257
28,0.3469,0.3929,0.523,0.5329,0.3692,0.4511,0.6492,0.4666,0.5579,0.5258,0.0807,0.3032
28.1,0.3855,0.4058,0.4572,0.5635,0.3671,0.4653,0.6428,0.4738,0.5583,0.5147,0.0486,0.2816
28.2,0.4141,0.4221,0.3911,0.5953,0.3689,0.4821,0.6357,0.4814,0.5586,0.5033,0.0205,0.2619
28.3,0.4306,0.4405,0.3292,0.6271,0.3749,0.501,0.6279,0.4889,0.5584,0.4928,-0.0022,0.2453
28.4,0.4353,0.4603,0.275,0.6572,0.3851,0.5212,0.6195,0.4956,0.5576,0.4845,-0.0178,0.2334
28.5,0.4292,0.4808,0.2301,0.6839,0.3996,0.5417,0.6108,0.5016,0.5562,0.4793,-0.0255,0.2269
28.6,0.4136,0.5008,0.1943,0.705,0.4182,0.5616,0.6022,0.507,0.5546,0.477,-0.0259,0.2255
28.7,0.389,0.5185,0.1669,0.7189,0.4409,0.5799,0.5946,0.5114,0.553,0.4772,-0.0199,0.2287
28.8,0.3562,0.5327,0.1478,0.7247,0.4668,0.5958,0.5889,0.5145,0.5517,0.4801,-0.0078,0.2361
28.9,0.3174,0.5425,0.137,0.7223,0.4948,0.6086,0.5858,0.5163,0.5511,0.4859,0.0102,0.2481
29,0.2756,0.548,0.134,0.7123,0.5244,0.6183,0.5859,0.5168,0.5513,0.4949,0.0343,0.2646
29.1,0.2352,0.5501,0.1377,0.6957,0.5551,0.6254,0.5892,0.516,0.5526,0.5063,0.0633,0.2848
29.2,0.2006,0.5495,0.1467,0.6739,0.5865,0.6302,0.5956,0.514,0.5548,0.5183,0.0956,0.307
29.3,0.175,0.5468,0.1604,0.6482,0.6175,0.6328,0.605,0.5108,0.5579,0.5295,0.13,0.3297
29.4,0.1593,0.5424,0.1789,0.6187,0.6465,0.6326,0.6169,0.5066,0.5617,0.5391,0.1658,0.3524
29.5,0.1536,0.5373,0.2027,0.5862,0.672,0.6291,0.631,0.5022,0.5666,0.5471,0.2029,0.375
29.6,0.1577,0.5322,0.2308,0.5521,0.6938,0.6229,0.6472,0.4987,0.5729,0.5543,0.2401,0.3972
29.7,0.1723,0.5272,0.2623,0.518,0.7115,0.6147,0.6651,0.4971,0.5811,0.5614,0.2771,0.4193
29.8,0.198,0.5221,0.2964,0.4861,0.7241,0.6051,0.6844,0.4984,0.5914,0.5687,0.3135,0.4411
29.9,0.234,0.5169,0.3331,0.4584,0.7311,0.5947,0.705,0.5031,0.6041,0.5757,0.3494,0.4625
