Time,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC,Audible - Theres more to imagine when you listen 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2749,0.5163,0.9967,0.202,0.4864,0.3442,-0.0308,0.7344,0.3518,0.3366,0.994,0.6653
0.1,-0.2309,0.533,1.0146,0.2168,0.4981,0.3574,0.1179,0.741,0.4294,0.3516,0.9756,0.6636
0.2,-0.1754,0.5488,1.0225,0.2341,0.5116,0.3729,0.269,0.7441,0.5065,0.3597,0.9506,0.6551
0.3,-0.1109,0.5631,1.0211,0.2526,0.5265,0.3895,0.4037,0.7432,0.5734,0.3599,0.9183,0.6391
0.4,-0.0381,0.5744,1.0114,0.2708,0.5414,0.4061,0.513,0.7378,0.6254,0.353,0.8789,0.6159
0.5,0.0428,0.5817,0.9954,0.2878,0.5547,0.4212,0.5968,0.7285,0.6627,0.3413,0.8336,0.5874
0.6,0.1305,0.5849,0.9753,0.3034,0.5657,0.4345,0.658,0.7164,0.6872,0.3269,0.7839,0.5554
0.7,0.2226,0.5854,0.953,0.318,0.5745,0.4462,0.7006,0.7026,0.7016,0.312,0.7318,0.5219
0.8,0.3153,0.5844,0.9286,0.3314,0.5818,0.4566,0.7278,0.6875,0.7077,0.2986,0.6789,0.4887
0.9,0.4041,0.5821,0.9018,0.3426,0.5873,0.465,0.7424,0.6709,0.7067,0.2872,0.6265,0.4568
1,0.4864,0.5779,0.8722,0.3491,0.5895,0.4693,0.7466,0.6518,0.6992,0.2783,0.5755,0.4269
1.1,0.5617,0.5717,0.8394,0.3486,0.5868,0.4677,0.7421,0.6298,0.686,0.2719,0.5273,0.3996
1.2,0.6307,0.5644,0.8037,0.3409,0.5792,0.46,0.7301,0.6054,0.6677,0.268,0.4834,0.3757
1.3,0.6922,0.5575,0.7664,0.3273,0.5675,0.4474,0.7114,0.5787,0.6451,0.2669,0.4457,0.3563
1.4,0.7427,0.5527,0.7289,0.3103,0.5534,0.4319,0.6872,0.5507,0.6189,0.2692,0.4156,0.3424
1.5,0.7786,0.5514,0.6926,0.2922,0.5387,0.4154,0.6585,0.5219,0.5902,0.2758,0.3946,0.3352
1.6,0.7985,0.5544,0.6589,0.2746,0.5241,0.3993,0.6264,0.4932,0.5598,0.2871,0.3836,0.3354
1.7,0.8032,0.5618,0.6287,0.2587,0.5095,0.3841,0.5917,0.4654,0.5286,0.3027,0.3822,0.3424
1.8,0.7952,0.5731,0.6027,0.2449,0.4945,0.3697,0.5548,0.4392,0.497,0.3221,0.3889,0.3555
1.9,0.7768,0.5878,0.5812,0.2336,0.4788,0.3562,0.5167,0.4158,0.4662,0.3446,0.4022,0.3734
2,0.7501,0.6051,0.565,0.2255,0.463,0.3442,0.4784,0.3958,0.4371,0.3699,0.4207,0.3953
2.1,0.7169,0.6244,0.5552,0.2211,0.4479,0.3345,0.4413,0.3801,0.4107,0.3976,0.4435,0.4206
2.2,0.6781,0.6451,0.5525,0.2207,0.434,0.3273,0.4063,0.3694,0.3879,0.4273,0.4696,0.4485
2.3,0.6337,0.6661,0.5567,0.2241,0.4216,0.3229,0.374,0.3642,0.3691,0.4578,0.4979,0.4778
2.4,0.5832,0.6857,0.5662,0.2307,0.4112,0.321,0.3448,0.3642,0.3545,0.488,0.5268,0.5074
2.5,0.5271,0.7021,0.5794,0.2397,0.4026,0.3212,0.319,0.3689,0.3439,0.5168,0.5553,0.5361
2.6,0.467,0.714,0.5947,0.2498,0.3956,0.3227,0.2969,0.378,0.3374,0.5436,0.5832,0.5634
2.7,0.4053,0.721,0.6113,0.2603,0.3897,0.325,0.2786,0.3913,0.3349,0.5681,0.6105,0.5893
2.8,0.3444,0.7231,0.6286,0.2705,0.3848,0.3277,0.2643,0.4085,0.3364,0.5898,0.6378,0.6138
2.9,0.2869,0.7206,0.6457,0.2806,0.3807,0.3306,0.2545,0.4292,0.3419,0.6081,0.6651,0.6366
3,0.2355,0.7134,0.662,0.2905,0.3768,0.3337,0.2504,0.4528,0.3516,0.6225,0.6918,0.6571
3.1,0.1926,0.7015,0.6771,0.3,0.3728,0.3364,0.2534,0.4786,0.366,0.6322,0.7169,0.6746
3.2,0.1598,0.6851,0.6908,0.3088,0.3689,0.3388,0.2649,0.5058,0.3853,0.6373,0.7394,0.6884
3.3,0.1376,0.6649,0.7028,0.3163,0.3656,0.3409,0.2851,0.5336,0.4093,0.6379,0.7587,0.6983
3.4,0.1261,0.6418,0.7121,0.3223,0.3634,0.3428,0.3131,0.5604,0.4367,0.634,0.7731,0.7035
3.5,0.1251,0.6166,0.7174,0.327,0.3625,0.3447,0.3468,0.5842,0.4655,0.6256,0.7809,0.7032
3.6,0.135,0.5895,0.7172,0.3308,0.3629,0.3468,0.3849,0.6032,0.4941,0.613,0.781,0.697
3.7,0.1556,0.5608,0.7112,0.3341,0.3644,0.3492,0.4265,0.6167,0.5216,0.5975,0.7736,0.6855
