Time,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23.3,0.1325,0.5467,0.6592,0.5227,0.5527,0.5377,0.6048,0.7962,0.7005,0.6143,0.414,0.5141
23.4,0.1221,0.5515,0.6168,0.5357,0.5664,0.551,0.6016,0.793,0.6973,0.5853,0.394,0.4896
23.5,0.114,0.5567,0.5744,0.5505,0.5774,0.5639,0.5979,0.7901,0.694,0.5551,0.3744,0.4647
23.6,0.1091,0.5615,0.5341,0.5664,0.5846,0.5755,0.5929,0.7874,0.6901,0.524,0.3556,0.4398
23.7,0.1077,0.5654,0.4979,0.5822,0.5875,0.5849,0.5863,0.7849,0.6856,0.4927,0.3382,0.4154
23.8,0.1093,0.5682,0.4676,0.5975,0.5863,0.5919,0.5784,0.783,0.6807,0.4616,0.3225,0.3921
23.9,0.1131,0.5697,0.4443,0.6116,0.5809,0.5962,0.5694,0.7817,0.6756,0.4316,0.3087,0.3702
24,0.1188,0.5695,0.4294,0.6236,0.5714,0.5975,0.5602,0.7811,0.6707,0.4032,0.2973,0.3503
24.1,0.1264,0.567,0.424,0.6323,0.5575,0.5949,0.552,0.7806,0.6663,0.3771,0.2886,0.3328
24.2,0.1355,0.5615,0.4282,0.6371,0.5396,0.5884,0.5454,0.7801,0.6628,0.3539,0.2826,0.3183
24.3,0.1457,0.5537,0.441,0.6384,0.519,0.5787,0.5409,0.7795,0.6602,0.3336,0.2786,0.3061
24.4,0.1563,0.5447,0.4604,0.6374,0.4976,0.5675,0.5381,0.779,0.6585,0.316,0.2753,0.2957
24.5,0.1667,0.5357,0.4844,0.6352,0.4768,0.556,0.5365,0.7785,0.6575,0.3007,0.272,0.2864
24.6,0.1761,0.5274,0.5115,0.6326,0.4575,0.545,0.5355,0.7778,0.6567,0.2878,0.269,0.2784
24.7,0.1838,0.5202,0.54,0.6296,0.4399,0.5347,0.5353,0.7766,0.656,0.278,0.2667,0.2723
24.8,0.1896,0.5144,0.5688,0.6268,0.4241,0.5255,0.5363,0.7754,0.6558,0.2719,0.2658,0.2689
24.9,0.1933,0.5112,0.5967,0.6251,0.4113,0.5182,0.5385,0.7745,0.6565,0.2699,0.2663,0.2681
25,0.1946,0.5116,0.6223,0.6255,0.4026,0.514,0.542,0.7742,0.6581,0.2714,0.2674,0.2694
25.1,0.1931,0.5164,0.6446,0.6283,0.3986,0.5135,0.5461,0.7742,0.6602,0.2755,0.2685,0.272
25.2,0.1887,0.5254,0.6625,0.6337,0.3995,0.5166,0.5501,0.774,0.662,0.2815,0.2695,0.2755
25.3,0.1813,0.5387,0.6745,0.6416,0.4049,0.5232,0.5538,0.7731,0.6634,0.2885,0.2704,0.2795
25.4,0.171,0.5563,0.6798,0.6523,0.4147,0.5335,0.5574,0.771,0.6642,0.2964,0.2711,0.2837
25.5,0.158,0.5783,0.6778,0.6659,0.4287,0.5473,0.5613,0.7673,0.6643,0.3043,0.2712,0.2877
25.6,0.1426,0.604,0.669,0.6816,0.4463,0.5639,0.565,0.7609,0.6629,0.3111,0.2709,0.291
25.7,0.1244,0.6321,0.654,0.6982,0.4664,0.5823,0.5678,0.7513,0.6596,0.3165,0.2698,0.2931
25.8,0.1035,0.6614,0.6337,0.7149,0.4877,0.6013,0.5692,0.7385,0.6538,0.3202,0.2678,0.294
25.9,0.0799,0.6907,0.6093,0.731,0.5095,0.6202,0.5685,0.7231,0.6458,0.3223,0.2645,0.2934
26,0.0548,0.7194,0.5822,0.746,0.531,0.6385,0.5659,0.7058,0.6358,0.3226,0.2593,0.291
26.1,0.03,0.7466,0.5545,0.7595,0.5515,0.6555,0.5613,0.687,0.6241,0.3207,0.2521,0.2864
26.2,0.0076,0.771,0.5278,0.7712,0.5694,0.6703,0.555,0.6667,0.6108,0.3167,0.2422,0.2795
26.3,-0.0106,0.7911,0.5034,0.7804,0.5831,0.6817,0.5471,0.6449,0.596,0.3111,0.2298,0.2704
26.4,-0.0231,0.8057,0.4823,0.7863,0.5917,0.689,0.5376,0.6226,0.5801,0.3046,0.2156,0.2601
26.5,-0.0298,0.8146,0.4665,0.7888,0.5959,0.6923,0.5273,0.6013,0.5643,0.2981,0.201,0.2496
26.6,-0.0312,0.8183,0.4579,0.7881,0.5968,0.6924,0.5171,0.5825,0.5498,0.2926,0.1881,0.2403
26.7,-0.0289,0.8175,0.4577,0.7848,0.5953,0.69,0.5077,0.5672,0.5374,0.2881,0.1781,0.2331
26.8,-0.0246,0.813,0.4665,0.7793,0.5918,0.6856,0.4994,0.5555,0.5274,0.2845,0.1716,0.2281
26.9,-0.0202,0.8055,0.4832,0.7713,0.5868,0.6791,0.4924,0.547,0.5197,0.2811,0.1684,0.2248
27,-0.0165,0.7953,0.5067,0.7607,0.5807,0.6707,0.4875,0.5414,0.5144,0.2777,0.1682,0.2229
27.1,-0.0134,0.7832,0.5355,0.7478,0.5743,0.6611,0.4852,0.5387,0.5119,0.2744,0.172,0.2232
27.2,-0.0105,0.7704,0.5681,0.7336,0.5685,0.651,0.4862,0.5387,0.5124,0.2725,0.1808,0.2267
27.3,-0.0072,0.7581,0.6025,0.7195,0.564,0.6418,0.4905,0.5412,0.5158,0.2731,0.1953,0.2342
27.4,-0.0032,0.747,0.6363,0.7065,0.5619,0.6342,0.4979,0.5453,0.5216,0.2768,0.2149,0.2458
27.5,0.0017,0.7373,0.6669,0.695,0.5627,0.6288,0.5076,0.5503,0.529,0.2832,0.2379,0.2606
27.6,0.008,0.729,0.6927,0.685,0.5664,0.6257,0.5189,0.5552,0.5371,0.2919,0.2619,0.2769
27.7,0.0158,0.722,0.7124,0.6769,0.5722,0.6245,0.531,0.5587,0.5449,0.3025,0.2845,0.2935
27.8,0.0252,0.7161,0.7255,0.6705,0.5787,0.6246,0.5428,0.5598,0.5513,0.3149,0.3044,0.3096
27.9,0.0353,0.7108,0.7315,0.6649,0.5847,0.6248,0.5533,0.558,0.5556,0.3291,0.3213,0.3252
28,0.0448,0.7057,0.7306,0.6593,0.5895,0.6244,0.5621,0.5534,0.5577,0.3444,0.3348,0.3396
28.1,0.0526,0.7006,0.7231,0.653,0.5926,0.6228,0.5689,0.5462,0.5575,0.3594,0.3443,0.3519
28.2,0.0586,0.6953,0.7097,0.6459,0.594,0.62,0.5739,0.5364,0.5551,0.3733,0.3493,0.3613
28.3,0.0632,0.69,0.6905,0.6383,0.5937,0.616,0.5776,0.524,0.5508,0.3856,0.35,0.3678
28.4,0.0669,0.6845,0.6656,0.6303,0.5909,0.6106,0.5801,0.5091,0.5446,0.3962,0.3472,0.3717
28.5,0.0699,0.6784,0.6353,0.6218,0.5851,0.6034,0.5819,0.4921,0.537,0.405,0.3423,0.3736
28.6,0.0726,0.6711,0.601,0.6122,0.576,0.5941,0.583,0.4734,0.5282,0.4117,0.3368,0.3742
28.7,0.0751,0.6622,0.5644,0.6019,0.5638,0.5828,0.5836,0.454,0.5188,0.4163,0.3315,0.3739
28.8,0.0779,0.652,0.5274,0.5913,0.5487,0.57,0.584,0.4347,0.5094,0.4193,0.3266,0.3729
28.9,0.0816,0.6406,0.4917,0.581,0.5311,0.5561,0.5846,0.4163,0.5005,0.4211,0.3224,0.3718
29,0.0873,0.6282,0.4581,0.5707,0.5111,0.5409,0.5853,0.3997,0.4925,0.4222,0.3197,0.371
29.1,0.0958,0.6147,0.4269,0.56,0.4886,0.5243,0.5861,0.3851,0.4856,0.4233,0.3192,0.3713
29.2,0.1073,0.6,0.3987,0.5487,0.4641,0.5064,0.5864,0.3727,0.4796,0.4248,0.3213,0.3731
29.3,0.1218,0.5846,0.3741,0.5372,0.4383,0.4877,0.5857,0.3621,0.4739,0.4263,0.326,0.3762
29.4,0.1388,0.5695,0.3538,0.526,0.4121,0.4691,0.5833,0.3527,0.468,0.4272,0.333,0.3801
29.5,0.1577,0.5555,0.3381,0.5157,0.3864,0.4511,0.5795,0.3445,0.462,0.4273,0.3423,0.3848
29.6,0.1776,0.5431,0.3272,0.5063,0.3621,0.4342,0.5746,0.3379,0.4563,0.4273,0.3543,0.3908
29.7,0.1977,0.5329,0.3213,0.4979,0.3404,0.4191,0.5691,0.334,0.4516,0.428,0.3694,0.3987
29.8,0.2174,0.5255,0.3208,0.4907,0.3229,0.4068,0.5631,0.3336,0.4484,0.4302,0.388,0.4091
29.9,0.2359,0.5218,0.3255,0.4855,0.311,0.3983,0.557,0.3367,0.4468,0.4342,0.4097,0.4219
