Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
19.6,0.0902,0.519,0.7764,0.5614,0.5301,0.5457,0.6997,0.7645,0.7321,0.5944,0.6058,0.6001
19.7,0.0947,0.5323,0.7908,0.5796,0.5608,0.5702,0.709,0.7817,0.7454,0.5889,0.6032,0.5961
19.8,0.0966,0.5459,0.8059,0.5977,0.5933,0.5955,0.7205,0.7996,0.76,0.5848,0.6032,0.594
19.9,0.0966,0.5591,0.8208,0.6153,0.6262,0.6208,0.7332,0.8172,0.7752,0.5824,0.606,0.5942
20,0.0959,0.5715,0.8349,0.6323,0.6586,0.6454,0.7461,0.8339,0.79,0.5821,0.6113,0.5967
20.1,0.0959,0.5831,0.8473,0.6483,0.6896,0.6689,0.758,0.8486,0.8033,0.5838,0.6185,0.6012
20.2,0.0972,0.5937,0.8571,0.6631,0.7181,0.6906,0.7679,0.8601,0.814,0.5867,0.6268,0.6068
20.3,0.0999,0.6035,0.8636,0.6765,0.7432,0.7099,0.7751,0.8673,0.8212,0.5903,0.6354,0.6129
20.4,0.1043,0.6128,0.8668,0.6887,0.7645,0.7266,0.7793,0.8698,0.8246,0.5942,0.6439,0.6191
20.5,0.1105,0.6218,0.8669,0.6998,0.782,0.7409,0.781,0.8682,0.8246,0.5985,0.6525,0.6255
20.6,0.1191,0.6309,0.8649,0.7104,0.7962,0.7533,0.781,0.8633,0.8221,0.6034,0.6612,0.6323
20.7,0.1302,0.6403,0.8612,0.7203,0.8074,0.7639,0.7798,0.8558,0.8178,0.6087,0.6701,0.6394
20.8,0.1434,0.6505,0.8563,0.7296,0.8158,0.7727,0.7778,0.8461,0.8119,0.6139,0.6787,0.6463
20.9,0.1581,0.6619,0.8502,0.7382,0.8215,0.7798,0.7751,0.8344,0.8048,0.6186,0.6865,0.6525
21,0.174,0.6748,0.8432,0.7462,0.8244,0.7853,0.7724,0.8211,0.7967,0.6225,0.6931,0.6578
21.1,0.1911,0.6896,0.8357,0.7543,0.8249,0.7896,0.7701,0.8068,0.7885,0.6256,0.6986,0.6621
21.2,0.2095,0.7062,0.8284,0.7628,0.8234,0.7931,0.769,0.7926,0.7808,0.6281,0.7032,0.6656
21.3,0.2286,0.7244,0.8216,0.7719,0.8202,0.796,0.7694,0.7791,0.7742,0.6299,0.7069,0.6684
21.4,0.2474,0.744,0.8157,0.781,0.8157,0.7983,0.7714,0.7668,0.7691,0.6312,0.7098,0.6705
21.5,0.2639,0.7647,0.811,0.7897,0.8104,0.8001,0.7752,0.7562,0.7657,0.632,0.7122,0.6721
21.6,0.2763,0.7859,0.8075,0.7977,0.8048,0.8013,0.7806,0.7477,0.7641,0.6327,0.7144,0.6735
21.7,0.2834,0.8069,0.8053,0.8043,0.7989,0.8016,0.7877,0.7414,0.7645,0.6335,0.7166,0.675
21.8,0.2841,0.827,0.8042,0.8086,0.7924,0.8005,0.7961,0.7374,0.7668,0.6347,0.7191,0.6769
21.9,0.2773,0.8461,0.8043,0.8104,0.7855,0.798,0.8056,0.7356,0.7706,0.6364,0.7221,0.6792
22,0.2628,0.8644,0.8058,0.81,0.7788,0.7944,0.8159,0.7359,0.7759,0.6388,0.7262,0.6825
22.1,0.2404,0.8821,0.809,0.8077,0.7733,0.7905,0.8273,0.7388,0.783,0.6424,0.7321,0.6872
22.2,0.2111,0.899,0.8141,0.8043,0.7697,0.787,0.8398,0.7442,0.792,0.6476,0.74,0.6938
22.3,0.1764,0.9139,0.8212,0.8001,0.7681,0.7841,0.8537,0.7522,0.8029,0.6546,0.75,0.7023
22.4,0.1381,0.9259,0.8304,0.7953,0.7681,0.7817,0.8687,0.7621,0.8154,0.6634,0.762,0.7127
22.5,0.0981,0.9349,0.8415,0.7899,0.7694,0.7796,0.8839,0.7733,0.8286,0.674,0.7755,0.7248
22.6,0.0584,0.941,0.8542,0.7841,0.7717,0.7779,0.899,0.7852,0.8421,0.6861,0.79,0.7381
22.7,0.0206,0.9445,0.8682,0.7783,0.7751,0.7767,0.9134,0.7973,0.8553,0.6997,0.8046,0.7521
22.8,-0.0142,0.946,0.8828,0.7729,0.7796,0.7763,0.9271,0.8093,0.8682,0.7145,0.8187,0.7666
22.9,-0.0448,0.9459,0.8976,0.7687,0.7857,0.7772,0.9404,0.821,0.8807,0.7306,0.8321,0.7813
23,-0.0698,0.9452,0.9126,0.7663,0.7936,0.7799,0.9536,0.8326,0.8931,0.7482,0.8451,0.7966
23.1,-0.0879,0.9446,0.9279,0.7663,0.8036,0.7849,0.9671,0.8442,0.9056,0.7677,0.8582,0.8129
23.2,-0.098,0.9445,0.9437,0.7688,0.8158,0.7923,0.9811,0.8561,0.9186,0.7889,0.8719,0.8304
23.3,-0.1003,0.9445,0.9599,0.7735,0.8296,0.8016,0.9957,0.868,0.9319,0.8115,0.8862,0.8488
23.4,-0.0958,0.9438,0.9759,0.7799,0.8444,0.8122,1.011,0.8797,0.9453,0.8346,0.9004,0.8675
23.5,-0.086,0.9421,0.9912,0.7874,0.8595,0.8234,1.0269,0.8904,0.9586,0.8573,0.914,0.8856
23.6,-0.0726,0.9394,1.0051,0.7954,0.8744,0.8349,1.0432,0.8998,0.9715,0.8791,0.9268,0.9029
23.7,-0.0569,0.9356,1.0173,0.8036,0.8888,0.8462,1.0597,0.9083,0.984,0.8997,0.9388,0.9193
23.8,-0.0404,0.9306,1.0273,0.8116,0.9023,0.8569,1.0763,0.916,0.9962,0.9191,0.9499,0.9345
23.9,-0.024,0.9243,1.035,0.8189,0.9145,0.8667,1.093,0.9235,1.0082,0.9368,0.9596,0.9482
24,-0.0087,0.9168,1.0402,0.8255,0.925,0.8752,1.1097,0.9306,1.0202,0.9523,0.9674,0.9599
24.1,0.0049,0.9082,1.043,0.831,0.9333,0.8821,1.1262,0.9373,1.0317,0.9652,0.9732,0.9692
24.2,0.0162,0.8986,1.0436,0.8351,0.9396,0.8874,1.142,0.9434,1.0427,0.9756,0.977,0.9763
24.3,0.0249,0.8883,1.0424,0.8379,0.9442,0.891,1.1568,0.949,1.0529,0.9841,0.9792,0.9816
24.4,0.0308,0.8772,1.0394,0.8392,0.9475,0.8933,1.1699,0.9541,1.062,0.9907,0.9799,0.9853
24.5,0.0343,0.8651,1.0343,0.8391,0.9496,0.8943,1.1807,0.9585,1.0696,0.9957,0.979,0.9873
24.6,0.0356,0.852,1.027,0.8377,0.9504,0.894,1.1887,0.962,1.0753,0.999,0.9763,0.9877
24.7,0.035,0.8379,1.0172,0.8348,0.9497,0.8923,1.1933,0.9641,1.0787,1.0006,0.972,0.9863
24.8,0.0327,0.8228,1.0054,0.8305,0.9472,0.8888,1.1941,0.9647,1.0794,1.0007,0.9664,0.9835
24.9,0.0288,0.8069,0.9919,0.8247,0.9428,0.8838,1.191,0.9639,1.0775,0.9995,0.9595,0.9795
25,0.0234,0.7904,0.9772,0.8176,0.9367,0.8771,1.1837,0.9618,1.0728,0.997,0.9515,0.9743
25.1,0.0171,0.7733,0.9615,0.8092,0.9284,0.8688,1.1722,0.9581,1.0651,0.9928,0.9425,0.9676
25.2,0.0101,0.7558,0.9446,0.7996,0.9178,0.8587,1.1562,0.9528,1.0545,0.9867,0.9327,0.9597
25.3,0.0026,0.7386,0.9272,0.7892,0.9048,0.847,1.136,0.9461,1.041,0.9791,0.9224,0.9507
25.4,-0.0057,0.7224,0.9098,0.7784,0.89,0.8342,1.1123,0.9383,1.0253,0.9701,0.9121,0.9411
25.5,-0.0143,0.7077,0.8929,0.7676,0.8739,0.8207,1.0861,0.9297,1.0079,0.96,0.9018,0.9309
25.6,-0.0222,0.6947,0.8769,0.757,0.8567,0.8069,1.0582,0.9203,0.9893,0.9489,0.8912,0.9201
25.7,-0.0279,0.6832,0.8619,0.7466,0.8388,0.7927,1.0294,0.91,0.9697,0.9368,0.8801,0.9085
25.8,-0.0308,0.6735,0.8477,0.7361,0.8204,0.7782,1.0004,0.8986,0.9495,0.9237,0.8684,0.8961
25.9,-0.0308,0.6662,0.8345,0.7259,0.8023,0.7641,0.9723,0.8869,0.9296,0.9103,0.8563,0.8833
26,-0.0278,0.662,0.8223,0.7165,0.7856,0.751,0.9462,0.8754,0.9108,0.897,0.844,0.8705
26.1,-0.0219,0.6614,0.8115,0.7086,0.7712,0.7399,0.9232,0.8648,0.894,0.8842,0.8319,0.8581
26.2,-0.0129,0.6639,0.8019,0.7025,0.7593,0.7309,0.9036,0.8551,0.8793,0.872,0.8202,0.8461
26.3,-0.001,0.6685,0.7936,0.698,0.7497,0.7239,0.8871,0.846,0.8665,0.8602,0.809,0.8346
26.4,0.0129,0.6744,0.7864,0.6947,0.7419,0.7183,0.8733,0.8372,0.8552,0.8483,0.7983,0.8233
26.5,0.0274,0.6809,0.7802,0.6922,0.7355,0.7138,0.862,0.8285,0.8452,0.8361,0.7878,0.8119
26.6,0.0408,0.6874,0.7747,0.69,0.7303,0.7101,0.8529,0.8199,0.8364,0.823,0.777,0.8
26.7,0.0517,0.6937,0.7697,0.6879,0.7262,0.7071,0.8457,0.8114,0.8285,0.8088,0.7655,0.7872
26.8,0.0596,0.6995,0.7648,0.6857,0.7236,0.7046,0.8397,0.803,0.8213,0.7933,0.7527,0.773
26.9,0.064,0.7048,0.76,0.6833,0.7224,0.7029,0.8343,0.7948,0.8146,0.7761,0.7384,0.7572
27,0.0652,0.7095,0.7554,0.6808,0.7229,0.7018,0.8292,0.7873,0.8083,0.7575,0.7226,0.74
27.1,0.0633,0.7136,0.7509,0.678,0.7245,0.7013,0.8241,0.7806,0.8024,0.7379,0.7053,0.7216
27.2,0.0586,0.7163,0.7467,0.6748,0.727,0.7009,0.8189,0.7746,0.7967,0.7178,0.6867,0.7023
27.3,0.0519,0.7173,0.7433,0.6709,0.73,0.7005,0.8131,0.7691,0.7911,0.6978,0.6672,0.6825
27.4,0.0433,0.7169,0.7422,0.6664,0.7329,0.6996,0.8065,0.764,0.7852,0.6786,0.649,0.6638
27.5,0.0332,0.7152,0.7436,0.6612,0.7353,0.6983,0.799,0.7592,0.7791,0.6615,0.6347,0.6481
27.6,0.0224,0.7124,0.7472,0.6553,0.7369,0.6961,0.7904,0.7545,0.7725,0.6473,0.625,0.6362
27.7,0.0113,0.7082,0.7519,0.6488,0.7372,0.693,0.7811,0.7497,0.7654,0.6363,0.6199,0.6281
27.8,0.0008,0.7028,0.7567,0.6421,0.7357,0.6889,0.7713,0.7446,0.7579,0.6284,0.6186,0.6235
27.9,-0.0087,0.6964,0.7607,0.6355,0.7323,0.6839,0.7616,0.7393,0.7505,0.6235,0.6206,0.6221
28,-0.0166,0.6893,0.7638,0.6293,0.727,0.6782,0.7524,0.7342,0.7433,0.6212,0.6256,0.6234
28.1,-0.0231,0.6816,0.7659,0.6236,0.7203,0.672,0.7436,0.7293,0.7364,0.6211,0.6329,0.627
28.2,-0.0287,0.6735,0.7671,0.6184,0.7125,0.6654,0.735,0.7247,0.7298,0.6223,0.6417,0.632
28.3,-0.0335,0.6648,0.7672,0.6134,0.7038,0.6586,0.7263,0.72,0.7232,0.6239,0.6507,0.6373
28.4,-0.0374,0.6554,0.7657,0.6084,0.6941,0.6513,0.7176,0.715,0.7163,0.6252,0.6591,0.6422
28.5,-0.0397,0.6452,0.7624,0.6031,0.6834,0.6432,0.7086,0.7094,0.709,0.6261,0.6665,0.6463
28.6,-0.0398,0.6343,0.7572,0.597,0.6714,0.6342,0.6993,0.7029,0.7011,0.6263,0.6726,0.6494
28.7,-0.0379,0.6228,0.7504,0.5901,0.6585,0.6243,0.6895,0.6954,0.6925,0.626,0.6773,0.6516
28.8,-0.0345,0.6111,0.7419,0.5828,0.6455,0.6142,0.6795,0.6869,0.6832,0.625,0.6805,0.6527
28.9,-0.0297,0.5995,0.7322,0.5757,0.6333,0.6045,0.6693,0.6777,0.6735,0.6235,0.6824,0.6529
29,-0.0237,0.5883,0.7215,0.5692,0.6224,0.5958,0.6595,0.6681,0.6638,0.6216,0.6829,0.6523
29.1,-0.0165,0.5779,0.7103,0.5635,0.613,0.5883,0.6504,0.6589,0.6546,0.6195,0.6825,0.651
29.2,-0.0087,0.5686,0.6988,0.5589,0.6055,0.5822,0.6421,0.6503,0.6462,0.6175,0.6811,0.6493
29.3,-0.001,0.5609,0.6874,0.5558,0.6002,0.578,0.6349,0.6428,0.6389,0.6157,0.6789,0.6473
29.4,0.0061,0.5552,0.6763,0.5545,0.5977,0.5761,0.6287,0.6366,0.6326,0.6143,0.6758,0.645
29.5,0.0125,0.5514,0.6654,0.5553,0.5981,0.5767,0.6235,0.6314,0.6274,0.6129,0.6717,0.6423
29.6,0.0179,0.5491,0.6548,0.5577,0.6013,0.5795,0.6192,0.6272,0.6232,0.6114,0.6663,0.6389
29.7,0.0219,0.5478,0.6445,0.5614,0.6072,0.5843,0.6159,0.6238,0.6199,0.6097,0.6598,0.6347
29.8,0.0234,0.5477,0.6348,0.566,0.6158,0.5909,0.6138,0.6211,0.6174,0.6079,0.652,0.6299
29.9,0.0218,0.5491,0.6263,0.5715,0.6271,0.5993,0.613,0.6194,0.6162,0.6063,0.6433,0.6248
