Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.7,-0.1564,0.7835,0.7838,0.6612,0.7824,0.7218,0.7991,0.7122,0.7557,0.8263,0.7854,0.8058
4.8,-0.1405,0.7839,0.7965,0.6683,0.7735,0.7209,0.7986,0.7151,0.7568,0.8264,0.7941,0.8102
4.9,-0.1242,0.7836,0.807,0.6746,0.7653,0.72,0.7974,0.7164,0.7569,0.8242,0.8017,0.8129
5,-0.1083,0.7829,0.815,0.6805,0.7585,0.7195,0.7957,0.7164,0.7561,0.8195,0.8079,0.8137
5.1,-0.0936,0.7823,0.8211,0.6867,0.754,0.7203,0.7941,0.7159,0.755,0.813,0.8128,0.8129
5.2,-0.0807,0.7826,0.8258,0.6935,0.7523,0.7229,0.7934,0.7158,0.7546,0.8054,0.8172,0.8113
5.3,-0.0698,0.7845,0.8299,0.7011,0.7536,0.7274,0.7941,0.7166,0.7553,0.798,0.8218,0.8099
5.4,-0.061,0.7881,0.8339,0.7092,0.7578,0.7335,0.7962,0.7184,0.7573,0.7914,0.8271,0.8093
5.5,-0.054,0.7936,0.8376,0.7176,0.7648,0.7412,0.7996,0.7207,0.7601,0.7861,0.8331,0.8096
5.6,-0.0486,0.801,0.8411,0.7263,0.7739,0.7501,0.804,0.7231,0.7636,0.7823,0.8397,0.811
5.7,-0.0446,0.8099,0.844,0.7349,0.7844,0.7596,0.8093,0.7257,0.7675,0.7802,0.8466,0.8134
5.8,-0.0421,0.8198,0.846,0.7429,0.7951,0.769,0.815,0.7282,0.7716,0.7793,0.8533,0.8163
5.9,-0.0411,0.8299,0.8468,0.7497,0.8053,0.7775,0.8209,0.7306,0.7758,0.7792,0.8593,0.8192
6,-0.0414,0.8396,0.846,0.7549,0.8145,0.7847,0.8269,0.7325,0.7797,0.7793,0.8641,0.8217
6.1,-0.0427,0.8482,0.8438,0.7581,0.8222,0.7902,0.8329,0.7336,0.7832,0.7796,0.8678,0.8237
6.2,-0.0445,0.8553,0.8403,0.7593,0.8281,0.7937,0.8388,0.7339,0.7863,0.7799,0.8704,0.8252
6.3,-0.0462,0.8605,0.8357,0.758,0.832,0.795,0.8443,0.7334,0.7888,0.7803,0.8721,0.8262
6.4,-0.0472,0.8635,0.8298,0.7542,0.8336,0.7939,0.849,0.732,0.7905,0.7806,0.8727,0.8266
6.5,-0.0472,0.8642,0.8224,0.7478,0.8327,0.7903,0.8526,0.7297,0.7911,0.7805,0.8717,0.8261
