Time,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.3,0.0049,0.2316,0.4107,0.3791,0.1755,0.2773,0.409,0.5867,0.4978,0.4567,0.4926,0.4747
4.4,0.0389,0.2568,0.4158,0.4011,0.2092,0.3051,0.4046,0.5914,0.498,0.4497,0.4762,0.4629
4.5,0.0661,0.2866,0.4209,0.4224,0.2462,0.3343,0.4023,0.5958,0.4991,0.4415,0.4593,0.4504
4.6,0.0839,0.3196,0.4263,0.4426,0.2867,0.3647,0.4021,0.6003,0.5012,0.4322,0.4424,0.4373
4.7,0.0911,0.3548,0.432,0.4611,0.3303,0.3957,0.404,0.605,0.5045,0.4226,0.4262,0.4244
4.8,0.0873,0.3915,0.438,0.477,0.3759,0.4264,0.4077,0.6097,0.5087,0.4132,0.4113,0.4122
4.9,0.0736,0.4295,0.4438,0.4901,0.4223,0.4562,0.4127,0.6141,0.5134,0.4044,0.3976,0.401
5,0.0525,0.4685,0.4489,0.5011,0.4681,0.4846,0.4181,0.6178,0.5179,0.3965,0.3855,0.391
5.1,0.0274,0.5073,0.4529,0.5107,0.5117,0.5112,0.423,0.6204,0.5217,0.39,0.3751,0.3826
5.2,0.0016,0.5442,0.4561,0.5194,0.5512,0.5353,0.427,0.6218,0.5244,0.3855,0.3669,0.3762
5.3,-0.0228,0.5776,0.4592,0.5274,0.5855,0.5564,0.4301,0.6223,0.5262,0.3834,0.3615,0.3724
5.4,-0.0452,0.607,0.4623,0.535,0.6139,0.5745,0.433,0.6218,0.5274,0.3833,0.359,0.3712
5.5,-0.0657,0.6321,0.4655,0.5428,0.6365,0.5896,0.4358,0.6205,0.5281,0.3849,0.359,0.3719
5.6,-0.0842,0.6528,0.4689,0.551,0.6532,0.6021,0.4382,0.618,0.5281,0.3877,0.3613,0.3745
5.7,-0.1001,0.6687,0.4727,0.5595,0.6645,0.612,0.4398,0.6138,0.5268,0.3918,0.3661,0.379
5.8,-0.1131,0.6795,0.4772,0.5684,0.6713,0.6199,0.4398,0.6078,0.5238,0.3974,0.3735,0.3854
5.9,-0.1229,0.6855,0.4824,0.578,0.6748,0.6264,0.438,0.6003,0.5192,0.4044,0.3831,0.3938
6,-0.1299,0.6875,0.4882,0.5883,0.6757,0.632,0.4339,0.5919,0.5129,0.4128,0.3946,0.4037
6.1,-0.134,0.6864,0.4939,0.5992,0.6745,0.6369,0.4276,0.5826,0.5051,0.4222,0.408,0.4151
6.2,-0.1357,0.6832,0.4992,0.6108,0.6716,0.6412,0.4196,0.5728,0.4962,0.4324,0.4233,0.4278
6.3,-0.1352,0.6781,0.5044,0.6235,0.6672,0.6454,0.4105,0.563,0.4868,0.4432,0.4408,0.442
6.4,-0.1325,0.6715,0.51,0.6377,0.6617,0.6497,0.4011,0.5537,0.4774,0.4545,0.4604,0.4575
6.5,-0.1266,0.6636,0.5157,0.6531,0.6552,0.6541,0.3917,0.5452,0.4685,0.4662,0.4818,0.474
6.6,-0.1162,0.6547,0.5211,0.669,0.6474,0.6582,0.3829,0.538,0.4605,0.4777,0.5038,0.4908
6.7,-0.1001,0.6453,0.5255,0.6843,0.6381,0.6612,0.3755,0.5324,0.454,0.4887,0.5258,0.5072
6.8,-0.0789,0.6355,0.5288,0.6982,0.627,0.6626,0.37,0.5284,0.4492,0.4986,0.5471,0.5229
6.9,-0.0534,0.6253,0.5313,0.7098,0.6138,0.6618,0.3666,0.5257,0.4461,0.5069,0.5677,0.5373
7,-0.0254,0.6149,0.5332,0.7187,0.5987,0.6587,0.365,0.5238,0.4444,0.5135,0.5873,0.5504
7.1,0.0029,0.6044,0.5343,0.724,0.5821,0.6531,0.3647,0.5228,0.4438,0.5185,0.6058,0.5621
7.2,0.0298,0.5936,0.535,0.7249,0.5646,0.6448,0.3655,0.5237,0.4446,0.5228,0.6233,0.573
7.3,0.0538,0.5824,0.536,0.7209,0.5466,0.6338,0.3679,0.5273,0.4476,0.5273,0.6403,0.5838
7.4,0.0742,0.5712,0.5374,0.7126,0.5287,0.6207,0.3727,0.5335,0.4531,0.5328,0.6572,0.595
7.5,0.0915,0.5608,0.539,0.7009,0.5114,0.6062,0.3809,0.5415,0.4612,0.5392,0.6735,0.6064
7.6,0.1065,0.5524,0.54,0.687,0.495,0.591,0.3928,0.5498,0.4713,0.5459,0.6879,0.6169
7.7,0.1196,0.5463,0.5405,0.6719,0.4803,0.5761,0.4081,0.5578,0.483,0.5517,0.6996,0.6256
7.8,0.1307,0.5425,0.5401,0.6563,0.4681,0.5622,0.4259,0.5653,0.4956,0.5559,0.7081,0.632
7.9,0.1395,0.5405,0.5377,0.6407,0.4586,0.5497,0.4449,0.5721,0.5085,0.5583,0.7135,0.6359
8,0.1465,0.5392,0.5323,0.6253,0.451,0.5382,0.4632,0.5774,0.5203,0.5588,0.7157,0.6372
8.1,0.1531,0.5379,0.5234,0.6106,0.4442,0.5274,0.4793,0.5801,0.5297,0.5576,0.7148,0.6362
8.2,0.1609,0.536,0.5103,0.5971,0.4373,0.5172,0.4924,0.5796,0.536,0.5549,0.7107,0.6328
8.3,0.1709,0.5323,0.493,0.5854,0.4296,0.5075,0.5024,0.5755,0.5389,0.5512,0.7037,0.6274
8.4,0.1824,0.5259,0.4719,0.5757,0.4209,0.4983,0.5094,0.5676,0.5385,0.5467,0.6944,0.6206
8.5,0.1939,0.5163,0.4482,0.568,0.4112,0.4896,0.5131,0.5564,0.5347,0.5418,0.6838,0.6128
8.6,0.2039,0.5035,0.4226,0.5617,0.4005,0.4811,0.5131,0.5425,0.5278,0.5362,0.6727,0.6045
8.7,0.2122,0.4882,0.3957,0.5568,0.3889,0.4728,0.5091,0.5265,0.5178,0.5296,0.6617,0.5956
8.8,0.2192,0.4707,0.3669,0.5531,0.3765,0.4648,0.5005,0.5085,0.5045,0.5218,0.6509,0.5863
8.9,0.225,0.4516,0.336,0.55,0.3635,0.4568,0.4872,0.4881,0.4876,0.5134,0.6402,0.5768
9,0.229,0.4309,0.303,0.5464,0.35,0.4482,0.4688,0.4651,0.467,0.505,0.6299,0.5675
9.1,0.2305,0.4088,0.2689,0.5414,0.3362,0.4388,0.4454,0.4399,0.4426,0.4974,0.6206,0.559
9.2,0.2296,0.3853,0.2346,0.5344,0.3226,0.4285,0.4174,0.4128,0.4151,0.4911,0.6128,0.5519
9.3,0.2271,0.3608,0.2007,0.5254,0.3097,0.4175,0.386,0.3847,0.3853,0.4862,0.6069,0.5465
9.4,0.2243,0.3354,0.168,0.5143,0.2977,0.406,0.3521,0.3558,0.3539,0.4827,0.6029,0.5428
9.5,0.2217,0.3089,0.1372,0.5011,0.2866,0.3938,0.3161,0.3261,0.3211,0.48,0.6,0.54
9.6,0.2191,0.2812,0.1091,0.4856,0.2761,0.3809,0.2782,0.2958,0.287,0.4773,0.5974,0.5374
9.7,0.2161,0.2525,0.0849,0.4678,0.2667,0.3672,0.2389,0.2652,0.2521,0.4743,0.5947,0.5345
9.8,0.2128,0.2235,0.0656,0.4476,0.2593,0.3534,0.1996,0.2356,0.2176,0.4718,0.5923,0.532
9.9,0.2094,0.1957,0.052,0.4252,0.2555,0.3404,0.1616,0.2083,0.1849,0.4705,0.5916,0.5311
10,0.206,0.1707,0.0442,0.4011,0.2564,0.3288,0.1262,0.1837,0.155,0.4711,0.5931,0.5321
