Time,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC,The Bottle-O - Walking on Sunshine Parody 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
18.6,-0.0733,0.4002,-0.0764,0.1623,0.5361,0.3492,0.3304,0.1535,0.242,0.3002,0.3561,0.3282
18.7,-0.1117,0.4006,-0.0704,0.1619,0.5445,0.3532,0.3238,0.1435,0.2337,0.3011,0.3589,0.33
18.8,-0.1534,0.4009,-0.059,0.1636,0.5518,0.3577,0.3205,0.1383,0.2294,0.3042,0.363,0.3336
18.9,-0.1977,0.401,-0.0424,0.1673,0.5575,0.3624,0.3208,0.1381,0.2294,0.309,0.3677,0.3384
19,-0.2434,0.4004,-0.0213,0.1729,0.5612,0.3671,0.3245,0.1431,0.2338,0.3151,0.3724,0.3437
19.1,-0.2884,0.3986,0.0029,0.1804,0.5627,0.3715,0.3313,0.1529,0.2421,0.3224,0.3767,0.3496
19.2,-0.3307,0.3953,0.0284,0.1889,0.5616,0.3753,0.3406,0.1666,0.2536,0.3312,0.3802,0.3557
19.3,-0.3686,0.3903,0.0542,0.1979,0.5579,0.3779,0.3516,0.1834,0.2675,0.3414,0.3828,0.3621
19.4,-0.4013,0.3839,0.0804,0.2068,0.5524,0.3796,0.3637,0.2031,0.2834,0.3527,0.3845,0.3686
19.5,-0.4287,0.377,0.1082,0.2159,0.5462,0.381,0.377,0.2258,0.3014,0.3654,0.3859,0.3756
19.6,-0.4507,0.3703,0.1382,0.2256,0.5404,0.383,0.3911,0.2506,0.3209,0.3801,0.3875,0.3838
19.7,-0.4664,0.3642,0.1702,0.2356,0.5349,0.3853,0.4055,0.2768,0.3411,0.3971,0.3896,0.3934
19.8,-0.475,0.3583,0.203,0.2458,0.5289,0.3873,0.4192,0.3031,0.3611,0.4161,0.3922,0.4041
19.9,-0.4762,0.3521,0.2348,0.2562,0.522,0.3891,0.4314,0.3285,0.38,0.4364,0.3951,0.4158
20,-0.4714,0.3458,0.2644,0.2671,0.5152,0.3912,0.442,0.3523,0.3971,0.4574,0.3984,0.4279
20.1,-0.4624,0.3402,0.2908,0.2789,0.5097,0.3943,0.451,0.3738,0.4124,0.4788,0.4022,0.4405
20.2,-0.4511,0.3368,0.3129,0.2916,0.5064,0.399,0.4587,0.3926,0.4256,0.5003,0.4061,0.4532
20.3,-0.4386,0.336,0.3298,0.305,0.5053,0.4051,0.4653,0.4081,0.4367,0.5211,0.4097,0.4654
20.4,-0.4242,0.337,0.3408,0.3186,0.5058,0.4122,0.4706,0.4199,0.4453,0.5405,0.4125,0.4765
20.5,-0.406,0.3386,0.3458,0.3321,0.5073,0.4197,0.4747,0.4278,0.4512,0.5581,0.4144,0.4862
20.6,-0.3831,0.3397,0.345,0.3451,0.5093,0.4272,0.4775,0.4318,0.4547,0.574,0.4157,0.4949
20.7,-0.3557,0.3398,0.3385,0.3569,0.5111,0.434,0.4793,0.4317,0.4555,0.5888,0.4171,0.5029
20.8,-0.3256,0.3389,0.3267,0.3669,0.5118,0.4393,0.4806,0.427,0.4538,0.6029,0.4189,0.5109
20.9,-0.2944,0.337,0.3103,0.3747,0.5108,0.4427,0.4814,0.4175,0.4495,0.6167,0.421,0.5189
21,-0.2633,0.3335,0.2899,0.3798,0.5075,0.4437,0.4815,0.4035,0.4425,0.6301,0.423,0.5265
21.1,-0.234,0.3274,0.2666,0.3816,0.5022,0.4419,0.48,0.3859,0.433,0.6424,0.4247,0.5335
21.2,-0.2068,0.3183,0.2409,0.3793,0.4947,0.437,0.4764,0.3656,0.421,0.6531,0.426,0.5396
21.3,-0.1822,0.3059,0.214,0.3724,0.4848,0.4286,0.4713,0.3434,0.4073,0.6617,0.427,0.5444
21.4,-0.1602,0.2911,0.1865,0.3609,0.4726,0.4167,0.4653,0.3198,0.3925,0.6679,0.4278,0.5479
21.5,-0.1409,0.2745,0.1595,0.3447,0.4581,0.4014,0.459,0.2952,0.3771,0.6716,0.4284,0.55
21.6,-0.1245,0.2568,0.1333,0.3239,0.4414,0.3826,0.4527,0.2699,0.3613,0.6724,0.429,0.5507
21.7,-0.1105,0.2378,0.108,0.2984,0.4228,0.3606,0.4467,0.2448,0.3457,0.6705,0.4299,0.5502
21.8,-0.0993,0.2181,0.0838,0.2688,0.4032,0.336,0.4413,0.2207,0.331,0.6662,0.4316,0.5489
21.9,-0.0917,0.199,0.0609,0.2366,0.3835,0.3101,0.4367,0.1991,0.3179,0.6601,0.4342,0.5471
22,-0.0881,0.1825,0.0405,0.2037,0.3653,0.2845,0.4331,0.1809,0.307,0.6528,0.4375,0.5452
22.1,-0.0879,0.1703,0.0235,0.1721,0.3495,0.2608,0.4304,0.166,0.2982,0.6442,0.4413,0.5428
22.2,-0.0908,0.1637,0.0105,0.1431,0.3373,0.2402,0.4285,0.1539,0.2912,0.6339,0.4455,0.5397
22.3,-0.097,0.1638,0.0015,0.1177,0.3295,0.2236,0.4272,0.1446,0.2859,0.6221,0.4501,0.5361
22.4,-0.1075,0.1711,-0.0033,0.0967,0.3267,0.2117,0.4263,0.1385,0.2824,0.609,0.4551,0.5321
22.5,-0.1232,0.1852,-0.0037,0.0802,0.3288,0.2045,0.4258,0.1362,0.281,0.5953,0.4603,0.5278
22.6,-0.1433,0.2048,0.0001,0.0675,0.3342,0.2009,0.4252,0.1379,0.2816,0.5812,0.4656,0.5234
22.7,-0.1651,0.2288,0.0076,0.0589,0.3421,0.2005,0.4249,0.1433,0.2841,0.5669,0.471,0.5189
22.8,-0.1863,0.2565,0.0178,0.0562,0.3521,0.2042,0.4252,0.1521,0.2887,0.5528,0.4766,0.5147
22.9,-0.2051,0.2871,0.0299,0.0611,0.365,0.213,0.4272,0.1643,0.2957,0.5394,0.4828,0.5111
23,-0.2199,0.3195,0.0428,0.0743,0.3807,0.2275,0.4314,0.1795,0.3055,0.5276,0.4898,0.5087
23.1,-0.2304,0.3522,0.0556,0.0947,0.3988,0.2468,0.4382,0.1974,0.3178,0.5178,0.4976,0.5077
23.2,-0.2372,0.384,0.0678,0.1203,0.4185,0.2694,0.4474,0.2176,0.3325,0.5099,0.5062,0.5081
23.3,-0.2425,0.4148,0.0792,0.149,0.4397,0.2944,0.4588,0.2394,0.3491,0.5042,0.5154,0.5098
23.4,-0.2473,0.4445,0.09,0.1794,0.4619,0.3206,0.472,0.2623,0.3671,0.5007,0.525,0.5129
23.5,-0.2499,0.4725,0.1005,0.21,0.4838,0.3469,0.4861,0.2855,0.3858,0.4993,0.5348,0.517
23.6,-0.248,0.4973,0.1099,0.2398,0.5036,0.3717,0.5004,0.3078,0.4041,0.4999,0.5443,0.5221
23.7,-0.2409,0.5169,0.1179,0.267,0.5196,0.3933,0.514,0.3285,0.4212,0.502,0.5531,0.5276
23.8,-0.2295,0.5304,0.1248,0.2898,0.5309,0.4104,0.5263,0.3472,0.4367,0.505,0.5607,0.5329
23.9,-0.2154,0.5377,0.1305,0.3078,0.5374,0.4226,0.5367,0.3634,0.45,0.5082,0.5666,0.5374
24,-0.1996,0.539,0.1349,0.3207,0.5392,0.43,0.5445,0.3764,0.4605,0.5112,0.5703,0.5408
24.1,-0.1828,0.5347,0.138,0.329,0.5362,0.4326,0.5494,0.3861,0.4678,0.5138,0.5716,0.5427
24.2,-0.1663,0.5249,0.1403,0.3331,0.5287,0.4309,0.5511,0.3928,0.472,0.5157,0.5702,0.5429
24.3,-0.1516,0.5098,0.1424,0.3337,0.5172,0.4254,0.5498,0.3969,0.4734,0.5161,0.5657,0.5409
24.4,-0.1399,0.49,0.1439,0.3306,0.5016,0.4161,0.5451,0.398,0.4715,0.5144,0.5576,0.536
24.5,-0.1309,0.4658,0.1441,0.3234,0.4813,0.4023,0.5369,0.3949,0.4659,0.5105,0.546,0.5282
24.6,-0.124,0.4379,0.1422,0.3118,0.4558,0.3838,0.5259,0.3865,0.4562,0.5046,0.5311,0.5179
24.7,-0.1196,0.4071,0.1378,0.2961,0.4254,0.3607,0.5131,0.3728,0.443,0.4978,0.5141,0.5059
24.8,-0.1189,0.3751,0.1318,0.277,0.392,0.3345,0.4995,0.355,0.4272,0.4909,0.4957,0.4933
24.9,-0.1222,0.3438,0.1249,0.2559,0.3577,0.3068,0.4855,0.3349,0.4102,0.4844,0.4764,0.4804
25,-0.1292,0.3152,0.118,0.234,0.3248,0.2794,0.4717,0.3137,0.3927,0.4783,0.4562,0.4673
25.1,-0.1378,0.2911,0.1116,0.2126,0.2951,0.2539,0.4583,0.2926,0.3754,0.4725,0.4351,0.4538
25.2,-0.1453,0.2734,0.1062,0.1932,0.2701,0.2317,0.4459,0.2728,0.3593,0.467,0.4129,0.44
25.3,-0.1488,0.2634,0.1017,0.1774,0.2513,0.2144,0.4357,0.2552,0.3455,0.462,0.3903,0.4262
25.4,-0.1473,0.2611,0.0977,0.1671,0.2403,0.2037,0.4294,0.2406,0.335,0.4576,0.368,0.4128
25.5,-0.1419,0.2658,0.0938,0.163,0.2379,0.2005,0.4282,0.2297,0.329,0.4539,0.3466,0.4003
25.6,-0.1355,0.2768,0.0901,0.1649,0.2445,0.2047,0.4328,0.224,0.3284,0.4512,0.3273,0.3893
25.7,-0.1318,0.2933,0.0879,0.1724,0.2593,0.2158,0.4439,0.2255,0.3347,0.4501,0.3109,0.3805
25.8,-0.1343,0.3144,0.0886,0.185,0.2807,0.2329,0.4617,0.2356,0.3487,0.4515,0.2984,0.3749
25.9,-0.1454,0.3389,0.0931,0.2025,0.3073,0.2549,0.4864,0.2542,0.3703,0.4561,0.2902,0.3731
26,-0.1668,0.3661,0.1014,0.2245,0.3377,0.2811,0.5168,0.2792,0.398,0.4638,0.2867,0.3753
26.1,-0.2,0.3956,0.1132,0.2499,0.3713,0.3106,0.5509,0.3084,0.4297,0.4741,0.2876,0.3809
26.2,-0.2455,0.4275,0.129,0.277,0.4074,0.3422,0.5868,0.3397,0.4633,0.4861,0.2929,0.3895
26.3,-0.3032,0.461,0.149,0.3028,0.4443,0.3736,0.6226,0.3722,0.4974,0.4993,0.3022,0.4007
26.4,-0.3717,0.4944,0.1732,0.3243,0.4798,0.4021,0.657,0.405,0.531,0.5126,0.3149,0.4137
26.5,-0.4479,0.5266,0.201,0.3407,0.5123,0.4265,0.6888,0.4376,0.5632,0.5249,0.3297,0.4273
26.6,-0.5277,0.5571,0.2319,0.3523,0.5411,0.4467,0.7169,0.4693,0.5931,0.5347,0.3448,0.4397
26.7,-0.6073,0.586,0.2656,0.3607,0.5659,0.4633,0.7404,0.4999,0.6202,0.541,0.3587,0.4498
26.8,-0.6831,0.6129,0.3019,0.367,0.5871,0.4771,0.7592,0.5294,0.6443,0.5433,0.3707,0.457
26.9,-0.7535,0.637,0.3402,0.3718,0.6049,0.4884,0.7734,0.5579,0.6657,0.5424,0.3811,0.4617
27,-0.8176,0.6578,0.3794,0.3753,0.6198,0.4976,0.7836,0.585,0.6843,0.5395,0.3901,0.4648
27.1,-0.8742,0.6752,0.4193,0.3779,0.6323,0.5051,0.7903,0.6106,0.7004,0.5361,0.3986,0.4673
27.2,-0.921,0.6897,0.4602,0.3807,0.6428,0.5118,0.7934,0.6354,0.7144,0.5337,0.4075,0.4706
27.3,-0.9552,0.7013,0.5031,0.3853,0.6517,0.5185,0.7933,0.66,0.7267,0.5336,0.418,0.4758
27.4,-0.975,0.7093,0.5484,0.3928,0.6591,0.5259,0.7906,0.6853,0.738,0.5369,0.4312,0.484
27.5,-0.981,0.7127,0.5958,0.4027,0.6646,0.5337,0.786,0.7115,0.7487,0.5436,0.4476,0.4956
27.6,-0.9745,0.7113,0.6435,0.4145,0.6682,0.5414,0.7799,0.7378,0.7589,0.5539,0.4675,0.5107
27.7,-0.9561,0.7052,0.6888,0.4277,0.6696,0.5487,0.7723,0.7631,0.7677,0.5681,0.4909,0.5295
27.8,-0.9252,0.6947,0.7293,0.4432,0.6686,0.5559,0.7624,0.7871,0.7747,0.5863,0.5177,0.552
27.9,-0.8814,0.6804,0.7643,0.4627,0.6661,0.5644,0.7496,0.8097,0.7797,0.6088,0.5478,0.5783
28,-0.8255,0.6628,0.7933,0.487,0.6631,0.575,0.7343,0.8307,0.7825,0.6354,0.581,0.6082
28.1,-0.7597,0.6427,0.8156,0.515,0.6602,0.5876,0.7168,0.8491,0.7829,0.6651,0.6164,0.6407
28.2,-0.6866,0.6205,0.83,0.545,0.6576,0.6013,0.6974,0.8632,0.7803,0.6963,0.6529,0.6746
28.3,-0.6079,0.5967,0.8356,0.5758,0.6548,0.6153,0.6766,0.8714,0.774,0.7275,0.6891,0.7083
28.4,-0.5245,0.5719,0.8321,0.6069,0.6519,0.6294,0.6553,0.8733,0.7643,0.7577,0.7237,0.7407
28.5,-0.4374,0.547,0.8198,0.638,0.6488,0.6434,0.6343,0.8696,0.7519,0.7865,0.7561,0.7713
28.6,-0.3473,0.5228,0.7996,0.6689,0.6461,0.6575,0.6146,0.862,0.7383,0.814,0.7862,0.8001
28.7,-0.2554,0.4999,0.7724,0.6991,0.6444,0.6717,0.5969,0.8514,0.7241,0.8403,0.8143,0.8273
28.8,-0.1635,0.4792,0.74,0.7285,0.644,0.6862,0.581,0.839,0.71,0.8644,0.8396,0.852
28.9,-0.0742,0.4621,0.7049,0.7578,0.6452,0.7015,0.5662,0.8261,0.6962,0.8853,0.8608,0.873
29,0.0104,0.4508,0.6704,0.788,0.6479,0.7179,0.5514,0.8142,0.6828,0.9019,0.8762,0.8891
29.1,0.0887,0.447,0.6385,0.8195,0.652,0.7357,0.536,0.8041,0.67,0.9138,0.8843,0.899
29.2,0.1602,0.4517,0.6099,0.8522,0.6582,0.7552,0.5207,0.7955,0.6581,0.9206,0.884,0.9023
29.3,0.2232,0.4654,0.5843,0.8858,0.6674,0.7766,0.5071,0.7876,0.6473,0.9223,0.8737,0.898
29.4,0.2743,0.4886,0.5617,0.9196,0.6811,0.8004,0.4958,0.7804,0.6381,0.918,0.8522,0.8851
29.5,0.3099,0.522,0.5431,0.9527,0.7002,0.8265,0.4875,0.7748,0.6311,0.9072,0.8195,0.8633
29.6,0.3288,0.5663,0.5293,0.9848,0.7251,0.855,0.4838,0.772,0.6279,0.8905,0.7769,0.8337
29.7,0.3318,0.6206,0.5196,1.0158,0.7553,0.8856,0.4873,0.7733,0.6303,0.8688,0.727,0.7979
29.8,0.3189,0.6818,0.5126,1.0456,0.7896,0.9176,0.5004,0.7784,0.6394,0.8433,0.6718,0.7575
29.9,0.2886,0.7448,0.5071,1.0733,0.8253,0.9493,0.5236,0.7858,0.6547,0.8146,0.6127,0.7137
