Time,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC,Coca Cola - Real Magic 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3224,0.8678,0.4465,0.2529,0.256,0.2544,0.4241,0.1423,0.2832,0.7777,0.7402,0.759
0.1,-0.2397,0.8092,0.4555,0.2317,0.2737,0.2527,0.4149,0.1406,0.2778,0.7835,0.7073,0.7454
0.2,-0.1526,0.7446,0.4665,0.2108,0.2935,0.2521,0.4132,0.143,0.2781,0.7917,0.6769,0.7343
0.3,-0.0674,0.6768,0.478,0.1899,0.313,0.2515,0.4198,0.148,0.2839,0.8023,0.651,0.7266
0.4,0.0094,0.6101,0.4899,0.1702,0.3305,0.2503,0.4353,0.1557,0.2955,0.8151,0.6319,0.7235
0.5,0.0712,0.5494,0.5024,0.1534,0.3452,0.2493,0.4592,0.167,0.3131,0.8298,0.6218,0.7258
0.6,0.1129,0.4984,0.5156,0.1414,0.3573,0.2493,0.4897,0.1823,0.336,0.8455,0.6216,0.7336
0.7,0.1333,0.4587,0.529,0.135,0.3668,0.2509,0.524,0.2014,0.3627,0.8608,0.6306,0.7457
0.8,0.1358,0.4302,0.5424,0.1337,0.3738,0.2538,0.5595,0.2231,0.3913,0.8739,0.6467,0.7603
0.9,0.1262,0.4112,0.556,0.1375,0.3781,0.2578,0.5943,0.2466,0.4205,0.8842,0.6667,0.7754
1,0.1096,0.4005,0.5703,0.1464,0.3802,0.2633,0.6277,0.2719,0.4498,0.8924,0.6882,0.7903
1.1,0.0892,0.3967,0.5857,0.1606,0.381,0.2708,0.6584,0.299,0.4787,0.8996,0.7096,0.8046
1.2,0.0661,0.3991,0.6022,0.1794,0.3818,0.2806,0.6856,0.328,0.5068,0.9061,0.7297,0.8179
1.3,0.0408,0.407,0.6195,0.2015,0.3844,0.2929,0.709,0.3586,0.5338,0.9122,0.7475,0.8299
1.4,0.0138,0.4198,0.6374,0.2258,0.3898,0.3078,0.7287,0.3916,0.5602,0.9187,0.7626,0.8406
1.5,-0.0147,0.4368,0.6558,0.2516,0.3988,0.3252,0.7454,0.428,0.5867,0.9259,0.7753,0.8506
1.6,-0.0447,0.4566,0.6745,0.2782,0.4116,0.3449,0.7596,0.4683,0.614,0.9337,0.7865,0.8601
1.7,-0.0764,0.4777,0.6931,0.3048,0.428,0.3664,0.7709,0.5117,0.6413,0.9406,0.7968,0.8687
1.8,-0.1092,0.4987,0.711,0.3301,0.4475,0.3888,0.7791,0.556,0.6676,0.9442,0.8059,0.8751
1.9,-0.1413,0.5184,0.7275,0.3534,0.4696,0.4115,0.7844,0.599,0.6917,0.9427,0.8129,0.8778
2,-0.1715,0.5367,0.7422,0.3753,0.4936,0.4344,0.7874,0.6389,0.7132,0.9359,0.8174,0.8766
2.1,-0.1991,0.5541,0.7555,0.3971,0.5192,0.4581,0.7891,0.6753,0.7322,0.9241,0.8199,0.872
2.2,-0.2244,0.5711,0.7675,0.4197,0.5457,0.4827,0.7899,0.7075,0.7487,0.907,0.8212,0.8641
2.3,-0.2469,0.5873,0.7777,0.4427,0.5715,0.5071,0.7893,0.734,0.7616,0.8841,0.8213,0.8527
2.4,-0.2659,0.6024,0.7855,0.4653,0.5949,0.5301,0.7872,0.753,0.7701,0.855,0.8197,0.8373
2.5,-0.2799,0.6158,0.7904,0.4868,0.6141,0.5504,0.7836,0.7637,0.7737,0.8208,0.8163,0.8186
2.6,-0.288,0.6273,0.7921,0.5069,0.6284,0.5676,0.7793,0.7662,0.7727,0.7845,0.8124,0.7985
2.7,-0.2889,0.6365,0.7907,0.5255,0.638,0.5817,0.7753,0.7611,0.7682,0.7495,0.8095,0.7795
