Time,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC,Carlton Draught - See you at the pub 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24,-0.3318,0.627,0.7028,0.318,0.5656,0.4418,0.6434,0.6132,0.6283,0.6295,0.6756,0.6525
24.1,-0.3547,0.635,0.7169,0.3146,0.5692,0.4419,0.6389,0.6253,0.6321,0.6179,0.6721,0.645
24.2,-0.3761,0.6438,0.7288,0.3153,0.5745,0.4449,0.6322,0.6349,0.6336,0.606,0.6673,0.6367
24.3,-0.394,0.6529,0.7379,0.3203,0.5807,0.4505,0.6236,0.6414,0.6325,0.5938,0.6617,0.6277
24.4,-0.4061,0.6611,0.7441,0.3291,0.5868,0.4579,0.6132,0.6443,0.6288,0.5812,0.6553,0.6183
24.5,-0.4109,0.6678,0.7474,0.3405,0.5919,0.4662,0.6017,0.6432,0.6225,0.5685,0.6481,0.6083
24.6,-0.4084,0.6731,0.7483,0.354,0.5952,0.4746,0.5896,0.6384,0.614,0.5558,0.6405,0.5981
24.7,-0.3988,0.6776,0.7477,0.37,0.5964,0.4832,0.5776,0.6303,0.6039,0.5435,0.6327,0.5881
24.8,-0.382,0.6816,0.7455,0.3884,0.5949,0.4917,0.5662,0.6193,0.5928,0.5318,0.6246,0.5782
24.9,-0.3573,0.6845,0.7408,0.4091,0.5908,0.5,0.5562,0.6059,0.581,0.5213,0.616,0.5687
25,-0.3246,0.6855,0.7331,0.4315,0.5842,0.5078,0.5487,0.5906,0.5696,0.5121,0.6066,0.5593
25.1,-0.2854,0.6835,0.7224,0.4547,0.5752,0.5149,0.5445,0.5746,0.5595,0.5044,0.5962,0.5503
25.2,-0.242,0.6778,0.7095,0.4777,0.5643,0.521,0.5441,0.5587,0.5514,0.4989,0.585,0.5419
25.3,-0.1966,0.6686,0.6951,0.5002,0.5518,0.526,0.5478,0.544,0.5459,0.4959,0.5731,0.5345
25.4,-0.1511,0.6567,0.6796,0.5219,0.5376,0.5298,0.5555,0.5307,0.5431,0.4952,0.5609,0.528
25.5,-0.1067,0.6427,0.6628,0.5418,0.5217,0.5318,0.5668,0.5189,0.5429,0.4961,0.5485,0.5223
25.6,-0.0649,0.627,0.645,0.5582,0.504,0.5311,0.5816,0.5085,0.5451,0.4979,0.5362,0.5171
25.7,-0.0275,0.6095,0.6265,0.5695,0.4843,0.5269,0.5991,0.4992,0.5492,0.5006,0.5241,0.5124
25.8,0.0032,0.591,0.6078,0.575,0.4629,0.519,0.6185,0.4907,0.5546,0.5038,0.5124,0.5081
25.9,0.0254,0.5722,0.5889,0.5749,0.4404,0.5077,0.6389,0.4825,0.5607,0.5073,0.501,0.5041
26,0.0381,0.5539,0.5701,0.5696,0.4178,0.4937,0.659,0.4745,0.5668,0.5103,0.4903,0.5003
26.1,0.0413,0.5367,0.5524,0.5594,0.3961,0.4778,0.6778,0.4674,0.5726,0.5126,0.4806,0.4966
26.2,0.0362,0.5213,0.5373,0.5448,0.3761,0.4604,0.6937,0.4619,0.5778,0.514,0.4725,0.4932
26.3,0.0243,0.5084,0.5257,0.5264,0.3583,0.4424,0.7056,0.4586,0.5821,0.5148,0.4666,0.4907
26.4,0.0066,0.499,0.5172,0.5056,0.3434,0.4245,0.7123,0.4573,0.5848,0.515,0.4632,0.4891
26.5,-0.0163,0.4939,0.5108,0.4841,0.3321,0.4081,0.7134,0.4571,0.5852,0.5142,0.462,0.4881
26.6,-0.042,0.4929,0.5052,0.4636,0.3252,0.3944,0.7087,0.4573,0.583,0.5122,0.4625,0.4874
26.7,-0.0682,0.4949,0.5003,0.4452,0.323,0.3841,0.6985,0.4578,0.5782,0.5094,0.4647,0.487
26.8,-0.0928,0.499,0.4965,0.4289,0.3254,0.3771,0.6833,0.4584,0.5709,0.5069,0.4687,0.4878
26.9,-0.1148,0.5042,0.4935,0.4143,0.3326,0.3734,0.6632,0.4587,0.561,0.5059,0.4748,0.4904
27,-0.1335,0.51,0.4906,0.4011,0.3449,0.373,0.6383,0.4579,0.5481,0.5072,0.4831,0.4952
27.1,-0.1481,0.5163,0.4876,0.3895,0.3629,0.3762,0.6092,0.4555,0.5323,0.5114,0.4933,0.5023
27.2,-0.1577,0.523,0.4852,0.38,0.3869,0.3834,0.5769,0.4517,0.5143,0.5183,0.5051,0.5117
27.3,-0.1617,0.5303,0.4847,0.3732,0.4162,0.3947,0.543,0.4473,0.4951,0.5275,0.5183,0.5229
27.4,-0.1603,0.5384,0.4871,0.3695,0.4493,0.4094,0.5089,0.4429,0.4759,0.5387,0.5328,0.5357
27.5,-0.1539,0.5472,0.4922,0.3686,0.4845,0.4266,0.4757,0.4387,0.4572,0.5513,0.5484,0.5498
27.6,-0.1428,0.5563,0.4997,0.3703,0.5195,0.4449,0.4448,0.4347,0.4397,0.5651,0.5648,0.565
27.7,-0.1261,0.5652,0.5093,0.3739,0.5514,0.4626,0.4172,0.4316,0.4244,0.5803,0.5817,0.581
27.8,-0.1033,0.5736,0.5207,0.3789,0.5779,0.4784,0.3942,0.4295,0.4119,0.597,0.5984,0.5977
27.9,-0.0758,0.5811,0.5331,0.3856,0.5979,0.4918,0.3766,0.4288,0.4027,0.6147,0.6145,0.6146
28,-0.0462,0.5872,0.5456,0.3939,0.6119,0.5029,0.3644,0.4292,0.3968,0.6325,0.6292,0.6308
28.1,-0.0179,0.5913,0.5571,0.4032,0.6206,0.5119,0.3573,0.4306,0.3939,0.6498,0.6421,0.6459
28.2,0.006,0.5923,0.567,0.412,0.625,0.5185,0.3554,0.433,0.3942,0.6661,0.653,0.6595
28.3,0.0239,0.5903,0.5751,0.4191,0.626,0.5225,0.3586,0.4366,0.3976,0.6815,0.6623,0.6719
28.4,0.0347,0.5862,0.5817,0.4238,0.6245,0.5241,0.3663,0.4414,0.4038,0.6963,0.6709,0.6836
28.5,0.0382,0.5808,0.5871,0.4259,0.6213,0.5236,0.3775,0.447,0.4122,0.7102,0.6793,0.6947
28.6,0.0343,0.5746,0.5912,0.4251,0.6167,0.5209,0.3909,0.4526,0.4217,0.7226,0.6875,0.705
28.7,0.0234,0.5675,0.5933,0.4211,0.6106,0.5158,0.4055,0.4573,0.4314,0.7329,0.6951,0.714
28.8,0.0064,0.56,0.5926,0.4135,0.6028,0.5081,0.4207,0.4606,0.4407,0.7409,0.7022,0.7215
28.9,-0.0163,0.5527,0.5887,0.4021,0.5938,0.498,0.4362,0.4621,0.4492,0.7468,0.7087,0.7278
29,-0.0444,0.5469,0.5815,0.3878,0.585,0.4864,0.4514,0.462,0.4567,0.7514,0.7148,0.7331
29.1,-0.0777,0.5438,0.5709,0.372,0.578,0.475,0.4656,0.4608,0.4632,0.7547,0.7208,0.7378
29.2,-0.1152,0.5438,0.557,0.3568,0.5739,0.4653,0.4782,0.4593,0.4687,0.7565,0.7267,0.7416
29.3,-0.1546,0.5468,0.5399,0.3438,0.5731,0.4584,0.4887,0.4581,0.4734,0.7565,0.7322,0.7443
29.4,-0.1933,0.5526,0.5204,0.3333,0.5757,0.4545,0.4968,0.4576,0.4772,0.7539,0.7368,0.7453
29.5,-0.2293,0.5608,0.4995,0.3255,0.5814,0.4535,0.5028,0.4574,0.4801,0.7483,0.7401,0.7442
29.6,-0.2615,0.5718,0.478,0.3201,0.5902,0.4551,0.5071,0.4573,0.4822,0.7396,0.7421,0.7408
29.7,-0.2894,0.5853,0.4569,0.3173,0.6019,0.4596,0.5107,0.4571,0.4839,0.7277,0.7425,0.7351
29.8,-0.3126,0.6011,0.4368,0.3174,0.6162,0.4668,0.5146,0.4566,0.4856,0.713,0.7412,0.7271
29.9,-0.3303,0.6184,0.4189,0.3207,0.6326,0.4766,0.5197,0.4558,0.4877,0.6962,0.7378,0.717
