Time,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC,Wonder - The best thing since ever 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2741,0.4724,0.2554,0.5755,0.5205,0.548,0.5448,0.378,0.4614,0.581,0.2704,0.4257
0.1,0.2347,0.5038,0.2634,0.592,0.5478,0.5699,0.5282,0.4065,0.4673,0.5696,0.2823,0.4259
0.2,0.1825,0.5407,0.2732,0.6086,0.5804,0.5945,0.5158,0.4391,0.4775,0.5668,0.3049,0.4358
0.3,0.1187,0.5815,0.2858,0.6244,0.6176,0.621,0.5091,0.4772,0.4931,0.572,0.3363,0.4542
0.4,0.0461,0.6243,0.3015,0.6386,0.6584,0.6485,0.5094,0.5212,0.5153,0.5847,0.3733,0.479
0.5,-0.0297,0.667,0.3213,0.6509,0.7023,0.6766,0.5182,0.571,0.5446,0.6042,0.4119,0.508
0.6,-0.1015,0.7074,0.3462,0.6606,0.7491,0.7048,0.5368,0.6261,0.5815,0.6286,0.4483,0.5385
0.7,-0.1636,0.7436,0.3769,0.6673,0.7982,0.7327,0.5666,0.6865,0.6265,0.6556,0.4799,0.5677
0.8,-0.2137,0.7749,0.4133,0.6713,0.8487,0.76,0.6079,0.7516,0.6798,0.6825,0.5051,0.5938
0.9,-0.2518,0.802,0.4544,0.6743,0.8986,0.7865,0.6594,0.8193,0.7394,0.7073,0.5236,0.6154
1,-0.2768,0.8255,0.4988,0.6784,0.9451,0.8118,0.7177,0.8865,0.8021,0.729,0.5358,0.6324
1.1,-0.2858,0.846,0.5452,0.6845,0.9853,0.8349,0.7788,0.9497,0.8643,0.7464,0.5425,0.6445
1.2,-0.2783,0.8629,0.5922,0.6921,1.0175,0.8548,0.8377,1.0065,0.9221,0.7579,0.5447,0.6513
1.3,-0.2562,0.8765,0.6384,0.699,1.0415,0.8702,0.89,1.0547,0.9723,0.7623,0.543,0.6526
1.4,-0.2223,0.8876,0.6819,0.7033,1.0581,0.8807,0.9321,1.0923,1.0122,0.7598,0.5384,0.6491
1.5,-0.1786,0.8975,0.7212,0.7051,1.0689,0.887,0.9624,1.1183,1.0403,0.7515,0.5318,0.6417
1.6,-0.1263,0.9073,0.7561,0.7054,1.076,0.8907,0.9813,1.1327,1.057,0.7384,0.5238,0.6311
1.7,-0.0677,0.9172,0.7865,0.7046,1.0807,0.8926,0.9903,1.1375,1.0639,0.7212,0.5147,0.618
1.8,-0.0067,0.9262,0.8124,0.702,1.0834,0.8927,0.9909,1.1349,1.0629,0.7011,0.5049,0.603
1.9,0.052,0.9332,0.834,0.6967,1.0844,0.8905,0.9848,1.1272,1.056,0.6795,0.4952,0.5874
2,0.1055,0.9377,0.8514,0.6884,1.0835,0.8859,0.9732,1.1161,1.0447,0.6577,0.4865,0.5721
2.1,0.1532,0.9394,0.8647,0.6775,1.0802,0.8789,0.9574,1.1034,1.0304,0.6363,0.4795,0.5579
2.2,0.1956,0.9387,0.874,0.6652,1.0741,0.8697,0.9384,1.0906,1.0145,0.6152,0.4747,0.545
2.3,0.2324,0.9358,0.8792,0.6523,1.0649,0.8586,0.9171,1.0787,0.9979,0.5942,0.4721,0.5332
2.4,0.2617,0.9304,0.8801,0.6384,1.0531,0.8457,0.8935,1.0679,0.9807,0.573,0.4716,0.5223
2.5,0.2818,0.9226,0.8765,0.623,1.039,0.831,0.868,1.0578,0.9629,0.5516,0.4725,0.512
2.6,0.2922,0.9121,0.8681,0.6056,1.0231,0.8144,0.8411,1.0481,0.9446,0.5303,0.474,0.5021
