Time,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC,Amazon - Gavin Saving This Christmas 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0477,0.6072,0.6098,0.5609,0.5434,0.5521,0.5834,0.7683,0.6759,0.4849,0.6017,0.5433
0.1,-0.0388,0.6097,0.651,0.5827,0.552,0.5674,0.6214,0.795,0.7082,0.4815,0.6093,0.5454
0.2,-0.0353,0.6157,0.6862,0.6043,0.5598,0.5821,0.658,0.8178,0.7379,0.4782,0.6174,0.5478
0.3,-0.0372,0.6241,0.7148,0.6243,0.5673,0.5958,0.6922,0.8361,0.7642,0.4744,0.625,0.5497
0.4,-0.0438,0.6343,0.7367,0.6425,0.5746,0.6085,0.7229,0.8491,0.786,0.47,0.6319,0.5509
0.5,-0.0535,0.646,0.7521,0.6589,0.5808,0.6199,0.7488,0.8562,0.8025,0.4649,0.6382,0.5516
0.6,-0.0647,0.6589,0.7608,0.6729,0.5856,0.6293,0.7689,0.8571,0.813,0.4592,0.644,0.5516
0.7,-0.0764,0.6726,0.7624,0.6835,0.5887,0.6361,0.7824,0.8512,0.8168,0.4526,0.6495,0.551
0.8,-0.0883,0.6863,0.7571,0.6899,0.5905,0.6402,0.7887,0.8386,0.8136,0.4455,0.6546,0.5501
0.9,-0.0999,0.6991,0.7459,0.6921,0.5917,0.6419,0.7877,0.8197,0.8037,0.4381,0.6593,0.5487
1,-0.111,0.711,0.7296,0.6905,0.593,0.6417,0.7797,0.7951,0.7874,0.4311,0.6629,0.547
1.1,-0.1209,0.7219,0.709,0.6854,0.5948,0.6401,0.766,0.7658,0.7659,0.4251,0.6651,0.5451
1.2,-0.129,0.7318,0.6853,0.6774,0.5977,0.6375,0.7485,0.7332,0.7408,0.4206,0.6655,0.543
1.3,-0.1347,0.7403,0.6589,0.6672,0.6017,0.6345,0.7294,0.699,0.7142,0.4181,0.664,0.541
1.4,-0.1382,0.7469,0.6304,0.6557,0.6067,0.6312,0.7108,0.6652,0.688,0.418,0.6607,0.5393
1.5,-0.1398,0.7514,0.6005,0.6437,0.6128,0.6283,0.6938,0.6334,0.6636,0.421,0.6559,0.5385
1.6,-0.1398,0.7538,0.5707,0.6318,0.6198,0.6258,0.6793,0.6046,0.6419,0.4272,0.6501,0.5387
1.7,-0.1374,0.7544,0.5431,0.6207,0.6273,0.624,0.6677,0.5795,0.6236,0.4362,0.6435,0.5399
1.8,-0.1317,0.753,0.5196,0.6113,0.6346,0.6229,0.6599,0.5583,0.6091,0.4472,0.6367,0.5419
1.9,-0.1222,0.7495,0.5017,0.6038,0.6411,0.6224,0.6559,0.5416,0.5987,0.459,0.6299,0.5444
2,-0.1096,0.7434,0.4891,0.5981,0.6467,0.6224,0.6544,0.53,0.5922,0.4705,0.6229,0.5467
2.1,-0.0952,0.7353,0.4809,0.5937,0.6519,0.6228,0.6541,0.5234,0.5887,0.4813,0.615,0.5482
2.2,-0.08,0.7261,0.4765,0.5907,0.6573,0.624,0.6537,0.521,0.5874,0.4918,0.606,0.5489
2.3,-0.065,0.7169,0.4763,0.5895,0.6634,0.6265,0.6527,0.5224,0.5875,0.5026,0.5964,0.5495
2.4,-0.0517,0.7088,0.4808,0.5908,0.6709,0.6309,0.6506,0.5269,0.5887,0.5141,0.5869,0.5505
