Time,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC,BCF - BCFing Fun 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0112,0.4782,0.6297,0.5348,0.6142,0.5745,0.5248,0.503,0.5139,0.5318,0.6387,0.5853
0.1,-0.0114,0.4787,0.6126,0.5298,0.6232,0.5765,0.5288,0.5247,0.5268,0.5273,0.6094,0.5683
0.2,-0.0085,0.4811,0.5898,0.5231,0.6301,0.5766,0.5316,0.5401,0.5359,0.524,0.5796,0.5518
0.3,-0.0037,0.4853,0.5619,0.5157,0.6348,0.5753,0.5339,0.5478,0.5409,0.5222,0.551,0.5366
0.4,0.0018,0.4911,0.5301,0.5082,0.6373,0.5727,0.5363,0.5471,0.5417,0.523,0.5251,0.5241
0.5,0.0067,0.4983,0.4957,0.5006,0.6372,0.5689,0.5389,0.5381,0.5385,0.5271,0.5027,0.5149
0.6,0.0106,0.5066,0.4596,0.4928,0.6343,0.5635,0.5419,0.5211,0.5315,0.535,0.4842,0.5096
0.7,0.0141,0.5156,0.423,0.4848,0.6279,0.5564,0.5451,0.497,0.5211,0.5463,0.47,0.5082
0.8,0.0192,0.5251,0.3865,0.4772,0.6181,0.5476,0.5483,0.4678,0.508,0.5599,0.4598,0.5098
0.9,0.0283,0.5345,0.3511,0.4707,0.6047,0.5377,0.5511,0.4366,0.4938,0.5743,0.4528,0.5135
1,0.0426,0.5432,0.3178,0.4659,0.5874,0.5266,0.5538,0.4062,0.48,0.5886,0.4483,0.5185
1.1,0.0621,0.5505,0.2877,0.4629,0.5661,0.5145,0.5568,0.3785,0.4676,0.6028,0.4461,0.5244
1.2,0.0856,0.5556,0.2614,0.4616,0.5411,0.5014,0.5603,0.3544,0.4573,0.617,0.4465,0.5318
1.3,0.1121,0.5584,0.239,0.4616,0.5132,0.4874,0.5644,0.3339,0.4491,0.6315,0.4496,0.5405
