Time,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC,Spark - Play by Spark 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1423,0.2306,0.6263,0.3581,0.3537,0.3559,0.5795,0.464,0.5218,0.5471,0.6662,0.6066
0.1,0.1576,0.2557,0.6351,0.3669,0.3574,0.3621,0.6051,0.484,0.5445,0.5531,0.6518,0.6024
0.2,0.1677,0.2858,0.643,0.3786,0.3688,0.3737,0.6319,0.5065,0.5692,0.5586,0.6365,0.5976
0.3,0.1724,0.3201,0.6495,0.3928,0.3865,0.3896,0.6591,0.5307,0.5949,0.5637,0.6201,0.5919
0.4,0.1733,0.3579,0.6541,0.4095,0.409,0.4093,0.6859,0.5554,0.6206,0.5684,0.6028,0.5856
0.5,0.1724,0.3987,0.6568,0.4288,0.4354,0.4321,0.7116,0.5795,0.6455,0.5728,0.5852,0.579
0.6,0.1716,0.4418,0.6584,0.4504,0.4641,0.4572,0.7356,0.6029,0.6693,0.5774,0.5685,0.5729
0.7,0.1723,0.4864,0.6601,0.4735,0.4935,0.4835,0.7575,0.6257,0.6916,0.5826,0.554,0.5683
0.8,0.1749,0.5314,0.6624,0.4969,0.5218,0.5094,0.7767,0.6478,0.7123,0.589,0.5422,0.5656
0.9,0.1792,0.5751,0.6652,0.5198,0.5483,0.5341,0.7925,0.6691,0.7308,0.5966,0.533,0.5648
1,0.1842,0.616,0.6682,0.5411,0.5722,0.5567,0.8046,0.6887,0.7467,0.6048,0.5261,0.5654
1.1,0.189,0.6528,0.6705,0.5599,0.5925,0.5762,0.8124,0.7058,0.7591,0.6129,0.5205,0.5667
1.2,0.193,0.6843,0.6712,0.5749,0.6083,0.5916,0.8152,0.7196,0.7674,0.6201,0.5156,0.5679
1.3,0.1968,0.71,0.6694,0.5851,0.619,0.602,0.8129,0.7295,0.7712,0.6257,0.5108,0.5683
1.4,0.2004,0.7299,0.665,0.5899,0.6248,0.6074,0.8055,0.7352,0.7703,0.6288,0.5059,0.5674
1.5,0.2035,0.7436,0.6579,0.5893,0.6255,0.6074,0.7932,0.7368,0.765,0.6289,0.5006,0.5648
1.6,0.2053,0.7505,0.6487,0.5837,0.621,0.6023,0.7768,0.7344,0.7556,0.6255,0.4944,0.56
1.7,0.2049,0.7504,0.6382,0.5738,0.6115,0.5927,0.7571,0.7283,0.7427,0.6189,0.4873,0.5531
