Time,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
18,0.0829,0.57,0.5837,0.6024,0.6167,0.6095,0.2408,0.5638,0.4023,0.0135,0.2399,0.1267
18.1,0.0721,0.5465,0.5725,0.5726,0.6008,0.5867,0.2493,0.5361,0.3927,0.0194,0.2422,0.1308
18.2,0.0637,0.524,0.5661,0.5463,0.5846,0.5654,0.2674,0.5105,0.389,0.0333,0.2493,0.1413
18.3,0.0579,0.5039,0.5652,0.5253,0.569,0.5471,0.295,0.4885,0.3917,0.0558,0.2612,0.1585
18.4,0.0546,0.4876,0.5696,0.5113,0.555,0.5332,0.3312,0.471,0.4011,0.0868,0.2775,0.1821
18.5,0.0543,0.4761,0.5784,0.5053,0.5433,0.5243,0.3745,0.4591,0.4168,0.1255,0.2982,0.2118
18.6,0.0579,0.4699,0.5909,0.5079,0.5337,0.5208,0.4229,0.4532,0.4381,0.1704,0.3235,0.247
18.7,0.0661,0.4691,0.6068,0.5193,0.5262,0.5227,0.4747,0.4537,0.4642,0.22,0.3535,0.2867
18.8,0.0796,0.4736,0.6258,0.5392,0.521,0.5301,0.5286,0.461,0.4948,0.2727,0.3882,0.3305
18.9,0.0986,0.484,0.6472,0.5672,0.5185,0.5429,0.5839,0.475,0.5295,0.3277,0.4276,0.3776
19,0.1238,0.5005,0.6702,0.6022,0.5189,0.5606,0.6397,0.4958,0.5678,0.3838,0.4706,0.4272
19.1,0.1551,0.5226,0.6939,0.6425,0.5218,0.5822,0.6941,0.5229,0.6085,0.4398,0.5158,0.4778
19.2,0.1911,0.5492,0.7175,0.6858,0.5269,0.6063,0.7446,0.5552,0.6499,0.4938,0.5608,0.5273
19.3,0.2288,0.5788,0.74,0.7298,0.534,0.6319,0.7892,0.5913,0.6903,0.5439,0.6036,0.5738
19.4,0.2655,0.6098,0.7608,0.7723,0.5435,0.6579,0.827,0.6294,0.7282,0.5885,0.6428,0.6156
19.5,0.2995,0.6415,0.7791,0.8117,0.5557,0.6837,0.8576,0.6681,0.7629,0.6263,0.6778,0.6521
19.6,0.3303,0.6728,0.7943,0.8465,0.5704,0.7084,0.8812,0.7064,0.7938,0.6567,0.7082,0.6824
19.7,0.3574,0.7026,0.8063,0.8755,0.5865,0.731,0.8978,0.7433,0.8206,0.6793,0.7328,0.7061
19.8,0.3801,0.7291,0.8144,0.8978,0.6029,0.7503,0.9079,0.7775,0.8427,0.6947,0.7508,0.7228
19.9,0.3971,0.7508,0.8186,0.9127,0.6189,0.7658,0.9125,0.8078,0.8602,0.7039,0.762,0.7329
20,0.408,0.7666,0.8193,0.9199,0.6341,0.777,0.9132,0.8338,0.8735,0.7084,0.7671,0.7378
20.1,0.4135,0.7762,0.8173,0.9195,0.6484,0.784,0.9108,0.8553,0.883,0.7092,0.7675,0.7384
20.2,0.4142,0.7794,0.8133,0.9112,0.662,0.7866,0.9052,0.8724,0.8888,0.7071,0.7644,0.7357
20.3,0.4101,0.7763,0.8075,0.8947,0.6751,0.7849,0.896,0.8846,0.8903,0.7027,0.7582,0.7304
20.4,0.4009,0.7668,0.7993,0.8697,0.687,0.7784,0.8829,0.8908,0.8868,0.6964,0.7489,0.7226
20.5,0.386,0.7505,0.7883,0.836,0.6967,0.7663,0.8661,0.8897,0.8779,0.6888,0.7368,0.7128
20.6,0.3646,0.7271,0.7739,0.794,0.7023,0.7482,0.8463,0.8807,0.8635,0.6809,0.7226,0.7018
20.7,0.3365,0.6963,0.7559,0.7446,0.7024,0.7235,0.8242,0.8637,0.844,0.673,0.707,0.69
20.8,0.3029,0.6591,0.7346,0.69,0.6961,0.693,0.8005,0.8391,0.8198,0.6649,0.6899,0.6774
20.9,0.2662,0.6174,0.7102,0.633,0.6839,0.6585,0.776,0.8078,0.7919,0.6561,0.6714,0.6637
21,0.2292,0.5739,0.6836,0.5764,0.667,0.6217,0.752,0.7712,0.7616,0.6466,0.6517,0.6492
21.1,0.1948,0.5308,0.6558,0.5226,0.6465,0.5846,0.73,0.7311,0.7305,0.6376,0.6319,0.6348
21.2,0.1648,0.4893,0.6276,0.4728,0.6229,0.5478,0.711,0.6889,0.7,0.63,0.6133,0.6217
21.3,0.1404,0.4495,0.5995,0.4274,0.5961,0.5118,0.6947,0.6456,0.6701,0.6244,0.5963,0.6103
21.4,0.1221,0.4115,0.5714,0.3868,0.5665,0.4767,0.6796,0.6019,0.6407,0.6199,0.5805,0.6002
21.5,0.1098,0.3756,0.5434,0.3513,0.5352,0.4432,0.6648,0.559,0.6119,0.6156,0.5653,0.5905
21.6,0.1029,0.3424,0.5156,0.3212,0.5037,0.4125,0.6501,0.5192,0.5847,0.6114,0.551,0.5812
21.7,0.1012,0.3127,0.4885,0.297,0.4735,0.3852,0.6362,0.4846,0.5604,0.6077,0.5381,0.5729
21.8,0.1046,0.287,0.4624,0.2788,0.4454,0.3621,0.6234,0.4561,0.5398,0.6049,0.5277,0.5663
21.9,0.114,0.2657,0.4379,0.2672,0.4198,0.3435,0.612,0.4341,0.5231,0.6024,0.5206,0.5615
22,0.1305,0.2493,0.4154,0.2627,0.3968,0.3297,0.6024,0.4183,0.5104,0.5997,0.5172,0.5585
22.1,0.1545,0.238,0.3958,0.266,0.3773,0.3217,0.5951,0.4089,0.502,0.5963,0.5174,0.5568
22.2,0.1849,0.2322,0.38,0.2775,0.3622,0.3198,0.5908,0.4061,0.4984,0.5922,0.5212,0.5567
22.3,0.2193,0.2314,0.3689,0.2968,0.352,0.3244,0.5899,0.4099,0.4999,0.5879,0.5282,0.558
22.4,0.2552,0.2353,0.3631,0.3235,0.3468,0.3351,0.592,0.4203,0.5062,0.5829,0.5378,0.5603
22.5,0.2908,0.2435,0.363,0.3568,0.346,0.3514,0.5966,0.4373,0.517,0.5766,0.5488,0.5627
22.6,0.3242,0.2552,0.3682,0.3953,0.3491,0.3722,0.603,0.4605,0.5317,0.5685,0.5601,0.5643
22.7,0.3535,0.2699,0.3778,0.4365,0.355,0.3958,0.6104,0.4893,0.5499,0.5582,0.571,0.5646
22.8,0.3776,0.2866,0.3905,0.4778,0.3627,0.4202,0.6184,0.5223,0.5704,0.5459,0.581,0.5634
22.9,0.3964,0.3043,0.4055,0.5165,0.3708,0.4436,0.6271,0.5578,0.5924,0.5317,0.5902,0.5609
23,0.4109,0.3221,0.4223,0.5511,0.3779,0.4645,0.6365,0.5941,0.6153,0.5159,0.5986,0.5573
23.1,0.4221,0.3394,0.4407,0.5809,0.3832,0.4821,0.6462,0.6301,0.6381,0.4999,0.6065,0.5532
23.2,0.43,0.3561,0.4605,0.6057,0.3872,0.4964,0.6561,0.6643,0.6602,0.485,0.614,0.5495
23.3,0.4335,0.3726,0.4817,0.626,0.3907,0.5083,0.6657,0.6958,0.6808,0.472,0.6216,0.5468
23.4,0.4317,0.3895,0.5042,0.6422,0.3946,0.5184,0.6746,0.7238,0.6992,0.4613,0.6288,0.5451
23.5,0.4248,0.4072,0.5273,0.6549,0.3991,0.527,0.6821,0.7475,0.7148,0.4527,0.6352,0.5439
23.6,0.4136,0.4253,0.55,0.6642,0.4038,0.534,0.6873,0.7662,0.7267,0.4462,0.6399,0.5431
23.7,0.3997,0.4433,0.5712,0.6707,0.408,0.5394,0.6901,0.7794,0.7347,0.4424,0.6428,0.5426
23.8,0.3853,0.4606,0.5904,0.6754,0.4113,0.5434,0.6908,0.7873,0.7391,0.4418,0.6439,0.5428
23.9,0.3712,0.4769,0.6073,0.6794,0.4139,0.5467,0.69,0.7905,0.7403,0.4446,0.6433,0.544
24,0.3573,0.4924,0.6223,0.6839,0.4162,0.55,0.688,0.7899,0.739,0.4504,0.641,0.5457
24.1,0.343,0.5076,0.6356,0.6893,0.4188,0.554,0.6849,0.7865,0.7357,0.4583,0.6365,0.5474
24.2,0.3277,0.523,0.6471,0.6958,0.4223,0.559,0.6806,0.7807,0.7307,0.4672,0.6292,0.5482
24.3,0.3109,0.5392,0.6566,0.7031,0.4271,0.5651,0.675,0.7729,0.7239,0.4762,0.6191,0.5476
24.4,0.2918,0.5559,0.6642,0.7104,0.4331,0.5717,0.6674,0.7633,0.7154,0.485,0.6069,0.546
24.5,0.2701,0.5723,0.6706,0.7173,0.4398,0.5786,0.6579,0.7526,0.7052,0.4938,0.5937,0.5438
24.6,0.2468,0.5877,0.6758,0.7237,0.4466,0.5851,0.6463,0.7411,0.6937,0.5025,0.5803,0.5414
24.7,0.2229,0.6014,0.6793,0.7291,0.4534,0.5913,0.6333,0.729,0.6811,0.5109,0.567,0.5389
24.8,0.1994,0.6138,0.6805,0.7334,0.4609,0.5971,0.6196,0.7167,0.6682,0.5183,0.5543,0.5363
24.9,0.1776,0.6256,0.6791,0.7365,0.47,0.6032,0.6067,0.7046,0.6556,0.5247,0.543,0.5338
25,0.159,0.6373,0.6752,0.7391,0.481,0.6101,0.5956,0.6931,0.6444,0.5307,0.5339,0.5323
25.1,0.1447,0.649,0.6692,0.742,0.4937,0.6178,0.5869,0.6825,0.6347,0.5368,0.5282,0.5325
25.2,0.1357,0.6598,0.6614,0.745,0.5071,0.6261,0.5809,0.673,0.627,0.5436,0.5264,0.535
25.3,0.1316,0.6683,0.6526,0.7473,0.5201,0.6337,0.5778,0.6648,0.6213,0.5515,0.5289,0.5402
25.4,0.1303,0.674,0.6438,0.7481,0.5319,0.64,0.5776,0.6585,0.6181,0.5609,0.5362,0.5486
25.5,0.1293,0.6769,0.6356,0.7467,0.5427,0.6447,0.5799,0.6546,0.6173,0.572,0.5484,0.5602
25.6,0.1272,0.6782,0.6286,0.743,0.5529,0.648,0.5843,0.6535,0.6189,0.5847,0.565,0.5749
25.7,0.1232,0.6784,0.6228,0.7374,0.5632,0.6503,0.5899,0.655,0.6225,0.5986,0.5853,0.5919
25.8,0.1167,0.6778,0.6183,0.7306,0.5735,0.6521,0.5958,0.6586,0.6272,0.6126,0.6085,0.6105
25.9,0.1066,0.6763,0.6155,0.723,0.5838,0.6534,0.6011,0.6636,0.6324,0.6257,0.6337,0.6297
26,0.0925,0.6737,0.6152,0.7147,0.5933,0.654,0.6056,0.6697,0.6377,0.6374,0.6601,0.6488
26.1,0.0734,0.67,0.6177,0.7056,0.6015,0.6535,0.6091,0.6764,0.6428,0.6471,0.687,0.667
26.2,0.0496,0.6654,0.6233,0.696,0.608,0.652,0.6115,0.6832,0.6473,0.6542,0.713,0.6836
26.3,0.0221,0.6603,0.6316,0.6862,0.613,0.6496,0.6127,0.6896,0.6511,0.6578,0.7369,0.6974
26.4,-0.0077,0.6551,0.6416,0.6767,0.617,0.6468,0.6124,0.6955,0.654,0.6574,0.7568,0.7071
26.5,-0.0394,0.6504,0.6521,0.6677,0.6207,0.6442,0.6103,0.7007,0.6555,0.6527,0.7715,0.7121
26.6,-0.0724,0.6467,0.6615,0.6597,0.6248,0.6423,0.606,0.7048,0.6554,0.6439,0.7801,0.712
26.7,-0.106,0.6444,0.6687,0.6524,0.6296,0.641,0.5995,0.7074,0.6534,0.6313,0.7821,0.7067
26.8,-0.1386,0.6433,0.6729,0.6451,0.6344,0.6397,0.5901,0.7077,0.6489,0.6149,0.7772,0.6961
26.9,-0.1683,0.6434,0.6737,0.6367,0.6384,0.6375,0.577,0.705,0.641,0.5951,0.7656,0.6804
27,-0.1937,0.6446,0.6715,0.6269,0.6409,0.6339,0.5596,0.6992,0.6294,0.5729,0.7481,0.6605
27.1,-0.2143,0.6469,0.666,0.6161,0.6418,0.6289,0.538,0.6903,0.6142,0.5496,0.7255,0.6376
27.2,-0.2305,0.6501,0.6572,0.6046,0.6412,0.6229,0.5127,0.6784,0.5956,0.526,0.6986,0.6123
27.3,-0.2436,0.6539,0.6451,0.5927,0.6392,0.6159,0.4841,0.6636,0.5739,0.5025,0.6677,0.5851
27.4,-0.2548,0.6577,0.6299,0.5796,0.6353,0.6075,0.4529,0.646,0.5495,0.4797,0.6337,0.5567
27.5,-0.264,0.6611,0.6118,0.5646,0.629,0.5968,0.4201,0.6262,0.5232,0.4582,0.598,0.5281
27.6,-0.2693,0.6636,0.5912,0.5477,0.6195,0.5836,0.3871,0.6048,0.4959,0.4389,0.5619,0.5004
27.7,-0.2679,0.6647,0.5682,0.5296,0.6064,0.568,0.3553,0.5827,0.469,0.4219,0.5263,0.4741
27.8,-0.2581,0.6635,0.5426,0.5106,0.5893,0.55,0.3261,0.5603,0.4432,0.4072,0.4914,0.4493
27.9,-0.2403,0.6596,0.5149,0.4908,0.5685,0.5297,0.3009,0.5384,0.4197,0.395,0.4575,0.4263
28,-0.2167,0.6527,0.4861,0.4698,0.5446,0.5072,0.2802,0.5176,0.3989,0.385,0.4253,0.4052
28.1,-0.189,0.6429,0.4572,0.4477,0.5183,0.483,0.2642,0.4982,0.3812,0.3772,0.3949,0.386
28.2,-0.1582,0.631,0.4292,0.425,0.4907,0.4579,0.253,0.4806,0.3668,0.371,0.3666,0.3688
28.3,-0.1248,0.6173,0.4033,0.4026,0.463,0.4328,0.2466,0.4654,0.356,0.3664,0.3407,0.3535
28.4,-0.0901,0.6019,0.3808,0.3815,0.4359,0.4087,0.2452,0.4527,0.349,0.3631,0.3172,0.3401
28.5,-0.0559,0.5846,0.3627,0.362,0.4099,0.386,0.2489,0.4429,0.3459,0.3608,0.2961,0.3284
28.6,-0.0238,0.5652,0.349,0.344,0.3849,0.3644,0.2574,0.4356,0.3465,0.3592,0.2776,0.3184
28.7,0.0062,0.544,0.3392,0.3276,0.3609,0.3442,0.2702,0.4307,0.3504,0.3574,0.2619,0.3096
28.8,0.0344,0.5217,0.3324,0.313,0.3383,0.3256,0.2865,0.4276,0.357,0.3549,0.249,0.302
28.9,0.0616,0.499,0.3281,0.3003,0.3176,0.309,0.3055,0.4262,0.3659,0.3518,0.2388,0.2953
29,0.0879,0.4761,0.3266,0.2893,0.2992,0.2943,0.3265,0.4266,0.3765,0.3482,0.2315,0.2899
29.1,0.1122,0.4524,0.3281,0.2793,0.2831,0.2812,0.3485,0.4284,0.3885,0.3445,0.2276,0.2861
29.2,0.1333,0.4272,0.3325,0.2696,0.269,0.2693,0.3705,0.431,0.4007,0.3409,0.2274,0.2841
29.3,0.1508,0.4003,0.3392,0.2596,0.2569,0.2582,0.391,0.434,0.4125,0.3377,0.2307,0.2842
29.4,0.1649,0.3723,0.3477,0.2488,0.2469,0.2479,0.4092,0.4373,0.4233,0.3351,0.2379,0.2865
29.5,0.1762,0.3443,0.3583,0.2374,0.2395,0.2384,0.4247,0.4411,0.4329,0.3338,0.2491,0.2915
29.6,0.1855,0.3173,0.3707,0.2262,0.235,0.2306,0.4368,0.4455,0.4412,0.3342,0.2645,0.2994
29.7,0.194,0.2922,0.3841,0.2163,0.2343,0.2253,0.4444,0.4502,0.4473,0.336,0.283,0.3095
29.8,0.2017,0.2696,0.3975,0.208,0.2378,0.2229,0.446,0.4541,0.4501,0.3385,0.3029,0.3207
29.9,0.2076,0.2502,0.4105,0.2014,0.2463,0.2238,0.4406,0.4566,0.4486,0.3415,0.3227,0.3321
