Time,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC,Lite n Easy 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.4,-0.294,0.5128,0.4217,0.5353,0.3833,0.4593,0.3827,0.3316,0.3571,0.4093,0.487,0.4482
22.5,-0.3206,0.5277,0.4237,0.5536,0.4071,0.4803,0.3852,0.3402,0.3627,0.371,0.4381,0.4046
22.6,-0.3539,0.5432,0.4268,0.572,0.4306,0.5013,0.3884,0.3493,0.3688,0.3402,0.3902,0.3652
22.7,-0.3943,0.5594,0.4306,0.5905,0.4534,0.5219,0.3926,0.359,0.3758,0.3189,0.3459,0.3324
22.8,-0.4419,0.5762,0.4354,0.6084,0.4757,0.542,0.398,0.3694,0.3837,0.3079,0.3077,0.3078
22.9,-0.4947,0.593,0.4417,0.6249,0.497,0.561,0.4049,0.3804,0.3926,0.3073,0.2775,0.2924
23,-0.5484,0.6084,0.4494,0.6396,0.5165,0.5781,0.4141,0.3913,0.4027,0.3165,0.2556,0.2861
23.1,-0.598,0.621,0.458,0.6517,0.5331,0.5924,0.4259,0.4017,0.4138,0.3353,0.242,0.2886
23.2,-0.6411,0.6299,0.4673,0.6599,0.5462,0.603,0.4397,0.4111,0.4254,0.3619,0.2359,0.2989
23.3,-0.6778,0.635,0.4777,0.6632,0.5557,0.6095,0.4543,0.4195,0.4369,0.3925,0.2359,0.3142
23.4,-0.7088,0.6371,0.4902,0.6615,0.5625,0.612,0.4692,0.4275,0.4484,0.4242,0.24,0.3321
23.5,-0.7338,0.6367,0.5053,0.6558,0.5672,0.6115,0.4841,0.436,0.46,0.4559,0.2471,0.3515
23.6,-0.752,0.6339,0.5225,0.6477,0.5699,0.6088,0.4986,0.4452,0.4719,0.4878,0.2568,0.3723
23.7,-0.7624,0.6285,0.5406,0.6385,0.5708,0.6047,0.5124,0.455,0.4837,0.5193,0.2691,0.3942
23.8,-0.7647,0.6204,0.5581,0.6296,0.5703,0.5999,0.5244,0.4648,0.4946,0.5493,0.2843,0.4168
23.9,-0.7579,0.6102,0.5749,0.623,0.5691,0.596,0.5344,0.4745,0.5045,0.5765,0.3026,0.4396
24,-0.7412,0.5992,0.5912,0.6205,0.5683,0.5944,0.5425,0.4846,0.5135,0.6001,0.324,0.4621
24.1,-0.7149,0.5889,0.6068,0.6238,0.5687,0.5962,0.5488,0.4954,0.5221,0.6199,0.3483,0.4841
24.2,-0.682,0.5804,0.6217,0.6329,0.5708,0.6018,0.5531,0.5066,0.5298,0.6359,0.3749,0.5054
24.3,-0.6465,0.5736,0.6349,0.6468,0.5745,0.6106,0.5545,0.5176,0.536,0.6476,0.4025,0.5251
24.4,-0.6106,0.568,0.6458,0.6641,0.5793,0.6217,0.5529,0.5275,0.5402,0.6548,0.4302,0.5425
24.5,-0.5736,0.5634,0.6545,0.6842,0.5842,0.6342,0.549,0.5363,0.5427,0.6576,0.4574,0.5575
24.6,-0.5338,0.5595,0.6611,0.7063,0.5885,0.6474,0.544,0.5447,0.5443,0.657,0.484,0.5705
24.7,-0.4902,0.5566,0.6658,0.7292,0.5915,0.6603,0.5383,0.5529,0.5456,0.6539,0.5093,0.5816
24.8,-0.4429,0.5547,0.6682,0.7511,0.5922,0.6716,0.5318,0.5607,0.5462,0.6482,0.5324,0.5903
24.9,-0.3939,0.5542,0.6684,0.7705,0.59,0.6803,0.5239,0.5679,0.5459,0.6397,0.5517,0.5957
25,-0.345,0.5551,0.6666,0.7873,0.585,0.6862,0.5146,0.5745,0.5445,0.6282,0.5666,0.5974
25.1,-0.2964,0.5576,0.6637,0.8023,0.5779,0.6901,0.5043,0.581,0.5427,0.6141,0.5765,0.5953
25.2,-0.2468,0.5619,0.6598,0.8162,0.5694,0.6928,0.4937,0.5878,0.5407,0.5984,0.5815,0.5899
25.3,-0.1949,0.5677,0.6549,0.8288,0.5598,0.6943,0.483,0.5947,0.5388,0.5818,0.5818,0.5818
25.4,-0.1413,0.5749,0.6487,0.8393,0.5493,0.6943,0.4722,0.6012,0.5367,0.5644,0.5778,0.5711
25.5,-0.088,0.5829,0.6412,0.8464,0.5381,0.6922,0.4613,0.607,0.5341,0.5465,0.5703,0.5584
25.6,-0.0373,0.591,0.633,0.8499,0.5265,0.6882,0.4508,0.6123,0.5315,0.5284,0.5604,0.5444
25.7,0.0097,0.5985,0.6248,0.8499,0.5154,0.6827,0.4414,0.6172,0.5293,0.5105,0.5492,0.5298
25.8,0.0516,0.6046,0.6169,0.8471,0.5052,0.6762,0.4329,0.6218,0.5274,0.4928,0.5373,0.5151
25.9,0.0862,0.6082,0.6097,0.8414,0.4958,0.6686,0.4249,0.6256,0.5253,0.4755,0.5254,0.5004
26,0.1116,0.6088,0.6039,0.8332,0.487,0.6601,0.4173,0.6285,0.5229,0.4586,0.5133,0.486
26.1,0.1275,0.6063,0.5997,0.8231,0.4791,0.6511,0.4108,0.6305,0.5206,0.4428,0.5015,0.4722
26.2,0.1353,0.6015,0.5969,0.8117,0.4726,0.6421,0.4062,0.6314,0.5188,0.4291,0.4906,0.4599
26.3,0.137,0.5948,0.5949,0.7993,0.4675,0.6334,0.404,0.6309,0.5174,0.4188,0.4808,0.4498
26.4,0.1343,0.5871,0.5933,0.7866,0.4635,0.6251,0.4036,0.6286,0.5161,0.4124,0.4721,0.4422
26.5,0.1278,0.5791,0.5922,0.7742,0.4601,0.6172,0.4041,0.6245,0.5143,0.41,0.4645,0.4373
26.6,0.1177,0.5715,0.5919,0.7629,0.4575,0.6102,0.4049,0.619,0.512,0.4115,0.4582,0.4348
26.7,0.1046,0.5646,0.5928,0.753,0.4565,0.6047,0.4061,0.6123,0.5092,0.4164,0.453,0.4347
26.8,0.0902,0.5587,0.5943,0.7448,0.4575,0.6012,0.4076,0.6041,0.5059,0.4251,0.4489,0.437
26.9,0.076,0.5537,0.5959,0.7386,0.4608,0.5997,0.4094,0.5945,0.5019,0.4368,0.4459,0.4413
27,0.0633,0.5497,0.5978,0.7345,0.466,0.6003,0.4112,0.5835,0.4973,0.4505,0.444,0.4473
27.1,0.0522,0.547,0.6007,0.7331,0.4728,0.603,0.4129,0.5717,0.4923,0.4653,0.4432,0.4543
27.2,0.043,0.546,0.6054,0.7349,0.4816,0.6082,0.4147,0.56,0.4873,0.4807,0.4435,0.4621
27.3,0.0357,0.5473,0.6123,0.7397,0.4923,0.616,0.4169,0.5489,0.4829,0.4964,0.4445,0.4704
27.4,0.0305,0.5511,0.6212,0.7472,0.5047,0.626,0.4196,0.5386,0.4791,0.5116,0.446,0.4788
27.5,0.0269,0.5575,0.6315,0.7566,0.518,0.6373,0.4224,0.5288,0.4756,0.5257,0.4479,0.4868
27.6,0.0248,0.5662,0.6426,0.767,0.5312,0.6491,0.4255,0.5195,0.4725,0.539,0.4503,0.4946
27.7,0.0248,0.5768,0.6538,0.7776,0.5433,0.6605,0.429,0.5106,0.4698,0.552,0.4528,0.5024
27.8,0.0289,0.5891,0.6646,0.7878,0.554,0.6709,0.4334,0.5023,0.4679,0.565,0.4555,0.5103
27.9,0.0385,0.6022,0.6747,0.7973,0.5629,0.6801,0.439,0.4946,0.4668,0.578,0.4583,0.5181
28,0.0534,0.6155,0.684,0.8057,0.5694,0.6876,0.4455,0.4876,0.4666,0.5903,0.4612,0.5258
28.1,0.0724,0.6284,0.6922,0.8129,0.5733,0.6931,0.4524,0.4814,0.4669,0.6017,0.4643,0.533
28.2,0.094,0.6406,0.6989,0.8186,0.5747,0.6966,0.4594,0.4764,0.4679,0.6124,0.4677,0.54
28.3,0.1164,0.6521,0.7043,0.8224,0.5743,0.6983,0.4668,0.4728,0.4698,0.6225,0.4717,0.5471
28.4,0.1386,0.6624,0.709,0.824,0.5731,0.6986,0.4755,0.4715,0.4735,0.6326,0.4768,0.5547
28.5,0.1598,0.671,0.7136,0.8233,0.5718,0.6976,0.4859,0.4725,0.4792,0.6426,0.4832,0.5629
28.6,0.1785,0.6771,0.718,0.8195,0.5704,0.6949,0.4982,0.4759,0.487,0.6528,0.491,0.5719
28.7,0.192,0.6798,0.7222,0.8109,0.5685,0.6897,0.5117,0.481,0.4963,0.6631,0.5003,0.5817
28.8,0.1974,0.6785,0.726,0.7951,0.5657,0.6804,0.5254,0.4872,0.5063,0.673,0.5111,0.5921
28.9,0.1926,0.673,0.7298,0.7703,0.562,0.6661,0.539,0.494,0.5165,0.682,0.5234,0.6027
29,0.1771,0.6633,0.7338,0.7355,0.5572,0.6463,0.5519,0.5011,0.5265,0.6894,0.5367,0.613
29.1,0.1524,0.6499,0.7378,0.6909,0.5506,0.6208,0.5635,0.5084,0.5359,0.6945,0.5495,0.622
29.2,0.1216,0.6335,0.7412,0.6376,0.5412,0.5894,0.573,0.5151,0.5441,0.6968,0.5605,0.6286
29.3,0.0881,0.6149,0.7438,0.5775,0.5283,0.5529,0.5804,0.5205,0.5505,0.6954,0.5689,0.6322
29.4,0.0542,0.5957,0.7457,0.5135,0.5126,0.513,0.5864,0.5248,0.5556,0.6898,0.5748,0.6323
29.5,0.0209,0.5778,0.747,0.4489,0.4961,0.4725,0.5926,0.5277,0.5602,0.6796,0.5783,0.629
29.6,-0.0116,0.5628,0.7477,0.3861,0.4806,0.4334,0.5995,0.5293,0.5644,0.665,0.5791,0.622
29.7,-0.0444,0.5518,0.7486,0.3269,0.4671,0.397,0.6066,0.5291,0.5679,0.6456,0.5765,0.6111
29.8,-0.0789,0.5451,0.7506,0.2723,0.4557,0.364,0.6132,0.5269,0.57,0.6207,0.5706,0.5956
29.9,-0.1163,0.5426,0.7549,0.2231,0.4468,0.335,0.6194,0.5232,0.5713,0.5894,0.5612,0.5753
