Time,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC,Swisse - Reach For Your Reason 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.4,-0.3272,0.525,0.5957,0.5136,0.4628,0.4882,0.6423,0.5877,0.615,0.7476,0.6749,0.7113
4.5,-0.3405,0.5226,0.5585,0.515,0.4599,0.4875,0.6155,0.5786,0.5971,0.7399,0.6665,0.7032
4.6,-0.3503,0.5206,0.52,0.5138,0.458,0.4859,0.5858,0.5672,0.5765,0.7286,0.6554,0.692
4.7,-0.3562,0.5198,0.4819,0.5115,0.458,0.4848,0.555,0.5543,0.5546,0.7151,0.6428,0.679
4.8,-0.3578,0.5207,0.4455,0.5096,0.4607,0.4852,0.5248,0.5406,0.5327,0.7017,0.6299,0.6658
4.9,-0.3547,0.5233,0.4115,0.5082,0.4663,0.4873,0.4962,0.5262,0.5112,0.6897,0.6172,0.6535
5,-0.3467,0.527,0.3808,0.5068,0.4742,0.4905,0.4691,0.511,0.49,0.6796,0.6047,0.6422
5.1,-0.3344,0.5309,0.3542,0.5051,0.4829,0.494,0.4436,0.4956,0.4696,0.6712,0.5921,0.6317
5.2,-0.318,0.5345,0.3326,0.5034,0.4912,0.4973,0.4203,0.4811,0.4507,0.6643,0.5798,0.6221
5.3,-0.2979,0.5382,0.3169,0.5023,0.4983,0.5003,0.3998,0.4687,0.4343,0.6589,0.5683,0.6136
5.4,-0.2743,0.542,0.3077,0.5021,0.5035,0.5028,0.3828,0.4592,0.421,0.6546,0.5577,0.6062
5.5,-0.2468,0.5459,0.3051,0.5026,0.5052,0.5039,0.3698,0.4528,0.4113,0.6507,0.5479,0.5993
5.6,-0.2155,0.5492,0.309,0.503,0.5017,0.5024,0.3612,0.4498,0.4055,0.6462,0.5382,0.5922
5.7,-0.1809,0.5513,0.3188,0.5027,0.492,0.4974,0.3577,0.4503,0.404,0.641,0.5282,0.5846
5.8,-0.1445,0.5515,0.3339,0.5006,0.476,0.4883,0.3603,0.4544,0.4074,0.6351,0.5182,0.5767
5.9,-0.1076,0.5495,0.3535,0.496,0.4542,0.4751,0.3697,0.4617,0.4157,0.6294,0.5086,0.569
6,-0.071,0.5455,0.3772,0.4887,0.4276,0.4581,0.3854,0.4718,0.4286,0.6243,0.4998,0.5621
6.1,-0.0351,0.5401,0.4044,0.479,0.3975,0.4382,0.4059,0.4843,0.4451,0.6205,0.4923,0.5564
6.2,0.0003,0.5335,0.4342,0.4677,0.3657,0.4167,0.4296,0.4989,0.4642,0.6187,0.4863,0.5525
6.3,0.0358,0.526,0.4655,0.4555,0.3335,0.3945,0.4552,0.5149,0.4851,0.619,0.4819,0.5504
6.4,0.0712,0.5178,0.4972,0.4427,0.3023,0.3725,0.4817,0.531,0.5063,0.621,0.479,0.55
6.5,0.1062,0.5084,0.5281,0.4287,0.2728,0.3508,0.5078,0.5455,0.5267,0.6232,0.4773,0.5502
6.6,0.1401,0.4976,0.5566,0.4136,0.2449,0.3292,0.5322,0.557,0.5446,0.6245,0.4758,0.5501
6.7,0.1714,0.4849,0.5816,0.3971,0.2183,0.3077,0.5532,0.5647,0.559,0.6236,0.4739,0.5487
6.8,0.1982,0.4707,0.6019,0.3798,0.1928,0.2863,0.5696,0.5679,0.5687,0.6203,0.4713,0.5458
6.9,0.219,0.4558,0.617,0.3623,0.1689,0.2656,0.5798,0.5664,0.5731,0.6149,0.4686,0.5418
7,0.2336,0.4411,0.6273,0.3451,0.147,0.2461,0.5827,0.5606,0.5717,0.6081,0.4668,0.5375
7.1,0.2426,0.4277,0.6334,0.3293,0.1273,0.2283,0.578,0.5515,0.5647,0.6002,0.4666,0.5334
7.2,0.2473,0.4162,0.6356,0.3166,0.1098,0.2132,0.5665,0.5401,0.5533,0.5912,0.4686,0.5299
7.3,0.2487,0.4073,0.6342,0.3089,0.0943,0.2016,0.5498,0.5275,0.5386,0.5808,0.4733,0.5271
7.4,0.2473,0.4016,0.6295,0.3082,0.0805,0.1943,0.5297,0.5147,0.5222,0.5692,0.4811,0.5251
7.5,0.2437,0.3994,0.6223,0.3156,0.0685,0.192,0.5077,0.5027,0.5052,0.5565,0.4922,0.5243
7.6,0.2386,0.4004,0.614,0.3311,0.0584,0.1948,0.4847,0.4922,0.4884,0.5433,0.5069,0.5251
7.7,0.233,0.4047,0.6062,0.3544,0.0509,0.2027,0.462,0.4842,0.4731,0.5307,0.5253,0.528
7.8,0.2273,0.4125,0.6001,0.3853,0.0467,0.216,0.4409,0.4797,0.4603,0.5194,0.5473,0.5334
7.9,0.2219,0.4239,0.5967,0.4235,0.0466,0.235,0.4225,0.4795,0.451,0.5108,0.5725,0.5416
8,0.2175,0.4386,0.5963,0.4672,0.051,0.2591,0.4072,0.4837,0.4454,0.5058,0.6,0.5529
8.1,0.2146,0.4553,0.5989,0.5133,0.0599,0.2866,0.3944,0.4911,0.4428,0.5048,0.6277,0.5663
8.2,0.2142,0.4723,0.6041,0.5579,0.0733,0.3156,0.3834,0.5006,0.442,0.5069,0.6537,0.5803
8.3,0.2164,0.4881,0.6115,0.5984,0.0916,0.345,0.3734,0.5116,0.4425,0.5104,0.6761,0.5932
8.4,0.2198,0.5011,0.6212,0.6326,0.1153,0.3739,0.3643,0.5238,0.444,0.5138,0.6935,0.6037
8.5,0.2208,0.51,0.633,0.659,0.1439,0.4014,0.3564,0.537,0.4467,0.5166,0.7057,0.6112
8.6,0.2158,0.5138,0.6459,0.6762,0.1752,0.4257,0.3499,0.5506,0.4502,0.519,0.7128,0.6159
8.7,0.2029,0.512,0.6586,0.6834,0.2065,0.4449,0.3449,0.5636,0.4543,0.5214,0.7151,0.6182
8.8,0.1829,0.5049,0.6694,0.6807,0.2359,0.4583,0.3414,0.5754,0.4584,0.5238,0.7128,0.6183
8.9,0.1582,0.4933,0.6772,0.6696,0.2629,0.4662,0.3394,0.5858,0.4626,0.5262,0.7064,0.6163
9,0.1321,0.4789,0.6819,0.6525,0.2872,0.4699,0.3389,0.5943,0.4666,0.5287,0.6972,0.613
9.1,0.108,0.4632,0.6843,0.6319,0.3086,0.4703,0.3398,0.6006,0.4702,0.5319,0.6869,0.6094
9.2,0.0878,0.4475,0.6853,0.6097,0.3264,0.4681,0.3415,0.6043,0.4729,0.5361,0.6768,0.6064
9.3,0.0725,0.4325,0.6849,0.5875,0.3403,0.4639,0.3437,0.6052,0.4745,0.541,0.6679,0.6044
9.4,0.0625,0.4185,0.6829,0.5663,0.3505,0.4584,0.3459,0.6033,0.4746,0.5463,0.6603,0.6033
9.5,0.0584,0.4055,0.6788,0.5464,0.3573,0.4519,0.3475,0.5984,0.473,0.5518,0.6539,0.6028
9.6,0.0605,0.3933,0.6729,0.5282,0.3613,0.4447,0.3484,0.5901,0.4693,0.5573,0.6486,0.6029
9.7,0.0686,0.3822,0.6659,0.5125,0.3627,0.4376,0.3484,0.5782,0.4633,0.5627,0.6446,0.6037
9.8,0.081,0.373,0.659,0.5,0.3626,0.4313,0.3481,0.563,0.4555,0.5681,0.6425,0.6053
9.9,0.0952,0.3662,0.6529,0.4917,0.3622,0.4269,0.3483,0.5448,0.4466,0.5734,0.6423,0.6079
10,0.1086,0.3628,0.648,0.4883,0.3628,0.4256,0.3504,0.5247,0.4375,0.5791,0.6444,0.6117
10.1,0.1195,0.3629,0.6454,0.4903,0.3655,0.4279,0.3552,0.5036,0.4294,0.5862,0.6491,0.6177
10.2,0.1275,0.3666,0.6458,0.4977,0.3706,0.4342,0.3627,0.4825,0.4226,0.5958,0.6572,0.6265
10.3,0.1329,0.3735,0.6501,0.5102,0.3781,0.4442,0.3729,0.4625,0.4177,0.609,0.6689,0.6389
10.4,0.136,0.3832,0.6591,0.5271,0.3877,0.4574,0.3858,0.4443,0.4151,0.626,0.6834,0.6547
10.5,0.1364,0.3954,0.6722,0.5477,0.3994,0.4735,0.4016,0.4285,0.415,0.6466,0.6995,0.673
10.6,0.1337,0.4098,0.6881,0.5714,0.4129,0.4921,0.42,0.4156,0.4178,0.67,0.7153,0.6927
10.7,0.1271,0.426,0.7054,0.5969,0.4284,0.5126,0.4404,0.4061,0.4233,0.6956,0.7294,0.7125
10.8,0.1158,0.4435,0.7231,0.6227,0.4457,0.5342,0.462,0.4,0.431,0.7231,0.7405,0.7318
10.9,0.0994,0.4619,0.7406,0.647,0.4653,0.5562,0.4845,0.3967,0.4406,0.7518,0.7477,0.7498
11,0.0777,0.4806,0.7573,0.6685,0.4874,0.5779,0.5076,0.396,0.4518,0.7803,0.7503,0.7653
11.1,0.0513,0.4994,0.772,0.6867,0.5114,0.5991,0.5312,0.3977,0.4645,0.8055,0.7478,0.7767
11.2,0.0217,0.5177,0.7832,0.7014,0.5365,0.619,0.5547,0.4017,0.4782,0.8244,0.7401,0.7823
11.3,-0.0097,0.5343,0.79,0.7123,0.5612,0.6367,0.5774,0.4071,0.4923,0.8354,0.7279,0.7817
11.4,-0.0412,0.5483,0.7929,0.7193,0.5839,0.6516,0.5986,0.4134,0.506,0.8385,0.7127,0.7756
11.5,-0.0721,0.5587,0.7925,0.722,0.6035,0.6627,0.6178,0.4198,0.5188,0.8351,0.6958,0.7655
11.6,-0.1022,0.5652,0.7896,0.7205,0.6195,0.67,0.6352,0.4263,0.5307,0.8268,0.6784,0.7526
11.7,-0.1313,0.568,0.784,0.7152,0.6316,0.6734,0.651,0.4335,0.5422,0.8154,0.6612,0.7383
11.8,-0.1593,0.5672,0.776,0.7066,0.6398,0.6732,0.6654,0.4422,0.5538,0.8023,0.6446,0.7235
11.9,-0.1859,0.5635,0.7659,0.695,0.6441,0.6696,0.6788,0.4527,0.5658,0.7893,0.629,0.7091
12,-0.2097,0.5574,0.7544,0.6811,0.6452,0.6631,0.6913,0.4647,0.578,0.7773,0.6149,0.6961
12.1,-0.2289,0.5498,0.7425,0.6657,0.6436,0.6546,0.7029,0.4777,0.5903,0.7669,0.6028,0.6848
