Time,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC,Mitre 10 - The Other Hardware Store - Portaloo 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.3,0.3473,0.5909,0.5137,0.8017,0.6946,0.7482,0.7401,0.5944,0.6673,0.9802,0.7618,0.871
4.4,0.3536,0.5566,0.4928,0.7754,0.6824,0.7289,0.735,0.5886,0.6618,0.9862,0.7579,0.872
4.5,0.3548,0.5241,0.4751,0.7464,0.6695,0.7079,0.7308,0.581,0.6559,0.9929,0.7557,0.8743
4.6,0.3508,0.4947,0.4609,0.7164,0.6563,0.6864,0.7277,0.5716,0.6497,1.0008,0.7547,0.8778
4.7,0.3429,0.4695,0.4504,0.6881,0.6438,0.666,0.7254,0.5613,0.6434,1.0105,0.755,0.8827
4.8,0.3323,0.4495,0.4439,0.6633,0.6327,0.648,0.7229,0.551,0.6369,1.0221,0.7566,0.8893
4.9,0.3194,0.4352,0.4411,0.6425,0.6231,0.6328,0.7187,0.5411,0.6299,1.0355,0.7598,0.8977
5,0.3037,0.4266,0.4408,0.6255,0.6148,0.6202,0.7129,0.5318,0.6224,1.0502,0.7645,0.9073
5.1,0.2844,0.4237,0.4417,0.6129,0.6077,0.6103,0.7065,0.5234,0.615,1.065,0.7702,0.9176
5.2,0.2614,0.4268,0.443,0.605,0.6022,0.6036,0.7007,0.5164,0.6086,1.0788,0.7764,0.9276
5.3,0.2352,0.4358,0.4438,0.6021,0.5985,0.6003,0.6955,0.5109,0.6032,1.0901,0.7821,0.9361
5.4,0.2063,0.4501,0.4441,0.6035,0.5966,0.6,0.6909,0.5064,0.5987,1.098,0.7869,0.9424
5.5,0.175,0.4682,0.4444,0.6079,0.596,0.6019,0.6873,0.5031,0.5952,1.1021,0.7909,0.9465
5.6,0.1421,0.4886,0.4454,0.6144,0.5957,0.6051,0.6858,0.5015,0.5936,1.103,0.7944,0.9487
5.7,0.1094,0.5099,0.448,0.6224,0.5956,0.609,0.6869,0.5022,0.5945,1.1011,0.7979,0.9495
5.8,0.0781,0.5315,0.4524,0.6314,0.5966,0.614,0.6901,0.5059,0.598,1.0964,0.8014,0.9489
5.9,0.0488,0.5524,0.4589,0.6407,0.5994,0.62,0.6946,0.5124,0.6035,1.089,0.8046,0.9468
6,0.0207,0.5719,0.4677,0.649,0.604,0.6265,0.7001,0.5216,0.6108,1.0793,0.807,0.9432
6.1,-0.0069,0.589,0.4787,0.6549,0.61,0.6325,0.7067,0.5335,0.6201,1.0681,0.8082,0.9382
6.2,-0.0339,0.603,0.492,0.6575,0.6168,0.6371,0.7144,0.5483,0.6314,1.0563,0.8083,0.9323
6.3,-0.0594,0.6137,0.5077,0.6565,0.6239,0.6402,0.7226,0.5658,0.6442,1.0444,0.8077,0.9261
6.4,-0.0827,0.6209,0.5264,0.6517,0.6311,0.6414,0.7301,0.5854,0.6578,1.0319,0.8067,0.9193
6.5,-0.1042,0.6246,0.5484,0.6433,0.6383,0.6408,0.7367,0.6072,0.672,1.0183,0.8056,0.912
6.6,-0.1244,0.6248,0.5741,0.6314,0.6455,0.6384,0.7428,0.6311,0.687,1.0033,0.8047,0.904
6.7,-0.1438,0.6214,0.6039,0.6168,0.6521,0.6345,0.749,0.6573,0.7031,0.9872,0.8043,0.8958
6.8,-0.1619,0.6148,0.6376,0.6008,0.6578,0.6293,0.7557,0.6852,0.7205,0.9703,0.8049,0.8876
6.9,-0.1772,0.6056,0.6749,0.5845,0.6624,0.6234,0.763,0.7141,0.7385,0.953,0.8066,0.8798
7,-0.1884,0.5948,0.7147,0.569,0.666,0.6175,0.7701,0.7425,0.7563,0.9354,0.8096,0.8725
7.1,-0.1944,0.5832,0.7548,0.5551,0.6686,0.6119,0.777,0.769,0.773,0.9174,0.8136,0.8655
7.2,-0.1942,0.5714,0.7926,0.5435,0.6698,0.6067,0.7837,0.7928,0.7883,0.8996,0.8183,0.859
7.3,-0.1877,0.5593,0.8268,0.5352,0.6687,0.6019,0.7905,0.8131,0.8018,0.8825,0.8234,0.853
7.4,-0.1754,0.5467,0.8568,0.5309,0.6649,0.5979,0.797,0.8297,0.8134,0.8663,0.8289,0.8476
7.5,-0.1579,0.5331,0.8824,0.5309,0.658,0.5944,0.8028,0.8424,0.8226,0.8508,0.8348,0.8428
7.6,-0.135,0.5181,0.9027,0.5343,0.6474,0.5909,0.8073,0.8511,0.8292,0.8358,0.8409,0.8383
7.7,-0.1065,0.5016,0.9169,0.5405,0.633,0.5867,0.8103,0.8558,0.8331,0.8215,0.8462,0.8338
7.8,-0.0721,0.4839,0.9249,0.5498,0.6144,0.5821,0.8118,0.8567,0.8343,0.808,0.85,0.829
7.9,-0.031,0.4656,0.9272,0.5626,0.5919,0.5773,0.8113,0.8543,0.8328,0.7949,0.8518,0.8234
8,0.0166,0.4471,0.9246,0.5786,0.5659,0.5722,0.8076,0.8489,0.8282,0.7821,0.8515,0.8168
8.1,0.0694,0.4278,0.9174,0.5959,0.5361,0.566,0.7999,0.8402,0.82,0.7692,0.8494,0.8093
8.2,0.1246,0.4071,0.9059,0.6124,0.5029,0.5577,0.7877,0.8278,0.8078,0.7566,0.8458,0.8012
