Time,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC,Bunnings - Christmas to Remember 2022 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.8809,0.7666,0.464,0.2866,0.873,0.5798,0.2937,0.6943,0.494,0.3956,0.3129,0.3542
0.1,-0.8281,0.7675,0.4897,0.2866,0.84,0.5633,0.2859,0.6802,0.4831,0.4081,0.3253,0.3667
0.2,-0.7797,0.7664,0.5165,0.2847,0.8118,0.5482,0.2854,0.6668,0.4761,0.4268,0.3443,0.3855
0.3,-0.7357,0.7636,0.5433,0.2816,0.7881,0.5348,0.2908,0.654,0.4724,0.4504,0.3692,0.4098
0.4,-0.6963,0.7595,0.5692,0.2778,0.7681,0.523,0.3006,0.6414,0.471,0.4781,0.3989,0.4385
0.5,-0.6611,0.7547,0.5931,0.2738,0.7512,0.5125,0.3125,0.6286,0.4706,0.5088,0.4323,0.4706
0.6,-0.6288,0.7495,0.6143,0.2698,0.7364,0.5031,0.3246,0.6158,0.4702,0.5408,0.4676,0.5042
0.7,-0.5979,0.7441,0.6319,0.266,0.7232,0.4946,0.336,0.6028,0.4694,0.5714,0.503,0.5372
0.8,-0.5679,0.7384,0.6459,0.263,0.7111,0.487,0.3464,0.59,0.4682,0.5984,0.5371,0.5678
0.9,-0.5388,0.7329,0.6568,0.2617,0.7002,0.481,0.3556,0.5779,0.4667,0.6209,0.5691,0.595
1,-0.5108,0.7278,0.6648,0.263,0.6907,0.4769,0.3635,0.5669,0.4652,0.6392,0.5986,0.6189
1.1,-0.4841,0.7234,0.6699,0.2675,0.6824,0.475,0.3701,0.5573,0.4637,0.6539,0.6251,0.6395
1.2,-0.458,0.7195,0.6716,0.2754,0.6751,0.4753,0.3759,0.5489,0.4624,0.6648,0.6477,0.6563
1.3,-0.4318,0.7163,0.6697,0.2867,0.6683,0.4775,0.3812,0.5408,0.461,0.6715,0.6661,0.6688
1.4,-0.4054,0.7143,0.6648,0.3015,0.6622,0.4818,0.3866,0.5325,0.4596,0.6742,0.6801,0.6772
1.5,-0.3787,0.714,0.6577,0.3197,0.6574,0.4886,0.3924,0.5242,0.4583,0.6735,0.6898,0.6817
