Time,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.1,-0.0808,0.7268,0.6384,0.7759,0.674,0.7249,0.7048,0.5858,0.6453,0.6076,0.6231,0.6154
22.2,-0.0705,0.7281,0.6383,0.7753,0.6744,0.7248,0.7062,0.5827,0.6445,0.6093,0.6216,0.6154
22.3,-0.061,0.7272,0.638,0.7717,0.6722,0.7219,0.706,0.5785,0.6423,0.6105,0.6201,0.6153
22.4,-0.0523,0.7242,0.6374,0.765,0.6673,0.7161,0.7038,0.5734,0.6386,0.6111,0.6183,0.6147
22.5,-0.0448,0.7192,0.636,0.755,0.6598,0.7074,0.6995,0.5672,0.6333,0.6109,0.6156,0.6133
22.6,-0.0392,0.712,0.6332,0.7417,0.65,0.6959,0.6932,0.5602,0.6267,0.6094,0.6115,0.6105
22.7,-0.036,0.7026,0.6284,0.7251,0.6382,0.6817,0.6851,0.5528,0.6189,0.6061,0.6054,0.6058
22.8,-0.0359,0.6912,0.6215,0.7054,0.6247,0.6651,0.6753,0.5455,0.6104,0.6008,0.5972,0.599
22.9,-0.04,0.6776,0.6126,0.6828,0.6098,0.6463,0.6645,0.5388,0.6017,0.5935,0.587,0.5903
23,-0.0489,0.6619,0.6022,0.6576,0.5937,0.6257,0.6533,0.5331,0.5932,0.5844,0.5752,0.5798
23.1,-0.0624,0.6441,0.5908,0.6303,0.5769,0.6036,0.6419,0.5284,0.5852,0.574,0.5625,0.5682
23.2,-0.0792,0.6249,0.5785,0.6017,0.5597,0.5807,0.6306,0.5246,0.5776,0.5624,0.5491,0.5558
23.3,-0.0972,0.6055,0.566,0.5731,0.5432,0.5581,0.6197,0.5217,0.5707,0.5497,0.5355,0.5426
23.4,-0.1148,0.5869,0.5537,0.5457,0.5284,0.537,0.6102,0.5201,0.5652,0.5361,0.5223,0.5292
23.5,-0.1313,0.5697,0.5429,0.5204,0.5164,0.5184,0.6027,0.5204,0.5615,0.5223,0.5101,0.5162
23.6,-0.1467,0.5543,0.534,0.4978,0.5079,0.5028,0.5975,0.5227,0.5601,0.5091,0.4993,0.5042
23.7,-0.1612,0.5409,0.527,0.4783,0.503,0.4907,0.5943,0.5269,0.5606,0.4972,0.4901,0.4937
23.8,-0.1743,0.5299,0.5217,0.4624,0.5019,0.4821,0.5924,0.5325,0.5624,0.487,0.4824,0.4847
23.9,-0.1858,0.5217,0.5179,0.4502,0.5042,0.4772,0.5912,0.539,0.5651,0.4786,0.4762,0.4774
24,-0.1961,0.5161,0.5158,0.4414,0.5094,0.4754,0.5905,0.546,0.5683,0.4722,0.4716,0.4719
24.1,-0.2057,0.5128,0.5157,0.4357,0.5172,0.4765,0.5905,0.5534,0.572,0.468,0.4688,0.4684
24.2,-0.2149,0.5112,0.5175,0.4325,0.5268,0.4797,0.5911,0.561,0.5761,0.4658,0.4678,0.4668
24.3,-0.2226,0.511,0.5208,0.4317,0.5376,0.4846,0.592,0.5685,0.5802,0.4655,0.468,0.4667
24.4,-0.2275,0.5123,0.5247,0.4331,0.5493,0.4912,0.593,0.5753,0.5842,0.4667,0.4691,0.4679
24.5,-0.2291,0.5153,0.5285,0.4366,0.5617,0.4992,0.5938,0.5812,0.5875,0.4693,0.4709,0.4701
24.6,-0.2281,0.5197,0.5314,0.4419,0.5744,0.5082,0.5942,0.5856,0.5899,0.4734,0.4735,0.4734
24.7,-0.2257,0.5249,0.5331,0.4484,0.5871,0.5177,0.594,0.5882,0.5911,0.4788,0.4769,0.4778
24.8,-0.2222,0.5307,0.5332,0.4556,0.5992,0.5274,0.5932,0.5886,0.5909,0.4852,0.4811,0.4831
24.9,-0.2173,0.5367,0.5316,0.4632,0.6098,0.5365,0.5918,0.5869,0.5894,0.4925,0.4862,0.4894
25,-0.2101,0.5428,0.5282,0.4711,0.6184,0.5447,0.5898,0.5831,0.5865,0.5006,0.4922,0.4964
25.1,-0.2005,0.5487,0.5231,0.4792,0.6245,0.5519,0.5872,0.5774,0.5823,0.5094,0.4991,0.5042
25.2,-0.1889,0.5543,0.5166,0.4877,0.6282,0.5579,0.5842,0.5697,0.577,0.5189,0.5067,0.5128
25.3,-0.1759,0.5596,0.5088,0.4968,0.6296,0.5632,0.5811,0.5605,0.5708,0.529,0.515,0.522
25.4,-0.1616,0.5653,0.5003,0.5067,0.6288,0.5678,0.5782,0.55,0.5641,0.54,0.5242,0.5321
25.5,-0.1465,0.5718,0.4918,0.5175,0.6263,0.5719,0.5757,0.5389,0.5573,0.5519,0.5343,0.5431
25.6,-0.1313,0.5798,0.4843,0.5292,0.6227,0.5759,0.574,0.528,0.551,0.5651,0.5457,0.5554
25.7,-0.1176,0.5897,0.4785,0.5416,0.619,0.5803,0.5737,0.5183,0.546,0.5796,0.5582,0.5689
25.8,-0.107,0.6021,0.4752,0.5549,0.6167,0.5858,0.5755,0.5108,0.5431,0.5955,0.5715,0.5835
25.9,-0.1004,0.6174,0.4744,0.5691,0.6173,0.5932,0.5803,0.5063,0.5433,0.6125,0.5852,0.5989
26,-0.0979,0.6357,0.4767,0.5841,0.6217,0.6029,0.5882,0.5055,0.5469,0.6303,0.5993,0.6148
26.1,-0.0992,0.6568,0.4825,0.5997,0.63,0.6149,0.5993,0.5089,0.5541,0.6487,0.6136,0.6312
26.2,-0.1035,0.68,0.4919,0.6159,0.6418,0.6288,0.6131,0.5164,0.5648,0.6674,0.6281,0.6478
26.3,-0.1103,0.7045,0.5046,0.6325,0.6562,0.6443,0.629,0.5276,0.5783,0.6862,0.6422,0.6642
26.4,-0.1183,0.7297,0.5201,0.6492,0.6726,0.6609,0.6465,0.5416,0.5941,0.7041,0.6549,0.6795
26.5,-0.1261,0.7547,0.5377,0.6658,0.6905,0.6781,0.6648,0.558,0.6114,0.7203,0.6654,0.6928
26.6,-0.1327,0.7787,0.5568,0.682,0.7097,0.6959,0.6835,0.5762,0.6298,0.7336,0.6732,0.7034
26.7,-0.1369,0.8008,0.5771,0.6976,0.73,0.7138,0.7021,0.5963,0.6492,0.7438,0.6783,0.711
26.8,-0.1384,0.8198,0.598,0.7122,0.7503,0.7313,0.7199,0.6175,0.6687,0.7509,0.6806,0.7158
26.9,-0.1362,0.8349,0.6183,0.7253,0.7695,0.7474,0.7361,0.6387,0.6874,0.7549,0.6804,0.7176
27,-0.1295,0.8457,0.6368,0.7367,0.7866,0.7616,0.75,0.6588,0.7044,0.7559,0.6776,0.7168
27.1,-0.1178,0.8521,0.6526,0.7461,0.8008,0.7735,0.7613,0.6773,0.7193,0.7542,0.6729,0.7136
27.2,-0.101,0.8542,0.6656,0.7536,0.8119,0.7827,0.7699,0.6939,0.7319,0.7499,0.6668,0.7083
27.3,-0.0799,0.8519,0.6763,0.7591,0.8196,0.7893,0.7761,0.7086,0.7423,0.7429,0.6594,0.7011
27.4,-0.0554,0.8451,0.6848,0.7624,0.8236,0.793,0.7795,0.721,0.7503,0.7332,0.6508,0.692
27.5,-0.0278,0.8339,0.6907,0.7634,0.8238,0.7936,0.7802,0.7308,0.7555,0.7209,0.6408,0.6809
27.6,0.0026,0.8186,0.6936,0.7624,0.8202,0.7913,0.7781,0.7379,0.758,0.7064,0.6297,0.668
27.7,0.0352,0.7996,0.6935,0.76,0.8131,0.7865,0.7738,0.7425,0.7581,0.6907,0.6176,0.6541
27.8,0.0686,0.7773,0.6912,0.7568,0.8029,0.7799,0.7679,0.7448,0.7564,0.6749,0.6051,0.64
27.9,0.1008,0.752,0.6875,0.7529,0.7902,0.7716,0.7609,0.7451,0.753,0.66,0.5931,0.6265
28,0.1294,0.724,0.6829,0.7481,0.7754,0.7618,0.753,0.7432,0.7481,0.6464,0.5822,0.6143
28.1,0.1532,0.6943,0.6777,0.7426,0.7593,0.751,0.7445,0.7393,0.7419,0.6346,0.5731,0.6038
28.2,0.1716,0.6639,0.6726,0.7367,0.7424,0.7396,0.7357,0.734,0.7349,0.6251,0.5667,0.5959
28.3,0.1842,0.6339,0.6689,0.7312,0.725,0.7281,0.7276,0.7281,0.7278,0.6186,0.5636,0.5911
28.4,0.1905,0.6052,0.6676,0.7262,0.7076,0.7169,0.7203,0.7224,0.7213,0.6152,0.5638,0.5895
28.5,0.1902,0.5788,0.6692,0.7214,0.6908,0.7061,0.7138,0.7172,0.7155,0.6149,0.5669,0.5909
28.6,0.1826,0.5553,0.6741,0.7164,0.6755,0.696,0.708,0.7125,0.7102,0.6172,0.5721,0.5946
28.7,0.1678,0.5357,0.6823,0.7109,0.6624,0.6867,0.7024,0.7088,0.7056,0.622,0.579,0.6005
28.8,0.1462,0.5202,0.6943,0.705,0.6518,0.6784,0.6973,0.7062,0.7017,0.6293,0.5875,0.6084
28.9,0.1183,0.5092,0.7098,0.6988,0.6442,0.6715,0.6925,0.7049,0.6987,0.639,0.5973,0.6182
29,0.0854,0.5023,0.728,0.6923,0.6396,0.666,0.6878,0.7047,0.6962,0.6507,0.608,0.6293
29.1,0.0484,0.4991,0.7475,0.6854,0.6381,0.6617,0.6829,0.7048,0.6939,0.6635,0.6186,0.6411
29.2,0.0089,0.4991,0.7669,0.6774,0.6391,0.6583,0.6774,0.7049,0.6912,0.6768,0.6285,0.6527
29.3,-0.0312,0.5016,0.7851,0.6684,0.6414,0.6549,0.6709,0.7042,0.6876,0.6899,0.637,0.6635
29.4,-0.0704,0.5056,0.8011,0.6585,0.6439,0.6512,0.6631,0.7022,0.6826,0.7023,0.6439,0.6731
29.5,-0.1076,0.5104,0.8135,0.6476,0.6456,0.6466,0.6535,0.698,0.6757,0.7132,0.6484,0.6808
29.6,-0.1421,0.5151,0.8209,0.6354,0.6462,0.6408,0.6418,0.691,0.6664,0.7219,0.65,0.6859
29.7,-0.1731,0.5195,0.8228,0.6215,0.646,0.6337,0.6279,0.6812,0.6545,0.7277,0.6479,0.6878
29.8,-0.1997,0.5236,0.8194,0.6059,0.6454,0.6257,0.6123,0.6692,0.6407,0.7299,0.6421,0.686
29.9,-0.2212,0.5278,0.8115,0.5898,0.645,0.6174,0.5955,0.656,0.6258,0.7284,0.6333,0.6808
