Time,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC,Aldi - Shop at Aldi First 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.125,0.8284,0.7963,0.657,0.8643,0.7606,0.4313,0.5829,0.5071,0.6506,0.6448,0.6477
0.1,0.152,0.8338,0.824,0.6593,0.8544,0.7569,0.4476,0.6026,0.5251,0.6771,0.6534,0.6653
0.2,0.1738,0.8385,0.8541,0.6653,0.844,0.7547,0.4676,0.6226,0.5451,0.703,0.6633,0.6832
0.3,0.1909,0.8421,0.8856,0.6744,0.8332,0.7538,0.49,0.6422,0.5661,0.7268,0.6729,0.6998
0.4,0.2036,0.8449,0.9173,0.6863,0.8227,0.7545,0.5136,0.6611,0.5874,0.7469,0.6811,0.714
0.5,0.2126,0.8473,0.9478,0.7007,0.8138,0.7572,0.5372,0.6791,0.6082,0.7621,0.6873,0.7247
0.6,0.2187,0.8498,0.9756,0.7174,0.8065,0.762,0.5597,0.6953,0.6275,0.7714,0.691,0.7312
0.7,0.2229,0.8527,0.9994,0.7366,0.8008,0.7687,0.58,0.7084,0.6442,0.7742,0.6919,0.733
0.8,0.2264,0.8564,1.0183,0.759,0.7964,0.7777,0.5977,0.7174,0.6576,0.7709,0.6894,0.7302
0.9,0.2309,0.8612,1.0315,0.7851,0.7931,0.7891,0.6125,0.7221,0.6673,0.7621,0.6834,0.7228
1,0.2368,0.8682,1.0378,0.8149,0.7918,0.8034,0.6242,0.7227,0.6735,0.7484,0.6735,0.7109
1.1,0.2431,0.8774,1.0359,0.8473,0.7936,0.8204,0.6325,0.7194,0.676,0.7299,0.6595,0.6947
1.2,0.2485,0.8886,1.0246,0.8804,0.7985,0.8395,0.6367,0.7117,0.6742,0.7068,0.6413,0.6741
1.3,0.2526,0.9008,1.0034,0.9126,0.8061,0.8593,0.6364,0.6987,0.6676,0.6798,0.6193,0.6495
1.4,0.2568,0.9128,0.9724,0.9423,0.8147,0.8785,0.6315,0.68,0.6557,0.6492,0.5939,0.6216
1.5,0.2646,0.923,0.9322,0.9678,0.8216,0.8947,0.6222,0.6555,0.6389,0.6153,0.5655,0.5904
1.6,0.2784,0.93,0.8843,0.9873,0.8239,0.9056,0.6088,0.6258,0.6173,0.5782,0.534,0.5561
1.7,0.2973,0.9324,0.8309,0.9992,0.8198,0.9095,0.5915,0.5917,0.5916,0.5384,0.5002,0.5193
1.8,0.3176,0.9303,0.7747,1.003,0.8096,0.9063,0.5709,0.5545,0.5627,0.4973,0.4659,0.4816
1.9,0.334,0.9246,0.7185,0.9996,0.7958,0.8977,0.5479,0.516,0.5319,0.4572,0.433,0.4451
2,0.3426,0.9162,0.6643,0.9898,0.7812,0.8855,0.5232,0.4781,0.5006,0.4197,0.4033,0.4115
2.1,0.3423,0.9052,0.614,0.9733,0.7673,0.8703,0.4974,0.4424,0.4699,0.386,0.3772,0.3816
2.2,0.3339,0.8908,0.5687,0.9494,0.7531,0.8513,0.4709,0.4101,0.4405,0.3561,0.3549,0.3555
2.3,0.3198,0.8717,0.529,0.9167,0.7369,0.8268,0.4441,0.3818,0.4129,0.3301,0.3366,0.3334
2.4,0.3016,0.8472,0.495,0.8747,0.7171,0.7959,0.4173,0.3581,0.3877,0.3078,0.3222,0.315
2.5,0.2792,0.8177,0.4664,0.8236,0.6936,0.7586,0.3909,0.3398,0.3653,0.2895,0.3115,0.3005
2.6,0.2529,0.785,0.442,0.7652,0.6671,0.7161,0.3657,0.3268,0.3462,0.275,0.304,0.2895
2.7,0.2233,0.7508,0.4207,0.7021,0.6383,0.6702,0.3422,0.3186,0.3304,0.2635,0.2988,0.2812
2.8,0.1922,0.7159,0.4019,0.6366,0.608,0.6223,0.3214,0.3147,0.318,0.2538,0.2949,0.2743
2.9,0.1627,0.6806,0.3852,0.5709,0.5768,0.5739,0.3038,0.3142,0.309,0.2447,0.2918,0.2683
3,0.1372,0.6451,0.371,0.5077,0.5456,0.5267,0.29,0.3165,0.3033,0.2361,0.2897,0.2629
3.1,0.1174,0.6099,0.3593,0.4495,0.515,0.4823,0.2798,0.3214,0.3006,0.2281,0.289,0.2585
3.2,0.1039,0.5761,0.3496,0.3985,0.4854,0.4419,0.2729,0.3285,0.3007,0.2208,0.2899,0.2553
3.3,0.0964,0.5439,0.3411,0.3549,0.4568,0.4058,0.2688,0.3375,0.3032,0.2141,0.2919,0.253
3.4,0.0942,0.5136,0.3331,0.3177,0.4293,0.3735,0.2668,0.3481,0.3074,0.2079,0.2942,0.251
3.5,0.0959,0.4845,0.3251,0.2854,0.4032,0.3443,0.2659,0.3598,0.3129,0.2022,0.2961,0.2491
3.6,0.0996,0.457,0.3175,0.2564,0.3796,0.318,0.2655,0.372,0.3187,0.1975,0.297,0.2473
3.7,0.1038,0.4316,0.3105,0.2304,0.3595,0.295,0.2653,0.3843,0.3248,0.1945,0.297,0.2457
3.8,0.1078,0.4098,0.305,0.2079,0.3435,0.2757,0.2652,0.3967,0.331,0.1938,0.2963,0.245
3.9,0.1115,0.3925,0.3017,0.1896,0.3322,0.2609,0.2656,0.4092,0.3374,0.1957,0.2957,0.2457
4,0.1149,0.3807,0.301,0.1761,0.3261,0.2511,0.2667,0.4218,0.3443,0.2009,0.2962,0.2486
4.1,0.1172,0.3749,0.3034,0.1678,0.3261,0.247,0.2685,0.4348,0.3517,0.2098,0.2985,0.2542
4.2,0.1168,0.3759,0.3085,0.1649,0.3335,0.2492,0.2709,0.4482,0.3595,0.2226,0.3028,0.2627
4.3,0.1122,0.384,0.316,0.1664,0.3492,0.2578,0.2735,0.4621,0.3678,0.2388,0.3085,0.2737
4.4,0.1019,0.3992,0.3253,0.1711,0.3733,0.2722,0.2761,0.4766,0.3764,0.2579,0.3153,0.2866
4.5,0.0855,0.4202,0.3363,0.177,0.4041,0.2905,0.2785,0.4914,0.3849,0.279,0.3229,0.3009
4.6,0.0631,0.4449,0.3487,0.1827,0.4391,0.3109,0.2804,0.5063,0.3933,0.3011,0.3306,0.3159
4.7,0.0348,0.4719,0.3624,0.1874,0.4755,0.3315,0.2818,0.5213,0.4016,0.3231,0.3381,0.3306
4.8,0.001,0.5003,0.3774,0.1914,0.5111,0.3512,0.2827,0.5369,0.4098,0.3435,0.3447,0.3441
4.9,-0.0374,0.5298,0.3939,0.1949,0.5444,0.3697,0.2836,0.5538,0.4187,0.3613,0.3501,0.3557
5,-0.0786,0.5597,0.4121,0.1986,0.5746,0.3866,0.2851,0.5725,0.4288,0.3765,0.3544,0.3655
5.1,-0.12,0.5891,0.4317,0.2025,0.6012,0.4019,0.2882,0.5922,0.4402,0.3896,0.3584,0.374
5.2,-0.1585,0.6167,0.4513,0.2066,0.6243,0.4154,0.2938,0.6112,0.4525,0.4007,0.3626,0.3817
5.3,-0.1916,0.6412,0.4689,0.211,0.6438,0.4274,0.3026,0.6272,0.4649,0.4095,0.3668,0.3882
5.4,-0.2177,0.662,0.4829,0.2162,0.6597,0.438,0.3145,0.639,0.4768,0.4152,0.3704,0.3928
5.5,-0.2355,0.6791,0.4922,0.2231,0.6722,0.4476,0.3296,0.6466,0.4881,0.417,0.3727,0.3949
5.6,-0.2446,0.6931,0.4972,0.2328,0.6815,0.4572,0.3481,0.6508,0.4994,0.4152,0.3738,0.3945
5.7,-0.2453,0.7052,0.4986,0.2465,0.6882,0.4674,0.3703,0.6525,0.5114,0.4108,0.3745,0.3927
5.8,-0.2383,0.7163,0.4972,0.2646,0.6929,0.4788,0.3964,0.6525,0.5245,0.4055,0.3754,0.3904
