Time,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC,Air New Zealand - Paging our Very Important Precious Passengers 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0184,0.4283,0.6896,0.5845,0.3512,0.4679,0.3737,0.2389,0.3063,0.2655,0.4065,0.336
0.1,-0.0182,0.431,0.725,0.5873,0.3697,0.4785,0.3981,0.2693,0.3337,0.2675,0.4043,0.3359
0.2,-0.0179,0.4347,0.7623,0.5895,0.3904,0.49,0.4213,0.3021,0.3617,0.2708,0.403,0.3369
0.3,-0.0167,0.4387,0.7998,0.5903,0.4112,0.5008,0.441,0.3352,0.3881,0.2747,0.402,0.3384
0.4,-0.0139,0.4426,0.8356,0.589,0.4304,0.5097,0.4553,0.3664,0.4109,0.2788,0.4009,0.3398
0.5,-0.0102,0.4457,0.8678,0.5849,0.4472,0.5161,0.4636,0.3945,0.429,0.2832,0.3996,0.3414
0.6,-0.0063,0.4487,0.8947,0.5781,0.4621,0.5201,0.4666,0.4194,0.443,0.2883,0.3983,0.3433
0.7,-0.0021,0.4526,0.9154,0.5696,0.476,0.5228,0.4662,0.4418,0.454,0.2947,0.3969,0.3458
0.8,0.0024,0.4583,0.9287,0.5613,0.4901,0.5257,0.4641,0.4618,0.4629,0.3031,0.396,0.3496
0.9,0.0081,0.4663,0.9339,0.5548,0.5049,0.5299,0.4617,0.4786,0.4702,0.3141,0.3958,0.355
1,0.0147,0.4763,0.9306,0.5508,0.5204,0.5356,0.4603,0.4921,0.4762,0.3276,0.3965,0.362
1.1,0.0212,0.4881,0.9196,0.5495,0.5363,0.5429,0.4613,0.503,0.4822,0.3423,0.3988,0.3705
1.2,0.0265,0.5016,0.9036,0.5504,0.5532,0.5518,0.4663,0.5132,0.4897,0.3576,0.403,0.3803
1.3,0.0303,0.5166,0.8861,0.5533,0.5715,0.5624,0.4761,0.5243,0.5002,0.3733,0.4097,0.3915
1.4,0.0326,0.5333,0.8688,0.5581,0.5914,0.5747,0.4907,0.5367,0.5137,0.3881,0.4187,0.4034
1.5,0.0337,0.5519,0.852,0.5647,0.6128,0.5887,0.5094,0.5498,0.5296,0.401,0.4295,0.4152
1.6,0.0341,0.5717,0.8357,0.5729,0.6359,0.6044,0.531,0.5626,0.5468,0.4114,0.4414,0.4264
1.7,0.0344,0.592,0.8202,0.5825,0.6606,0.6215,0.5547,0.575,0.5648,0.4191,0.454,0.4365
1.8,0.0352,0.6118,0.8052,0.5932,0.6858,0.6395,0.5795,0.5869,0.5832,0.4245,0.4668,0.4456
1.9,0.0367,0.6304,0.7903,0.6044,0.7104,0.6574,0.6051,0.5981,0.6016,0.428,0.4793,0.4537
2,0.0382,0.6471,0.7747,0.6154,0.7329,0.6741,0.6313,0.6083,0.6198,0.4309,0.4908,0.4608
2.1,0.039,0.6617,0.758,0.6255,0.7524,0.6889,0.6582,0.618,0.6381,0.4339,0.5009,0.4674
2.2,0.0393,0.6742,0.7405,0.6345,0.7684,0.7014,0.6858,0.6292,0.6575,0.438,0.5096,0.4738
2.3,0.0406,0.6849,0.7235,0.643,0.7811,0.712,0.7141,0.645,0.6796,0.4432,0.5169,0.4801
2.4,0.0444,0.6943,0.7074,0.6516,0.7908,0.7212,0.7431,0.6676,0.7054,0.4493,0.523,0.4862
2.5,0.051,0.7028,0.6923,0.6611,0.7971,0.7291,0.7728,0.6967,0.7348,0.4564,0.5282,0.4923
2.6,0.0594,0.7102,0.6782,0.6715,0.7996,0.7355,0.8022,0.7308,0.7665,0.4647,0.5327,0.4987
2.7,0.0684,0.7166,0.6657,0.6827,0.7977,0.7402,0.8296,0.7671,0.7984,0.4743,0.5368,0.5055
2.8,0.0774,0.7216,0.6553,0.6939,0.7915,0.7427,0.853,0.8024,0.8277,0.4855,0.5405,0.513
2.9,0.0867,0.7249,0.6469,0.7039,0.7814,0.7426,0.8702,0.8335,0.8519,0.4981,0.5438,0.521
3,0.0967,0.7261,0.6388,0.7112,0.7676,0.7394,0.8801,0.8574,0.8687,0.5119,0.5466,0.5293
3.1,0.1063,0.7246,0.6289,0.7148,0.7506,0.7327,0.8823,0.8734,0.8779,0.5266,0.5482,0.5374
3.2,0.113,0.7203,0.6157,0.7143,0.7305,0.7224,0.8776,0.8822,0.8799,0.5413,0.548,0.5447
3.3,0.1137,0.7138,0.5993,0.7095,0.7077,0.7086,0.8672,0.8854,0.8763,0.5558,0.5456,0.5507
3.4,0.1075,0.7057,0.5809,0.701,0.6833,0.6921,0.8525,0.8851,0.8688,0.5694,0.5412,0.5553
3.5,0.0952,0.6966,0.5609,0.6892,0.6579,0.6735,0.8338,0.883,0.8584,0.5819,0.5346,0.5583
3.6,0.078,0.6867,0.5391,0.6743,0.6322,0.6533,0.8109,0.8804,0.8457,0.593,0.5258,0.5594
