Time,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC,2degrees Unlimited 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
25.9,-0.2881,0.6104,0.2175,0.645,0.738,0.6915,0.2962,0.5133,0.4047,0.1854,0.2583,0.2218
26,-0.2897,0.608,0.2183,0.6566,0.737,0.6968,0.2954,0.4991,0.3972,0.1964,0.2653,0.2309
26.1,-0.287,0.6052,0.2241,0.6661,0.7332,0.6996,0.2959,0.4863,0.3911,0.209,0.2741,0.2416
26.2,-0.2801,0.6018,0.2349,0.6728,0.7261,0.6995,0.2979,0.4757,0.3868,0.2229,0.2849,0.2539
26.3,-0.2688,0.5978,0.25,0.6764,0.7158,0.6961,0.3015,0.4678,0.3847,0.2375,0.2972,0.2673
26.4,-0.2532,0.5935,0.2683,0.6766,0.7026,0.6896,0.3069,0.4631,0.385,0.2522,0.3107,0.2815
26.5,-0.2333,0.5889,0.2894,0.673,0.6866,0.6798,0.3143,0.4624,0.3883,0.2674,0.3255,0.2964
26.6,-0.209,0.5841,0.3128,0.6655,0.6678,0.6667,0.3242,0.4661,0.3952,0.2834,0.3418,0.3126
26.7,-0.1797,0.5791,0.3382,0.6543,0.6464,0.6504,0.3369,0.4743,0.4056,0.3002,0.3596,0.3299
26.8,-0.146,0.5734,0.3645,0.6393,0.6232,0.6313,0.352,0.4865,0.4192,0.3171,0.3785,0.3478
26.9,-0.1088,0.5668,0.3908,0.6201,0.5987,0.6094,0.3685,0.5015,0.435,0.3327,0.3979,0.3653
27,-0.0696,0.5589,0.4163,0.5967,0.5724,0.5845,0.3853,0.5183,0.4518,0.3462,0.4174,0.3818
27.1,-0.0296,0.55,0.4405,0.5698,0.5448,0.5573,0.4012,0.5357,0.4684,0.3575,0.4365,0.397
27.2,0.0105,0.5405,0.4632,0.5413,0.5174,0.5294,0.4156,0.5523,0.484,0.3668,0.455,0.4109
27.3,0.05,0.5309,0.4841,0.5127,0.4917,0.5022,0.4282,0.5675,0.4979,0.3749,0.4724,0.4237
27.4,0.0878,0.522,0.5028,0.4852,0.4678,0.4765,0.4392,0.5805,0.5099,0.3826,0.4888,0.4357
27.5,0.1225,0.5142,0.5187,0.4599,0.4456,0.4527,0.4485,0.5908,0.5197,0.3904,0.504,0.4472
27.6,0.1526,0.508,0.5321,0.4377,0.4257,0.4317,0.4553,0.5982,0.5267,0.3979,0.5175,0.4577
27.7,0.1767,0.5029,0.543,0.4198,0.4086,0.4142,0.4587,0.6023,0.5305,0.4041,0.5282,0.4661
27.8,0.1941,0.4982,0.551,0.4062,0.3939,0.4001,0.4584,0.6032,0.5308,0.4082,0.5351,0.4716
27.9,0.2044,0.4928,0.5559,0.3959,0.3808,0.3884,0.4542,0.6005,0.5273,0.4095,0.5379,0.4737
28,0.2079,0.4862,0.5574,0.3878,0.3686,0.3782,0.447,0.594,0.5205,0.4082,0.537,0.4726
28.1,0.2055,0.4786,0.5555,0.3818,0.3572,0.3695,0.438,0.5843,0.5112,0.4048,0.5335,0.4692
28.2,0.1983,0.4707,0.55,0.3783,0.3473,0.3628,0.4284,0.5725,0.5004,0.4001,0.5287,0.4644
28.3,0.1868,0.4631,0.5407,0.3775,0.339,0.3582,0.4184,0.5592,0.4888,0.3944,0.5231,0.4587
28.4,0.1714,0.4557,0.5277,0.3787,0.3316,0.3552,0.408,0.5441,0.476,0.3872,0.5162,0.4517
28.5,0.1533,0.4488,0.5112,0.3812,0.3243,0.3527,0.3974,0.5269,0.4621,0.3783,0.5082,0.4433
28.6,0.1339,0.4426,0.4916,0.3847,0.3169,0.3508,0.3871,0.5077,0.4474,0.3683,0.4999,0.4341
28.7,0.1142,0.4377,0.4696,0.389,0.3106,0.3498,0.3773,0.4869,0.4321,0.3581,0.4918,0.425
28.8,0.0942,0.4341,0.4463,0.3939,0.3061,0.35,0.3675,0.465,0.4162,0.3482,0.4844,0.4163
28.9,0.0732,0.4312,0.4234,0.3984,0.3038,0.3511,0.3574,0.4428,0.4001,0.3386,0.4776,0.4081
29,0.0511,0.4288,0.4015,0.4013,0.3037,0.3525,0.3473,0.4209,0.3841,0.3288,0.4716,0.4002
29.1,0.0288,0.427,0.3808,0.4025,0.3065,0.3545,0.3379,0.4002,0.3691,0.319,0.4669,0.3929
29.2,0.0078,0.4263,0.3615,0.4026,0.3127,0.3577,0.3299,0.3816,0.3558,0.3097,0.464,0.3869
29.3,-0.0105,0.4275,0.344,0.4028,0.3232,0.363,0.3237,0.3661,0.3449,0.302,0.4637,0.3829
29.4,-0.0257,0.4309,0.329,0.4038,0.3383,0.3711,0.3194,0.3547,0.3371,0.2968,0.4664,0.3816
29.5,-0.0381,0.4367,0.3164,0.406,0.3586,0.3823,0.3173,0.3481,0.3327,0.2945,0.4719,0.3832
29.6,-0.0476,0.4456,0.3058,0.4097,0.3849,0.3973,0.3176,0.3469,0.3322,0.2955,0.4798,0.3877
29.7,-0.0539,0.4585,0.2967,0.4159,0.4179,0.4169,0.321,0.3511,0.336,0.2999,0.4899,0.3949
29.8,-0.0566,0.475,0.2893,0.4248,0.458,0.4414,0.3275,0.3607,0.3441,0.3079,0.5018,0.4049
29.9,-0.0549,0.4937,0.2843,0.4359,0.504,0.4699,0.3366,0.3748,0.3557,0.3195,0.5154,0.4175
