Time,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC,The Warehouse - Back to School 2020 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.5,-0.4002,0.5396,0.4537,0.2283,0.6245,0.4264,0.3305,0.4162,0.3734,0.6193,0.6077,0.6135
22.6,-0.3812,0.5365,0.4342,0.2386,0.6252,0.4319,0.328,0.4137,0.3709,0.6121,0.6071,0.6096
22.7,-0.3617,0.5327,0.4169,0.2538,0.6247,0.4393,0.3252,0.4133,0.3693,0.6024,0.6054,0.6039
22.8,-0.3405,0.5286,0.4027,0.274,0.6231,0.4485,0.322,0.4151,0.3686,0.5902,0.6024,0.5963
22.9,-0.3167,0.5236,0.3915,0.2984,0.6202,0.4593,0.3185,0.4188,0.3687,0.5759,0.5984,0.5872
23,-0.2898,0.517,0.383,0.3257,0.6155,0.4706,0.315,0.4243,0.3696,0.5598,0.5932,0.5765
23.1,-0.2604,0.5085,0.3776,0.3543,0.6085,0.4814,0.3122,0.4312,0.3717,0.5424,0.5868,0.5646
23.2,-0.2304,0.4983,0.3764,0.383,0.5989,0.4909,0.3109,0.44,0.3755,0.5245,0.5793,0.5519
23.3,-0.2013,0.4867,0.3804,0.4111,0.5869,0.499,0.3118,0.4508,0.3813,0.5068,0.5706,0.5387
23.4,-0.1733,0.4744,0.3899,0.4382,0.5728,0.5055,0.3148,0.4632,0.389,0.4897,0.5606,0.5251
23.5,-0.1451,0.4619,0.4045,0.4639,0.5572,0.5106,0.32,0.4768,0.3984,0.4741,0.5497,0.5119
23.6,-0.1155,0.45,0.4237,0.488,0.5402,0.5141,0.3275,0.4914,0.4095,0.4608,0.5391,0.4999
23.7,-0.0846,0.4392,0.447,0.5104,0.5221,0.5162,0.3372,0.5069,0.422,0.4505,0.5295,0.49
23.8,-0.0536,0.4303,0.4733,0.5311,0.5038,0.5174,0.349,0.5234,0.4362,0.4437,0.5216,0.4827
23.9,-0.0235,0.4235,0.5009,0.5508,0.4871,0.5189,0.3628,0.5408,0.4518,0.4404,0.5158,0.4781
24,0.005,0.4191,0.5284,0.57,0.4738,0.5219,0.3783,0.5589,0.4686,0.4404,0.5124,0.4764
24.1,0.0312,0.4167,0.5552,0.5886,0.4648,0.5267,0.3948,0.5771,0.4859,0.4437,0.5118,0.4777
24.2,0.0549,0.416,0.581,0.606,0.4598,0.5329,0.4118,0.5944,0.5031,0.4498,0.514,0.4819
24.3,0.076,0.4168,0.6051,0.6219,0.4584,0.5401,0.4287,0.6105,0.5196,0.4586,0.519,0.4888
24.4,0.0949,0.4194,0.6266,0.6361,0.4604,0.5482,0.4449,0.6247,0.5348,0.4696,0.5264,0.498
24.5,0.1124,0.4242,0.645,0.6487,0.4656,0.5572,0.4601,0.6365,0.5483,0.4822,0.5356,0.5089
24.6,0.1292,0.4311,0.6603,0.6597,0.4736,0.5666,0.4742,0.6457,0.5599,0.4959,0.5465,0.5212
24.7,0.1455,0.4397,0.6726,0.6691,0.4833,0.5762,0.4875,0.6524,0.5699,0.5107,0.5588,0.5348
24.8,0.1613,0.4495,0.6823,0.6771,0.4933,0.5852,0.5002,0.6572,0.5787,0.526,0.5726,0.5493
24.9,0.1756,0.4601,0.6893,0.6839,0.5025,0.5932,0.5123,0.6608,0.5866,0.5416,0.5876,0.5646
25,0.1872,0.4711,0.6943,0.6894,0.5106,0.6,0.5239,0.6641,0.594,0.5567,0.6038,0.5803
25.1,0.1948,0.4818,0.6979,0.6938,0.518,0.6059,0.5353,0.6672,0.6013,0.5715,0.621,0.5962
25.2,0.1988,0.4918,0.7006,0.697,0.5245,0.6107,0.5471,0.6702,0.6087,0.586,0.6391,0.6126
25.3,0.1998,0.5009,0.7025,0.6986,0.5298,0.6142,0.5595,0.6731,0.6163,0.6003,0.6582,0.6293
25.4,0.1983,0.5097,0.7035,0.6983,0.5333,0.6158,0.5721,0.6758,0.624,0.6142,0.6776,0.6459
25.5,0.1938,0.5188,0.7036,0.6959,0.5346,0.6152,0.5846,0.6784,0.6315,0.6271,0.6965,0.6618
25.6,0.1847,0.5283,0.7034,0.6908,0.5332,0.612,0.5964,0.6812,0.6388,0.6392,0.7145,0.6768
25.7,0.1703,0.5378,0.7035,0.683,0.5289,0.6059,0.6073,0.6842,0.6457,0.6503,0.7315,0.6909
25.8,0.1519,0.5466,0.7042,0.6722,0.522,0.5971,0.6173,0.6872,0.6522,0.6604,0.7478,0.7041
25.9,0.1318,0.5538,0.7054,0.6589,0.5127,0.5858,0.6265,0.6898,0.6582,0.6693,0.7634,0.7163
26,0.1121,0.5592,0.7067,0.6432,0.5011,0.5721,0.6348,0.6913,0.6631,0.6768,0.7779,0.7273
26.1,0.094,0.5626,0.7076,0.6251,0.487,0.556,0.6418,0.6913,0.6666,0.6826,0.7904,0.7365
26.2,0.0784,0.5638,0.7073,0.6043,0.471,0.5376,0.6475,0.689,0.6683,0.6863,0.8003,0.7433
26.3,0.0656,0.562,0.7049,0.5809,0.4532,0.5171,0.6519,0.6837,0.6678,0.6876,0.8069,0.7473
26.4,0.056,0.5571,0.6998,0.5552,0.4343,0.4947,0.6549,0.6749,0.6649,0.6861,0.8101,0.7481
26.5,0.0491,0.5492,0.6924,0.5282,0.4151,0.4717,0.6565,0.6629,0.6597,0.6819,0.8097,0.7458
26.6,0.0438,0.5396,0.6832,0.5016,0.3971,0.4493,0.6568,0.6487,0.6527,0.6754,0.8058,0.7406
26.7,0.04,0.5296,0.6723,0.4774,0.3812,0.4293,0.6561,0.6327,0.6444,0.667,0.7985,0.7328
26.8,0.039,0.5204,0.6597,0.4571,0.3683,0.4127,0.6543,0.6155,0.6349,0.6567,0.788,0.7224
26.9,0.0415,0.5126,0.6453,0.4412,0.359,0.4001,0.6512,0.5973,0.6243,0.6443,0.7744,0.7094
27,0.0473,0.5061,0.6298,0.4295,0.3539,0.3917,0.6466,0.5786,0.6126,0.6298,0.7581,0.6939
27.1,0.0549,0.5008,0.6138,0.4217,0.3535,0.3876,0.6406,0.5594,0.6,0.6128,0.7389,0.6758
27.2,0.0638,0.4963,0.5976,0.4176,0.3582,0.3879,0.6334,0.5402,0.5868,0.5931,0.7168,0.6549
27.3,0.0742,0.4926,0.5814,0.4169,0.3681,0.3925,0.625,0.5208,0.5729,0.5707,0.6922,0.6315
27.4,0.0863,0.4893,0.5657,0.4189,0.3821,0.4005,0.6154,0.5016,0.5585,0.5463,0.6658,0.6061
27.5,0.1003,0.4861,0.551,0.4228,0.3989,0.4108,0.6051,0.4834,0.5443,0.5209,0.6384,0.5797
27.6,0.1159,0.4825,0.5375,0.428,0.4173,0.4226,0.5951,0.4671,0.5311,0.4957,0.6108,0.5533
27.7,0.1328,0.478,0.525,0.4341,0.4362,0.4351,0.586,0.4533,0.5197,0.4712,0.5837,0.5275
27.8,0.1505,0.4723,0.5129,0.4408,0.4543,0.4476,0.578,0.4424,0.5102,0.4476,0.5572,0.5024
27.9,0.1684,0.4649,0.501,0.4477,0.4708,0.4593,0.5705,0.434,0.5022,0.4244,0.5314,0.4779
28,0.1852,0.4556,0.4895,0.454,0.485,0.4695,0.5632,0.4279,0.4955,0.4017,0.5064,0.4541
28.1,0.1989,0.4445,0.4786,0.4591,0.4966,0.4779,0.5556,0.4241,0.4898,0.3796,0.4824,0.431
28.2,0.2081,0.4322,0.4684,0.4627,0.5059,0.4843,0.5477,0.4226,0.4852,0.3581,0.4596,0.4088
28.3,0.2127,0.4194,0.4588,0.4649,0.5127,0.4888,0.5391,0.4234,0.4813,0.3369,0.4379,0.3874
28.4,0.2138,0.4062,0.4498,0.4652,0.5168,0.491,0.5293,0.4263,0.4778,0.3162,0.4173,0.3668
28.5,0.2129,0.3921,0.4413,0.463,0.5173,0.4902,0.5178,0.4306,0.4742,0.2963,0.3975,0.3469
28.6,0.211,0.3768,0.4329,0.4578,0.5133,0.4855,0.5046,0.4357,0.4702,0.2777,0.3785,0.3281
28.7,0.2079,0.3604,0.424,0.4491,0.505,0.477,0.4895,0.4411,0.4653,0.2607,0.36,0.3103
28.8,0.2035,0.3428,0.4139,0.437,0.4931,0.465,0.4719,0.4459,0.4589,0.2444,0.3415,0.293
28.9,0.1985,0.324,0.4021,0.4216,0.4779,0.4498,0.4511,0.4493,0.4502,0.2282,0.3228,0.2755
29,0.1936,0.304,0.3887,0.4029,0.4597,0.4313,0.4265,0.4503,0.4384,0.2121,0.304,0.2581
29.1,0.1898,0.2829,0.3744,0.3817,0.4384,0.4101,0.3985,0.4481,0.4233,0.1967,0.286,0.2414
29.2,0.1882,0.2617,0.3594,0.3596,0.4138,0.3867,0.3688,0.4422,0.4055,0.1829,0.2695,0.2262
29.3,0.1887,0.2416,0.3437,0.3384,0.3864,0.3624,0.3396,0.4324,0.386,0.1715,0.2548,0.2132
29.4,0.1905,0.2238,0.3272,0.3193,0.3567,0.338,0.3125,0.4186,0.3656,0.1628,0.2418,0.2023
29.5,0.1931,0.2089,0.3098,0.3029,0.3254,0.3141,0.2884,0.4013,0.3449,0.1568,0.23,0.1934
29.6,0.1959,0.1974,0.2917,0.2894,0.2933,0.2913,0.2676,0.3809,0.3242,0.1536,0.2195,0.1865
29.7,0.1991,0.1901,0.2733,0.2794,0.2618,0.2706,0.2505,0.3579,0.3042,0.1535,0.2107,0.1821
29.8,0.2025,0.1879,0.2559,0.2738,0.2328,0.2533,0.2377,0.3335,0.2856,0.1569,0.2043,0.1806
29.9,0.2058,0.1919,0.2413,0.2733,0.2083,0.2408,0.2299,0.3089,0.2694,0.1641,0.2011,0.1826
