Time,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28,0.2355,0.5899,0.7594,0.5908,0.5734,0.5821,0.6457,0.7445,0.6951,0.8545,0.8335,0.844
28.1,0.2879,0.5819,0.7506,0.5862,0.5605,0.5734,0.628,0.7178,0.6729,0.8659,0.8436,0.8547
28.2,0.3377,0.5748,0.7396,0.5834,0.5471,0.5652,0.6081,0.689,0.6485,0.8747,0.8505,0.8626
28.3,0.3844,0.5689,0.7269,0.5821,0.5332,0.5577,0.5864,0.6582,0.6223,0.8803,0.8536,0.8669
28.4,0.4272,0.5638,0.7128,0.5823,0.5189,0.5506,0.5631,0.6261,0.5946,0.8825,0.8519,0.8672
28.5,0.4655,0.5594,0.6977,0.5838,0.5041,0.544,0.5386,0.5933,0.5659,0.8814,0.845,0.8632
28.6,0.4987,0.5553,0.6821,0.5867,0.4893,0.538,0.5132,0.5612,0.5372,0.8772,0.8331,0.8552
28.7,0.5259,0.5519,0.6671,0.5909,0.4747,0.5328,0.4882,0.5313,0.5097,0.8698,0.8172,0.8435
28.8,0.5468,0.5496,0.654,0.5965,0.4607,0.5286,0.4647,0.5049,0.4848,0.8591,0.7986,0.8289
28.9,0.5617,0.5488,0.6431,0.6034,0.4477,0.5255,0.4435,0.4829,0.4632,0.845,0.778,0.8115
29,0.571,0.5497,0.6348,0.6115,0.436,0.5237,0.4254,0.4653,0.4453,0.828,0.7559,0.7919
29.1,0.574,0.5526,0.6289,0.6209,0.4263,0.5236,0.4109,0.4523,0.4316,0.809,0.733,0.771
29.2,0.5694,0.5573,0.6255,0.6313,0.4198,0.5255,0.4006,0.4438,0.4222,0.7892,0.7104,0.7498
29.3,0.556,0.5633,0.6238,0.6425,0.4173,0.5299,0.3945,0.4393,0.4169,0.7693,0.689,0.7291
29.4,0.5335,0.5702,0.6233,0.6541,0.4197,0.5369,0.3918,0.4381,0.415,0.7493,0.669,0.7092
29.5,0.5034,0.5771,0.6232,0.6655,0.4271,0.5463,0.3916,0.44,0.4158,0.729,0.6503,0.6896
29.6,0.4686,0.584,0.6226,0.6767,0.4395,0.5581,0.3929,0.4446,0.4188,0.7084,0.6328,0.6706
29.7,0.4316,0.5911,0.6214,0.6879,0.4566,0.5722,0.3953,0.4515,0.4234,0.6878,0.6168,0.6523
29.8,0.3937,0.5988,0.6195,0.6992,0.478,0.5886,0.3991,0.4603,0.4297,0.6677,0.6026,0.6351
29.9,0.3547,0.6071,0.6177,0.7104,0.5031,0.6067,0.4043,0.4712,0.4377,0.6483,0.5904,0.6194
