Time,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC,Weber Q 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
23,0.3351,0.4994,0.3944,0.535,0.3022,0.4186,0.2159,0.2654,0.2407,0.2842,0.2885,0.2864
23.1,0.3502,0.503,0.3765,0.5252,0.2818,0.4035,0.204,0.2568,0.2304,0.2811,0.3015,0.2913
23.2,0.3559,0.5057,0.3584,0.5129,0.2621,0.3875,0.1949,0.2492,0.2221,0.2806,0.3194,0.3
23.3,0.3539,0.5078,0.3419,0.4984,0.2437,0.371,0.1892,0.2432,0.2162,0.2824,0.3421,0.3122
23.4,0.3457,0.5097,0.3283,0.4829,0.2273,0.3551,0.1874,0.2394,0.2134,0.2867,0.3697,0.3282
23.5,0.3325,0.5115,0.318,0.4676,0.213,0.3403,0.1896,0.2378,0.2137,0.2936,0.4017,0.3476
23.6,0.3156,0.5131,0.3105,0.4533,0.2007,0.327,0.1959,0.2382,0.217,0.3028,0.4368,0.3698
23.7,0.2959,0.5143,0.3055,0.4399,0.1899,0.3149,0.2058,0.24,0.2229,0.3137,0.4733,0.3935
23.8,0.274,0.515,0.3033,0.4271,0.1807,0.3039,0.2184,0.2425,0.2304,0.3258,0.5099,0.4178
23.9,0.2499,0.5149,0.3039,0.4148,0.1736,0.2942,0.2326,0.2447,0.2387,0.3385,0.5458,0.4421
24,0.2235,0.514,0.3075,0.4033,0.1689,0.2861,0.2474,0.246,0.2467,0.3515,0.5807,0.4661
24.1,0.195,0.5129,0.3139,0.393,0.1669,0.28,0.262,0.2463,0.2541,0.3648,0.6141,0.4895
24.2,0.1642,0.5122,0.3231,0.3841,0.1676,0.2758,0.276,0.2459,0.261,0.3784,0.6448,0.5116
24.3,0.1305,0.5122,0.3353,0.3768,0.171,0.2739,0.2895,0.2455,0.2675,0.3925,0.6721,0.5323
24.4,0.0938,0.5128,0.3507,0.3711,0.1773,0.2742,0.3024,0.2457,0.2741,0.4072,0.6952,0.5512
24.5,0.0541,0.5136,0.3694,0.3673,0.1864,0.2768,0.3149,0.2469,0.2809,0.4234,0.7143,0.5688
24.6,0.0125,0.5143,0.3911,0.3654,0.198,0.2817,0.3268,0.2493,0.2881,0.4421,0.73,0.586
24.7,-0.0292,0.5151,0.4153,0.3656,0.2118,0.2887,0.338,0.2529,0.2954,0.4643,0.7429,0.6036
24.8,-0.0694,0.5166,0.4415,0.3679,0.2272,0.2975,0.3483,0.2572,0.3028,0.4899,0.7534,0.6216
24.9,-0.1074,0.519,0.469,0.3724,0.2436,0.308,0.3576,0.262,0.3098,0.5179,0.761,0.6394
25,-0.1432,0.5222,0.4966,0.3793,0.2607,0.32,0.3659,0.2669,0.3164,0.5466,0.7649,0.6557
25.1,-0.1775,0.5258,0.5227,0.389,0.2782,0.3336,0.3731,0.2718,0.3224,0.574,0.7645,0.6692
25.2,-0.21,0.53,0.5464,0.4017,0.2962,0.349,0.3791,0.277,0.3281,0.5991,0.7598,0.6795
25.3,-0.2394,0.5354,0.5677,0.4173,0.3154,0.3663,0.384,0.2834,0.3337,0.6212,0.7519,0.6866
25.4,-0.2634,0.5424,0.5872,0.4355,0.336,0.3857,0.3877,0.2916,0.3396,0.6402,0.7419,0.6911
25.5,-0.2794,0.5513,0.605,0.4557,0.3583,0.407,0.3906,0.302,0.3463,0.6561,0.7312,0.6936
25.6,-0.2858,0.562,0.6204,0.4772,0.3824,0.4298,0.393,0.3147,0.3539,0.6691,0.7207,0.6949
25.7,-0.2816,0.5748,0.6317,0.499,0.408,0.4535,0.395,0.3288,0.3619,0.6792,0.711,0.6951
25.8,-0.2665,0.59,0.638,0.5196,0.4341,0.4769,0.3964,0.3434,0.3699,0.6864,0.7018,0.6941
25.9,-0.2412,0.6073,0.6396,0.5378,0.4598,0.4988,0.3974,0.3572,0.3773,0.6903,0.6928,0.6915
26,-0.2069,0.6259,0.6372,0.5528,0.4831,0.518,0.3979,0.3698,0.3839,0.6908,0.6835,0.6872
26.1,-0.1655,0.6444,0.6316,0.5643,0.502,0.5332,0.3987,0.381,0.3898,0.6879,0.6745,0.6812
26.2,-0.1191,0.6619,0.6236,0.5726,0.5146,0.5436,0.4002,0.3909,0.3955,0.682,0.6661,0.674
26.3,-0.0695,0.6781,0.6135,0.5778,0.5194,0.5486,0.4032,0.3992,0.4012,0.6735,0.6582,0.6659
26.4,-0.018,0.6921,0.6013,0.5795,0.5154,0.5474,0.4081,0.4058,0.4069,0.6628,0.6504,0.6566
26.5,0.0341,0.7028,0.5877,0.5774,0.5019,0.5397,0.4147,0.4103,0.4125,0.6497,0.6421,0.6459
26.6,0.085,0.7091,0.5729,0.5711,0.4798,0.5255,0.4225,0.4126,0.4176,0.6346,0.6331,0.6339
26.7,0.1322,0.7101,0.557,0.5607,0.4505,0.5056,0.4307,0.4121,0.4214,0.6177,0.6236,0.6206
26.8,0.1735,0.7059,0.5393,0.547,0.4162,0.4816,0.4387,0.408,0.4234,0.5998,0.6136,0.6067
26.9,0.2076,0.6971,0.52,0.5313,0.3794,0.4553,0.4455,0.3997,0.4226,0.5816,0.6032,0.5924
27,0.2343,0.6842,0.4993,0.5144,0.342,0.4282,0.4504,0.387,0.4187,0.5635,0.5925,0.578
27.1,0.2537,0.6674,0.4772,0.4969,0.3048,0.4009,0.4532,0.3702,0.4117,0.5459,0.5819,0.5639
27.2,0.2654,0.647,0.4538,0.479,0.2688,0.3739,0.4538,0.3495,0.4017,0.5291,0.5716,0.5504
27.3,0.2694,0.6233,0.4291,0.461,0.2343,0.3476,0.4522,0.3256,0.3889,0.5134,0.5623,0.5379
27.4,0.2664,0.5966,0.4035,0.4431,0.2011,0.3221,0.4487,0.2993,0.374,0.4992,0.5543,0.5267
27.5,0.2569,0.5672,0.3779,0.4256,0.1686,0.2971,0.4443,0.2715,0.3579,0.4869,0.548,0.5174
27.6,0.2412,0.5349,0.3535,0.4083,0.1362,0.2723,0.4409,0.2436,0.3422,0.4767,0.544,0.5103
27.7,0.2197,0.4997,0.3314,0.3913,0.104,0.2477,0.4397,0.2169,0.3283,0.4692,0.5429,0.5061
27.8,0.1946,0.4621,0.3128,0.3748,0.0725,0.2237,0.4411,0.1924,0.3167,0.4644,0.5453,0.5048
27.9,0.1683,0.4239,0.2992,0.3595,0.0427,0.2011,0.4442,0.1708,0.3075,0.462,0.551,0.5065
28,0.1433,0.3873,0.2912,0.346,0.0154,0.1807,0.4476,0.1524,0.3,0.4609,0.5591,0.51
28.1,0.121,0.3545,0.2886,0.334,-0.0092,0.1624,0.4506,0.1376,0.2941,0.4599,0.5682,0.5141
28.2,0.1023,0.3271,0.291,0.3231,-0.0307,0.1462,0.4533,0.1274,0.2904,0.4581,0.577,0.5175
28.3,0.0876,0.3055,0.2978,0.3136,-0.0486,0.1325,0.4565,0.1236,0.2901,0.4554,0.5847,0.52
28.4,0.0762,0.2897,0.3081,0.3055,-0.0618,0.1219,0.461,0.1271,0.2941,0.4519,0.5911,0.5215
28.5,0.0677,0.2797,0.3215,0.2992,-0.0695,0.1148,0.4666,0.1383,0.3024,0.4479,0.5962,0.5221
28.6,0.0615,0.276,0.3381,0.2953,-0.0712,0.112,0.4734,0.1566,0.315,0.4439,0.6004,0.5221
28.7,0.0567,0.2787,0.3573,0.2938,-0.0662,0.1138,0.4811,0.1815,0.3313,0.4399,0.6031,0.5215
28.8,0.0529,0.2873,0.3776,0.2949,-0.0544,0.1203,0.489,0.2119,0.3505,0.4352,0.6034,0.5193
28.9,0.0496,0.3016,0.397,0.299,-0.0361,0.1314,0.4968,0.2463,0.3715,0.4302,0.601,0.5156
29,0.0452,0.3216,0.4142,0.3063,-0.0112,0.1475,0.5039,0.2827,0.3933,0.4256,0.5962,0.5109
29.1,0.0379,0.3481,0.4286,0.3166,0.0205,0.1686,0.5102,0.3188,0.4145,0.4223,0.5896,0.506
29.2,0.0263,0.381,0.4398,0.3294,0.0598,0.1946,0.5154,0.353,0.4342,0.4201,0.581,0.5006
29.3,0.0097,0.4194,0.4479,0.3444,0.107,0.2257,0.5195,0.3841,0.4518,0.4187,0.5701,0.4944
29.4,-0.0111,0.4615,0.4527,0.3615,0.1605,0.261,0.522,0.4119,0.4669,0.4178,0.557,0.4874
29.5,-0.0344,0.5051,0.4541,0.3801,0.2165,0.2983,0.5223,0.4356,0.479,0.4172,0.5425,0.4798
29.6,-0.0581,0.5487,0.452,0.3986,0.2707,0.3347,0.5194,0.4541,0.4868,0.4165,0.527,0.4718
29.7,-0.0806,0.5905,0.4459,0.4151,0.3199,0.3675,0.5124,0.4662,0.4893,0.4152,0.5099,0.4626
29.8,-0.1014,0.6287,0.4347,0.4287,0.3624,0.3956,0.5011,0.4717,0.4864,0.4127,0.491,0.4518
29.9,-0.1211,0.6623,0.4185,0.4392,0.3976,0.4184,0.4862,0.4718,0.479,0.4091,0.4709,0.44
