Time,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
25.9,0.1001,0.4621,0.6829,0.5017,0.2313,0.3665,0.6167,0.8127,0.7147,0.7213,0.7065,0.7139
26,0.1343,0.4435,0.6839,0.4936,0.2286,0.3611,0.6111,0.8039,0.7075,0.7261,0.719,0.7225
26.1,0.1715,0.4262,0.6809,0.4917,0.227,0.3593,0.6086,0.7941,0.7013,0.7314,0.7331,0.7322
26.2,0.2101,0.4101,0.6744,0.4954,0.2259,0.3606,0.6094,0.7845,0.6969,0.7373,0.7484,0.7428
26.3,0.2494,0.395,0.6655,0.5036,0.2244,0.364,0.6136,0.7762,0.6949,0.7437,0.7645,0.7541
26.4,0.2905,0.3814,0.6555,0.5156,0.2221,0.3688,0.6211,0.7696,0.6954,0.7506,0.7811,0.7658
26.5,0.3348,0.3701,0.6456,0.5311,0.2187,0.3749,0.632,0.7647,0.6983,0.758,0.7976,0.7778
26.6,0.3824,0.3621,0.6364,0.55,0.2143,0.3822,0.6459,0.7611,0.7035,0.7658,0.8137,0.7897
26.7,0.4321,0.3577,0.6277,0.5714,0.2091,0.3902,0.6626,0.7586,0.7106,0.7736,0.8288,0.8012
26.8,0.4831,0.3566,0.6194,0.594,0.203,0.3985,0.6813,0.757,0.7192,0.7814,0.8427,0.812
26.9,0.5345,0.3583,0.6122,0.6161,0.1961,0.4061,0.701,0.7563,0.7287,0.7888,0.856,0.8224
27,0.5851,0.3623,0.607,0.6366,0.189,0.4128,0.721,0.7566,0.7388,0.7956,0.8692,0.8324
27.1,0.633,0.3682,0.6043,0.654,0.183,0.4185,0.7404,0.7582,0.7493,0.8017,0.8827,0.8422
27.2,0.676,0.3757,0.6042,0.6674,0.179,0.4232,0.7586,0.7617,0.7601,0.8067,0.8962,0.8514
27.3,0.7119,0.3842,0.6058,0.676,0.1779,0.4269,0.7749,0.7675,0.7712,0.8102,0.9095,0.8599
27.4,0.7391,0.3934,0.6082,0.6798,0.1798,0.4298,0.7889,0.7755,0.7822,0.8119,0.9225,0.8672
27.5,0.7583,0.4032,0.61,0.6796,0.1853,0.4324,0.8008,0.7856,0.7932,0.8115,0.9355,0.8735
27.6,0.7699,0.4136,0.611,0.6756,0.1945,0.4351,0.8106,0.7977,0.8041,0.8089,0.9485,0.8787
27.7,0.7741,0.4241,0.611,0.6679,0.2074,0.4376,0.8178,0.8109,0.8144,0.8037,0.9615,0.8826
27.8,0.7698,0.4339,0.61,0.6555,0.2231,0.4393,0.822,0.8247,0.8233,0.7952,0.9736,0.8844
27.9,0.7564,0.4418,0.6086,0.6375,0.2408,0.4392,0.8226,0.8384,0.8305,0.7833,0.9844,0.8838
28,0.7346,0.4474,0.6068,0.6136,0.2597,0.4366,0.8198,0.8518,0.8358,0.7682,0.9935,0.8808
28.1,0.7064,0.4509,0.6043,0.584,0.2794,0.4317,0.814,0.8647,0.8394,0.7505,1.0004,0.8754
28.2,0.6729,0.4526,0.6005,0.5495,0.2996,0.4246,0.8055,0.8763,0.8409,0.7304,1.0038,0.8671
28.3,0.6348,0.453,0.5939,0.5113,0.3199,0.4156,0.7944,0.8849,0.8396,0.708,1.0025,0.8553
28.4,0.5929,0.4521,0.5832,0.4705,0.3394,0.4049,0.7802,0.8882,0.8342,0.6827,0.9953,0.839
28.5,0.5494,0.4503,0.5674,0.4289,0.3576,0.3933,0.7629,0.884,0.8235,0.6542,0.9815,0.8178
28.6,0.5076,0.4483,0.5467,0.389,0.374,0.3815,0.743,0.8711,0.8071,0.6224,0.961,0.7917
28.7,0.4714,0.4465,0.5215,0.3533,0.3884,0.3708,0.7213,0.8498,0.7856,0.5881,0.9341,0.7611
28.8,0.4429,0.4454,0.4932,0.3239,0.4007,0.3623,0.699,0.8214,0.7602,0.5526,0.9018,0.7272
28.9,0.4223,0.4449,0.4629,0.3016,0.4106,0.3561,0.6772,0.7869,0.732,0.518,0.8658,0.6919
29,0.409,0.4451,0.4322,0.2864,0.4182,0.3523,0.6569,0.7471,0.702,0.4857,0.8273,0.6565
29.1,0.4028,0.4462,0.402,0.2785,0.4236,0.3511,0.6388,0.7026,0.6707,0.4572,0.7878,0.6225
29.2,0.4043,0.449,0.3733,0.2785,0.4272,0.3528,0.6237,0.6542,0.6389,0.4334,0.7489,0.5911
29.3,0.4132,0.4542,0.3472,0.2866,0.4292,0.3579,0.6121,0.6035,0.6078,0.4146,0.7123,0.5634
29.4,0.428,0.4621,0.3253,0.3021,0.4294,0.3657,0.6041,0.5525,0.5783,0.4013,0.6793,0.5403
29.5,0.4466,0.4724,0.309,0.323,0.4275,0.3752,0.6004,0.5032,0.5518,0.3941,0.6514,0.5228
29.6,0.4668,0.4843,0.2996,0.3474,0.4233,0.3854,0.6017,0.4574,0.5296,0.394,0.6296,0.5118
29.7,0.4869,0.4971,0.2973,0.3739,0.4169,0.3954,0.6084,0.416,0.5122,0.4018,0.6145,0.5082
29.8,0.5057,0.5101,0.3014,0.4021,0.4086,0.4053,0.6206,0.3789,0.4998,0.4183,0.6065,0.5124
29.9,0.5222,0.5226,0.3108,0.4313,0.3986,0.415,0.6378,0.3456,0.4917,0.4445,0.6056,0.525
30,0.5342,0.5341,0.3247,0.4608,0.3872,0.424,0.6594,0.3162,0.4878,0.4809,0.6117,0.5463
