Time,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC,Vic Gov - Metro Tunnel 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3387,0.6819,0.4963,0.6538,0.83,0.7419,0.8916,0.7093,0.8004,0.8242,0.48,0.6521
0.1,-0.3649,0.6412,0.504,0.6352,0.8114,0.7233,0.8648,0.7169,0.7909,0.8061,0.4723,0.6392
0.2,-0.3706,0.5985,0.5136,0.6155,0.7823,0.6989,0.8351,0.7213,0.7782,0.7878,0.467,0.6274
0.3,-0.3571,0.5559,0.5248,0.5963,0.7436,0.67,0.8039,0.7227,0.7633,0.7704,0.4642,0.6173
0.4,-0.327,0.5145,0.5376,0.5783,0.6974,0.6379,0.7723,0.7224,0.7473,0.7549,0.4648,0.6099
0.5,-0.2837,0.475,0.5522,0.5618,0.6458,0.6038,0.7409,0.7209,0.7309,0.742,0.4691,0.6056
0.6,-0.2313,0.4374,0.5687,0.5464,0.5906,0.5685,0.7106,0.7184,0.7145,0.7315,0.4764,0.6039
0.7,-0.1736,0.4022,0.5869,0.5314,0.5335,0.5325,0.6823,0.7148,0.6985,0.7223,0.4857,0.604
0.8,-0.1142,0.3697,0.6056,0.5169,0.4767,0.4968,0.657,0.7106,0.6838,0.7133,0.4967,0.605
0.9,-0.0554,0.3406,0.6242,0.5034,0.4225,0.4629,0.636,0.7066,0.6713,0.7036,0.5095,0.6066
1,0.0014,0.3149,0.6424,0.4913,0.3733,0.4323,0.6201,0.7041,0.6621,0.6935,0.5242,0.6088
1.1,0.055,0.2926,0.6608,0.4811,0.3313,0.4062,0.6092,0.7035,0.6563,0.6833,0.5408,0.612
1.2,0.1036,0.2738,0.6796,0.4731,0.2976,0.3853,0.6027,0.7042,0.6534,0.6736,0.5592,0.6164
1.3,0.1452,0.2583,0.699,0.4668,0.2728,0.3698,0.5994,0.7052,0.6523,0.6645,0.5786,0.6215
1.4,0.1772,0.2459,0.7186,0.4613,0.2569,0.3591,0.5985,0.706,0.6522,0.6559,0.5982,0.627
1.5,0.1976,0.2364,0.7382,0.4559,0.2498,0.3528,0.5991,0.7063,0.6527,0.6477,0.6173,0.6325
1.6,0.2054,0.2302,0.7574,0.45,0.2513,0.3507,0.601,0.7063,0.6537,0.6399,0.6352,0.6376
1.7,0.1996,0.2282,0.7762,0.4438,0.2613,0.3526,0.6043,0.7063,0.6553,0.6326,0.6512,0.6419
1.8,0.1796,0.2309,0.7939,0.4374,0.2798,0.3586,0.6089,0.7062,0.6575,0.6261,0.6641,0.6451
1.9,0.1456,0.2388,0.8095,0.4305,0.3064,0.3684,0.6141,0.705,0.6595,0.6202,0.6735,0.6468
2,0.1,0.2515,0.8213,0.4229,0.3399,0.3814,0.6191,0.7016,0.6604,0.6147,0.6788,0.6468
2.1,0.0474,0.2683,0.8283,0.4152,0.3784,0.3968,0.623,0.6955,0.6593,0.6095,0.6806,0.645
2.2,-0.0074,0.2885,0.8301,0.4085,0.4193,0.4139,0.6255,0.687,0.6563,0.6042,0.6792,0.6417
2.3,-0.0605,0.3112,0.8269,0.4039,0.46,0.432,0.6269,0.6766,0.6518,0.5987,0.6752,0.637
2.4,-0.1093,0.3356,0.8196,0.4023,0.4991,0.4507,0.6273,0.6649,0.6461,0.593,0.6689,0.631
2.5,-0.1527,0.3611,0.8094,0.4036,0.5356,0.4696,0.6269,0.6524,0.6397,0.5873,0.6612,0.6243
2.6,-0.1909,0.387,0.7973,0.4074,0.5689,0.4881,0.6254,0.64,0.6327,0.5819,0.6525,0.6172
2.7,-0.223,0.4126,0.783,0.413,0.5976,0.5053,0.6225,0.6277,0.6251,0.5766,0.6433,0.61
2.8,-0.2478,0.437,0.7662,0.4203,0.6206,0.5205,0.6182,0.6152,0.6167,0.5716,0.634,0.6028
2.9,-0.2645,0.4599,0.7467,0.4296,0.6379,0.5337,0.6129,0.6025,0.6077,0.5671,0.6252,0.5961
3,-0.2729,0.481,0.7248,0.4406,0.65,0.5453,0.6071,0.5898,0.5985,0.563,0.6171,0.59
3.1,-0.2727,0.5001,0.7004,0.4529,0.6571,0.555,0.6015,0.5771,0.5893,0.5596,0.6101,0.5848
3.2,-0.2637,0.5166,0.6736,0.4657,0.6593,0.5625,0.5965,0.564,0.5802,0.5568,0.6041,0.5805
3.3,-0.2462,0.5302,0.6448,0.4783,0.6565,0.5674,0.5928,0.5502,0.5715,0.5546,0.5994,0.577
3.4,-0.2209,0.5408,0.6144,0.4902,0.6487,0.5695,0.5907,0.5358,0.5632,0.5528,0.5956,0.5742
3.5,-0.1881,0.5482,0.5825,0.501,0.6368,0.5689,0.5903,0.5205,0.5554,0.551,0.5927,0.5718
3.6,-0.1477,0.552,0.549,0.5101,0.6217,0.5659,0.591,0.5046,0.5478,0.5488,0.5902,0.5695
3.7,-0.0996,0.5516,0.5143,0.517,0.6041,0.5605,0.5925,0.4884,0.5404,0.5463,0.588,0.5672
3.8,-0.046,0.5463,0.4795,0.5207,0.5843,0.5525,0.5943,0.472,0.5332,0.544,0.5858,0.5649
3.9,0.0098,0.5362,0.4458,0.5207,0.563,0.5419,0.5961,0.4555,0.5258,0.5423,0.5836,0.5629
4,0.0641,0.5222,0.4141,0.517,0.5414,0.5292,0.5978,0.4389,0.5184,0.5416,0.5815,0.5616
4.1,0.1149,0.5059,0.3854,0.5106,0.5209,0.5157,0.5996,0.4224,0.511,0.5424,0.5798,0.5611
4.2,0.1622,0.4891,0.3601,0.5027,0.502,0.5023,0.6024,0.406,0.5042,0.5452,0.5791,0.5622
4.3,0.207,0.473,0.3389,0.4947,0.4847,0.4897,0.6071,0.3897,0.4984,0.5511,0.5801,0.5656
4.4,0.2498,0.4586,0.3225,0.4877,0.4694,0.4785,0.614,0.374,0.494,0.5607,0.5829,0.5718
4.5,0.2894,0.4466,0.3109,0.4822,0.4572,0.4697,0.6226,0.3593,0.491,0.5738,0.5876,0.5807
4.6,0.3238,0.4378,0.304,0.4787,0.4491,0.4639,0.6321,0.3462,0.4892,0.5898,0.5939,0.5919
4.7,0.351,0.4327,0.3012,0.4773,0.4456,0.4615,0.6415,0.3352,0.4884,0.6077,0.6016,0.6047
4.8,0.3704,0.4314,0.302,0.4781,0.4466,0.4624,0.6505,0.3266,0.4885,0.6269,0.6107,0.6188
4.9,0.3822,0.434,0.3055,0.4813,0.4518,0.4666,0.659,0.3208,0.4899,0.6466,0.6213,0.6339
5,0.3872,0.4404,0.3111,0.4873,0.4609,0.4741,0.6672,0.3177,0.4925,0.6656,0.6327,0.6491
5.1,0.3857,0.4508,0.318,0.4962,0.4737,0.4849,0.6746,0.3177,0.4962,0.6824,0.6441,0.6633
5.2,0.3776,0.465,0.3255,0.5076,0.4892,0.4984,0.6802,0.3207,0.5004,0.6959,0.655,0.6755
5.3,0.3631,0.4828,0.3332,0.5212,0.5059,0.5136,0.6827,0.3267,0.5047,0.7056,0.6651,0.6853
5.4,0.3432,0.5039,0.3409,0.5365,0.523,0.5298,0.6815,0.3357,0.5086,0.7112,0.6743,0.6927
5.5,0.3187,0.5279,0.349,0.5535,0.5403,0.5469,0.6768,0.3483,0.5125,0.7132,0.6827,0.698
5.6,0.2905,0.5547,0.3585,0.5722,0.5584,0.5653,0.6696,0.3649,0.5172,0.712,0.6905,0.7013
5.7,0.259,0.5842,0.3701,0.5928,0.5777,0.5852,0.6612,0.3856,0.5234,0.7084,0.6978,0.7031
5.8,0.2243,0.6159,0.3841,0.615,0.5987,0.6068,0.6527,0.4098,0.5313,0.7029,0.7046,0.7038
5.9,0.1863,0.6487,0.4004,0.6381,0.6213,0.6297,0.6443,0.4371,0.5407,0.6963,0.7108,0.7035
6,0.1463,0.6803,0.4184,0.6613,0.6451,0.6532,0.636,0.4664,0.5512,0.6886,0.7157,0.7022
6.1,0.107,0.708,0.4365,0.6833,0.669,0.6762,0.6281,0.4959,0.562,0.6799,0.7187,0.6993
6.2,0.0712,0.7294,0.4538,0.7034,0.6911,0.6973,0.621,0.5242,0.5726,0.6699,0.7191,0.6945
6.3,0.0412,0.7436,0.4701,0.7211,0.7097,0.7154,0.6148,0.5503,0.5826,0.6586,0.7165,0.6876
6.4,0.0183,0.7506,0.4858,0.736,0.7237,0.7299,0.6095,0.5733,0.5914,0.646,0.7106,0.6783
6.5,0.0035,0.7508,0.5015,0.7477,0.7325,0.7401,0.6048,0.5922,0.5985,0.632,0.7017,0.6669
6.6,-0.0037,0.7444,0.5175,0.7554,0.7355,0.7455,0.6002,0.606,0.6031,0.6174,0.6903,0.6539
6.7,-0.0047,0.732,0.5338,0.7584,0.7325,0.7454,0.5959,0.6143,0.6051,0.6031,0.6768,0.64
6.8,-0.0013,0.7145,0.5505,0.7563,0.7232,0.7398,0.5921,0.6175,0.6048,0.59,0.6616,0.6258
6.9,0.0052,0.6927,0.5677,0.7491,0.7085,0.7288,0.5885,0.6158,0.6022,0.5786,0.6449,0.6118
7,0.014,0.6676,0.5856,0.7373,0.6895,0.7134,0.5853,0.6099,0.5976,0.5694,0.6275,0.5985
7.1,0.0242,0.6406,0.6039,0.7218,0.6681,0.695,0.5823,0.6002,0.5912,0.563,0.6104,0.5867
7.2,0.0347,0.613,0.6221,0.704,0.6458,0.6749,0.5796,0.5871,0.5833,0.5598,0.5949,0.5773
7.3,0.0442,0.5861,0.6394,0.6851,0.6237,0.6544,0.577,0.5709,0.574,0.5595,0.5814,0.5705
7.4,0.0525,0.5609,0.6557,0.6664,0.6022,0.6343,0.5746,0.5522,0.5634,0.5616,0.5705,0.566
7.5,0.0599,0.5381,0.6709,0.6485,0.5819,0.6152,0.5724,0.5321,0.5522,0.5654,0.5625,0.5639
7.6,0.0665,0.518,0.6849,0.6316,0.5629,0.5972,0.5706,0.5118,0.5412,0.5708,0.558,0.5644
7.7,0.071,0.5003,0.697,0.6157,0.5459,0.5808,0.5697,0.4924,0.531,0.5777,0.5572,0.5675
7.8,0.0719,0.4852,0.7065,0.6008,0.5313,0.5661,0.5695,0.4745,0.522,0.5854,0.5596,0.5725
7.9,0.0678,0.4727,0.7128,0.5872,0.5195,0.5533,0.5698,0.459,0.5144,0.593,0.5643,0.5787
8,0.0583,0.4629,0.7161,0.5747,0.5103,0.5425,0.5707,0.4463,0.5085,0.6005,0.5711,0.5858
8.1,0.0444,0.4559,0.7166,0.5637,0.5034,0.5335,0.5722,0.4367,0.5045,0.6084,0.5801,0.5942
8.2,0.0283,0.4513,0.7152,0.554,0.4984,0.5262,0.5749,0.4306,0.5028,0.6172,0.5919,0.6046
8.3,0.0119,0.4489,0.7128,0.5461,0.4951,0.5206,0.5795,0.4283,0.5039,0.6275,0.607,0.6172
8.4,-0.0035,0.4484,0.7106,0.5403,0.4932,0.5167,0.586,0.4298,0.5079,0.6394,0.6248,0.6321
8.5,-0.0169,0.4495,0.7094,0.5368,0.4924,0.5146,0.594,0.435,0.5145,0.6523,0.6448,0.6486
8.6,-0.028,0.4521,0.7098,0.5354,0.4933,0.5144,0.6029,0.4433,0.5231,0.6655,0.6657,0.6656
8.7,-0.0361,0.4562,0.7122,0.5362,0.4962,0.5162,0.6121,0.4544,0.5332,0.6779,0.6866,0.6823
8.8,-0.0407,0.4616,0.7172,0.5393,0.5017,0.5205,0.6219,0.4681,0.545,0.6893,0.7069,0.6981
8.9,-0.0414,0.4687,0.725,0.5453,0.51,0.5276,0.6325,0.4846,0.5585,0.6997,0.7269,0.7133
9,-0.0383,0.4771,0.7356,0.5539,0.5205,0.5372,0.6435,0.5034,0.5734,0.7096,0.7468,0.7282
9.1,-0.0329,0.486,0.7484,0.5643,0.5321,0.5482,0.6542,0.5235,0.5888,0.7188,0.7662,0.7425
9.2,-0.0269,0.4944,0.7626,0.5754,0.544,0.5597,0.6634,0.5437,0.6036,0.7266,0.784,0.7553
9.3,-0.0211,0.5018,0.7775,0.5868,0.5556,0.5712,0.6707,0.5631,0.6169,0.732,0.7988,0.7654
9.4,-0.0157,0.5086,0.7926,0.5985,0.5666,0.5825,0.6758,0.5813,0.6286,0.7345,0.8096,0.772
9.5,-0.0105,0.5156,0.808,0.6109,0.5771,0.594,0.6789,0.5981,0.6385,0.734,0.8163,0.7752
9.6,-0.0051,0.5233,0.8235,0.6239,0.5873,0.6056,0.6796,0.6134,0.6465,0.7308,0.8192,0.775
9.7,-0.0002,0.532,0.8393,0.6375,0.5977,0.6176,0.6773,0.627,0.6522,0.7249,0.8183,0.7716
9.8,0.0036,0.5415,0.855,0.6514,0.6084,0.6299,0.6721,0.6387,0.6554,0.7164,0.8141,0.7652
9.9,0.0054,0.5515,0.8697,0.6657,0.6196,0.6427,0.6647,0.6484,0.6565,0.7059,0.8072,0.7566
10,0.0048,0.5617,0.883,0.6803,0.6313,0.6558,0.6561,0.6563,0.6562,0.6943,0.7986,0.7465
10.1,0.0013,0.5721,0.8949,0.6948,0.6437,0.6692,0.6474,0.6631,0.6552,0.6821,0.7888,0.7355
10.2,-0.0054,0.583,0.906,0.7089,0.657,0.6829,0.639,0.6692,0.6541,0.6695,0.7782,0.7238
10.3,-0.0151,0.5944,0.9169,0.7222,0.6711,0.6967,0.6312,0.6752,0.6532,0.6567,0.7671,0.7119
10.4,-0.027,0.6067,0.9279,0.7346,0.6857,0.7101,0.6242,0.6812,0.6527,0.6445,0.7566,0.7005
10.5,-0.0396,0.6199,0.9384,0.7456,0.7001,0.7229,0.6181,0.6867,0.6524,0.6336,0.7469,0.6902
