Time,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC,Menulog Orange band - 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0296,0.9472,0.5587,0.7088,0.676,0.6924,0.6732,0.6163,0.6447,0.4599,0.446,0.4529
0.1,0.0589,0.9426,0.5753,0.733,0.6773,0.7051,0.6873,0.6239,0.6556,0.4704,0.4524,0.4614
0.2,0.0821,0.9355,0.5926,0.754,0.6764,0.7152,0.6993,0.6331,0.6662,0.4825,0.4586,0.4706
0.3,0.0983,0.9258,0.6097,0.7713,0.674,0.7227,0.7093,0.6431,0.6762,0.496,0.4644,0.4802
0.4,0.1074,0.9136,0.6261,0.7844,0.6705,0.7274,0.718,0.6529,0.6854,0.5107,0.4698,0.4902
0.5,0.1094,0.8986,0.6415,0.7929,0.666,0.7294,0.7266,0.6619,0.6943,0.5258,0.4749,0.5004
0.6,0.1046,0.8813,0.6555,0.7973,0.6605,0.7289,0.7357,0.6701,0.7029,0.5408,0.4799,0.5103
0.7,0.0941,0.8624,0.6677,0.7979,0.6544,0.7261,0.7452,0.6773,0.7112,0.555,0.4847,0.5198
0.8,0.0785,0.8423,0.6781,0.7947,0.6478,0.7213,0.7542,0.6833,0.7188,0.568,0.4891,0.5286
0.9,0.0583,0.8209,0.6863,0.7872,0.6408,0.714,0.7623,0.6877,0.725,0.58,0.4928,0.5364
1,0.0339,0.7984,0.6926,0.7749,0.633,0.704,0.7698,0.69,0.7299,0.591,0.4957,0.5434
1.1,0.0072,0.7749,0.697,0.7583,0.6247,0.6915,0.7778,0.6903,0.7341,0.6015,0.4986,0.55
1.2,-0.0186,0.7515,0.7001,0.7386,0.6168,0.6777,0.7866,0.689,0.7378,0.6115,0.5024,0.5569
1.3,-0.0411,0.729,0.702,0.7173,0.61,0.6636,0.7958,0.6868,0.7413,0.6209,0.5075,0.5642
1.4,-0.0597,0.7078,0.7029,0.695,0.6052,0.6501,0.805,0.6839,0.7444,0.6296,0.514,0.5718
1.5,-0.0761,0.688,0.7025,0.6719,0.6031,0.6375,0.8144,0.6806,0.7475,0.6373,0.5214,0.5794
1.6,-0.0928,0.6702,0.7005,0.6481,0.6041,0.6261,0.8251,0.6772,0.7512,0.6444,0.5297,0.5871
1.7,-0.1106,0.6557,0.6967,0.6246,0.6088,0.6167,0.8386,0.6741,0.7563,0.6516,0.5394,0.5955
1.8,-0.1283,0.6457,0.691,0.6028,0.6173,0.61,0.8554,0.6717,0.7635,0.6597,0.5509,0.6053
1.9,-0.1438,0.6408,0.6838,0.5842,0.6291,0.6066,0.8752,0.6702,0.7727,0.6692,0.5649,0.6171
2,-0.156,0.6402,0.6753,0.5691,0.6428,0.606,0.8969,0.6691,0.783,0.68,0.5814,0.6307
2.1,-0.1651,0.6427,0.6658,0.5578,0.6568,0.6073,0.92,0.668,0.794,0.6918,0.6006,0.6462
2.2,-0.1714,0.6468,0.6559,0.5502,0.6702,0.6102,0.9444,0.666,0.8052,0.7043,0.6225,0.6634
2.3,-0.1739,0.652,0.6464,0.5473,0.6827,0.615,0.969,0.6629,0.816,0.7172,0.6471,0.6821
2.4,-0.1706,0.6579,0.638,0.5498,0.6937,0.6218,0.9926,0.6584,0.8255,0.7303,0.6736,0.702
2.5,-0.1595,0.6645,0.6311,0.5583,0.7025,0.6304,1.0137,0.6529,0.8333,0.7431,0.701,0.722
2.6,-0.14,0.6716,0.6264,0.572,0.7082,0.6401,1.0317,0.6469,0.8393,0.7548,0.7282,0.7415
2.7,-0.1138,0.6791,0.6245,0.5898,0.7104,0.6501,1.047,0.6414,0.8442,0.7651,0.7545,0.7598
2.8,-0.0839,0.6868,0.6264,0.6099,0.7093,0.6596,1.06,0.6373,0.8486,0.7743,0.78,0.7772
2.9,-0.0529,0.6946,0.6322,0.631,0.7052,0.6681,1.0702,0.6347,0.8525,0.783,0.8046,0.7938
3,-0.0221,0.7015,0.6419,0.6515,0.6987,0.6751,1.0766,0.6332,0.8549,0.7913,0.8279,0.8096
3.1,0.0085,0.7067,0.6542,0.6699,0.69,0.6799,1.0785,0.6319,0.8552,0.7989,0.8491,0.824
3.2,0.0382,0.7096,0.6677,0.6851,0.6791,0.6821,1.0762,0.63,0.8531,0.8047,0.867,0.8359
3.3,0.0663,0.7105,0.681,0.6969,0.6663,0.6816,1.0703,0.6272,0.8487,0.808,0.8807,0.8444
3.4,0.0921,0.7095,0.6934,0.7052,0.6522,0.6787,1.0608,0.6237,0.8422,0.8083,0.8892,0.8487
3.5,0.1155,0.7065,0.7042,0.71,0.638,0.674,1.048,0.6196,0.8338,0.8056,0.8922,0.8489
3.6,0.1373,0.701,0.7133,0.711,0.6242,0.6676,1.0321,0.6151,0.8236,0.8006,0.8901,0.8454
3.7,0.1585,0.6927,0.7203,0.7077,0.6108,0.6593,1.0136,0.6101,0.8119,0.7939,0.8839,0.8389
3.8,0.1798,0.6814,0.725,0.6998,0.5972,0.6485,0.9932,0.6048,0.799,0.7863,0.8747,0.8305
