Time,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
24.1,-0.1245,0.5528,0.4943,0.4954,0.4845,0.4899,0.5625,0.596,0.5793,0.2717,0.4142,0.343
24.2,-0.1266,0.5607,0.5027,0.5032,0.4917,0.4975,0.5509,0.5963,0.5736,0.2769,0.421,0.3489
24.3,-0.1301,0.5713,0.5151,0.5149,0.5011,0.508,0.5411,0.5983,0.5697,0.2809,0.4257,0.3533
24.4,-0.1355,0.5836,0.5303,0.5296,0.5128,0.5212,0.5326,0.6014,0.567,0.2837,0.4283,0.356
24.5,-0.1422,0.5962,0.547,0.5461,0.5262,0.5361,0.5245,0.605,0.5647,0.285,0.4288,0.3569
24.6,-0.1493,0.6077,0.564,0.5624,0.5394,0.5509,0.516,0.6079,0.5619,0.2838,0.427,0.3554
24.7,-0.1563,0.6164,0.5799,0.5764,0.5501,0.5632,0.5065,0.6083,0.5574,0.2793,0.4225,0.3509
24.8,-0.1632,0.6217,0.5933,0.5859,0.5563,0.5711,0.4957,0.6051,0.5504,0.2716,0.4153,0.3435
24.9,-0.1703,0.6236,0.6036,0.5898,0.5573,0.5736,0.4833,0.5976,0.5404,0.2608,0.4055,0.3332
25,-0.1774,0.6221,0.6105,0.588,0.5533,0.5707,0.469,0.5861,0.5275,0.2472,0.3936,0.3204
25.1,-0.1842,0.617,0.6138,0.5807,0.5447,0.5627,0.4528,0.5707,0.5118,0.2313,0.38,0.3057
25.2,-0.1905,0.6073,0.6127,0.568,0.5316,0.5498,0.4344,0.5515,0.493,0.2137,0.365,0.2893
25.3,-0.1967,0.5923,0.607,0.55,0.5145,0.5323,0.4141,0.5286,0.4713,0.1955,0.3486,0.272
25.4,-0.2025,0.5724,0.597,0.5275,0.4945,0.511,0.3924,0.5025,0.4474,0.1778,0.3314,0.2546
25.5,-0.2078,0.5485,0.5834,0.5012,0.473,0.4871,0.3702,0.4746,0.4224,0.1614,0.3141,0.2377
25.6,-0.2123,0.5221,0.5673,0.4724,0.4511,0.4617,0.3485,0.4465,0.3975,0.1462,0.2974,0.2218
25.7,-0.216,0.4946,0.5495,0.4424,0.4295,0.4359,0.328,0.4192,0.3736,0.1324,0.2815,0.207
25.8,-0.2186,0.4665,0.531,0.4125,0.4084,0.4104,0.3091,0.3935,0.3513,0.1212,0.2668,0.194
25.9,-0.2193,0.4388,0.5126,0.3841,0.3879,0.386,0.2923,0.3702,0.3312,0.1139,0.2539,0.1839
26,-0.218,0.4122,0.4954,0.3585,0.3681,0.3633,0.2778,0.3499,0.3138,0.1125,0.2436,0.178
26.1,-0.2141,0.3873,0.4804,0.3366,0.3494,0.343,0.2657,0.333,0.2994,0.1181,0.2366,0.1773
26.2,-0.2076,0.3646,0.4685,0.3187,0.3322,0.3254,0.2561,0.3198,0.288,0.1311,0.2333,0.1822
26.3,-0.1989,0.3442,0.4599,0.3046,0.3162,0.3104,0.249,0.3102,0.2796,0.1513,0.234,0.1927
26.4,-0.189,0.3266,0.4547,0.2946,0.3015,0.2981,0.2448,0.3038,0.2743,0.1783,0.2391,0.2087
26.5,-0.1783,0.3128,0.4535,0.2897,0.2888,0.2893,0.2436,0.3003,0.272,0.2115,0.2488,0.2301
26.6,-0.1667,0.3039,0.4569,0.2908,0.2787,0.2847,0.2459,0.3002,0.2731,0.2504,0.2634,0.2569
26.7,-0.1539,0.3005,0.4657,0.2978,0.2717,0.2848,0.2521,0.3039,0.278,0.294,0.2824,0.2882
26.8,-0.1399,0.3027,0.4802,0.3104,0.2682,0.2893,0.2625,0.3119,0.2872,0.3407,0.3055,0.3231
26.9,-0.1249,0.3102,0.5003,0.3277,0.2686,0.2982,0.2774,0.3246,0.301,0.3894,0.3319,0.3607
27,-0.1093,0.3224,0.5253,0.3496,0.2733,0.3114,0.2967,0.3422,0.3195,0.4389,0.3613,0.4001
27.1,-0.0938,0.3388,0.5545,0.3755,0.2827,0.3291,0.3197,0.3644,0.342,0.4877,0.3932,0.4404
27.2,-0.0797,0.3586,0.5872,0.4043,0.2966,0.3504,0.3454,0.3906,0.368,0.5341,0.4269,0.4805
27.3,-0.0679,0.3809,0.6229,0.4342,0.314,0.3741,0.373,0.42,0.3965,0.5769,0.4613,0.5191
27.4,-0.0584,0.4044,0.6602,0.463,0.3335,0.3982,0.4011,0.4516,0.4263,0.6151,0.4955,0.5553
27.5,-0.0504,0.4278,0.6971,0.4885,0.3538,0.4212,0.4283,0.4836,0.4559,0.6485,0.5281,0.5883
27.6,-0.0431,0.4496,0.7316,0.5091,0.3738,0.4414,0.453,0.5141,0.4835,0.677,0.5578,0.6174
27.7,-0.0364,0.4684,0.7621,0.5234,0.3923,0.4578,0.4737,0.5416,0.5076,0.7001,0.583,0.6415
27.8,-0.0303,0.4835,0.7874,0.5315,0.4083,0.4699,0.4897,0.5647,0.5272,0.7171,0.602,0.6595
27.9,-0.0254,0.4947,0.8069,0.5342,0.4216,0.4779,0.5008,0.5829,0.5418,0.7271,0.6133,0.6702
28,-0.0213,0.5025,0.8201,0.5324,0.4319,0.4822,0.5074,0.5956,0.5515,0.7299,0.6163,0.6731
28.1,-0.0178,0.5072,0.827,0.527,0.4394,0.4832,0.5105,0.6032,0.5569,0.7258,0.6114,0.6686
28.2,-0.0149,0.5091,0.8283,0.5188,0.4444,0.4816,0.5104,0.6065,0.5585,0.7154,0.5998,0.6576
28.3,-0.0131,0.5084,0.8245,0.5085,0.4471,0.4778,0.5072,0.6063,0.5567,0.6999,0.5834,0.6416
28.4,-0.0127,0.5054,0.8161,0.4969,0.4474,0.4721,0.5009,0.6035,0.5522,0.6803,0.5642,0.6223
28.5,-0.0137,0.5007,0.8037,0.4846,0.4453,0.465,0.4925,0.5984,0.5454,0.6582,0.5444,0.6013
28.6,-0.0159,0.495,0.7877,0.4728,0.4409,0.4569,0.4829,0.5908,0.5368,0.635,0.5258,0.5804
28.7,-0.0195,0.4893,0.7692,0.4623,0.4346,0.4484,0.4731,0.5815,0.5273,0.6122,0.5103,0.5613
28.8,-0.0247,0.4842,0.7494,0.454,0.4269,0.4404,0.4636,0.5715,0.5175,0.5907,0.4993,0.545
28.9,-0.0328,0.4803,0.7293,0.4476,0.4186,0.4331,0.4541,0.5621,0.5081,0.5712,0.4932,0.5322
29,-0.0445,0.4782,0.7095,0.4427,0.4106,0.4266,0.4444,0.5546,0.4995,0.5551,0.4921,0.5236
29.1,-0.06,0.4781,0.6907,0.4384,0.4039,0.4211,0.4347,0.5498,0.4923,0.5437,0.4954,0.5196
29.2,-0.0784,0.4807,0.6731,0.4348,0.3993,0.4171,0.4257,0.5484,0.4871,0.5389,0.5029,0.5209
29.3,-0.0987,0.4861,0.6571,0.4327,0.3981,0.4154,0.4184,0.5513,0.4848,0.5412,0.5145,0.5279
29.4,-0.121,0.494,0.6425,0.4327,0.4009,0.4168,0.4134,0.5593,0.4863,0.55,0.5299,0.5399
29.5,-0.1452,0.5038,0.6291,0.4345,0.4079,0.4212,0.4111,0.5725,0.4918,0.5631,0.5478,0.5554
29.6,-0.1706,0.5145,0.6163,0.4381,0.419,0.4286,0.4119,0.5908,0.5013,0.5783,0.5665,0.5724
29.7,-0.1951,0.5255,0.6036,0.4437,0.4335,0.4386,0.4164,0.6137,0.515,0.5943,0.584,0.5891
29.8,-0.2166,0.5357,0.5911,0.4518,0.4509,0.4513,0.4246,0.641,0.5328,0.6104,0.599,0.6047
29.9,-0.2348,0.5441,0.5795,0.462,0.4707,0.4663,0.4362,0.6735,0.5549,0.6268,0.6114,0.6191
