Time,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC,Bega - Simply Nuts Peanut Butter 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5112,0.4748,0.5972,0.5396,0.3611,0.4504,0.9966,0.7085,0.8526,1.1847,1.0232,1.104
0.1,0.5286,0.5213,0.6038,0.5695,0.3941,0.4818,1.022,0.724,0.873,1.1951,1.0455,1.1203
0.2,0.5443,0.5704,0.6113,0.6037,0.4343,0.519,1.0458,0.7423,0.894,1.1963,1.0608,1.1286
0.3,0.5565,0.6204,0.6209,0.6404,0.4802,0.5603,1.0675,0.764,0.9158,1.1909,1.0703,1.1306
0.4,0.5643,0.6692,0.6332,0.6777,0.5292,0.6034,1.0865,0.7895,0.938,1.1812,1.0754,1.1283
0.5,0.5677,0.7146,0.6478,0.7136,0.5784,0.646,1.1019,0.8178,0.9598,1.1688,1.0776,1.1232
0.6,0.567,0.7541,0.6632,0.7459,0.6249,0.6854,1.1125,0.8472,0.9798,1.1549,1.0772,1.1161
0.7,0.5615,0.7858,0.6781,0.7728,0.6662,0.7195,1.1175,0.8761,0.9968,1.1399,1.0742,1.1071
0.8,0.5503,0.8092,0.6922,0.7935,0.7003,0.7469,1.1171,0.9035,1.0103,1.1245,1.0682,1.0964
0.9,0.5324,0.8245,0.7059,0.8081,0.7267,0.7674,1.1123,0.9293,1.0208,1.1096,1.0594,1.0845
1,0.5075,0.8322,0.7199,0.8173,0.746,0.7816,1.1045,0.9535,1.029,1.0961,1.0483,1.0722
1.1,0.4754,0.8321,0.7342,0.8218,0.7588,0.7903,1.0946,0.9759,1.0352,1.0853,1.0359,1.0606
1.2,0.436,0.8245,0.7482,0.8219,0.7657,0.7938,1.083,0.9958,1.0394,1.0775,1.0225,1.05
