Time,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC,Ford Aussie Hoops 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.2,0.1104,0.4883,0.3861,0.5915,0.5448,0.5682,0.4707,0.3092,0.3899,0.4856,0.5055,0.4956
27.3,0.1582,0.4564,0.384,0.5851,0.4962,0.5406,0.4478,0.3006,0.3742,0.4777,0.4906,0.4841
27.4,0.2042,0.4265,0.3823,0.5743,0.45,0.5122,0.4234,0.2931,0.3582,0.471,0.4741,0.4726
27.5,0.246,0.3994,0.3814,0.5588,0.4084,0.4836,0.3979,0.2868,0.3423,0.4661,0.4564,0.4613
27.6,0.2811,0.376,0.3815,0.5386,0.3725,0.4556,0.3722,0.2817,0.3269,0.4633,0.4375,0.4504
27.7,0.3084,0.3569,0.3826,0.5143,0.3432,0.4287,0.3469,0.2784,0.3127,0.4632,0.4174,0.4403
27.8,0.3277,0.3425,0.3843,0.4872,0.3204,0.4038,0.3231,0.2771,0.3001,0.4666,0.3963,0.4315
27.9,0.34,0.333,0.3863,0.4588,0.3039,0.3814,0.3016,0.278,0.2898,0.4741,0.3747,0.4244
28,0.3457,0.3281,0.3883,0.4297,0.293,0.3613,0.2833,0.2806,0.2819,0.4855,0.3533,0.4194
28.1,0.345,0.3274,0.3902,0.4003,0.2864,0.3433,0.2686,0.2836,0.2761,0.4995,0.3329,0.4162
28.2,0.338,0.3301,0.3914,0.3709,0.2831,0.327,0.2579,0.2865,0.2722,0.5144,0.3143,0.4144
28.3,0.3259,0.3355,0.3919,0.3425,0.2821,0.3123,0.2511,0.2891,0.2701,0.5289,0.2981,0.4135
28.4,0.3101,0.3431,0.3915,0.3165,0.283,0.2998,0.248,0.2919,0.27,0.5424,0.2852,0.4138
28.5,0.2913,0.3532,0.3906,0.2946,0.2859,0.2903,0.2483,0.2955,0.2719,0.5551,0.2761,0.4156
28.6,0.2691,0.3659,0.3896,0.2775,0.2909,0.2842,0.252,0.2999,0.276,0.5675,0.2712,0.4194
28.7,0.2435,0.3816,0.3888,0.2651,0.2977,0.2814,0.2586,0.3046,0.2816,0.5796,0.2706,0.4251
28.8,0.2156,0.3998,0.3883,0.2569,0.3059,0.2814,0.2674,0.3088,0.2881,0.5914,0.2742,0.4328
28.9,0.1873,0.4202,0.3885,0.2525,0.315,0.2837,0.2783,0.3125,0.2954,0.6032,0.2822,0.4427
29,0.1603,0.4429,0.3898,0.2517,0.3244,0.2881,0.2915,0.316,0.3037,0.6158,0.2951,0.4554
29.1,0.1355,0.4683,0.3928,0.2544,0.334,0.2942,0.3073,0.3201,0.3137,0.6292,0.3132,0.4712
29.2,0.113,0.4967,0.3979,0.2599,0.3437,0.3018,0.3255,0.3253,0.3254,0.6432,0.3365,0.4898
29.3,0.0923,0.5276,0.405,0.2676,0.3531,0.3104,0.3457,0.3319,0.3388,0.6564,0.3645,0.5105
29.4,0.0734,0.5605,0.4143,0.2772,0.3623,0.3197,0.3672,0.34,0.3536,0.6681,0.3959,0.532
29.5,0.0573,0.5949,0.4261,0.2888,0.3713,0.33,0.3897,0.3503,0.37,0.6782,0.4293,0.5538
29.6,0.0444,0.6307,0.4417,0.3027,0.3804,0.3416,0.4134,0.364,0.3887,0.6875,0.4638,0.5756
29.7,0.0335,0.6682,0.4626,0.3194,0.3905,0.3549,0.4389,0.3822,0.4106,0.697,0.4989,0.5979
29.8,0.0221,0.707,0.4897,0.3389,0.4023,0.3706,0.4665,0.4055,0.436,0.7072,0.534,0.6206
29.9,0.0083,0.7469,0.5233,0.3613,0.4167,0.389,0.4959,0.4337,0.4648,0.7178,0.5683,0.6431
