Time,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
22.3,0.4402,0.4874,0.623,0.4448,0.3329,0.3889,0.4094,0.3574,0.3834,0.4239,0.4708,0.4474
22.4,0.4587,0.452,0.621,0.437,0.3252,0.3811,0.4173,0.3538,0.3856,0.4355,0.4955,0.4655
22.5,0.4783,0.4152,0.6185,0.4264,0.3141,0.3702,0.4234,0.3512,0.3873,0.45,0.5235,0.4867
22.6,0.4986,0.3785,0.6165,0.4142,0.3003,0.3573,0.4273,0.3501,0.3887,0.4665,0.5556,0.511
22.7,0.5196,0.3431,0.6165,0.4021,0.2847,0.3434,0.4289,0.351,0.39,0.4841,0.592,0.5381
22.8,0.5412,0.31,0.6196,0.3912,0.2683,0.3297,0.4281,0.3546,0.3913,0.5019,0.6329,0.5674
22.9,0.5634,0.2802,0.6264,0.3821,0.2514,0.3168,0.4249,0.3609,0.3929,0.5193,0.6776,0.5985
23,0.5864,0.2549,0.6363,0.376,0.2342,0.3051,0.4193,0.3697,0.3945,0.5363,0.725,0.6307
23.1,0.611,0.2353,0.6484,0.3744,0.2167,0.2955,0.4119,0.3807,0.3963,0.5531,0.7736,0.6633
23.2,0.6375,0.2224,0.6617,0.379,0.1995,0.2892,0.4035,0.3936,0.3986,0.5696,0.8221,0.6958
23.3,0.6656,0.2169,0.6751,0.3911,0.1833,0.2872,0.3951,0.4079,0.4015,0.5861,0.8693,0.7277
23.4,0.6952,0.2187,0.6872,0.411,0.1685,0.2898,0.387,0.4225,0.4048,0.6032,0.9146,0.7589
23.5,0.7262,0.2278,0.6969,0.438,0.1549,0.2964,0.3796,0.4364,0.408,0.6215,0.9565,0.789
23.6,0.7574,0.2438,0.7028,0.4707,0.1421,0.3064,0.3731,0.4485,0.4108,0.6412,0.9934,0.8173
23.7,0.786,0.2664,0.7036,0.508,0.1308,0.3194,0.368,0.4577,0.4129,0.6617,1.0231,0.8424
23.8,0.8082,0.2953,0.6989,0.5497,0.1232,0.3364,0.3643,0.4631,0.4137,0.6819,1.044,0.8629
23.9,0.8205,0.33,0.6891,0.5954,0.1219,0.3587,0.3618,0.4639,0.4128,0.7011,1.0553,0.8782
24,0.8205,0.3705,0.6748,0.6442,0.129,0.3866,0.36,0.4599,0.41,0.7186,1.0569,0.8877
24.1,0.8063,0.416,0.6564,0.694,0.145,0.4195,0.3587,0.4515,0.4051,0.7337,1.0488,0.8912
24.2,0.7766,0.4649,0.6346,0.7422,0.1702,0.4562,0.3575,0.4393,0.3984,0.7459,1.0323,0.8891
24.3,0.732,0.5146,0.6103,0.7862,0.2038,0.495,0.3563,0.4245,0.3904,0.7546,1.0099,0.8822
24.4,0.6763,0.5612,0.5852,0.823,0.2442,0.5336,0.3551,0.4076,0.3814,0.7599,0.9842,0.872
24.5,0.6147,0.6007,0.5607,0.8496,0.2888,0.5692,0.3547,0.3898,0.3722,0.7626,0.958,0.8603
24.6,0.5507,0.6301,0.5385,0.8628,0.334,0.5984,0.3556,0.3719,0.3637,0.7639,0.9331,0.8485
24.7,0.4849,0.6479,0.5192,0.8614,0.3766,0.619,0.3581,0.3552,0.3567,0.7641,0.9103,0.8372
24.8,0.4169,0.6546,0.5027,0.8459,0.4146,0.6303,0.3624,0.3408,0.3516,0.7634,0.89,0.8267
24.9,0.3475,0.6512,0.4894,0.8188,0.447,0.6329,0.3676,0.3297,0.3487,0.7613,0.8721,0.8167
25,0.2786,0.6396,0.4798,0.7824,0.4731,0.6277,0.3733,0.3228,0.348,0.7579,0.8569,0.8074
25.1,0.212,0.6212,0.4747,0.7387,0.4918,0.6153,0.3788,0.3204,0.3496,0.7534,0.8441,0.7988
25.2,0.1488,0.5973,0.4743,0.69,0.5022,0.5961,0.384,0.3224,0.3532,0.7475,0.8339,0.7907
25.3,0.0904,0.5695,0.4779,0.6395,0.5039,0.5717,0.3885,0.328,0.3582,0.7401,0.826,0.7831
25.4,0.0382,0.5397,0.4843,0.591,0.4974,0.5442,0.3919,0.3362,0.364,0.7308,0.8196,0.7752
25.5,-0.0069,0.51,0.4925,0.5471,0.4848,0.516,0.3934,0.3459,0.3697,0.7194,0.8138,0.7666
25.6,-0.0448,0.4819,0.5019,0.509,0.4687,0.4888,0.3926,0.3565,0.3745,0.7057,0.8079,0.7568
25.7,-0.0759,0.4565,0.5124,0.4762,0.4512,0.4637,0.3895,0.3672,0.3784,0.6903,0.8017,0.746
25.8,-0.1005,0.4344,0.5239,0.4487,0.4335,0.4411,0.3844,0.3778,0.3811,0.6736,0.7953,0.7345
25.9,-0.1182,0.4161,0.5359,0.4264,0.4161,0.4212,0.3777,0.3879,0.3828,0.6562,0.7879,0.722
26,-0.1285,0.4016,0.5477,0.4088,0.3993,0.404,0.3698,0.3972,0.3835,0.638,0.7784,0.7082
26.1,-0.1318,0.3904,0.5586,0.3949,0.3832,0.389,0.3611,0.4053,0.3832,0.619,0.7653,0.6922
26.2,-0.1285,0.3816,0.5677,0.3831,0.3682,0.3756,0.3519,0.4118,0.3818,0.5989,0.748,0.6735
26.3,-0.1196,0.3749,0.5747,0.3725,0.3544,0.3635,0.343,0.4168,0.3799,0.578,0.7265,0.6523
26.4,-0.1056,0.3705,0.5794,0.3635,0.3423,0.3529,0.335,0.4204,0.3777,0.5567,0.7019,0.6293
26.5,-0.087,0.3687,0.5817,0.3566,0.3321,0.3444,0.3284,0.4228,0.3756,0.5355,0.6754,0.6055
26.6,-0.0641,0.3692,0.581,0.3523,0.324,0.3381,0.3234,0.4238,0.3736,0.5143,0.6481,0.5812
26.7,-0.0376,0.3713,0.5773,0.3498,0.3174,0.3336,0.3202,0.4233,0.3717,0.4931,0.6206,0.5568
26.8,-0.008,0.3742,0.5708,0.3481,0.3112,0.3297,0.3194,0.4212,0.3703,0.472,0.5933,0.5327
26.9,0.0239,0.3775,0.562,0.3464,0.3048,0.3256,0.3217,0.4177,0.3697,0.4514,0.5668,0.5091
27,0.0573,0.3815,0.5514,0.3446,0.2983,0.3214,0.3277,0.4126,0.3701,0.4319,0.5413,0.4866
27.1,0.0912,0.3861,0.5395,0.3431,0.2925,0.3178,0.3374,0.406,0.3717,0.4141,0.5175,0.4658
27.2,0.1243,0.3911,0.5269,0.3423,0.2882,0.3152,0.3505,0.3982,0.3744,0.3982,0.4958,0.447
27.3,0.1556,0.396,0.5142,0.3416,0.2847,0.3132,0.367,0.3896,0.3783,0.3843,0.4765,0.4304
27.4,0.1845,0.4002,0.5025,0.3403,0.2806,0.3105,0.3867,0.3806,0.3836,0.3722,0.4597,0.416
27.5,0.2104,0.4033,0.4925,0.3379,0.2742,0.306,0.4094,0.3717,0.3906,0.3618,0.4454,0.4036
27.6,0.2323,0.4049,0.4848,0.3342,0.2651,0.2997,0.4348,0.3634,0.3991,0.3533,0.4339,0.3936
27.7,0.2496,0.4044,0.4801,0.3297,0.2539,0.2918,0.4625,0.3558,0.4092,0.347,0.4256,0.3863
27.8,0.2625,0.4012,0.4782,0.3244,0.241,0.2827,0.4914,0.3491,0.4202,0.3434,0.4206,0.382
27.9,0.2717,0.3951,0.4788,0.3178,0.2264,0.2721,0.5203,0.3429,0.4316,0.3428,0.4186,0.3807
28,0.2782,0.3858,0.481,0.3094,0.2096,0.2595,0.5478,0.337,0.4424,0.3452,0.4187,0.382
28.1,0.2826,0.3735,0.4838,0.2986,0.1906,0.2446,0.573,0.3312,0.4521,0.3506,0.4206,0.3856
28.2,0.2856,0.3587,0.4869,0.2857,0.1704,0.228,0.5951,0.3256,0.4604,0.3589,0.4244,0.3917
28.3,0.2883,0.342,0.4911,0.2712,0.15,0.2106,0.614,0.3207,0.4674,0.3706,0.4305,0.4006
28.4,0.2918,0.3242,0.497,0.2562,0.1302,0.1932,0.6298,0.3169,0.4733,0.3856,0.439,0.4123
28.5,0.2964,0.3062,0.5048,0.2414,0.1115,0.1764,0.6427,0.3141,0.4784,0.4037,0.4493,0.4265
28.6,0.3018,0.2892,0.5137,0.2272,0.0943,0.1607,0.6531,0.312,0.4826,0.424,0.4603,0.4422
28.7,0.3074,0.2744,0.5225,0.2138,0.0796,0.1467,0.6615,0.3101,0.4858,0.4456,0.4709,0.4582
28.8,0.3127,0.2625,0.5303,0.2011,0.0686,0.1348,0.6681,0.3081,0.4881,0.4677,0.4802,0.4739
28.9,0.3172,0.2536,0.5372,0.1889,0.0622,0.1255,0.6733,0.3064,0.4899,0.4901,0.488,0.4891
29,0.3204,0.2477,0.5437,0.1766,0.0606,0.1186,0.6775,0.3055,0.4915,0.5133,0.4943,0.5038
29.1,0.3215,0.2447,0.5492,0.1643,0.0639,0.1141,0.6813,0.3054,0.4933,0.538,0.4995,0.5188
29.2,0.3195,0.2445,0.553,0.1521,0.072,0.1121,0.6846,0.3059,0.4953,0.5645,0.5035,0.534
29.3,0.3134,0.2468,0.5545,0.1406,0.0854,0.113,0.6876,0.3068,0.4972,0.5921,0.5064,0.5493
29.4,0.303,0.2513,0.5537,0.13,0.104,0.117,0.69,0.3078,0.4989,0.6195,0.5084,0.564
29.5,0.2886,0.2572,0.5514,0.1209,0.1276,0.1242,0.6924,0.309,0.5007,0.6454,0.5097,0.5775
29.6,0.2717,0.2648,0.5488,0.114,0.1558,0.1349,0.6958,0.3106,0.5032,0.6687,0.5108,0.5898
29.7,0.2537,0.2749,0.5462,0.1105,0.1883,0.1494,0.7009,0.3124,0.5066,0.6891,0.5116,0.6004
29.8,0.2356,0.2879,0.5437,0.1103,0.2246,0.1674,0.7069,0.3142,0.5106,0.7056,0.5119,0.6087
29.9,0.2188,0.3032,0.5409,0.1126,0.2627,0.1876,0.7125,0.3153,0.5139,0.7164,0.5112,0.6138
