Time,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
26.4,-0.0262,0.5139,0.5318,0.5655,0.543,0.5542,0.5528,0.5694,0.5611,0.5278,0.53,0.5289
26.5,-0.024,0.5106,0.5332,0.568,0.5418,0.5549,0.5507,0.5762,0.5634,0.5366,0.5367,0.5367
26.6,-0.0235,0.5078,0.5347,0.5695,0.5405,0.555,0.5488,0.5836,0.5662,0.5453,0.5437,0.5445
26.7,-0.0247,0.5053,0.5362,0.57,0.5391,0.5545,0.5477,0.5915,0.5696,0.5537,0.5514,0.5525
26.8,-0.0276,0.5035,0.538,0.5694,0.5375,0.5535,0.5476,0.5997,0.5737,0.5617,0.5596,0.5606
26.9,-0.0323,0.5025,0.5399,0.5677,0.5357,0.5517,0.5483,0.608,0.5782,0.5691,0.5678,0.5685
27,-0.0386,0.5023,0.542,0.5645,0.5334,0.549,0.5495,0.616,0.5828,0.5757,0.5756,0.5756
27.1,-0.0462,0.5027,0.5441,0.5601,0.5306,0.5453,0.5511,0.6235,0.5873,0.5813,0.5828,0.582
27.2,-0.0545,0.5036,0.5463,0.5545,0.5274,0.541,0.5529,0.6304,0.5916,0.586,0.5894,0.5877
27.3,-0.0631,0.5046,0.5488,0.5482,0.5241,0.5361,0.5548,0.6367,0.5957,0.59,0.5955,0.5928
27.4,-0.0711,0.5055,0.5513,0.5413,0.5204,0.5308,0.5567,0.6421,0.5994,0.5933,0.6009,0.5971
27.5,-0.0782,0.5061,0.5536,0.5339,0.5164,0.5252,0.5584,0.6464,0.6024,0.5958,0.6052,0.6005
27.6,-0.084,0.5063,0.5557,0.5262,0.5123,0.5193,0.56,0.6496,0.6048,0.5974,0.6083,0.6029
27.7,-0.0879,0.5062,0.5577,0.5186,0.5085,0.5136,0.5617,0.6518,0.6067,0.5985,0.6102,0.6043
27.8,-0.0898,0.506,0.5599,0.5117,0.5055,0.5086,0.5637,0.6532,0.6084,0.5992,0.6114,0.6053
27.9,-0.0894,0.506,0.5624,0.5061,0.5036,0.5049,0.566,0.6541,0.61,0.6001,0.6122,0.6061
28,-0.0865,0.5061,0.5654,0.502,0.5028,0.5024,0.5687,0.6547,0.6117,0.6011,0.6128,0.607
28.1,-0.0811,0.5063,0.5689,0.4995,0.5028,0.5012,0.5717,0.6551,0.6134,0.6024,0.6133,0.6078
28.2,-0.0734,0.5066,0.5728,0.4985,0.5036,0.5011,0.5753,0.6552,0.6153,0.6038,0.6138,0.6088
28.3,-0.0637,0.5071,0.5772,0.4992,0.5054,0.5023,0.5793,0.6552,0.6173,0.6053,0.6144,0.6099
28.4,-0.0525,0.5083,0.5821,0.5018,0.5085,0.5051,0.5839,0.6551,0.6195,0.6071,0.6155,0.6113
28.5,-0.04,0.5106,0.5875,0.5068,0.513,0.5099,0.5889,0.6552,0.6221,0.6095,0.6169,0.6132
28.6,-0.0262,0.514,0.5933,0.5143,0.5191,0.5167,0.5943,0.6556,0.6249,0.6124,0.6185,0.6154
28.7,-0.0117,0.5184,0.5991,0.5235,0.5262,0.5249,0.5998,0.656,0.6279,0.6157,0.6199,0.6178
28.8,0.0027,0.5235,0.6046,0.5337,0.5341,0.5339,0.605,0.6563,0.6306,0.619,0.6209,0.6199
28.9,0.0162,0.529,0.6094,0.5441,0.5426,0.5434,0.6097,0.6561,0.6329,0.6221,0.6214,0.6218
29,0.0281,0.5348,0.6136,0.5548,0.5515,0.5531,0.6139,0.6556,0.6347,0.6251,0.6217,0.6234
29.1,0.038,0.5409,0.6171,0.5654,0.5606,0.563,0.6174,0.6548,0.6361,0.6281,0.6219,0.625
29.2,0.0456,0.547,0.6198,0.5757,0.5696,0.5727,0.6202,0.6539,0.6371,0.631,0.6222,0.6266
29.3,0.0509,0.5526,0.6215,0.585,0.5782,0.5816,0.6222,0.6526,0.6374,0.6335,0.6222,0.6279
29.4,0.0539,0.5575,0.622,0.5927,0.5862,0.5894,0.623,0.6508,0.6369,0.6352,0.6217,0.6284
29.5,0.0551,0.5615,0.621,0.5983,0.5933,0.5958,0.6222,0.6483,0.6353,0.6356,0.6204,0.628
29.6,0.0547,0.5645,0.6186,0.602,0.5993,0.6006,0.6196,0.6453,0.6324,0.6346,0.6183,0.6264
29.7,0.0533,0.5665,0.6149,0.604,0.6037,0.6039,0.6156,0.6417,0.6286,0.6323,0.6155,0.6239
29.8,0.0515,0.5676,0.6103,0.6046,0.6066,0.6056,0.6107,0.6377,0.6242,0.629,0.612,0.6205
29.9,0.0496,0.5677,0.605,0.604,0.6079,0.6059,0.6054,0.6333,0.6193,0.6248,0.6077,0.6162
