Time,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC,Apple - Detectives Cinematic Mode 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2914,0.5741,0.5605,0.6299,0.8008,0.7153,0.5085,0.5579,0.5332,0.6904,0.6217,0.6561
0.1,0.3318,0.5955,0.561,0.6551,0.8062,0.7307,0.5118,0.5759,0.5439,0.6894,0.6193,0.6544
0.2,0.3635,0.6167,0.5656,0.6813,0.8063,0.7438,0.5161,0.5953,0.5557,0.6834,0.6137,0.6485
0.3,0.388,0.6376,0.5732,0.7081,0.8018,0.755,0.5211,0.6152,0.5681,0.6721,0.6049,0.6385
0.4,0.4072,0.6581,0.5829,0.7352,0.7937,0.7645,0.5261,0.6347,0.5804,0.6556,0.5929,0.6242
0.5,0.4225,0.678,0.594,0.7625,0.7821,0.7723,0.5313,0.6537,0.5925,0.6342,0.5778,0.606
0.6,0.435,0.6972,0.6059,0.7897,0.7672,0.7784,0.5361,0.6718,0.604,0.6085,0.5599,0.5842
0.7,0.4447,0.7154,0.6177,0.8165,0.749,0.7827,0.54,0.6886,0.6143,0.5784,0.5391,0.5588
0.8,0.4514,0.7327,0.6293,0.8421,0.7285,0.7853,0.5422,0.703,0.6226,0.5446,0.5159,0.5302
0.9,0.4551,0.7488,0.6407,0.8658,0.7065,0.7862,0.5419,0.7142,0.628,0.5077,0.4909,0.4993
1,0.4561,0.7631,0.6518,0.8862,0.684,0.7851,0.5392,0.7217,0.6305,0.469,0.4645,0.4667
1.1,0.454,0.7746,0.6616,0.9023,0.6615,0.7819,0.5349,0.7251,0.63,0.4288,0.4366,0.4327
1.2,0.4487,0.7828,0.6681,0.9133,0.6398,0.7766,0.53,0.7238,0.6269,0.3876,0.407,0.3973
1.3,0.4396,0.7869,0.6694,0.9187,0.6192,0.7689,0.5245,0.7176,0.621,0.3459,0.3758,0.3608
1.4,0.4261,0.7864,0.6647,0.9181,0.6002,0.7592,0.5185,0.7064,0.6125,0.3046,0.3436,0.3241
1.5,0.4077,0.7816,0.6539,0.9115,0.5832,0.7474,0.5121,0.6909,0.6015,0.2646,0.3113,0.288
1.6,0.3847,0.7732,0.6378,0.899,0.5687,0.7339,0.5059,0.672,0.5889,0.2272,0.2794,0.2533
1.7,0.358,0.7623,0.6169,0.8812,0.5569,0.719,0.5002,0.6505,0.5754,0.1941,0.2483,0.2212
1.8,0.3294,0.7499,0.5915,0.8588,0.5478,0.7033,0.4949,0.6272,0.5611,0.1672,0.2185,0.1928
1.9,0.3008,0.7367,0.5624,0.8322,0.5415,0.6869,0.4894,0.6033,0.5463,0.1479,0.1906,0.1693
2,0.2731,0.723,0.5307,0.8023,0.5387,0.6705,0.4833,0.5801,0.5317,0.1375,0.1655,0.1515
2.1,0.2458,0.7095,0.4982,0.7699,0.5404,0.6551,0.4772,0.5597,0.5185,0.1365,0.1441,0.1403
2.2,0.2177,0.6968,0.4666,0.7363,0.5475,0.6419,0.4726,0.5439,0.5083,0.1444,0.127,0.1357
2.3,0.1878,0.6857,0.4371,0.7027,0.5606,0.6317,0.4707,0.5341,0.5024,0.1604,0.1144,0.1374
2.4,0.155,0.6766,0.4112,0.6709,0.5793,0.6251,0.4713,0.5312,0.5013,0.1837,0.1063,0.145
2.5,0.1189,0.6696,0.39,0.642,0.6026,0.6223,0.4734,0.5355,0.5045,0.2132,0.1029,0.1581
2.6,0.0801,0.6642,0.3739,0.6168,0.6293,0.623,0.4761,0.5464,0.5112,0.2472,0.1038,0.1755
2.7,0.0392,0.66,0.3625,0.5954,0.6578,0.6266,0.479,0.5625,0.5208,0.283,0.1077,0.1953
2.8,-0.0028,0.6568,0.3552,0.5776,0.6875,0.6325,0.4823,0.5825,0.5324,0.3184,0.1139,0.2161
2.9,-0.0449,0.6553,0.3521,0.5632,0.7179,0.6406,0.4867,0.605,0.5459,0.3518,0.1224,0.2371
3,-0.0853,0.6566,0.3539,0.5527,0.7494,0.6511,0.4925,0.6294,0.561,0.3829,0.1342,0.2586
3.1,-0.1218,0.6615,0.361,0.5464,0.7818,0.6641,0.4999,0.6553,0.5776,0.4111,0.1502,0.2806
3.2,-0.1525,0.6703,0.3734,0.5448,0.8145,0.6797,0.5083,0.6823,0.5953,0.4356,0.1705,0.303
3.3,-0.1769,0.6825,0.3902,0.5475,0.846,0.6967,0.5176,0.71,0.6138,0.4551,0.194,0.3245
3.4,-0.195,0.6969,0.4104,0.5536,0.8749,0.7142,0.5272,0.7375,0.6323,0.469,0.2194,0.3442
3.5,-0.2069,0.7125,0.433,0.5619,0.9005,0.7312,0.5363,0.7634,0.6498,0.4772,0.2453,0.3612
3.6,-0.2128,0.7282,0.4574,0.5714,0.9223,0.7469,0.5438,0.786,0.6649,0.4796,0.2708,0.3752
3.7,-0.2125,0.7431,0.4826,0.5813,0.9398,0.7605,0.5494,0.8042,0.6768,0.4765,0.2952,0.3859
3.8,-0.2065,0.7567,0.5082,0.5909,0.9522,0.7716,0.5532,0.8176,0.6854,0.4683,0.3176,0.393
3.9,-0.1953,0.7686,0.5333,0.6001,0.9593,0.7797,0.5559,0.8261,0.691,0.4555,0.3376,0.3966
4,-0.1798,0.7788,0.5575,0.6087,0.9613,0.785,0.5581,0.8296,0.6938,0.4389,0.3554,0.3972
4.1,-0.1609,0.7871,0.58,0.6166,0.9589,0.7877,0.5603,0.828,0.6942,0.4198,0.3719,0.3958
4.2,-0.1399,0.7933,0.6007,0.6235,0.9529,0.7882,0.5628,0.8212,0.692,0.3993,0.3876,0.3935
4.3,-0.1183,0.7965,0.619,0.6288,0.9435,0.7862,0.5661,0.8089,0.6875,0.3784,0.4029,0.3906
4.4,-0.0975,0.7964,0.6345,0.6319,0.9305,0.7812,0.5706,0.7916,0.6811,0.3572,0.4171,0.3872
4.5,-0.0785,0.793,0.6464,0.6328,0.9136,0.7732,0.576,0.7697,0.6728,0.3362,0.4296,0.3829
4.6,-0.0622,0.787,0.6538,0.6318,0.8929,0.7624,0.5818,0.7437,0.6627,0.3154,0.4399,0.3777
4.7,-0.0487,0.7792,0.6567,0.6292,0.8694,0.7493,0.5873,0.714,0.6507,0.2954,0.4479,0.3717
4.8,-0.0385,0.7704,0.6553,0.6253,0.8439,0.7346,0.592,0.6818,0.6369,0.2768,0.4537,0.3652
4.9,-0.0314,0.7616,0.6504,0.6203,0.8175,0.7189,0.5957,0.6481,0.6219,0.2604,0.4572,0.3588
5,-0.0271,0.753,0.6429,0.6147,0.7912,0.7029,0.5981,0.6146,0.6064,0.2474,0.4587,0.3531
5.1,-0.0253,0.7445,0.6334,0.6089,0.7656,0.6872,0.5988,0.5828,0.5908,0.2387,0.459,0.3488
5.2,-0.0262,0.7355,0.6226,0.603,0.7413,0.6721,0.5976,0.5541,0.5758,0.2348,0.4585,0.3466
5.3,-0.0303,0.7255,0.6113,0.5969,0.7186,0.6577,0.5945,0.5295,0.562,0.2356,0.4575,0.3465
5.4,-0.0377,0.7143,0.6001,0.5905,0.6976,0.644,0.5898,0.5093,0.5495,0.2403,0.456,0.3481
5.5,-0.0479,0.7024,0.589,0.5837,0.6781,0.6309,0.5833,0.4934,0.5384,0.2482,0.4539,0.3511
5.6,-0.0596,0.6898,0.5782,0.5768,0.6598,0.6183,0.5753,0.4818,0.5285,0.2589,0.4517,0.3553
5.7,-0.0706,0.6768,0.568,0.5702,0.6424,0.6063,0.5658,0.4742,0.52,0.2721,0.4496,0.3608
5.8,-0.0788,0.6634,0.5586,0.5644,0.6257,0.595,0.5548,0.47,0.5124,0.2872,0.4478,0.3675
5.9,-0.0834,0.6497,0.5505,0.5595,0.6094,0.5845,0.5426,0.4683,0.5054,0.3032,0.4456,0.3744
6,-0.0849,0.6359,0.5435,0.556,0.5937,0.5748,0.529,0.4682,0.4986,0.3191,0.4424,0.3807
6.1,-0.0845,0.6227,0.5376,0.5541,0.5788,0.5665,0.5144,0.4692,0.4918,0.3344,0.4379,0.3862
6.2,-0.0833,0.6104,0.5327,0.5542,0.5649,0.5596,0.4996,0.4715,0.4856,0.3492,0.4327,0.391
6.3,-0.0817,0.5994,0.5288,0.5563,0.5522,0.5543,0.4855,0.475,0.4802,0.3637,0.4274,0.3955
6.4,-0.0792,0.5895,0.5255,0.5604,0.5405,0.5505,0.4721,0.4793,0.4757,0.3774,0.4224,0.3999
6.5,-0.0755,0.5806,0.5225,0.5666,0.5293,0.5479,0.4592,0.4838,0.4715,0.3902,0.4176,0.4039
6.6,-0.0705,0.5729,0.5194,0.5752,0.5183,0.5468,0.447,0.4879,0.4675,0.4017,0.4129,0.4073
6.7,-0.0649,0.567,0.5163,0.587,0.5078,0.5474,0.4363,0.4917,0.464,0.4121,0.4079,0.41
6.8,-0.0593,0.5634,0.5129,0.6023,0.4986,0.5505,0.4279,0.4947,0.4613,0.4209,0.4024,0.4117
6.9,-0.0542,0.5623,0.5088,0.621,0.4914,0.5562,0.422,0.4967,0.4594,0.4281,0.3962,0.4121
7,-0.0501,0.5641,0.5037,0.6425,0.4869,0.5647,0.4185,0.4974,0.458,0.433,0.3894,0.4112
7.1,-0.0472,0.569,0.4974,0.6662,0.4854,0.5758,0.4175,0.4969,0.4572,0.4354,0.3821,0.4088
7.2,-0.0452,0.5769,0.4905,0.6914,0.4871,0.5892,0.4192,0.4958,0.4575,0.4355,0.3743,0.4049
7.3,-0.0439,0.5877,0.4835,0.7175,0.4918,0.6047,0.4237,0.4944,0.459,0.4336,0.3664,0.4
7.4,-0.0429,0.6007,0.4766,0.7436,0.4991,0.6214,0.4307,0.4929,0.4618,0.43,0.3589,0.3944
7.5,-0.0413,0.6156,0.47,0.7687,0.5082,0.6385,0.4398,0.4913,0.4656,0.425,0.3517,0.3884
7.6,-0.0382,0.6323,0.4638,0.7925,0.5187,0.6556,0.4505,0.4899,0.4702,0.4185,0.3447,0.3816
7.7,-0.0334,0.6511,0.4575,0.8146,0.5307,0.6727,0.4623,0.4889,0.4756,0.41,0.337,0.3735
7.8,-0.0271,0.6726,0.4509,0.8349,0.545,0.6899,0.4749,0.489,0.4819,0.3986,0.3275,0.3631
7.9,-0.0204,0.6969,0.4438,0.8528,0.5619,0.7074,0.4878,0.49,0.4889,0.3841,0.3158,0.35
8,-0.0145,0.7236,0.4364,0.8676,0.5817,0.7246,0.5007,0.4923,0.4965,0.367,0.3023,0.3347
8.1,-0.0108,0.7514,0.4292,0.8786,0.6039,0.7412,0.5131,0.496,0.5045,0.3486,0.2881,0.3183
8.2,-0.0115,0.779,0.4226,0.8853,0.6281,0.7567,0.5245,0.5021,0.5133,0.3301,0.274,0.302
8.3,-0.018,0.8049,0.4173,0.8875,0.6542,0.7708,0.5346,0.5114,0.523,0.3126,0.2608,0.2867
8.4,-0.0307,0.8278,0.4134,0.8853,0.6815,0.7834,0.5432,0.5242,0.5337,0.2969,0.2489,0.2729
8.5,-0.049,0.8465,0.411,0.8785,0.7088,0.7936,0.5501,0.5399,0.545,0.2837,0.2386,0.2612
8.6,-0.0717,0.8602,0.4099,0.8674,0.7346,0.801,0.5549,0.5577,0.5563,0.2732,0.23,0.2516
8.7,-0.097,0.8695,0.41,0.8531,0.7578,0.8054,0.5579,0.577,0.5675,0.2655,0.2228,0.2442
8.8,-0.123,0.8754,0.4111,0.8369,0.778,0.8074,0.5593,0.5976,0.5785,0.2609,0.2167,0.2388
8.9,-0.1479,0.8789,0.4129,0.8204,0.7949,0.8076,0.5593,0.6193,0.5893,0.2592,0.2113,0.2352
9,-0.1705,0.8801,0.4151,0.8045,0.8083,0.8064,0.5578,0.6414,0.5996,0.2605,0.2065,0.2335
9.1,-0.1907,0.8791,0.4178,0.7897,0.8179,0.8038,0.5551,0.6629,0.609,0.2647,0.2025,0.2336
9.2,-0.2096,0.8756,0.4211,0.7762,0.8235,0.7998,0.5512,0.6829,0.6171,0.2715,0.1994,0.2354
9.3,-0.2292,0.8699,0.4252,0.7635,0.825,0.7942,0.5466,0.7008,0.6237,0.2806,0.1972,0.2389
9.4,-0.2505,0.8622,0.4297,0.751,0.8224,0.7867,0.5421,0.7163,0.6292,0.2915,0.1965,0.244
9.5,-0.2731,0.8522,0.4341,0.738,0.8162,0.7771,0.5387,0.729,0.6338,0.3042,0.1979,0.251
9.6,-0.2961,0.8399,0.4377,0.7237,0.8066,0.7651,0.5374,0.7381,0.6377,0.3183,0.2019,0.2601
9.7,-0.3186,0.8253,0.4403,0.7079,0.7943,0.7511,0.5385,0.7435,0.641,0.3334,0.209,0.2712
9.8,-0.34,0.8092,0.4421,0.6913,0.7805,0.7359,0.542,0.7451,0.6435,0.3485,0.2192,0.2838
9.9,-0.3605,0.793,0.4437,0.6748,0.7661,0.7205,0.5479,0.7435,0.6457,0.3633,0.2321,0.2977
10,-0.3803,0.7777,0.445,0.6594,0.752,0.7057,0.5565,0.7391,0.6478,0.3778,0.2474,0.3126
10.1,-0.4,0.7636,0.4462,0.6452,0.738,0.6916,0.5677,0.7323,0.65,0.392,0.2648,0.3284
10.2,-0.4202,0.7506,0.4472,0.6314,0.7242,0.6778,0.5808,0.7233,0.652,0.4057,0.2843,0.345
10.3,-0.4416,0.7385,0.4484,0.6174,0.7103,0.6638,0.5949,0.7126,0.6537,0.4188,0.3055,0.3622
10.4,-0.464,0.7274,0.4496,0.6029,0.6961,0.6495,0.6093,0.7009,0.6551,0.4309,0.3281,0.3795
10.5,-0.4861,0.7173,0.4502,0.5885,0.6813,0.6349,0.6236,0.6882,0.6559,0.4414,0.351,0.3962
10.6,-0.5063,0.7081,0.4499,0.5744,0.6656,0.62,0.6376,0.6744,0.656,0.45,0.373,0.4115
