Time,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC,Skoda - Obvious Isnt Always Obvious 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0815,0.6896,0.5846,0.7207,0.8601,0.7904,0.5267,0.9427,0.7347,1.0153,0.5271,0.7712
0.1,-0.0768,0.6741,0.6261,0.7478,0.8266,0.7872,0.552,0.9668,0.7594,1.0254,0.567,0.7962
0.2,-0.0732,0.6588,0.6646,0.7717,0.7946,0.7832,0.5773,0.9841,0.7807,1.034,0.6062,0.8201
0.3,-0.0723,0.6452,0.6993,0.792,0.7668,0.7794,0.6012,0.9959,0.7986,1.0402,0.6433,0.8417
0.4,-0.0755,0.6335,0.7291,0.8075,0.7445,0.776,0.6224,1.0031,0.8127,1.0428,0.6757,0.8592
0.5,-0.0847,0.6236,0.753,0.8177,0.7273,0.7725,0.6394,1.0059,0.8226,1.0411,0.7017,0.8714
0.6,-0.1007,0.6152,0.7709,0.8219,0.7137,0.7678,0.6517,1.0043,0.828,1.0349,0.7215,0.8782
0.7,-0.1222,0.6079,0.7837,0.8201,0.7013,0.7607,0.6596,0.9991,0.8294,1.0248,0.7357,0.8803
0.8,-0.1467,0.6014,0.7922,0.8132,0.6883,0.7507,0.6644,0.9914,0.8279,1.0116,0.7453,0.8784
0.9,-0.1719,0.5952,0.797,0.8013,0.6742,0.7377,0.6671,0.9823,0.8247,0.9956,0.7505,0.8731
1,-0.1962,0.5887,0.7984,0.7842,0.6592,0.7217,0.668,0.9726,0.8203,0.9772,0.7514,0.8643
1.1,-0.2183,0.5819,0.7966,0.7622,0.6436,0.7029,0.6673,0.9623,0.8148,0.9564,0.7488,0.8526
1.2,-0.237,0.5749,0.7922,0.7362,0.6275,0.6819,0.6652,0.952,0.8086,0.9338,0.744,0.8389
1.3,-0.2508,0.568,0.7859,0.7081,0.6114,0.6597,0.6633,0.9427,0.803,0.9101,0.7385,0.8243
1.4,-0.2594,0.5614,0.7785,0.6803,0.5956,0.6379,0.6636,0.9354,0.7995,0.8867,0.7333,0.81
1.5,-0.2638,0.5556,0.771,0.6547,0.5808,0.6177,0.6674,0.9313,0.7994,0.8642,0.7292,0.7967
1.6,-0.2654,0.5509,0.765,0.6324,0.5677,0.6,0.6756,0.9313,0.8035,0.8431,0.7267,0.7849
1.7,-0.2654,0.5478,0.7621,0.6145,0.5564,0.5855,0.6879,0.9361,0.812,0.8239,0.7271,0.7755
1.8,-0.2639,0.5469,0.7637,0.6021,0.5469,0.5745,0.7041,0.9462,0.8251,0.8073,0.7315,0.7694
1.9,-0.2609,0.5485,0.7705,0.5959,0.5394,0.5676,0.7237,0.9623,0.843,0.7929,0.741,0.7669
2,-0.2571,0.5523,0.7827,0.5958,0.534,0.5649,0.747,0.9843,0.8656,0.781,0.7554,0.7682
2.1,-0.2528,0.5578,0.7998,0.6011,0.5311,0.5661,0.7743,1.0117,0.893,0.7723,0.7747,0.7735
2.2,-0.2482,0.5648,0.8214,0.6111,0.5303,0.5707,0.8053,1.0431,0.9242,0.7678,0.7984,0.7831
2.3,-0.2435,0.5731,0.847,0.6248,0.5318,0.5783,0.8387,1.0767,0.9577,0.7676,0.8264,0.797
2.4,-0.238,0.5827,0.876,0.6409,0.5356,0.5883,0.8723,1.1108,0.9916,0.7713,0.8578,0.8145
2.5,-0.2309,0.5931,0.908,0.6579,0.5414,0.5997,0.9043,1.1436,1.0239,0.7778,0.8908,0.8343
2.6,-0.2212,0.6038,0.9416,0.6742,0.5487,0.6114,0.9327,1.1726,1.0527,0.7861,0.9227,0.8544
2.7,-0.2083,0.6144,0.9748,0.689,0.557,0.623,0.9567,1.195,1.0759,0.7958,0.9509,0.8734
2.8,-0.1929,0.6247,1.0061,0.7021,0.5663,0.6342,0.9755,1.2092,1.0924,0.8063,0.9742,0.8902
2.9,-0.1764,0.6348,1.0339,0.7131,0.5768,0.6449,0.9891,1.215,1.102,0.8169,0.9917,0.9043
3,-0.1607,0.6445,1.0574,0.7211,0.5888,0.655,0.9975,1.2129,1.1052,0.8273,1.0027,0.915
3.1,-0.1476,0.654,1.0756,0.7257,0.6022,0.664,1.0012,1.2032,1.1022,0.837,1.0057,0.9213
3.2,-0.1381,0.6627,1.0882,0.7262,0.6165,0.6713,1.0004,1.1864,1.0934,0.8458,0.9993,0.9225
