Time,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry,Specsavers - Alex Perry
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1746,0.6166,0.9263,0.5755,0.8987,0.7371,0.6598,0.8695,0.7647,0.8118,0.8861,0.849
0.1,-0.1998,0.615,0.9144,0.5754,0.8958,0.7356,0.6846,0.8669,0.7757,0.8172,0.9017,0.8595
0.2,-0.2237,0.6126,0.892,0.574,0.8871,0.7305,0.7083,0.8619,0.7851,0.814,0.909,0.8615
0.3,-0.2461,0.6088,0.8598,0.5713,0.8718,0.7216,0.7307,0.855,0.7928,0.8028,0.9072,0.855
0.4,-0.2653,0.6023,0.819,0.5675,0.8494,0.7085,0.7504,0.8462,0.7983,0.7844,0.8959,0.8401
0.5,-0.2797,0.5917,0.772,0.5623,0.8194,0.6909,0.7662,0.8353,0.8008,0.7601,0.8754,0.8177
0.6,-0.2881,0.5762,0.7223,0.5557,0.7817,0.6687,0.7775,0.8226,0.8001,0.732,0.847,0.7895
0.7,-0.2909,0.5556,0.6731,0.5475,0.7376,0.6426,0.785,0.8082,0.7966,0.7026,0.8129,0.7577
0.8,-0.2899,0.5308,0.6266,0.538,0.6896,0.6138,0.7888,0.7925,0.7907,0.674,0.775,0.7245
0.9,-0.2866,0.5028,0.5839,0.5273,0.6402,0.5837,0.7887,0.7754,0.782,0.6475,0.7354,0.6915
1,-0.2815,0.473,0.5455,0.5156,0.5921,0.5538,0.7847,0.7568,0.7707,0.6233,0.6961,0.6597
1.1,-0.2755,0.4429,0.5116,0.5027,0.5482,0.5255,0.7769,0.7369,0.7569,0.6017,0.6587,0.6302
1.2,-0.271,0.4135,0.4827,0.4885,0.5104,0.4994,0.7661,0.7162,0.7412,0.5823,0.6249,0.6036
1.3,-0.2706,0.3856,0.4582,0.4722,0.4795,0.4758,0.753,0.6951,0.724,0.5653,0.5953,0.5803
1.4,-0.2757,0.36,0.4374,0.4533,0.4553,0.4543,0.7384,0.6737,0.706,0.5507,0.5704,0.5605
1.5,-0.2863,0.3372,0.4196,0.4318,0.4378,0.4348,0.7235,0.653,0.6883,0.5383,0.55,0.5441
1.6,-0.3011,0.3179,0.4047,0.4092,0.427,0.4181,0.7096,0.6344,0.672,0.5283,0.5342,0.5312
1.7,-0.3182,0.3032,0.393,0.3876,0.423,0.4053,0.6977,0.619,0.6583,0.5208,0.5231,0.522
1.8,-0.3359,0.294,0.3844,0.3692,0.4257,0.3974,0.6882,0.6075,0.6479,0.5161,0.5167,0.5164
1.9,-0.3528,0.291,0.3785,0.3553,0.4346,0.395,0.6813,0.5999,0.6406,0.5142,0.5146,0.5144
2,-0.3674,0.2946,0.3745,0.3464,0.4493,0.3979,0.6768,0.5953,0.636,0.5151,0.5161,0.5156
2.1,-0.3794,0.304,0.3719,0.342,0.4692,0.4056,0.6744,0.5933,0.6339,0.5188,0.5207,0.5198
2.2,-0.3888,0.3185,0.3707,0.3414,0.4934,0.4174,0.6741,0.5936,0.6338,0.5256,0.5281,0.5269
2.3,-0.3961,0.3371,0.3709,0.3442,0.5211,0.4326,0.6758,0.5963,0.636,0.5355,0.5381,0.5368
2.4,-0.4013,0.3591,0.3727,0.3497,0.551,0.4504,0.6794,0.6014,0.6404,0.5484,0.5501,0.5493
2.5,-0.4037,0.3836,0.3757,0.3572,0.5818,0.4695,0.6844,0.6086,0.6465,0.564,0.5632,0.5636
2.6,-0.4024,0.4092,0.3795,0.3655,0.6118,0.4886,0.6899,0.617,0.6534,0.5809,0.5759,0.5784
2.7,-0.3967,0.4346,0.3832,0.3737,0.6396,0.5067,0.6954,0.6256,0.6605,0.5979,0.5869,0.5924
2.8,-0.3876,0.4589,0.386,0.382,0.6651,0.5236,0.7005,0.6341,0.6673,0.6141,0.5954,0.6048
2.9,-0.3766,0.4817,0.3877,0.3908,0.6884,0.5396,0.705,0.6423,0.6737,0.629,0.6012,0.6151
3,-0.3646,0.5033,0.3884,0.4006,0.7094,0.555,0.7089,0.6506,0.6798,0.6421,0.6037,0.6229
3.1,-0.351,0.5241,0.3883,0.4115,0.7281,0.5698,0.7119,0.659,0.6854,0.6527,0.6026,0.6277
3.2,-0.3347,0.5442,0.3879,0.4232,0.7443,0.5838,0.7138,0.6674,0.6906,0.6603,0.598,0.6291
3.3,-0.3151,0.5634,0.3869,0.4357,0.7582,0.5969,0.7145,0.6754,0.695,0.6644,0.5901,0.6272
3.4,-0.2931,0.5812,0.3852,0.4484,0.7694,0.6089,0.7135,0.6824,0.6979,0.6652,0.5792,0.6222
3.5,-0.2704,0.5969,0.3828,0.461,0.7776,0.6193,0.7111,0.6875,0.6993,0.6639,0.5663,0.6151
3.6,-0.2477,0.6099,0.3796,0.4729,0.7824,0.6277,0.707,0.6901,0.6985,0.6609,0.5522,0.6066
3.7,-0.2251,0.6199,0.3754,0.4835,0.7831,0.6333,0.7009,0.6893,0.6951,0.6565,0.5377,0.5971
3.8,-0.2022,0.6268,0.3702,0.4921,0.7795,0.6358,0.6928,0.6847,0.6887,0.6504,0.5234,0.5869
3.9,-0.1784,0.6311,0.3642,0.4982,0.7716,0.6349,0.6828,0.6764,0.6796,0.6427,0.5101,0.5764
4,-0.1534,0.6335,0.358,0.5015,0.7599,0.6307,0.6713,0.6649,0.6681,0.6337,0.4982,0.5659
4.1,-0.1274,0.635,0.3521,0.5024,0.7446,0.6235,0.659,0.6504,0.6547,0.6243,0.488,0.5561
4.2,-0.1013,0.6362,0.3466,0.5012,0.7262,0.6137,0.6463,0.6333,0.6398,0.6155,0.4803,0.5479
4.3,-0.0763,0.6373,0.3419,0.498,0.7054,0.6017,0.634,0.6145,0.6242,0.608,0.476,0.542
4.4,-0.0538,0.6386,0.3382,0.493,0.6831,0.5881,0.6227,0.5951,0.6089,0.6024,0.4753,0.5388
