Time,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC,Loreal Paris - Elvive Bond Repair 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0342,0.817,0.4119,0.8046,0.7152,0.7599,0.4746,0.2675,0.3711,0.5693,0.4658,0.5175
0.1,-0.0051,0.7974,0.393,0.7847,0.7119,0.7483,0.4671,0.2375,0.3523,0.568,0.4642,0.5161
0.2,0.0219,0.7783,0.3767,0.7635,0.7065,0.735,0.4587,0.2107,0.3347,0.5653,0.4599,0.5126
0.3,0.046,0.7595,0.3639,0.7415,0.699,0.7202,0.4497,0.1878,0.3188,0.5617,0.4539,0.5078
0.4,0.0664,0.7412,0.3552,0.7194,0.6899,0.7046,0.44,0.1694,0.3047,0.5577,0.4469,0.5023
0.5,0.0824,0.7237,0.3507,0.6988,0.68,0.6894,0.4297,0.1558,0.2927,0.5542,0.4395,0.4968
0.6,0.0936,0.7071,0.3501,0.681,0.6704,0.6757,0.4196,0.1471,0.2834,0.5525,0.4317,0.4921
0.7,0.1004,0.6916,0.3532,0.6668,0.6618,0.6643,0.4112,0.1431,0.2772,0.5533,0.4231,0.4882
0.8,0.1025,0.6772,0.3598,0.6569,0.6548,0.6559,0.406,0.1439,0.2749,0.5573,0.4137,0.4855
0.9,0.1001,0.6639,0.3697,0.6517,0.6501,0.6509,0.4052,0.1496,0.2774,0.565,0.4042,0.4846
1,0.0935,0.6521,0.3829,0.651,0.648,0.6495,0.4093,0.1605,0.2849,0.5762,0.3951,0.4856
1.1,0.0834,0.6422,0.3989,0.654,0.6486,0.6513,0.418,0.1768,0.2974,0.5897,0.3863,0.488
1.2,0.0711,0.6344,0.417,0.6599,0.652,0.6559,0.4307,0.1978,0.3142,0.604,0.3777,0.4909
1.3,0.0572,0.6289,0.4372,0.6678,0.6578,0.6628,0.4472,0.2233,0.3352,0.6189,0.3698,0.4944
1.4,0.0421,0.6261,0.4598,0.6773,0.6655,0.6714,0.4679,0.2534,0.3606,0.6354,0.3631,0.4992
1.5,0.0262,0.6264,0.485,0.6884,0.6744,0.6814,0.4928,0.2885,0.3906,0.6543,0.3585,0.5064
1.6,0.0096,0.6305,0.5123,0.7009,0.6842,0.6926,0.5214,0.328,0.4247,0.6756,0.3564,0.516
1.7,-0.0076,0.6381,0.5405,0.7145,0.695,0.7048,0.5526,0.3711,0.4619,0.6982,0.3572,0.5277
1.8,-0.0262,0.6484,0.5683,0.7291,0.7065,0.7178,0.5853,0.4169,0.5011,0.72,0.3606,0.5403
1.9,-0.047,0.6603,0.5951,0.744,0.7185,0.7312,0.6188,0.4646,0.5417,0.7397,0.3662,0.5529
2,-0.0702,0.6729,0.62,0.7585,0.7304,0.7445,0.6523,0.5128,0.5826,0.7558,0.3737,0.5647
2.1,-0.0956,0.6852,0.6422,0.7713,0.7418,0.7565,0.6844,0.5602,0.6223,0.7673,0.383,0.5751
2.2,-0.1222,0.697,0.6606,0.7812,0.7518,0.7665,0.714,0.6052,0.6596,0.774,0.3945,0.5843
2.3,-0.1481,0.7084,0.6746,0.7872,0.7593,0.7733,0.7398,0.6463,0.6931,0.7761,0.4091,0.5926
2.4,-0.172,0.7196,0.6838,0.7888,0.7634,0.7761,0.7601,0.6825,0.7213,0.7736,0.4274,0.6005
2.5,-0.1927,0.7307,0.6884,0.7863,0.7634,0.7749,0.7733,0.7136,0.7434,0.7668,0.4485,0.6077
2.6,-0.2092,0.7417,0.6885,0.7801,0.7596,0.7698,0.7788,0.7393,0.759,0.7562,0.4712,0.6137
2.7,-0.2202,0.7529,0.6834,0.7706,0.7523,0.7614,0.7771,0.7597,0.7684,0.7425,0.4939,0.6182
2.8,-0.2253,0.7642,0.6737,0.7586,0.7422,0.7504,0.7701,0.7754,0.7728,0.7266,0.5157,0.6212
2.9,-0.225,0.7752,0.6613,0.745,0.7302,0.7376,0.7595,0.7871,0.7733,0.7099,0.5369,0.6234
3,-0.221,0.7852,0.6481,0.7307,0.7171,0.7239,0.7465,0.7954,0.771,0.6935,0.5577,0.6256
3.1,-0.2154,0.7939,0.6352,0.7163,0.7038,0.71,0.7318,0.8007,0.7662,0.678,0.5784,0.6282
3.2,-0.2093,0.8012,0.6226,0.7026,0.6912,0.6969,0.7156,0.8032,0.7594,0.6642,0.5985,0.6313
3.3,-0.2035,0.8072,0.6103,0.6902,0.6805,0.6854,0.6984,0.8029,0.7507,0.653,0.6175,0.6352
3.4,-0.1984,0.8122,0.5996,0.6798,0.6729,0.6764,0.6806,0.8002,0.7404,0.6449,0.6355,0.6402
3.5,-0.1942,0.8162,0.5922,0.6716,0.6697,0.6706,0.6623,0.795,0.7287,0.6401,0.6525,0.6463
3.6,-0.1913,0.8193,0.5888,0.6653,0.6718,0.6686,0.6438,0.7876,0.7157,0.6383,0.6686,0.6535
3.7,-0.1907,0.8219,0.5893,0.6609,0.6797,0.6703,0.6253,0.7784,0.7018,0.6395,0.6834,0.6615
3.8,-0.193,0.8243,0.5933,0.6577,0.6937,0.6757,0.6072,0.7676,0.6874,0.6441,0.6968,0.6704
3.9,-0.1983,0.8265,0.6014,0.6552,0.7134,0.6843,0.5902,0.756,0.6731,0.6522,0.709,0.6806
4,-0.2057,0.8276,0.6141,0.6531,0.7375,0.6953,0.5744,0.7443,0.6594,0.6636,0.7204,0.692
4.1,-0.2139,0.8266,0.6311,0.6506,0.7639,0.7072,0.5592,0.733,0.6461,0.6771,0.7308,0.704
4.2,-0.2227,0.823,0.6509,0.6473,0.7908,0.7191,0.5432,0.7218,0.6325,0.6908,0.7396,0.7152
4.3,-0.2319,0.8171,0.672,0.6429,0.8171,0.73,0.5252,0.7105,0.6179,0.7032,0.7458,0.7245
