Time,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC,Vodafone - Apple Iphone 15 Pro 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28.4,0.3441,0.3119,0.2554,0.2149,0.1981,0.2065,0.2936,0.2895,0.2916,-0.1599,-0.153,-0.1565
28.5,0.3292,0.3271,0.2458,0.2317,0.2281,0.2299,0.2909,0.2871,0.289,-0.1476,-0.1467,-0.1471
28.6,0.3106,0.3414,0.2377,0.2471,0.2572,0.2522,0.2879,0.2846,0.2862,-0.1331,-0.1383,-0.1357
28.7,0.2883,0.3556,0.2314,0.2616,0.2853,0.2735,0.2844,0.2822,0.2833,-0.1169,-0.1277,-0.1223
28.8,0.2622,0.3699,0.2271,0.2754,0.3127,0.2941,0.2811,0.2802,0.2806,-0.0986,-0.1142,-0.1064
28.9,0.2331,0.3844,0.2246,0.2885,0.3398,0.3142,0.2787,0.279,0.2788,-0.0777,-0.0977,-0.0877
29,0.2018,0.3991,0.2239,0.3009,0.3668,0.3338,0.2776,0.279,0.2783,-0.0543,-0.0785,-0.0664
29.1,0.1691,0.4142,0.2247,0.3128,0.3936,0.3532,0.2778,0.2806,0.2792,-0.0292,-0.0577,-0.0434
29.2,0.1348,0.4304,0.2267,0.3249,0.4205,0.3727,0.2792,0.2847,0.2819,-0.0035,-0.0362,-0.0198
29.3,0.098,0.4486,0.2297,0.3381,0.4477,0.3929,0.2818,0.2921,0.287,0.0222,-0.0144,0.0039
29.4,0.0585,0.4694,0.2335,0.3529,0.4757,0.4143,0.2862,0.304,0.2951,0.048,0.0081,0.028
29.5,0.0176,0.4932,0.2385,0.3701,0.5052,0.4377,0.2928,0.3206,0.3067,0.0746,0.0318,0.0532
29.6,-0.0224,0.5201,0.2452,0.39,0.5363,0.4632,0.3018,0.3415,0.3217,0.1028,0.0573,0.08
29.7,-0.0589,0.5504,0.2538,0.4128,0.5686,0.4907,0.3131,0.3657,0.3394,0.1334,0.0844,0.1089
29.8,-0.09,0.584,0.2644,0.4389,0.6016,0.5202,0.3269,0.3924,0.3596,0.1667,0.113,0.1399
29.9,-0.1153,0.621,0.2773,0.4684,0.6349,0.5516,0.3439,0.4211,0.3825,0.2031,0.1431,0.1731
