Time,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC,Crime Stoppers - TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1209,0.8286,0.7394,0.72,0.6813,0.7007,0.7134,0.7045,0.709,0.5966,0.5256,0.5611
0.1,0.1356,0.8263,0.741,0.7283,0.6898,0.709,0.7112,0.7049,0.708,0.6111,0.5365,0.5738
0.2,0.1533,0.8236,0.7428,0.7378,0.6993,0.7186,0.7086,0.7052,0.7069,0.6243,0.5487,0.5865
0.3,0.1739,0.8209,0.745,0.7487,0.71,0.7294,0.7062,0.7054,0.7058,0.6361,0.5619,0.599
0.4,0.1959,0.8185,0.7474,0.7606,0.7216,0.7411,0.7043,0.7055,0.7049,0.6465,0.5752,0.6109
0.5,0.2173,0.8161,0.7502,0.7724,0.7337,0.7531,0.7032,0.7053,0.7042,0.6554,0.5881,0.6217
0.6,0.2361,0.8133,0.7533,0.7829,0.7456,0.7643,0.7025,0.7046,0.7036,0.6627,0.5997,0.6312
0.7,0.2515,0.8096,0.7564,0.7917,0.7567,0.7742,0.7023,0.7034,0.7028,0.6681,0.6095,0.6388
0.8,0.2633,0.805,0.7594,0.7984,0.7663,0.7824,0.7027,0.7014,0.7021,0.6716,0.6171,0.6443
0.9,0.2714,0.7993,0.762,0.803,0.7741,0.7885,0.7041,0.6989,0.7015,0.6732,0.6226,0.6479
1,0.2754,0.7924,0.7642,0.8048,0.7795,0.7922,0.7068,0.6957,0.7012,0.6736,0.6265,0.65
1.1,0.2745,0.7845,0.7659,0.8034,0.7825,0.7929,0.7109,0.6919,0.7014,0.6733,0.6294,0.6514
1.2,0.268,0.7762,0.7669,0.7987,0.7835,0.7911,0.7163,0.6877,0.702,0.6729,0.632,0.6525
1.3,0.2559,0.7684,0.7672,0.7914,0.7833,0.7874,0.7228,0.6836,0.7032,0.6728,0.6343,0.6535
1.4,0.2384,0.7624,0.7663,0.7828,0.7833,0.7831,0.7304,0.6802,0.7053,0.6731,0.6363,0.6547
1.5,0.2161,0.7592,0.7644,0.7738,0.7845,0.7792,0.7391,0.6782,0.7086,0.6741,0.6378,0.656
1.6,0.1894,0.7589,0.7618,0.7647,0.7874,0.776,0.7487,0.678,0.7133,0.6763,0.6389,0.6576
1.7,0.1587,0.7614,0.7586,0.7553,0.7917,0.7735,0.7588,0.6796,0.7192,0.6799,0.6397,0.6598
1.8,0.1252,0.7657,0.7552,0.7454,0.7968,0.7711,0.7689,0.6828,0.7259,0.6847,0.6403,0.6625
1.9,0.0909,0.7712,0.7515,0.7348,0.8022,0.7685,0.7783,0.687,0.7327,0.6906,0.6406,0.6656
2,0.0571,0.7771,0.7476,0.7238,0.8075,0.7656,0.7866,0.6916,0.7391,0.6973,0.6409,0.6691
2.1,0.0252,0.7833,0.7434,0.7126,0.8124,0.7625,0.7936,0.6963,0.7449,0.7047,0.6411,0.6729
2.2,-0.0035,0.7891,0.7393,0.7013,0.8166,0.7589,0.7991,0.7009,0.75,0.7127,0.6416,0.6772
2.3,-0.0286,0.7943,0.7355,0.69,0.8202,0.7551,0.8032,0.7056,0.7544,0.7213,0.6428,0.6821
2.4,-0.0499,0.7982,0.7324,0.6791,0.8233,0.7512,0.8059,0.7105,0.7582,0.7303,0.6449,0.6876
2.5,-0.0675,0.8007,0.7301,0.6689,0.8259,0.7474,0.8071,0.7158,0.7614,0.7393,0.648,0.6937
2.6,-0.0819,0.8016,0.7285,0.6597,0.8279,0.7438,0.8069,0.7212,0.7641,0.7479,0.6516,0.6997
2.7,-0.0938,0.8008,0.7277,0.6516,0.8293,0.7404,0.8057,0.7267,0.7662,0.7555,0.6551,0.7053
