Time,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
18.2,-0.0511,0.5812,0.7086,0.5591,0.6384,0.5988,0.6304,0.6197,0.625,0.5708,0.6446,0.6077
18.3,-0.061,0.5877,0.7134,0.5545,0.6337,0.5941,0.6293,0.615,0.6221,0.5738,0.6455,0.6097
18.4,-0.0681,0.5948,0.7158,0.5503,0.6274,0.5889,0.6286,0.6104,0.6195,0.5768,0.6457,0.6113
18.5,-0.0724,0.6022,0.7161,0.5466,0.6199,0.5832,0.6281,0.606,0.617,0.5803,0.6459,0.6131
18.6,-0.0736,0.6092,0.7145,0.5432,0.6114,0.5773,0.6272,0.6017,0.6145,0.5848,0.6464,0.6156
18.7,-0.0714,0.6155,0.7111,0.54,0.6022,0.5711,0.6259,0.5975,0.6117,0.5905,0.6475,0.619
18.8,-0.0653,0.6206,0.706,0.537,0.5921,0.5645,0.6239,0.5935,0.6087,0.5977,0.649,0.6234
18.9,-0.0548,0.6248,0.6993,0.5345,0.5809,0.5577,0.6216,0.5899,0.6058,0.6067,0.6509,0.6288
19,-0.039,0.6282,0.6916,0.5331,0.5693,0.5512,0.6189,0.587,0.603,0.6174,0.6528,0.6351
19.1,-0.0172,0.6315,0.6833,0.5334,0.558,0.5457,0.6161,0.5851,0.6006,0.6294,0.6541,0.6417
19.2,0.0105,0.6349,0.6747,0.536,0.548,0.542,0.6132,0.5842,0.5987,0.6419,0.6542,0.648
19.3,0.0433,0.6384,0.6657,0.5409,0.5402,0.5406,0.6107,0.5846,0.5977,0.6542,0.6527,0.6535
19.4,0.0792,0.6418,0.6568,0.548,0.5348,0.5414,0.609,0.5866,0.5978,0.6657,0.6498,0.6577
19.5,0.1161,0.6445,0.6483,0.5564,0.5318,0.5441,0.6085,0.5901,0.5993,0.6757,0.6457,0.6607
19.6,0.152,0.6459,0.6409,0.5654,0.5307,0.548,0.609,0.5951,0.602,0.6835,0.6411,0.6623
19.7,0.1858,0.6452,0.6353,0.5739,0.5313,0.5526,0.6104,0.6013,0.6058,0.6883,0.6357,0.662
19.8,0.2165,0.6417,0.6315,0.5809,0.5331,0.557,0.6127,0.6086,0.6106,0.6897,0.6295,0.6596
19.9,0.2427,0.6351,0.6299,0.5855,0.536,0.5607,0.6157,0.6171,0.6164,0.688,0.6222,0.6551
20,0.2632,0.6256,0.6308,0.5872,0.5397,0.5635,0.6194,0.627,0.6232,0.6843,0.6141,0.6492
20.1,0.2772,0.6141,0.6345,0.5861,0.5439,0.565,0.6242,0.6384,0.6313,0.6806,0.6061,0.6434
20.2,0.2847,0.6017,0.6412,0.5826,0.5489,0.5657,0.6306,0.6514,0.641,0.6785,0.5993,0.6389
20.3,0.286,0.5894,0.6516,0.5778,0.5548,0.5663,0.6387,0.6658,0.6523,0.6787,0.5943,0.6365
20.4,0.2819,0.5778,0.6656,0.5728,0.5616,0.5672,0.6483,0.6812,0.6648,0.6811,0.5913,0.6362
20.5,0.2738,0.5671,0.6829,0.5683,0.5693,0.5688,0.6585,0.697,0.6778,0.6854,0.5898,0.6376
20.6,0.2632,0.557,0.7028,0.5644,0.577,0.5707,0.6686,0.7125,0.6905,0.6911,0.5895,0.6403
20.7,0.2521,0.5476,0.7239,0.5612,0.5839,0.5725,0.6783,0.727,0.7026,0.6977,0.5901,0.6439
20.8,0.2421,0.5391,0.7451,0.5589,0.5891,0.574,0.688,0.7403,0.7142,0.7049,0.5915,0.6482
20.9,0.234,0.5319,0.7659,0.5581,0.5925,0.5753,0.6984,0.7524,0.7254,0.7128,0.5936,0.6532
21,0.228,0.5267,0.7863,0.5599,0.5944,0.5771,0.7099,0.7635,0.7367,0.7216,0.5968,0.6592
21.1,0.2234,0.5239,0.8064,0.5651,0.5954,0.5803,0.722,0.7736,0.7478,0.7319,0.6017,0.6668
21.2,0.2199,0.5235,0.8262,0.5738,0.5961,0.585,0.7343,0.7826,0.7584,0.7438,0.6083,0.676
21.3,0.2173,0.525,0.8451,0.5853,0.5966,0.591,0.7462,0.7897,0.768,0.7569,0.6164,0.6867
21.4,0.2157,0.5277,0.8627,0.5987,0.5967,0.5977,0.7581,0.7949,0.7765,0.7714,0.6258,0.6986
21.5,0.2151,0.5309,0.879,0.6132,0.5961,0.6046,0.7701,0.7979,0.784,0.7874,0.6364,0.7119
21.6,0.2153,0.5343,0.894,0.6282,0.5949,0.6115,0.7821,0.7991,0.7906,0.8049,0.6482,0.7265
21.7,0.2158,0.5379,0.9077,0.6436,0.5933,0.6184,0.7935,0.7985,0.796,0.8234,0.6609,0.7421
21.8,0.216,0.5416,0.9197,0.6591,0.5918,0.6254,0.8035,0.7962,0.7998,0.8419,0.6739,0.7579
21.9,0.216,0.5455,0.9293,0.6747,0.591,0.6328,0.8114,0.792,0.8017,0.8595,0.6867,0.7731
22,0.216,0.5498,0.9362,0.6903,0.5909,0.6406,0.817,0.7865,0.8018,0.8756,0.6986,0.7871
22.1,0.2164,0.5543,0.9407,0.7059,0.5916,0.6488,0.8206,0.7802,0.8004,0.8901,0.7093,0.7997
22.2,0.217,0.559,0.9435,0.7212,0.593,0.6571,0.8221,0.774,0.7981,0.9028,0.719,0.8109
22.3,0.2173,0.5636,0.9451,0.7356,0.5948,0.6652,0.8218,0.7686,0.7952,0.9135,0.7279,0.8207
22.4,0.2169,0.5676,0.9457,0.7486,0.5968,0.6727,0.8195,0.7641,0.7918,0.9217,0.7356,0.8286
22.5,0.2154,0.5708,0.9447,0.7595,0.5988,0.6792,0.8154,0.7605,0.788,0.927,0.7417,0.8343
22.6,0.213,0.5728,0.9417,0.7678,0.6004,0.6841,0.8098,0.7574,0.7836,0.9291,0.7456,0.8374
22.7,0.2099,0.5735,0.9366,0.7733,0.6011,0.6872,0.8034,0.7545,0.7789,0.928,0.7468,0.8374
22.8,0.207,0.573,0.9298,0.7762,0.6007,0.6885,0.7964,0.7516,0.774,0.9237,0.7452,0.8344
22.9,0.205,0.5714,0.9216,0.777,0.5993,0.6882,0.7895,0.749,0.7692,0.9165,0.7409,0.8287
23,0.2051,0.5689,0.9125,0.7763,0.5974,0.6869,0.7829,0.7467,0.7648,0.9065,0.7341,0.8203
23.1,0.2078,0.566,0.9025,0.7748,0.5958,0.6853,0.7772,0.7449,0.7611,0.8941,0.7251,0.8096
23.2,0.213,0.5632,0.8918,0.773,0.5951,0.6841,0.773,0.7438,0.7584,0.8796,0.7142,0.7969
23.3,0.2199,0.5616,0.881,0.7713,0.596,0.6837,0.7706,0.7436,0.7571,0.8632,0.7017,0.7824
23.4,0.2277,0.5619,0.8708,0.7702,0.599,0.6846,0.7706,0.7446,0.7576,0.8453,0.6881,0.7667
23.5,0.2359,0.5649,0.8616,0.7704,0.6044,0.6874,0.773,0.7468,0.7599,0.8263,0.674,0.7501
23.6,0.2444,0.5708,0.8531,0.7725,0.6125,0.6925,0.7778,0.75,0.7639,0.8063,0.6597,0.733
23.7,0.2533,0.5793,0.8448,0.7768,0.623,0.6999,0.7842,0.7538,0.769,0.7854,0.6454,0.7154
23.8,0.2626,0.5895,0.8357,0.7826,0.6353,0.7089,0.7918,0.7572,0.7745,0.7637,0.631,0.6973
23.9,0.272,0.6005,0.8253,0.7886,0.6481,0.7184,0.7998,0.7596,0.7797,0.7413,0.6167,0.679
24,0.2811,0.6116,0.8131,0.7941,0.6605,0.7273,0.8077,0.7605,0.7841,0.7193,0.6026,0.661
24.1,0.2889,0.6223,0.7994,0.7988,0.6723,0.7355,0.8154,0.7602,0.7878,0.6991,0.5896,0.6443
24.2,0.2949,0.6323,0.7846,0.8031,0.6835,0.7433,0.8224,0.7586,0.7905,0.682,0.5782,0.6301
24.3,0.2985,0.6413,0.7694,0.8074,0.6944,0.7509,0.8285,0.7563,0.7924,0.669,0.5692,0.6191
24.4,0.2998,0.6492,0.7544,0.8115,0.7053,0.7584,0.8334,0.7537,0.7935,0.661,0.5629,0.612
24.5,0.299,0.6556,0.7401,0.8149,0.7156,0.7652,0.8372,0.7515,0.7943,0.6584,0.5598,0.6091
24.6,0.2965,0.6602,0.7265,0.8166,0.7248,0.7707,0.8398,0.7506,0.7952,0.6608,0.5599,0.6103
24.7,0.2925,0.6632,0.7139,0.8162,0.7328,0.7745,0.8417,0.7519,0.7968,0.6677,0.5629,0.6153
24.8,0.2867,0.6645,0.7025,0.8138,0.7397,0.7768,0.8428,0.7557,0.7993,0.6786,0.5693,0.624
24.9,0.2784,0.6643,0.6928,0.8101,0.7458,0.778,0.8427,0.7624,0.8026,0.6929,0.579,0.6359
25,0.2672,0.6629,0.6849,0.8055,0.7517,0.7786,0.8413,0.7719,0.8066,0.7098,0.5918,0.6508
25.1,0.253,0.6603,0.6784,0.8005,0.7576,0.7791,0.8386,0.7841,0.8114,0.7287,0.6072,0.668
25.2,0.2356,0.6567,0.673,0.7951,0.7634,0.7792,0.8344,0.7988,0.8166,0.7489,0.6244,0.6867
25.3,0.2149,0.652,0.6685,0.789,0.7688,0.7789,0.8283,0.8149,0.8216,0.7695,0.6425,0.706
25.4,0.191,0.6462,0.665,0.7821,0.7735,0.7778,0.8199,0.8313,0.8256,0.7893,0.6606,0.725
25.5,0.1638,0.6396,0.6628,0.7741,0.7773,0.7757,0.809,0.8469,0.828,0.8079,0.678,0.7429
25.6,0.1334,0.6325,0.6621,0.7654,0.7804,0.7729,0.7963,0.8609,0.8286,0.8243,0.6941,0.7592
25.7,0.1005,0.6253,0.6625,0.7563,0.7829,0.7696,0.7826,0.8729,0.8277,0.8378,0.708,0.7729
25.8,0.0662,0.6188,0.6638,0.747,0.785,0.766,0.7682,0.8822,0.8252,0.8472,0.7189,0.783
25.9,0.0321,0.6135,0.6657,0.7379,0.7867,0.7623,0.7532,0.888,0.8206,0.8512,0.7259,0.7886
26,0,0.6102,0.6687,0.7298,0.7883,0.759,0.7377,0.8902,0.814,0.8489,0.7287,0.7888
26.1,-0.0288,0.6089,0.673,0.7232,0.7897,0.7564,0.7216,0.8889,0.8052,0.8406,0.7273,0.784
26.2,-0.0536,0.6093,0.6787,0.7183,0.7907,0.7545,0.705,0.8838,0.7944,0.8267,0.7222,0.7745
26.3,-0.0737,0.6105,0.6853,0.7148,0.7909,0.7529,0.6883,0.8751,0.7817,0.808,0.7134,0.7607
26.4,-0.0888,0.6122,0.692,0.7121,0.7895,0.7508,0.6716,0.8626,0.7671,0.785,0.7009,0.7429
26.5,-0.0988,0.6139,0.6982,0.7096,0.7862,0.7479,0.6553,0.8463,0.7508,0.7584,0.6848,0.7216
26.6,-0.1037,0.6157,0.704,0.7073,0.7811,0.7442,0.64,0.8273,0.7336,0.7292,0.6659,0.6976
26.7,-0.1039,0.6178,0.7099,0.7058,0.7748,0.7403,0.6264,0.8069,0.7167,0.6991,0.6456,0.6723
26.8,-0.0996,0.6203,0.7166,0.7055,0.768,0.7368,0.6153,0.7868,0.701,0.6697,0.6251,0.6474
26.9,-0.091,0.6233,0.7244,0.7068,0.7612,0.734,0.607,0.7683,0.6877,0.6427,0.6058,0.6243
27,-0.0788,0.6267,0.7335,0.7096,0.7546,0.7321,0.6018,0.7522,0.677,0.6186,0.5883,0.6034
27.1,-0.0634,0.6305,0.7438,0.7141,0.7484,0.7313,0.5995,0.7391,0.6693,0.5979,0.5728,0.5853
27.2,-0.0455,0.6353,0.7551,0.7206,0.7433,0.7319,0.6003,0.7296,0.6649,0.5806,0.5598,0.5702
27.3,-0.0256,0.6417,0.7676,0.7299,0.7397,0.7348,0.6042,0.7245,0.6643,0.5673,0.5498,0.5585
27.4,-0.0036,0.6502,0.781,0.7424,0.738,0.7402,0.6113,0.7244,0.6678,0.5583,0.543,0.5506
27.5,0.0206,0.6615,0.7951,0.7583,0.7384,0.7484,0.6219,0.7296,0.6758,0.5537,0.5394,0.5465
27.6,0.0472,0.6758,0.8097,0.7772,0.7408,0.759,0.6363,0.7401,0.6882,0.5533,0.539,0.5462
27.7,0.0759,0.6932,0.8248,0.7982,0.7455,0.7719,0.6547,0.7556,0.7052,0.5572,0.542,0.5496
27.8,0.1055,0.7137,0.8404,0.8205,0.7529,0.7867,0.6772,0.7758,0.7265,0.5652,0.5484,0.5568
27.9,0.1348,0.7373,0.8564,0.8431,0.7631,0.8031,0.703,0.8002,0.7516,0.5769,0.5579,0.5674
28,0.1623,0.7631,0.8722,0.8659,0.7761,0.821,0.7311,0.8276,0.7793,0.5916,0.5699,0.5807
28.1,0.1869,0.7906,0.8869,0.8885,0.7916,0.8401,0.7599,0.8565,0.8082,0.6082,0.5834,0.5958
28.2,0.2086,0.8193,0.9,0.9111,0.8092,0.8601,0.7886,0.8854,0.837,0.6262,0.598,0.6121
28.3,0.2276,0.8487,0.911,0.9333,0.8284,0.8809,0.8166,0.9128,0.8647,0.6454,0.6136,0.6295
28.4,0.2448,0.8784,0.9197,0.9546,0.8483,0.9015,0.8434,0.9377,0.8906,0.6659,0.6304,0.6481
28.5,0.2604,0.9078,0.926,0.974,0.8677,0.9209,0.8686,0.9597,0.9142,0.6877,0.6481,0.6679
28.6,0.2745,0.9354,0.9297,0.9908,0.8855,0.9381,0.8912,0.978,0.9346,0.7098,0.6658,0.6878
28.7,0.287,0.9601,0.9303,1.0045,0.901,0.9528,0.9102,0.9919,0.951,0.7312,0.6826,0.7069
28.8,0.2981,0.9814,0.9275,1.0155,0.9144,0.9649,0.9249,1.0008,0.9629,0.7505,0.6979,0.7242
28.9,0.3081,0.9991,0.9212,1.0244,0.9258,0.9751,0.9352,1.0048,0.97,0.7672,0.7113,0.7392
29,0.3173,1.0132,0.9115,1.0313,0.9354,0.9833,0.941,1.0042,0.9726,0.781,0.7229,0.7519
29.1,0.3255,1.0232,0.8986,1.0363,0.9429,0.9896,0.9423,0.9995,0.9709,0.792,0.7327,0.7623
29.2,0.3327,1.0288,0.883,1.0391,0.9478,0.9934,0.9391,0.9912,0.9652,0.8003,0.7407,0.7705
29.3,0.3392,1.0298,0.8648,1.0399,0.9497,0.9948,0.9316,0.9794,0.9555,0.8061,0.7473,0.7767
29.4,0.3456,1.0269,0.8448,1.0395,0.9494,0.9945,0.9209,0.9648,0.9428,0.8104,0.7531,0.7817
29.5,0.3514,1.021,0.8235,1.0389,0.9478,0.9934,0.9079,0.9481,0.928,0.8144,0.759,0.7867
29.6,0.3548,1.0122,0.8013,1.0383,0.9454,0.9919,0.8937,0.9299,0.9118,0.8185,0.7654,0.7919
29.7,0.3518,1,0.7793,1.0373,0.9422,0.9897,0.8788,0.9107,0.8947,0.8225,0.7724,0.7974
29.8,0.3398,0.9846,0.7588,1.0355,0.9381,0.9868,0.8626,0.8908,0.8767,0.8261,0.7799,0.803
29.9,0.3183,0.9665,0.741,1.0322,0.9327,0.9825,0.845,0.8709,0.858,0.8292,0.7875,0.8084
