Time,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.6,0.1334,0.7256,0.7152,0.7903,0.5763,0.6833,0.7963,0.6289,0.7126,0.7765,0.7472,0.7619
27.7,0.1067,0.7355,0.6929,0.7821,0.5889,0.6855,0.7709,0.6236,0.6972,0.7693,0.7321,0.7507
27.8,0.0761,0.7445,0.6713,0.7741,0.6015,0.6878,0.7452,0.6207,0.683,0.7601,0.7156,0.7378
27.9,0.043,0.7521,0.6506,0.7654,0.6131,0.6893,0.7206,0.6208,0.6707,0.7494,0.6983,0.7239
28,0.0095,0.7584,0.6311,0.7556,0.6232,0.6894,0.6979,0.6239,0.6609,0.7374,0.6806,0.709
28.1,-0.0234,0.7634,0.6131,0.7447,0.6318,0.6883,0.6777,0.6294,0.6535,0.7238,0.6624,0.6931
28.2,-0.0552,0.7671,0.5966,0.7325,0.6392,0.6859,0.6603,0.6362,0.6482,0.7082,0.643,0.6756
28.3,-0.0858,0.7691,0.581,0.7185,0.6456,0.6821,0.6461,0.6432,0.6446,0.6904,0.6226,0.6565
28.4,-0.1149,0.7689,0.5663,0.7019,0.6506,0.6762,0.6349,0.6496,0.6423,0.6706,0.6016,0.6361
28.5,-0.1418,0.766,0.5524,0.6817,0.6532,0.6675,0.626,0.655,0.6405,0.6493,0.5812,0.6152
28.6,-0.1648,0.7602,0.5396,0.6578,0.653,0.6554,0.6188,0.659,0.6389,0.6267,0.5619,0.5943
28.7,-0.1823,0.7514,0.528,0.6307,0.6501,0.6404,0.6127,0.6621,0.6374,0.6031,0.5444,0.5738
28.8,-0.1932,0.7393,0.5178,0.6014,0.6454,0.6234,0.6077,0.6643,0.636,0.579,0.5288,0.5539
28.9,-0.1977,0.7238,0.5089,0.571,0.6398,0.6054,0.6039,0.6658,0.6349,0.5552,0.5154,0.5353
29,-0.1972,0.7053,0.501,0.5409,0.6343,0.5876,0.6013,0.6668,0.6341,0.5324,0.5042,0.5183
29.1,-0.1939,0.6843,0.4936,0.5127,0.6296,0.5712,0.5995,0.667,0.6332,0.5111,0.4952,0.5032
29.2,-0.189,0.6614,0.4865,0.4878,0.6258,0.5568,0.5977,0.6658,0.6317,0.4916,0.4888,0.4902
29.3,-0.1839,0.637,0.4792,0.4668,0.6224,0.5446,0.5952,0.663,0.6291,0.474,0.4851,0.4796
29.4,-0.1797,0.611,0.4715,0.4494,0.6189,0.5341,0.5915,0.6582,0.6249,0.4584,0.4844,0.4714
29.5,-0.1772,0.5836,0.4633,0.4348,0.6146,0.5247,0.5864,0.6512,0.6188,0.4449,0.4864,0.4656
29.6,-0.177,0.5549,0.4544,0.4229,0.6093,0.5161,0.5799,0.6419,0.6109,0.4333,0.4904,0.4618
29.7,-0.1785,0.5252,0.4443,0.4135,0.6028,0.5081,0.5719,0.6301,0.601,0.4234,0.4955,0.4594
29.8,-0.1811,0.4945,0.4331,0.407,0.5948,0.5009,0.5626,0.6163,0.5895,0.4148,0.5006,0.4577
29.9,-0.1838,0.463,0.4212,0.4038,0.5853,0.4945,0.5524,0.6015,0.5769,0.4072,0.5048,0.456
