Time,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1,Subway - Low n Slow Pulled Pork Sub 15 Client TVC Viewing 1
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
4.2,0.1937,0.4136,0.4689,0.494,0.3091,0.4016,0.4603,0.3011,0.3807,0.3648,0.2805,0.3226
4.3,0.1826,0.4085,0.4617,0.5061,0.3124,0.4092,0.4687,0.3015,0.3851,0.3659,0.2775,0.3217
4.4,0.1704,0.4048,0.4544,0.5174,0.3177,0.4176,0.478,0.3064,0.3922,0.3675,0.2743,0.3209
4.5,0.1567,0.4031,0.4465,0.5279,0.3256,0.4268,0.4878,0.3151,0.4014,0.3689,0.2702,0.3195
4.6,0.1413,0.404,0.4374,0.5376,0.3368,0.4372,0.498,0.3268,0.4124,0.3694,0.2645,0.317
4.7,0.1244,0.4077,0.4265,0.5464,0.3513,0.4488,0.5082,0.3405,0.4243,0.3693,0.2577,0.3135
4.8,0.107,0.4137,0.4133,0.5539,0.3683,0.4611,0.5179,0.3555,0.4367,0.3692,0.2505,0.3098
4.9,0.0904,0.4208,0.3978,0.5593,0.387,0.4732,0.5265,0.3709,0.4487,0.3696,0.2436,0.3066
5,0.0756,0.4282,0.3804,0.5615,0.4067,0.4841,0.5332,0.3856,0.4594,0.3703,0.2371,0.3037
5.1,0.0629,0.4352,0.3611,0.56,0.427,0.4935,0.5373,0.3987,0.468,0.3707,0.2307,0.3007
5.2,0.0525,0.4417,0.3402,0.5551,0.4477,0.5014,0.5388,0.4093,0.4741,0.37,0.2239,0.297
5.3,0.0442,0.4477,0.3178,0.5475,0.4687,0.5081,0.538,0.4172,0.4776,0.3682,0.2171,0.2927
5.4,0.0383,0.4531,0.2947,0.5379,0.4891,0.5135,0.5349,0.4217,0.4783,0.3654,0.2108,0.2881
5.5,0.0354,0.4575,0.272,0.527,0.5083,0.5176,0.5294,0.4224,0.4759,0.3621,0.2053,0.2837
5.6,0.0356,0.4603,0.2507,0.5151,0.5252,0.5201,0.5212,0.4188,0.47,0.3583,0.2005,0.2794
