Time,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
28.9,-0.2689,0.536,0.5733,0.3601,0.1113,0.2357,0.9677,0.2427,0.6052,0.5369,0.358,0.4475
29,-0.1473,0.5363,0.5806,0.3952,0.1142,0.2547,0.925,0.246,0.5855,0.5306,0.3415,0.4361
29.1,-0.0338,0.5295,0.5834,0.4242,0.1169,0.2705,0.8729,0.2487,0.5608,0.5177,0.3218,0.4198
29.2,0.0669,0.5163,0.5809,0.447,0.1184,0.2827,0.8135,0.2491,0.5313,0.4979,0.2988,0.3983
29.3,0.1521,0.4983,0.5727,0.4643,0.1184,0.2913,0.7495,0.247,0.4983,0.4718,0.2732,0.3725
29.4,0.2208,0.477,0.5591,0.4776,0.1179,0.2978,0.6842,0.2437,0.464,0.4401,0.246,0.3431
29.5,0.2727,0.4544,0.5413,0.4885,0.1185,0.3035,0.6209,0.2412,0.4311,0.4039,0.2185,0.3112
29.6,0.3082,0.432,0.5208,0.4977,0.1209,0.3093,0.5626,0.24,0.4013,0.364,0.1911,0.2775
29.7,0.3277,0.4107,0.4987,0.5054,0.1258,0.3156,0.5114,0.2393,0.3753,0.3218,0.1645,0.2432
29.8,0.3329,0.3913,0.4759,0.5118,0.1339,0.3229,0.4679,0.2386,0.3533,0.2793,0.1397,0.2095
29.9,0.3265,0.374,0.4535,0.5168,0.1454,0.3311,0.432,0.2374,0.3347,0.2392,0.1186,0.1789
