Time,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC,Tourism Australia - Come and Say Gday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
16.5,0.3417,0.6855,0.4983,0.826,0.5834,0.7047,0.6259,0.6161,0.621,0.6914,0.882,0.7867
16.6,0.3388,0.6777,0.4731,0.812,0.5737,0.6929,0.625,0.613,0.619,0.6476,0.8677,0.7576
16.7,0.3312,0.6685,0.4516,0.7966,0.5643,0.6804,0.6228,0.6136,0.6182,0.6082,0.8517,0.7299
16.8,0.3188,0.6578,0.4345,0.7795,0.5551,0.6673,0.6195,0.6167,0.6181,0.5744,0.8344,0.7044
16.9,0.3008,0.6459,0.4221,0.7612,0.5468,0.654,0.6152,0.6214,0.6183,0.5467,0.8166,0.6817
17,0.277,0.6336,0.4143,0.7425,0.5398,0.6411,0.6101,0.6272,0.6186,0.5251,0.7987,0.6619
17.1,0.2483,0.6216,0.4103,0.7238,0.5343,0.6291,0.604,0.6338,0.6189,0.5092,0.781,0.6451
17.2,0.2153,0.61,0.4093,0.7053,0.5297,0.6175,0.5966,0.6407,0.6187,0.4984,0.7635,0.631
17.3,0.1781,0.5984,0.4108,0.6864,0.525,0.6057,0.5876,0.6472,0.6174,0.4914,0.7463,0.6189
17.4,0.1369,0.5863,0.4141,0.6658,0.5192,0.5925,0.5768,0.6525,0.6146,0.4872,0.7291,0.6081
17.5,0.0917,0.5738,0.4179,0.6432,0.5122,0.5777,0.5649,0.656,0.6104,0.4847,0.712,0.5983
17.6,0.0426,0.5613,0.4209,0.6194,0.5043,0.5619,0.5522,0.658,0.6051,0.4832,0.6951,0.5891
17.7,-0.0092,0.5495,0.4212,0.5955,0.4958,0.5457,0.5397,0.6588,0.5993,0.4817,0.6786,0.5802
17.8,-0.0621,0.539,0.4182,0.5725,0.4869,0.5297,0.5281,0.6585,0.5933,0.4799,0.6623,0.5711
17.9,-0.1145,0.5307,0.4119,0.5511,0.478,0.5146,0.5176,0.657,0.5873,0.4776,0.6457,0.5616
18,-0.1644,0.5252,0.4026,0.5322,0.4701,0.5012,0.508,0.6539,0.581,0.4747,0.6286,0.5516
18.1,-0.21,0.5227,0.3905,0.5157,0.4637,0.4897,0.4993,0.6489,0.5741,0.4712,0.6115,0.5414
18.2,-0.2499,0.5234,0.3763,0.5015,0.4584,0.4799,0.4913,0.6413,0.5663,0.4671,0.5952,0.5312
18.3,-0.2828,0.5267,0.3603,0.4889,0.4538,0.4714,0.4836,0.631,0.5573,0.4621,0.58,0.521
18.4,-0.3075,0.5314,0.3439,0.4778,0.4493,0.4635,0.4759,0.6182,0.547,0.4561,0.5654,0.5107
18.5,-0.3235,0.5363,0.3283,0.4681,0.4447,0.4564,0.4678,0.6027,0.5352,0.4492,0.5509,0.5
18.6,-0.3314,0.5406,0.315,0.4597,0.4404,0.45,0.4591,0.5846,0.5218,0.4417,0.5366,0.4892
18.7,-0.3322,0.5442,0.304,0.4524,0.4366,0.4445,0.4498,0.5637,0.5067,0.4339,0.5234,0.4786
18.8,-0.3274,0.5478,0.295,0.446,0.4337,0.4398,0.4402,0.5397,0.49,0.4255,0.512,0.4687
18.9,-0.3185,0.5515,0.2875,0.4406,0.4317,0.4362,0.4308,0.5129,0.4719,0.4168,0.5031,0.4599
19,-0.3055,0.5547,0.2813,0.4366,0.4309,0.4337,0.422,0.4836,0.4528,0.4086,0.4965,0.4526
19.1,-0.2881,0.5566,0.2768,0.4343,0.4314,0.4328,0.4138,0.4526,0.4332,0.402,0.4924,0.4472
19.2,-0.2652,0.5565,0.2739,0.4334,0.4332,0.4333,0.4057,0.4203,0.413,0.3977,0.4913,0.4445
19.3,-0.2364,0.5539,0.2721,0.4333,0.4361,0.4347,0.3969,0.3866,0.3918,0.3964,0.4933,0.4448
19.4,-0.2021,0.5489,0.2712,0.434,0.4404,0.4372,0.387,0.3514,0.3692,0.3987,0.4982,0.4484
19.5,-0.1638,0.5418,0.2719,0.4355,0.4456,0.4406,0.3761,0.3154,0.3458,0.4053,0.5058,0.4555
19.6,-0.1239,0.5331,0.2751,0.4383,0.451,0.4446,0.3647,0.2801,0.3224,0.4171,0.5164,0.4668
19.7,-0.0848,0.5236,0.2812,0.443,0.4561,0.4495,0.3528,0.2474,0.3001,0.4348,0.5304,0.4826
19.8,-0.0494,0.5144,0.2899,0.4497,0.4614,0.4555,0.3405,0.2185,0.2795,0.4584,0.547,0.5027
19.9,-0.0207,0.506,0.3007,0.458,0.4677,0.4629,0.3275,0.1937,0.2606,0.4868,0.5636,0.5252
20,-0.0006,0.4989,0.3129,0.4678,0.4754,0.4716,0.3137,0.1731,0.2434,0.5184,0.5775,0.5479
20.1,0.0107,0.4936,0.3267,0.4787,0.4837,0.4812,0.2991,0.1562,0.2277,0.5513,0.5864,0.5689
20.2,0.0126,0.4903,0.342,0.4899,0.492,0.4909,0.2838,0.1429,0.2133,0.5839,0.59,0.587
20.3,0.0056,0.4894,0.3582,0.5007,0.4995,0.5001,0.268,0.1328,0.2004,0.6146,0.5885,0.6015
20.4,-0.0088,0.4913,0.374,0.5107,0.5059,0.5083,0.2522,0.1261,0.1892,0.6416,0.582,0.6118
20.5,-0.0285,0.4959,0.3883,0.519,0.5102,0.5146,0.2372,0.1231,0.1801,0.6635,0.57,0.6168
20.6,-0.0522,0.5027,0.4004,0.5243,0.5116,0.5179,0.2234,0.1232,0.1733,0.6788,0.5523,0.6156
20.7,-0.0788,0.5111,0.4104,0.5252,0.5092,0.5172,0.211,0.1262,0.1686,0.6875,0.5298,0.6087
20.8,-0.1078,0.5204,0.4187,0.5213,0.5037,0.5125,0.2003,0.1321,0.1662,0.6907,0.5047,0.5977
20.9,-0.1387,0.5303,0.4259,0.5137,0.4968,0.5053,0.1918,0.1411,0.1664,0.6902,0.4792,0.5847
21,-0.1701,0.5403,0.4318,0.5042,0.4898,0.497,0.1858,0.1534,0.1696,0.6875,0.4546,0.571
21.1,-0.1995,0.5499,0.4357,0.4935,0.4832,0.4884,0.1822,0.1688,0.1755,0.6834,0.4314,0.5574
21.2,-0.224,0.5588,0.4373,0.4814,0.4771,0.4793,0.1803,0.1865,0.1834,0.6787,0.4104,0.5445
21.3,-0.2418,0.5666,0.4369,0.4675,0.4718,0.4696,0.1795,0.2054,0.1924,0.674,0.3928,0.5334
21.4,-0.2527,0.5727,0.4351,0.4517,0.4682,0.4599,0.1793,0.2247,0.202,0.6702,0.3799,0.525
21.5,-0.2567,0.5767,0.4321,0.4345,0.4666,0.4505,0.1805,0.2443,0.2124,0.6684,0.3727,0.5205
21.6,-0.2532,0.5786,0.4287,0.4172,0.4669,0.4421,0.1836,0.2646,0.2241,0.6691,0.3714,0.5202
21.7,-0.2407,0.5785,0.4255,0.4014,0.4691,0.4352,0.1893,0.2863,0.2378,0.6723,0.3759,0.5241
21.8,-0.218,0.5764,0.423,0.3883,0.4733,0.4308,0.1977,0.31,0.2538,0.6775,0.3861,0.5318
21.9,-0.1849,0.5723,0.4217,0.3788,0.48,0.4294,0.2085,0.3354,0.2719,0.6841,0.4021,0.5431
22,-0.1432,0.5666,0.4215,0.3728,0.489,0.4309,0.2217,0.362,0.2918,0.6917,0.4235,0.5576
22.1,-0.096,0.5601,0.4228,0.371,0.4999,0.4354,0.2378,0.3895,0.3137,0.7003,0.4501,0.5752
22.2,-0.0465,0.5537,0.4266,0.374,0.5117,0.4429,0.2575,0.4187,0.3381,0.7101,0.4813,0.5957
22.3,0.0025,0.5475,0.4348,0.3825,0.5243,0.4534,0.281,0.4504,0.3657,0.7207,0.5165,0.6186
22.4,0.0502,0.5414,0.4482,0.3973,0.5371,0.4672,0.3081,0.4847,0.3964,0.7313,0.5548,0.6431
22.5,0.0961,0.5355,0.4666,0.4186,0.5496,0.4841,0.3379,0.5204,0.4291,0.7406,0.5945,0.6676
22.6,0.1392,0.5306,0.489,0.4458,0.5608,0.5033,0.3695,0.5552,0.4624,0.748,0.6334,0.6907
22.7,0.1779,0.5277,0.5141,0.4778,0.5703,0.5241,0.4028,0.5874,0.4951,0.7535,0.6696,0.7115
22.8,0.2103,0.5277,0.5411,0.5134,0.5791,0.5462,0.4376,0.6157,0.5266,0.7573,0.7021,0.7297
22.9,0.2358,0.5305,0.569,0.5505,0.5873,0.5689,0.4727,0.6394,0.5561,0.7598,0.7304,0.7451
23,0.2555,0.5358,0.5959,0.587,0.5949,0.5909,0.5067,0.658,0.5824,0.7611,0.7536,0.7574
23.1,0.2715,0.5427,0.6196,0.6205,0.601,0.6108,0.5377,0.6706,0.6042,0.7608,0.7705,0.7656
23.2,0.2847,0.5507,0.6391,0.6494,0.605,0.6272,0.5647,0.6767,0.6207,0.759,0.7804,0.7697
23.3,0.2948,0.5592,0.6548,0.6733,0.6063,0.6398,0.5884,0.6767,0.6325,0.7563,0.7844,0.7704
23.4,0.3017,0.5674,0.668,0.6925,0.6046,0.6485,0.6092,0.6716,0.6404,0.7531,0.7845,0.7688
23.5,0.3053,0.575,0.6791,0.7067,0.5999,0.6533,0.6272,0.6618,0.6445,0.7494,0.7827,0.7661
23.6,0.3045,0.5815,0.6876,0.7152,0.5929,0.654,0.6421,0.6472,0.6446,0.745,0.7801,0.7626
23.7,0.2989,0.5864,0.6927,0.7178,0.5838,0.6508,0.6534,0.6277,0.6406,0.7398,0.7771,0.7584
23.8,0.2887,0.5894,0.6947,0.7152,0.5731,0.6442,0.6616,0.6044,0.633,0.7337,0.774,0.7538
23.9,0.2742,0.5902,0.6942,0.708,0.5613,0.6347,0.6673,0.5793,0.6233,0.7272,0.7714,0.7493
24,0.2545,0.5882,0.6919,0.6964,0.549,0.6227,0.6705,0.5536,0.612,0.7209,0.7702,0.7455
24.1,0.229,0.5828,0.6878,0.6801,0.5367,0.6084,0.6706,0.5283,0.5995,0.7151,0.7708,0.7429
24.2,0.1976,0.5744,0.6821,0.6597,0.5251,0.5924,0.6673,0.5041,0.5857,0.7101,0.7734,0.7418
24.3,0.1627,0.5644,0.6752,0.6373,0.515,0.5762,0.6611,0.4818,0.5715,0.7064,0.778,0.7422
24.4,0.1286,0.5545,0.6675,0.6153,0.5065,0.5609,0.6528,0.4627,0.5577,0.7039,0.7843,0.7441
24.5,0.0996,0.546,0.6592,0.5959,0.5,0.5479,0.6437,0.4477,0.5457,0.7026,0.7924,0.7475
24.6,0.0783,0.5403,0.6502,0.5804,0.4954,0.5379,0.635,0.4375,0.5362,0.7021,0.802,0.7521
24.7,0.0646,0.5382,0.6403,0.5695,0.4923,0.5309,0.6274,0.4319,0.5296,0.7022,0.8123,0.7573
24.8,0.0577,0.5402,0.629,0.5637,0.4905,0.5271,0.6213,0.4306,0.526,0.7021,0.8226,0.7624
24.9,0.0573,0.5463,0.6166,0.5636,0.49,0.5268,0.617,0.4334,0.5252,0.7014,0.8318,0.7666
25,0.0643,0.5562,0.6034,0.5697,0.4911,0.5304,0.6147,0.4398,0.5273,0.6989,0.8391,0.769
25.1,0.0788,0.5692,0.5901,0.5818,0.4939,0.5379,0.6151,0.4493,0.5322,0.6932,0.8431,0.7682
25.2,0.0991,0.5845,0.577,0.5984,0.4986,0.5485,0.6182,0.4608,0.5395,0.6832,0.8428,0.763
25.3,0.1219,0.601,0.5645,0.6175,0.5046,0.561,0.6237,0.4734,0.5485,0.6684,0.8375,0.7529
25.4,0.1438,0.6179,0.5535,0.6373,0.5113,0.5743,0.6313,0.4865,0.5589,0.6496,0.8276,0.7386
25.5,0.1629,0.6345,0.5454,0.6574,0.5189,0.5882,0.6407,0.5001,0.5704,0.6284,0.8141,0.7213
25.6,0.1797,0.6502,0.5406,0.6773,0.5279,0.6026,0.6514,0.5144,0.5829,0.6066,0.7978,0.7022
25.7,0.1956,0.6639,0.5385,0.6962,0.5381,0.6172,0.6619,0.5286,0.5952,0.5846,0.7784,0.6815
25.8,0.2118,0.6749,0.5376,0.7127,0.5489,0.6308,0.6704,0.5414,0.6059,0.5625,0.7551,0.6588
25.9,0.2281,0.6829,0.5369,0.7261,0.5595,0.6428,0.6756,0.5516,0.6136,0.5407,0.7281,0.6344
26,0.2435,0.6881,0.5365,0.7356,0.5692,0.6524,0.6769,0.5587,0.6178,0.52,0.699,0.6095
26.1,0.2567,0.69,0.5372,0.7407,0.5775,0.6591,0.6741,0.5626,0.6184,0.5018,0.6708,0.5863
26.2,0.2673,0.6879,0.5398,0.7411,0.5838,0.6624,0.6671,0.5641,0.6156,0.4868,0.6461,0.5664
26.3,0.2764,0.681,0.5437,0.7367,0.5874,0.6621,0.6547,0.5633,0.609,0.4747,0.6259,0.5503
26.4,0.2828,0.6691,0.5482,0.7282,0.5876,0.6579,0.636,0.5603,0.5982,0.4649,0.6099,0.5374
26.5,0.2839,0.653,0.5525,0.7163,0.5843,0.6503,0.6107,0.5551,0.5829,0.4569,0.5976,0.5272
26.6,0.2777,0.6336,0.5563,0.7018,0.5787,0.6402,0.5787,0.5479,0.5633,0.4506,0.5885,0.5195
26.7,0.2638,0.6119,0.5591,0.6853,0.5717,0.6285,0.5406,0.5387,0.5397,0.4459,0.5821,0.514
26.8,0.2437,0.5887,0.5603,0.6671,0.564,0.6155,0.4967,0.5278,0.5123,0.4424,0.5783,0.5104
26.9,0.2194,0.565,0.5588,0.647,0.5557,0.6014,0.448,0.5156,0.4818,0.4399,0.5769,0.5084
27,0.1921,0.5413,0.554,0.6249,0.5467,0.5858,0.3964,0.503,0.4497,0.4388,0.5774,0.5081
27.1,0.1632,0.5178,0.5464,0.6011,0.537,0.569,0.3448,0.4913,0.418,0.4403,0.5796,0.5099
27.2,0.1335,0.4943,0.5363,0.5758,0.5268,0.5513,0.2952,0.4813,0.3883,0.4449,0.5831,0.514
27.3,0.1038,0.4709,0.523,0.5489,0.5167,0.5328,0.2489,0.4735,0.3612,0.4524,0.5873,0.5199
27.4,0.0737,0.4477,0.5055,0.5203,0.5071,0.5137,0.2062,0.4674,0.3368,0.4618,0.5913,0.5265
27.5,0.0422,0.4256,0.4827,0.4902,0.4977,0.4939,0.1677,0.4629,0.3153,0.4717,0.5947,0.5332
27.6,0.0091,0.4047,0.4547,0.4596,0.4881,0.4739,0.1346,0.4598,0.2972,0.4812,0.5975,0.5393
27.7,-0.025,0.3846,0.4223,0.4296,0.4781,0.4539,0.1081,0.4583,0.2832,0.4897,0.5996,0.5446
27.8,-0.0595,0.3652,0.3862,0.4009,0.4678,0.4344,0.0889,0.4584,0.2736,0.4968,0.601,0.5489
27.9,-0.0948,0.3466,0.3469,0.3738,0.4574,0.4156,0.0769,0.4597,0.2683,0.5017,0.6017,0.5517
28,-0.1312,0.3298,0.3055,0.3485,0.4473,0.3979,0.0713,0.4618,0.2665,0.5038,0.6024,0.5531
28.1,-0.1688,0.3149,0.2639,0.3252,0.4378,0.3815,0.0707,0.4641,0.2674,0.5031,0.604,0.5536
28.2,-0.2064,0.3012,0.2247,0.3046,0.4294,0.367,0.0737,0.4662,0.2699,0.4998,0.6069,0.5534
28.3,-0.2425,0.2883,0.1902,0.2871,0.4228,0.355,0.0794,0.4674,0.2734,0.4941,0.6109,0.5525
28.4,-0.2764,0.2763,0.1625,0.2735,0.4181,0.3458,0.0874,0.468,0.2777,0.4862,0.6152,0.5507
28.5,-0.3088,0.2661,0.1425,0.2638,0.415,0.3394,0.0972,0.4683,0.2827,0.4764,0.6197,0.548
28.6,-0.3399,0.2577,0.1307,0.2578,0.4132,0.3355,0.1076,0.4682,0.2879,0.4657,0.6245,0.5451
28.7,-0.3682,0.2509,0.1267,0.2547,0.4121,0.3334,0.117,0.4675,0.2922,0.4549,0.6299,0.5424
28.8,-0.391,0.2454,0.1292,0.2543,0.4116,0.3329,0.1239,0.4655,0.2947,0.4446,0.6353,0.54
28.9,-0.4049,0.2426,0.1365,0.2569,0.4121,0.3345,0.1282,0.4624,0.2953,0.4348,0.6399,0.5374
29,-0.4066,0.2442,0.1469,0.263,0.4147,0.3388,0.1308,0.4588,0.2948,0.4249,0.6427,0.5338
29.1,-0.395,0.2515,0.1587,0.2723,0.4201,0.3462,0.132,0.4553,0.2936,0.4137,0.6431,0.5284
29.2,-0.3707,0.265,0.1712,0.2842,0.4287,0.3564,0.132,0.4522,0.2921,0.4008,0.6409,0.5209
29.3,-0.3347,0.2847,0.184,0.2983,0.4406,0.3695,0.131,0.4496,0.2903,0.3868,0.6365,0.5116
29.4,-0.2878,0.3102,0.197,0.3151,0.4555,0.3853,0.1291,0.4482,0.2886,0.3734,0.6301,0.5018
29.5,-0.2307,0.3414,0.2096,0.3351,0.4736,0.4044,0.1272,0.4486,0.2879,0.3625,0.6219,0.4922
29.6,-0.1655,0.3775,0.2202,0.3587,0.4956,0.4272,0.1258,0.4511,0.2885,0.355,0.6115,0.4832
29.7,-0.0963,0.4168,0.2271,0.3862,0.522,0.4541,0.125,0.4556,0.2903,0.3503,0.5983,0.4743
29.8,-0.0288,0.4573,0.2291,0.4173,0.5532,0.4852,0.1249,0.4619,0.2934,0.3472,0.582,0.4646
29.9,0.0327,0.4976,0.2264,0.452,0.5891,0.5205,0.1263,0.47,0.2982,0.3453,0.5632,0.4543
