Time,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee,Coffee Club - Coffee
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1052,0.6434,0.6448,0.5827,0.783,0.6829,0.652,0.714,0.683,0.6152,0.6753,0.6452
0.1,0.0964,0.6542,0.6358,0.5901,0.7985,0.6943,0.6574,0.7245,0.6909,0.6142,0.661,0.6376
0.2,0.0883,0.6661,0.6282,0.6006,0.8143,0.7074,0.6644,0.7356,0.7,0.6147,0.6495,0.6321
0.3,0.0823,0.6785,0.6227,0.6136,0.8297,0.7217,0.6727,0.7471,0.7099,0.6167,0.641,0.6289
0.4,0.0795,0.6908,0.6194,0.6289,0.8443,0.7366,0.682,0.7586,0.7203,0.6203,0.6354,0.6278
0.5,0.0805,0.7025,0.6186,0.6458,0.8579,0.7519,0.6922,0.7697,0.731,0.6256,0.6325,0.629
0.6,0.0852,0.7135,0.6206,0.664,0.8703,0.7672,0.7033,0.7804,0.7419,0.6331,0.6322,0.6326
0.7,0.0926,0.7235,0.6252,0.6825,0.8811,0.7818,0.7155,0.7904,0.753,0.643,0.6343,0.6386
0.8,0.1024,0.7323,0.6321,0.7005,0.8901,0.7953,0.729,0.7996,0.7643,0.6552,0.6383,0.6467
0.9,0.1144,0.7396,0.641,0.7172,0.897,0.8071,0.7435,0.808,0.7757,0.6697,0.6439,0.6568
1,0.1295,0.7454,0.6512,0.7324,0.9015,0.817,0.7584,0.8154,0.7869,0.6859,0.6507,0.6683
1.1,0.1481,0.7496,0.6616,0.7459,0.9036,0.8247,0.7732,0.8217,0.7974,0.7025,0.6576,0.68
1.2,0.1701,0.7525,0.671,0.7575,0.9034,0.8304,0.7872,0.8263,0.8068,0.7179,0.6636,0.6907
1.3,0.1941,0.7546,0.6787,0.7672,0.9012,0.8342,0.8002,0.8291,0.8147,0.7311,0.6679,0.6995
1.4,0.2183,0.7564,0.6843,0.7753,0.8975,0.8364,0.8117,0.8302,0.8209,0.7418,0.6704,0.7061
1.5,0.2412,0.7581,0.6881,0.7818,0.8924,0.8371,0.8209,0.8298,0.8253,0.7498,0.6716,0.7107
