Time,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
27.7,-0.1955,0.4847,0.5819,0.5853,0.5808,0.583,0.6664,0.6694,0.6679,0.6965,0.8123,0.7544
27.8,-0.2004,0.4868,0.5821,0.5908,0.5707,0.5807,0.6879,0.668,0.6779,0.712,0.8245,0.7682
27.9,-0.199,0.4873,0.5784,0.5997,0.5624,0.5811,0.7088,0.6658,0.6873,0.7253,0.8346,0.78
28,-0.1921,0.4864,0.5705,0.6112,0.556,0.5836,0.7281,0.6627,0.6954,0.7352,0.8419,0.7886
28.1,-0.1811,0.4835,0.5583,0.6237,0.5508,0.5872,0.7437,0.6577,0.7007,0.7395,0.8449,0.7922
28.2,-0.1671,0.478,0.5422,0.6358,0.546,0.5909,0.754,0.6498,0.7019,0.7364,0.8416,0.789
28.3,-0.1515,0.4694,0.5235,0.6471,0.5409,0.594,0.7585,0.6387,0.6986,0.7259,0.8311,0.7785
28.4,-0.1364,0.4579,0.5037,0.658,0.5353,0.5966,0.7575,0.6249,0.6912,0.7097,0.8146,0.7621
28.5,-0.1238,0.4447,0.4844,0.6686,0.529,0.5988,0.7521,0.6093,0.6807,0.6909,0.794,0.7425
28.6,-0.1155,0.4301,0.4667,0.6786,0.5218,0.6002,0.7431,0.5925,0.6678,0.6724,0.7713,0.7219
28.7,-0.112,0.4144,0.4512,0.6878,0.5133,0.6006,0.731,0.5748,0.6529,0.6557,0.7481,0.7019
28.8,-0.113,0.3969,0.4378,0.6952,0.503,0.5991,0.7163,0.5568,0.6365,0.6412,0.7251,0.6832
28.9,-0.1185,0.3764,0.4268,0.6996,0.4898,0.5947,0.6996,0.5386,0.6191,0.6298,0.7036,0.6667
29,-0.1285,0.3525,0.4185,0.6997,0.4731,0.5864,0.6819,0.5207,0.6013,0.6222,0.6847,0.6535
29.1,-0.1437,0.3251,0.4135,0.6948,0.4526,0.5737,0.664,0.5037,0.5838,0.6197,0.6699,0.6448
29.2,-0.165,0.2949,0.412,0.6844,0.4281,0.5562,0.6465,0.4878,0.5671,0.6222,0.6595,0.6409
29.3,-0.1926,0.2627,0.4132,0.6688,0.4001,0.5345,0.6307,0.4731,0.5519,0.6288,0.6531,0.641
29.4,-0.2245,0.2302,0.4169,0.6495,0.3695,0.5095,0.6176,0.46,0.5388,0.638,0.65,0.644
29.5,-0.2578,0.1994,0.4227,0.6278,0.3379,0.4828,0.6075,0.4483,0.5279,0.649,0.6497,0.6493
29.6,-0.291,0.1725,0.4303,0.6048,0.3074,0.4561,0.5997,0.4378,0.5187,0.6611,0.652,0.6566
29.7,-0.3245,0.1512,0.4392,0.5812,0.2806,0.4309,0.5925,0.4281,0.5103,0.674,0.6572,0.6656
29.8,-0.3596,0.1369,0.4486,0.5579,0.2596,0.4087,0.5847,0.4189,0.5018,0.6875,0.665,0.6762
29.9,-0.3961,0.1301,0.4571,0.5353,0.2446,0.39,0.5755,0.4092,0.4923,0.7007,0.6747,0.6877
