Time,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC,Virgin Money - Lock Saver 30 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3416,1.1481,0.9474,1.235,1.2449,1.2399,0.9654,1.0218,0.9936,0.6493,0.4742,0.5618
0.1,-0.3284,1.1475,0.9734,1.2105,1.2454,1.228,0.9674,1.0338,1.0006,0.6089,0.4823,0.5456
0.2,-0.3143,1.1415,0.9908,1.185,1.2355,1.2102,0.9627,1.0358,0.9993,0.5709,0.4878,0.5294
0.3,-0.2986,1.1308,1.0009,1.1586,1.2175,1.188,0.9525,1.0304,0.9915,0.5352,0.4905,0.5129
0.4,-0.281,1.1161,1.0043,1.1316,1.1928,1.1622,0.938,1.0192,0.9786,0.5011,0.4904,0.4958
0.5,-0.2609,1.098,1.0013,1.1043,1.1624,1.1333,0.9204,1.0029,0.9617,0.4686,0.4876,0.4781
0.6,-0.2381,1.0772,0.9926,1.0765,1.1267,1.1016,0.9008,0.9822,0.9415,0.4381,0.4826,0.4604
0.7,-0.2125,1.0541,0.9791,1.0484,1.0867,1.0675,0.8799,0.9575,0.9187,0.4099,0.4758,0.4429
0.8,-0.1845,1.0293,0.9617,1.0203,1.0435,1.0319,0.8578,0.9294,0.8936,0.3841,0.4676,0.4259
0.9,-0.1549,1.0032,0.9413,0.9928,0.9986,0.9957,0.8345,0.8986,0.8665,0.3603,0.4583,0.4093
1,-0.1241,0.9765,0.9189,0.9664,0.9533,0.9598,0.81,0.8659,0.838,0.3384,0.4482,0.3933
1.1,-0.0924,0.9497,0.8959,0.9416,0.9086,0.9251,0.7849,0.8322,0.8086,0.3184,0.4378,0.3781
1.2,-0.0603,0.9232,0.8728,0.9184,0.8653,0.8918,0.7597,0.7978,0.7788,0.3,0.4275,0.3638
1.3,-0.0289,0.8968,0.8498,0.8961,0.824,0.8601,0.7346,0.7632,0.7489,0.2829,0.4171,0.35
1.4,0.0006,0.8702,0.8267,0.874,0.785,0.8295,0.7097,0.7284,0.7191,0.2666,0.4063,0.3364
1.5,0.0273,0.843,0.8038,0.8514,0.7482,0.7998,0.6848,0.694,0.6894,0.2509,0.3948,0.3228
1.6,0.0505,0.8159,0.7811,0.8282,0.7135,0.7708,0.66,0.6604,0.6602,0.2367,0.3829,0.3098
1.7,0.069,0.7896,0.7591,0.8043,0.6811,0.7427,0.6356,0.6281,0.6319,0.2248,0.3712,0.298
1.8,0.0812,0.7652,0.7375,0.7801,0.6518,0.7159,0.612,0.5975,0.6048,0.2157,0.3601,0.2879
1.9,0.0853,0.7433,0.7162,0.7556,0.6266,0.6911,0.5895,0.5688,0.5792,0.2093,0.3499,0.2796
2,0.0808,0.7244,0.6953,0.7312,0.6067,0.669,0.5684,0.542,0.5552,0.2055,0.3407,0.2731
2.1,0.0684,0.7093,0.6752,0.7074,0.5928,0.6501,0.5491,0.5175,0.5333,0.2047,0.3324,0.2685
2.2,0.0498,0.6982,0.6565,0.6849,0.5851,0.635,0.5323,0.4963,0.5143,0.2073,0.3255,0.2664
2.3,0.0271,0.6917,0.6396,0.6643,0.5835,0.6239,0.5186,0.4797,0.4991,0.2142,0.3204,0.2673
2.4,0.0023,0.6903,0.6243,0.6466,0.5876,0.6171,0.5085,0.4686,0.4885,0.226,0.3181,0.2721
2.5,-0.0224,0.6943,0.6106,0.6323,0.5966,0.6145,0.5024,0.4635,0.483,0.2431,0.3194,0.2812
2.6,-0.0451,0.7037,0.5984,0.6221,0.6097,0.6159,0.5006,0.4643,0.4824,0.2652,0.3245,0.2949
2.7,-0.0642,0.7179,0.5882,0.6163,0.6254,0.6209,0.503,0.4702,0.4866,0.2924,0.3334,0.3129
2.8,-0.0794,0.7357,0.5805,0.6148,0.6425,0.6287,0.5094,0.4803,0.4949,0.3242,0.3458,0.335
2.9,-0.0919,0.7558,0.5749,0.6174,0.66,0.6387,0.5188,0.4937,0.5063,0.3601,0.3613,0.3607
3,-0.1033,0.7771,0.5707,0.6234,0.677,0.6502,0.5298,0.5094,0.5196,0.3994,0.3803,0.3899
3.1,-0.1142,0.7988,0.5678,0.632,0.6924,0.6622,0.5414,0.5263,0.5339,0.4416,0.4034,0.4225
3.2,-0.1243,0.8206,0.5667,0.6426,0.7052,0.6739,0.5532,0.5435,0.5484,0.4859,0.4307,0.4583
3.3,-0.1325,0.8421,0.5679,0.6546,0.714,0.6843,0.565,0.56,0.5625,0.5314,0.4617,0.4965
3.4,-0.1379,0.8624,0.5711,0.6673,0.7178,0.6925,0.5765,0.5751,0.5758,0.5762,0.495,0.5356
3.5,-0.1399,0.8803,0.5758,0.6791,0.7156,0.6974,0.5874,0.5879,0.5877,0.6187,0.5289,0.5738
3.6,-0.1393,0.8945,0.5815,0.6888,0.7074,0.6981,0.5971,0.5985,0.5978,0.6572,0.5622,0.6097
3.7,-0.1379,0.9043,0.5879,0.6948,0.6935,0.6942,0.6053,0.607,0.6061,0.6905,0.5938,0.6422
3.8,-0.1368,0.9097,0.5952,0.6962,0.6744,0.6853,0.6119,0.6129,0.6124,0.7177,0.6225,0.6701
3.9,-0.1365,0.9103,0.6035,0.6928,0.6509,0.6719,0.6158,0.6159,0.6159,0.7382,0.6473,0.6927
4,-0.1373,0.9055,0.6133,0.6851,0.6243,0.6547,0.6162,0.6156,0.6159,0.7519,0.6677,0.7098
4.1,-0.139,0.8953,0.6248,0.6743,0.5964,0.6353,0.6128,0.6122,0.6125,0.7593,0.6842,0.7217
4.2,-0.1415,0.8808,0.6386,0.6615,0.5694,0.6155,0.6065,0.6071,0.6068,0.7616,0.698,0.7298
4.3,-0.1452,0.8632,0.6552,0.6476,0.5447,0.5962,0.5988,0.6018,0.6003,0.7602,0.7099,0.735
4.4,-0.1516,0.8431,0.6741,0.6325,0.5229,0.5777,0.5912,0.5971,0.5942,0.756,0.7204,0.7382
4.5,-0.1632,0.8206,0.6941,0.6156,0.5035,0.5596,0.5845,0.5934,0.5889,0.7498,0.7293,0.7395
4.6,-0.1824,0.7963,0.7136,0.5966,0.4864,0.5415,0.5787,0.5904,0.5846,0.7421,0.7366,0.7393
4.7,-0.2102,0.7709,0.7311,0.5757,0.4717,0.5237,0.5737,0.5882,0.5809,0.7339,0.7419,0.7379
4.8,-0.246,0.7461,0.7458,0.554,0.4598,0.5069,0.5697,0.5864,0.5781,0.7264,0.7454,0.7359
4.9,-0.2877,0.7231,0.7579,0.5329,0.4508,0.4919,0.5667,0.5848,0.5758,0.7203,0.7476,0.734
5,-0.3326,0.7027,0.7674,0.5142,0.4449,0.4795,0.5646,0.5829,0.5737,0.7156,0.7486,0.7321
5.1,-0.378,0.6854,0.7744,0.4988,0.4422,0.4705,0.5631,0.5805,0.5718,0.7117,0.7485,0.7301
5.2,-0.4216,0.6712,0.7789,0.4872,0.4428,0.465,0.562,0.5778,0.5699,0.7082,0.7474,0.7278
5.3,-0.4622,0.6605,0.7812,0.4797,0.447,0.4633,0.5609,0.5756,0.5683,0.7051,0.7456,0.7253
5.4,-0.4987,0.6535,0.7817,0.4769,0.4545,0.4657,0.5595,0.5742,0.5669,0.7026,0.7434,0.723
5.5,-0.5303,0.65,0.781,0.4793,0.4648,0.472,0.5577,0.5737,0.5657,0.7009,0.7412,0.7211
5.6,-0.5564,0.6497,0.7793,0.4873,0.4771,0.4822,0.5556,0.5741,0.5648,0.6997,0.7394,0.7195
