Time,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC,ANZ TENNIS ANIMATIC GOTOYM Client 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0474,0.3314,0.5126,0.3591,0.2954,0.3272,0.4982,0.4658,0.482,0.4925,0.584,0.5382
0.1,0.0408,0.3452,0.5065,0.3725,0.3025,0.3375,0.4795,0.4638,0.4717,0.4798,0.5956,0.5377
0.2,0.0324,0.3617,0.5053,0.3905,0.3153,0.3529,0.4618,0.4653,0.4636,0.4724,0.6114,0.5419
0.3,0.0229,0.3801,0.5106,0.4129,0.3336,0.3732,0.4462,0.4711,0.4587,0.4706,0.6311,0.5508
0.4,0.0133,0.3995,0.5233,0.4394,0.3572,0.3983,0.4341,0.482,0.458,0.4751,0.6545,0.5648
0.5,0.0046,0.4192,0.5433,0.4698,0.3857,0.4277,0.4265,0.4981,0.4623,0.4866,0.6816,0.5841
0.6,-0.0029,0.4386,0.5701,0.503,0.4183,0.4606,0.4236,0.5189,0.4712,0.5053,0.7117,0.6085
0.7,-0.0093,0.4571,0.6025,0.5379,0.4537,0.4958,0.4252,0.5439,0.4846,0.531,0.7433,0.6372
0.8,-0.0147,0.4742,0.6389,0.5737,0.4913,0.5325,0.4312,0.5725,0.5019,0.5625,0.775,0.6688
0.9,-0.0193,0.4897,0.677,0.6092,0.5301,0.5697,0.4413,0.6035,0.5224,0.5984,0.8051,0.7018
1,-0.0236,0.5033,0.7141,0.6434,0.5691,0.6063,0.4541,0.6349,0.5445,0.6368,0.8316,0.7342
1.1,-0.0285,0.5152,0.7479,0.6751,0.6069,0.641,0.4683,0.6652,0.5668,0.6755,0.8526,0.7641
1.2,-0.0346,0.5255,0.7768,0.7031,0.6422,0.6726,0.4831,0.6932,0.5882,0.7128,0.8674,0.7901
1.3,-0.042,0.5345,0.7994,0.7269,0.674,0.7004,0.498,0.7181,0.608,0.7476,0.8761,0.8118
1.4,-0.0504,0.5423,0.8148,0.7465,0.7014,0.7239,0.5127,0.7392,0.626,0.7793,0.8794,0.8294
1.5,-0.0595,0.5496,0.8233,0.7618,0.7238,0.7428,0.527,0.7564,0.6417,0.8072,0.8777,0.8424
1.6,-0.0688,0.5566,0.8255,0.7728,0.7409,0.7568,0.5403,0.7692,0.6547,0.83,0.871,0.8505
1.7,-0.0782,0.5636,0.8229,0.7793,0.7525,0.7659,0.5519,0.7776,0.6647,0.847,0.8598,0.8534
1.8,-0.0871,0.5707,0.8165,0.7817,0.7587,0.7702,0.5615,0.7818,0.6717,0.8578,0.8446,0.8512
1.9,-0.0952,0.5776,0.8077,0.7802,0.7594,0.7698,0.5693,0.7827,0.676,0.862,0.8263,0.8442
2,-0.1021,0.5848,0.7974,0.7758,0.755,0.7654,0.5757,0.781,0.6783,0.8601,0.8055,0.8328
2.1,-0.1075,0.5929,0.7863,0.7695,0.7464,0.758,0.5816,0.7769,0.6792,0.8526,0.7832,0.8179
2.2,-0.1115,0.6026,0.7746,0.7621,0.7344,0.7483,0.5873,0.7709,0.6791,0.8405,0.7608,0.8006
2.3,-0.1148,0.6135,0.7623,0.7541,0.7197,0.7369,0.593,0.7632,0.6781,0.8242,0.7392,0.7817
2.4,-0.1185,0.6246,0.7497,0.7451,0.7029,0.724,0.5988,0.754,0.6764,0.8046,0.719,0.7618
2.5,-0.1232,0.635,0.7369,0.7347,0.6843,0.7095,0.6045,0.7433,0.6739,0.7822,0.7007,0.7414
2.6,-0.1289,0.644,0.7242,0.7233,0.6646,0.6939,0.61,0.7314,0.6707,0.7581,0.6845,0.7213
2.7,-0.1345,0.6514,0.712,0.7119,0.6444,0.6782,0.6156,0.719,0.6673,0.7334,0.6706,0.702
2.8,-0.1395,0.6574,0.7007,0.7021,0.6246,0.6633,0.6211,0.7067,0.6639,0.7093,0.6593,0.6843
2.9,-0.1435,0.6626,0.6904,0.6946,0.606,0.6503,0.6264,0.6953,0.6609,0.6869,0.6507,0.6688
