Time,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC,Speights - The Dance 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0489,0.8491,0.6133,0.7994,0.6313,0.7153,0.4763,0.6239,0.5501,0.4893,0.5058,0.4975
0.1,-0.0232,0.8619,0.6444,0.8131,0.6509,0.732,0.484,0.6534,0.5687,0.486,0.5077,0.4969
0.2,0.0038,0.874,0.6758,0.8293,0.6674,0.7484,0.4943,0.682,0.5881,0.4809,0.5085,0.4947
0.3,0.0309,0.8848,0.7057,0.8474,0.6808,0.7641,0.5063,0.7088,0.6075,0.4734,0.5082,0.4908
0.4,0.0567,0.8938,0.7334,0.8665,0.6909,0.7787,0.5202,0.7333,0.6267,0.4632,0.5068,0.485
0.5,0.0809,0.9008,0.7583,0.8854,0.6975,0.7915,0.536,0.755,0.6455,0.4503,0.5048,0.4776
0.6,0.1057,0.9053,0.7799,0.9027,0.7001,0.8014,0.5536,0.773,0.6633,0.4349,0.5021,0.4685
0.7,0.1328,0.9077,0.7973,0.9175,0.699,0.8082,0.5726,0.7859,0.6793,0.4175,0.4983,0.4579
0.8,0.1618,0.9082,0.8102,0.9288,0.6944,0.8116,0.5928,0.7926,0.6927,0.3991,0.4932,0.4461
0.9,0.1911,0.9074,0.8188,0.9362,0.6871,0.8116,0.6142,0.7931,0.7036,0.3807,0.487,0.4338
1,0.2181,0.9058,0.8239,0.9393,0.6779,0.8086,0.6363,0.7885,0.7124,0.363,0.48,0.4215
1.1,0.2415,0.9037,0.8265,0.9383,0.6682,0.8033,0.6586,0.7797,0.7191,0.3462,0.4729,0.4096
1.2,0.2614,0.9012,0.8272,0.9331,0.6592,0.7962,0.68,0.7674,0.7237,0.3308,0.4664,0.3986
1.3,0.2777,0.899,0.8261,0.9242,0.6519,0.7881,0.7001,0.7528,0.7264,0.3177,0.4614,0.3895
1.4,0.2897,0.8979,0.8234,0.9121,0.6479,0.78,0.7191,0.7373,0.7282,0.3077,0.4584,0.383
1.5,0.2957,0.8989,0.8197,0.8979,0.6486,0.7733,0.7378,0.7231,0.7304,0.3016,0.4577,0.3796
1.6,0.2945,0.9027,0.8159,0.8832,0.6556,0.7694,0.7566,0.712,0.7343,0.2995,0.4594,0.3794
1.7,0.2867,0.9095,0.8136,0.8699,0.6696,0.7697,0.7757,0.7056,0.7406,0.3009,0.4635,0.3822
1.8,0.2725,0.9196,0.814,0.8591,0.6904,0.7747,0.7949,0.7041,0.7495,0.3054,0.4696,0.3875
1.9,0.2507,0.9329,0.8179,0.8514,0.7167,0.7841,0.8139,0.7069,0.7604,0.3125,0.4771,0.3948
2,0.2209,0.9491,0.8259,0.8463,0.7475,0.7969,0.8323,0.713,0.7726,0.3219,0.4857,0.4038
2.1,0.1834,0.9679,0.8384,0.843,0.7818,0.8124,0.8499,0.7223,0.7861,0.334,0.4952,0.4146
2.2,0.1397,0.9879,0.8553,0.8408,0.8188,0.8298,0.8665,0.7352,0.8009,0.3492,0.5062,0.4277
2.3,0.0918,1.0076,0.8754,0.839,0.8569,0.848,0.8816,0.7506,0.8161,0.3676,0.5184,0.443
2.4,0.0414,1.0252,0.8964,0.8368,0.8939,0.8653,0.8939,0.7668,0.8304,0.3882,0.5315,0.4599
2.5,-0.0105,1.0399,0.9157,0.8334,0.9283,0.8808,0.9022,0.7817,0.842,0.4096,0.5447,0.4772
2.6,-0.0631,1.0515,0.9317,0.8294,0.9598,0.8946,0.9056,0.794,0.8498,0.4303,0.557,0.4937
2.7,-0.1148,1.0602,0.9432,0.8257,0.9889,0.9073,0.9031,0.8031,0.8531,0.4492,0.5676,0.5084
2.8,-0.163,1.0659,0.949,0.8226,1.015,0.9188,0.894,0.808,0.851,0.466,0.5759,0.5209
2.9,-0.2048,1.0686,0.9482,0.8197,1.0369,0.9283,0.8774,0.808,0.8427,0.4799,0.5814,0.5306
3,-0.2388,1.0681,0.9402,0.8161,1.0532,0.9346,0.8528,0.8024,0.8276,0.4902,0.5835,0.5369
3.1,-0.2649,1.0643,0.925,0.8113,1.0633,0.9373,0.8202,0.7914,0.8058,0.4961,0.5818,0.5389
3.2,-0.2831,1.0571,0.9029,0.8049,1.067,0.9359,0.7805,0.7749,0.7777,0.4969,0.576,0.5364
3.3,-0.293,1.0464,0.8741,0.7962,1.0639,0.93,0.7347,0.7529,0.7438,0.4925,0.5662,0.5293
3.4,-0.2947,1.0321,0.8393,0.7847,1.0538,0.9193,0.6849,0.7259,0.7054,0.4834,0.5528,0.5181
3.5,-0.2894,1.0142,0.7992,0.7705,1.0369,0.9037,0.6335,0.6947,0.6641,0.4703,0.5365,0.5034
3.6,-0.2783,0.9938,0.7555,0.7543,1.0139,0.8841,0.5831,0.6608,0.6219,0.4541,0.5184,0.4863
3.7,-0.2621,0.9721,0.7102,0.7368,0.9863,0.8616,0.5356,0.6253,0.5804,0.4359,0.4994,0.4677
3.8,-0.2415,0.9502,0.6652,0.7189,0.955,0.837,0.4922,0.5893,0.5407,0.4164,0.4805,0.4484
3.9,-0.2161,0.9287,0.622,0.7011,0.9208,0.8109,0.454,0.5535,0.5037,0.3967,0.4628,0.4297
4,-0.1861,0.9081,0.5825,0.684,0.8841,0.7841,0.4216,0.5193,0.4705,0.378,0.4474,0.4127
4.1,-0.1528,0.8887,0.5487,0.6684,0.8462,0.7573,0.3958,0.4886,0.4422,0.3609,0.4353,0.3981
4.2,-0.1183,0.8705,0.5217,0.6545,0.8083,0.7314,0.3764,0.4627,0.4195,0.3456,0.4272,0.3864
4.3,-0.0845,0.8539,0.5015,0.642,0.7715,0.7068,0.3626,0.4419,0.4022,0.3321,0.4236,0.3778
4.4,-0.0528,0.8389,0.487,0.6305,0.7365,0.6835,0.3528,0.4258,0.3893,0.3204,0.4244,0.3724
4.5,-0.0237,0.8255,0.4771,0.6195,0.7037,0.6616,0.3454,0.4136,0.3795,0.311,0.43,0.3705
4.6,0.0028,0.8136,0.4711,0.6091,0.6733,0.6412,0.3396,0.4048,0.3722,0.3043,0.4403,0.3723
4.7,0.0266,0.8027,0.4685,0.5993,0.6451,0.6222,0.3354,0.3993,0.3674,0.3001,0.4548,0.3774
4.8,0.0468,0.7921,0.4688,0.5896,0.6187,0.6041,0.3329,0.3972,0.3651,0.2975,0.4721,0.3848
4.9,0.0628,0.7812,0.4708,0.5792,0.5935,0.5864,0.3315,0.3978,0.3646,0.2952,0.4905,0.3929
5,0.0747,0.7695,0.4739,0.5681,0.569,0.5686,0.3301,0.4001,0.3651,0.2923,0.5086,0.4004
5.1,0.0837,0.7572,0.4772,0.5567,0.5452,0.551,0.3279,0.4024,0.3652,0.2879,0.5248,0.4063
5.2,0.0906,0.7449,0.4792,0.5459,0.5219,0.5339,0.324,0.4025,0.3633,0.2814,0.5377,0.4095
5.3,0.0953,0.733,0.4779,0.5357,0.4992,0.5174,0.3175,0.3982,0.3579,0.2725,0.5458,0.4091
