Time,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC,Oral B Pro Health Advanced Toothpaste TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0356,0.869,0.8303,0.9758,0.838,0.9069,0.6197,0.5979,0.6088,0.569,0.5719,0.5704
0.1,-0.0538,0.861,0.8386,0.969,0.83,0.8995,0.6426,0.6102,0.6264,0.592,0.5959,0.594
0.2,-0.0719,0.8533,0.8418,0.9598,0.8214,0.8906,0.664,0.6208,0.6424,0.6124,0.6173,0.6149
0.3,-0.089,0.8466,0.8401,0.9489,0.8131,0.881,0.6833,0.6299,0.6566,0.6303,0.6359,0.6331
0.4,-0.1041,0.8415,0.834,0.9371,0.806,0.8715,0.7009,0.6378,0.6693,0.6458,0.6516,0.6487
0.5,-0.1169,0.838,0.8242,0.924,0.8,0.862,0.7176,0.6448,0.6812,0.6589,0.6645,0.6617
0.6,-0.1265,0.8358,0.8108,0.9092,0.7943,0.8517,0.7339,0.6514,0.6926,0.6694,0.6747,0.6721
0.7,-0.1324,0.8346,0.7942,0.8925,0.7886,0.8406,0.7497,0.6577,0.7037,0.6771,0.6828,0.6799
0.8,-0.1338,0.8346,0.7746,0.8747,0.7833,0.829,0.7646,0.6638,0.7142,0.6824,0.6889,0.6856
0.9,-0.1304,0.8366,0.7524,0.8565,0.7793,0.8179,0.778,0.6697,0.7239,0.6854,0.6934,0.6894
1,-0.1222,0.8411,0.7283,0.8382,0.777,0.8076,0.7898,0.675,0.7324,0.6865,0.6966,0.6916
1.1,-0.1099,0.848,0.7028,0.8201,0.7763,0.7982,0.8001,0.6798,0.74,0.6862,0.699,0.6926
1.2,-0.0937,0.8571,0.6771,0.8026,0.7768,0.7897,0.8091,0.6845,0.7468,0.6851,0.7016,0.6934
1.3,-0.0742,0.8681,0.6523,0.7871,0.7789,0.783,0.8168,0.6898,0.7533,0.6846,0.7051,0.6948
1.4,-0.0525,0.8814,0.6295,0.775,0.7831,0.7791,0.8229,0.6964,0.7597,0.6857,0.7102,0.6979
1.5,-0.0303,0.8972,0.6095,0.7674,0.7902,0.7788,0.8276,0.7046,0.7661,0.6892,0.7168,0.703
1.6,-0.0099,0.9156,0.5923,0.7643,0.8003,0.7823,0.8313,0.7143,0.7728,0.6951,0.7249,0.71
1.7,0.0059,0.9363,0.5784,0.7652,0.8131,0.7892,0.8345,0.7254,0.78,0.7031,0.7344,0.7187
1.8,0.0155,0.9587,0.5684,0.77,0.8279,0.799,0.8379,0.7383,0.7881,0.7129,0.7453,0.7291
1.9,0.0179,0.9825,0.5634,0.7788,0.8444,0.8116,0.8416,0.7531,0.7973,0.7247,0.7575,0.7411
2,0.0136,1.0076,0.564,0.792,0.8622,0.8271,0.8458,0.77,0.8079,0.7385,0.7708,0.7547
2.1,0.0031,1.0336,0.57,0.8091,0.8811,0.8451,0.8508,0.7884,0.8196,0.7539,0.7845,0.7692
2.2,-0.0126,1.0596,0.5806,0.8292,0.9011,0.8651,0.8565,0.8079,0.8322,0.7704,0.7977,0.7841
2.3,-0.0327,1.0848,0.5944,0.8513,0.9221,0.8867,0.8627,0.8279,0.8453,0.787,0.8096,0.7983
2.4,-0.0553,1.1083,0.6105,0.8749,0.9435,0.9092,0.8686,0.848,0.8583,0.8026,0.8193,0.8109
2.5,-0.0784,1.1292,0.6281,0.8994,0.9641,0.9318,0.8733,0.8676,0.8704,0.8163,0.8258,0.821
2.6,-0.0993,1.1464,0.646,0.9241,0.9824,0.9533,0.8764,0.8857,0.881,0.8274,0.8284,0.8279
2.7,-0.1159,1.1588,0.6632,0.9476,0.9971,0.9724,0.8773,0.9012,0.8893,0.8357,0.8265,0.8311
2.8,-0.1274,1.1653,0.6789,0.969,1.0075,0.9883,0.8759,0.9135,0.8947,0.8412,0.8194,0.8303
2.9,-0.1339,1.1658,0.6924,0.9874,1.0138,1.0006,0.8715,0.9219,0.8967,0.8434,0.8069,0.8251
3,-0.1363,1.1608,0.7031,1.0027,1.0161,1.0094,0.864,0.9262,0.8951,0.8422,0.7886,0.8154
3.1,-0.1355,1.1511,0.7106,1.0147,1.0142,1.0145,0.8538,0.9272,0.8905,0.8377,0.765,0.8014
